Freq.	V(z)
1.00000000000000e+05	(4.94722914860160e+01dB,7.74529134790903e+01°)
1.25892541179417e+05	(5.13658759456596e+01dB,7.43268250739217e+01°)
1.58489319246111e+05	(5.32023503069255e+01dB,7.05036710800641e+01°)
1.99526231496888e+05	(5.49550867047147e+01dB,6.58979678527345e+01°)
2.51188643150958e+05	(5.65897499653782e+01dB,6.04674378097788e+01°)
3.16227766016838e+05	(5.80667399731526e+01dB,5.42478237700446e+01°)
3.98107170553497e+05	(5.93476937912790e+01dB,4.73808074429950e+01°)
5.01187233627272e+05	(6.04052626009069e+01dB,4.01113213209685e+01°)
6.30957344480194e+05	(6.12318582491199e+01dB,3.27382144385909e+01°)
7.94328234724282e+05	(6.18417708646306e+01dB,2.55330249426763e+01°)
1.00000000000000e+06	(6.22649314448692e+01dB,1.86687522050037e+01°)
1.25892541179417e+06	(6.25362638184487e+01dB,1.21917355346651e+01°)
1.58489319246111e+06	(6.26861136580160e+01dB,6.03633561009736e+00°)
1.99526231496888e+06	(6.27344039237199e+01dB,6.10498286547015e-02°)
2.51188643150958e+06	(6.26880831390449e+01dB,-5.91234441524484e+00°)
3.16227766016838e+06	(6.25404809743000e+01dB,-1.20624357155470e+01°)
3.98107170553498e+06	(6.22719244002569e+01dB,-1.85318686926301e+01°)
5.01187233627273e+06	(6.18522367201918e+01dB,-2.53882413566227e+01°)
6.30957344480194e+06	(6.12465027925580e+01dB,-3.25877817082922e+01°)
7.94328234724282e+06	(6.04245770360220e+01dB,-3.99599849438711e+01°)
1.00000000000000e+07	(5.93717599107068e+01dB,-4.72347367881149e+01°)
1.25892541179417e+07	(5.80951809136632e+01dB,-5.41128901078780e+01°)
1.58489319246112e+07	(5.66218564695301e+01dB,-6.03477508799316e+01°)
1.99526231496888e+07	(5.49900275897100e+01dB,-6.57953456696211e+01°)
2.51188643150958e+07	(5.32393492364107e+01dB,-7.04179803402574e+01°)
3.16227766016838e+07	(5.14043017851675e+01dB,-7.42566975098317e+01°)
3.98107170553498e+07	(4.95116752185842e+01dB,-7.73964185048860e+01°)
5.01187233627273e+07	(4.75808056848450e+01dB,-7.99381719213552e+01°)
6.30957344480194e+07	(4.56249933298893e+01dB,-8.19819238798003e+01°)
7.94328234724283e+07	(4.36531054407546e+01dB,-8.36180153312520e+01°)
1.00000000000000e+08	(4.16709364627955e+01dB,-8.49240523598447e+01°)
