Reference;Qty;Value;DNP;Exclude from BOM;Exclude from Board;Footprint;Datasheet;Height;Manufacturer part code;Manufacturer_Name;Manufacturer_Part_Number;Mouser Part Number;Mouser Price/Stock;Value2;Description_1;Description;#;Sim.Device;Sim.Pins;Field6;Field7;Field10;Field5;Manufacturer_Name ;Mouser Part Number ;Manufacturer_Name  ;Mouser Part Number  ;Manufacturer_Part_Number ;SheetName;FirstOrderDone;Field11
C1;1;CL31A106KBHNNNE;;;;CAPC3216X180N;https://datasheet.datasheetarchive.com/originals/distributors/Datasheets_SAMA/08745f6325ae1679773301b11fb0567f.pdf;1.8;;SAMSUNG;CL31A106KBHNNNE;187-CL31A106KBHNNNE;https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL31A106KBHNNNE?qs=X6jEic%2FHinBsSMnC%2FFnmbg%3D%3D;;;10u 50v 1206;1;;;;;;;;;;;;;;
C2,C3,C5,C6,C7,C8;6;B40910A8127M000;;;;B40910A8127M000:B40910A8127M000;https://product.tdk.com/system/files/dam/doc/product/capacitor/aluminum-electrolytic/hybrid-polymer/data_sheet/20/30/db/aec/b40910.pdf;12.8;;TDK;B40910A8127M000;871-B40910A8127M000;;;;120uF 63V;2;;;;;;;;;;;;;yes;
C4,C9,C10,C12,C18,C20,C22,C27,C28,C32,C34,C36,C37,C38,C39,C40,C47,C84;18;SH21B104K101CT;;;;Capacitor_SMD:C_0805_2012Metric;https://www.mouser.fr/datasheet/3/317/1/WTC_MLCC_Soft_term_SH.pdf;;;Walsin;;791-SH21B104K101CT;;;;100V .1uF 0805;3;;;;;;;;;;;SH21B104K101CT;;;
C11,C48,C49,C50,C57;5;B81123C1222M;;;;B81123C1222M:B81123C1222M;https://en.tdk-electronics.tdk.com/inf/20/20/db/fc_2009/Y1_B81123.pdf;12.5;;TDK;B81123C1222M;871-B81123C1222M;https://www.mouser.co.uk/ProductDetail/EPCOS-TDK/B81123C1222M?qs=Gus83tocK7veFAufT0DP%2FQ%3D%3D;;;2.2nF 500Vac 20% Y1;4;;;;;;;;;;;;;;
C13,C14,C15,C17,C19,C24,C25,C29,C30,C43,C44,C58,C59,C60,C63,C76;16;GRM31CR71E106KA12K;;;;GRM31CR71E106KA12K:GRM31x;https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM31CR71E106KA12-01CA.pdf;1.25;;Murata Electronics;GRM31CR71E106KA12K;81-GRM31CR71E106KA2K;https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM31CR71E106KA12K?qs=raY79WRVTyM6xGVExNjdaw%3D%3D;;;10uF 25V 1206;5;;;;;;;;;;;;;;
C16;1;A768EB107M1ELAS036;;;;A768EB107M1ELAS036:CAPAE660X600N;https://content.kemet.com/datasheets/KEM_A4088_A768.pdf;6;;KEMET;A768EB107M1ELAS036;80-A768EB107M1ELAS36;https://www.mouser.co.uk/ProductDetail/KEMET/A768EB107M1ELAS036?qs=DuoOggApuK8GRda2HhTQFg%3D%3D;;;100uF 20% 25 VDC;6;;;;;A768, Aluminum, Polymer Aluminum, 100 uF, 20%, 25 VDC, -55/+125C, 125C, -55C, 125C, 2,000 Hrs, 36 mOhms, 500 uA, 6.3mm, 5.7mm, 1000;;;;;;;;;
C21,C52,C53,C54,C55,C64,C65,C66;8;B32672L8153J;;;;B32672L8153J000:CAPRR1500W80L1800T850H1450;https://product.tdk.com/system/files/dam/doc/product/capacitor/film/mkp_mfp/data_sheet/20/20/db/fc_2009/mkp_b32671l_672l.pdf;14.5;;TDK;B32672L8153J;871-B32672L8153J;https://www.mouser.co.uk/ProductDetail/EPCOS-TDK/B32672L8153J?qs=CsdphVCLJRjPN7YH24ATpg%3D%3D;;;15n 5% 700VAC;7;;;;;;;;;;;;;yes;15n
C23;1;AC1206JKNPOZBN103;;;;Capacitor_SMD:C_1206_3216Metric;https://www.mouser.fr/datasheet/3/508/1/UPY-AC_NP0X7RX7S_6.3V-to-2KV_21.pdf;;;;;603-AC1206JKNPOZB103;;;;10nF 630V;8;;;;;;;YAGEO;;;;AC1206JKNPOZBN103;;;
C26,C33,C73,C74,C77;5;VY1221K31Y5SQ6TV0;;;;Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P10.00mm;https://www.vishay.com/docs/28537/vy1series.pdf;8;;Vishay;;72-VY1221K31Y5SQ6TV0;;;;220pF Y1;9;;;;;;;;;;;;;;
C31,C45,C51,C68,C69,C70,C71,C72,C75,C80,C85,C91,C92,C93,C94,C96,C97;17;C0805C102J5GACTU;;;;C0805C102J5GACTU:C0805;https://content.kemet.com/datasheets/KEM_C1003_C0G_SMD.pdf;1.1;;KEMET;C0805C102J5GACTU;80-C0805C102J5G;https://www.mouser.co.uk/ProductDetail/KEMET/C0805C102J5GACTU?qs=yrVqjCObULOWvTzsHVJg1Q%3D%3D;;;1nF 50V 0805;10;;;;;;;;;;;;;;
C35,C56;2;R46KI310050M1K;;;;R46KI310050M1K:R46KI310050M1K;https://search.kemet.com/component-documentation/download/specsheet/R46KI310050M1K;11.1;;KEMET;R46KI310050M1K;80-R46KI310050M1K;https://www.mouser.co.uk/ProductDetail/KEMET/R46KI310050M1K/?qs=D0iH%252BVFiYPMp3c4CZzIXlA%3D%3D;;;100nF 10% X2 560 VDC;11;;;;;R46 275 VAC, Film, Metallized Polypropylene, Safety, 0.1 uF, 10%, 275 VAC (X2), 560 VDC, 110C, 15mm;;;;;;;;;
C41,C46,C62;3;EEV-FK1V471Q;;;;EEV-FK1V471Q:EEEFK0J332AQ;http://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1181.pdf;15;;Panasonic;EEV-FK1V471Q;667-EEV-FK1V471Q;https://www.mouser.co.uk/ProductDetail/Panasonic/EEV-FK1V471Q?qs=f%252BPvLx1Hi0nmPvz1q5bc1Q%3D%3D;;;470uF 35V 20%;12;;;;;Cap Aluminum Lytic 470uF 35V 20% (12.5 X 13.5mm) SMD 0.06 Ohm 1100mA 2000h 105C Automotive T/R;;;;;;;;;
C42;1;875115350002;;;;CAPAE830X770N;http://katalog.we-online.de/pbs/datasheet/875115350002.pdf;7.7;;Wurth Elektronik;875115350002;710-875115350002;https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/875115350002?qs=0KOYDY2FL2%252BUXz2ApdK6oA%3D%3D;;;220uF 16 V;13;;;;;Wurth Elektronik 220uF 16 V dc Aluminium Polymer Capacitor, WCAP-PSHP Series 2000h 7.7 (Dia.) x 7.55mm;;;;;;;;;
C61;1;GRM31CR71E106KA12K;;;;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM31CR71E106KA12-01CA.pdf;1.25;;Murata Electronics;GRM31CR71E106KA12K;81-GRM31CR71E106KA2K;https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM31CR71E106KA12K?qs=raY79WRVTyM6xGVExNjdaw%3D%3D;;;10uF 25V 1206;14;;;;;;;;;;;;;;
C67;1;EFDKS60K405D032LH;;;;New_Linrary:EFDKS60K405D032LH;https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-efdks-film-capacitor-dc-link-data-sheet-elx1260-en.pdf;;;;EFDKS60K405D032LH;504-EFDKS60K405D032L;;;;4uF 600VDC Film;15;;;;;;;Eaton Electronics;;;;;;;
C90;1;B40910A8127M000;;;;B40910A8127M000:B40910A8127M000;https://product.tdk.com/system/files/dam/doc/product/capacitor/aluminum-electrolytic/hybrid-polymer/data_sheet/20/30/db/aec/b40910.pdf;12.8;;TDK;B40910A8127M000;871-B40910A8127M000;;;;120uF 63V;16;;;;;;;;;;;;;no;
CMC1;1;PA2750NL;;;;PA2750NL:PA2750NL;https://www.arrow.com/en/products/pa2750nl/pulse-electronics-corporation;10;;PULSE;PA2750NL;673-PA2750NL;https://www.mouser.co.uk/ProductDetail/Pulse-Electronics/PA2750NL?qs=%252BUGZmmosPSKMfqU1auiJGA%3D%3D;;;CMC 400uH 6A;17;;;;;;;;;;;;;;
D2;1;US1J;;;;Diode_SMD:D_SMA;https://diotec.com/request/datasheet/us1a.pdf;;;;;637-US1J;;;;600V, 1A, 150C;18;D;1=K 2=A;;;;;;;;;;;;
D3,D4,D5,D6,D7;5;MBRS340T3G;;;;MBRS340T3G:DIOM8059X261N;https://www.onsemi.com/pub/Collateral/MBRS340T3-D.PDF;2.61;;onsemi;MBRS340T3G;863-MBRS340T3G;https://www.mouser.co.uk/ProductDetail/onsemi/MBRS340T3G?qs=3JMERSakeboCr3wxBgfY3w%3D%3D;;;40V 3A Schottky D;19;;;;;;;;;;;;;;
H1,H2,H3,H4,H6,H9,H10,H15;8;~;;Excluded from BOM;;MountingHole:MountingHole_2.7mm_M2.5_Pad_Via;~;;;;;;;;;Mounting Hole with connection;20;;;;;;;;;;;;;;
H5,H7,H8;3;~;;Excluded from BOM;;MountingHole:MountingHole_2.7mm_M2.5;~;;;;;;;;;Mounting Hole with connection;21;;;;;;;;;;;;;;
H11,H12,H13,H14;4;~;;Excluded from BOM;;MountingHole:MountingHole_4.5mm_Pad_Via;~;;;;;;;;;Mounting Hole with connection;22;;;;;;;;;;;;;;
IC1,IC7;2;NCP43080DDR2G;;;;Package_SO:SOIC-8_3.9x4.9mm_P1.27mm;https://www.onsemi.com/download/data-sheet/pdf/ncp43080-d.pdf;1.75;;onsemi;NCP43080DDR2G;863-NCP43080DDR2G;https://www.mouser.co.uk/ProductDetail/onsemi/NCP43080ADR2G?qs=4vGevBu%252B8qm6lzgD6nO%252B4g%3D%3D;;;Synch Driver, Sink / Source  8 A / 4 A;23;;;;;;;;;;;;;;
