Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Technology,Mounting Style,Package/Case,Transistor Polarity,Number of Channels,Vds - Drain-Source Breakdown Voltage,Id - Continuous Drain Current,Rds On - Drain-Source Resistance,Vgs - Gate-Source Voltage,Vgs th - Gate-Source Threshold Voltage,Qg - Gate Charge,Minimum Operating Temperature,Maximum Operating Temperature,Pd - Power Dissipation,Channel Mode,Qualification,Tradename,Packaging
726-IPW65R080CFDAFKS,IPW65R080CFDAFKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW65R080CFDA_DS_v02_01_en-1732054.pdf,223  In Stock,"=""6,96 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW65R080CFDAFKSA1?qs=Dj8dEyEphkMt4ZkqrYOdVw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW65R080CFDAFKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""43.3 A""",72 mOhms,"- 20 V, + 20 V",3.5 V,161 nC,- 40 C,+ 150 C,391 W,Enhancement,AEC-Q100,CoolMOS,Tube
726-IPW60R070C6FKSA1,IPW60R070C6FKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW60R070C6_DS_v02_01_en-1227241.pdf,107  In Stock,"=""7,07 €""",RoHS Compliant,NRND,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW60R070C6FKSA1?qs=OwbwYO03UsJHpQbBe4Jh2A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW60R070C6FKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""53 A""",63 mOhms,"- 20 V, + 20 V",2.5 V,170 nC,- 55 C,+ 150 C,391 W,Enhancement,,CoolMOS,Tube
747-IXTH62N65X2,IXTH62N65X2,IXYS,https://www.mouser.fr/datasheet/2/240/media-3321401.pdf,228  In Stock,"=""7,07 €""",RoHS Compliant By Exemption,,https://www.mouser.fr/ProductDetail/IXYS/IXTH62N65X2?qs=uwxL4vQweFOU8MuQLTmSuw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IXTH62N65X2&utm_content=IXYS,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""62 A""",50 mOhms,"- 30 V, + 30 V",2.7 V,100 nC,- 55 C,+ 150 C,780 W,Enhancement,,HiPerFET,Tube
512-FCH072N60F,FCH072N60F,onsemi / Fairchild,https://www.onsemi.com/PowerSolutions/product.do?id=FCH072N60F,3 190  In Stock,"=""7,09 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/onsemi-Fairchild/FCH072N60F?qs=X3hl09QjZuNxSjzwEzctiQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=FCH072N60F&utm_content=onsemi-%2F-Fairchild,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""52 A""",65 mOhms,"- 20 V, + 20 V",3 V,165 nC,- 55 C,+ 150 C,481 W,Enhancement,,SuperFET II  FRFET,Tube
726-IPW65R045C7FKSA1,IPW65R045C7FKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW65R045C7_DS_v02_01_en-1732082.pdf,437  In Stock,"=""7,10 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW65R045C7FKSA1?qs=WkdRfq4wf1P4QQzNa9V3lA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW65R045C7FKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""46 A""",40 mOhms,"- 20 V, + 20 V",3.5 V,93 nC,- 55 C,+ 150 C,227 W,Enhancement,,CoolMOS,Tube
78-SIHG47N65E-GE3,SIHG47N65E-GE3,Vishay / Siliconix,https://www.vishay.com/doc?91557,620  In Stock,"=""7,14 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Vishay-Siliconix/SIHG47N65E-GE3?qs=V8fy%252BSwA10ZSiiLIMdd0tw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SIHG47N65E-GE3&utm_content=Vishay-%2F-Siliconix,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""47 A""",72 mOhms,"- 30 V, + 30 V",4 V,182 nC,- 55 C,+ 150 C,417 W,Enhancement,,,Bulk
512-FCH070N60E,FCH070N60E,onsemi / Fairchild,https://www.onsemi.com/PowerSolutions/product.do?id=FCH070N60E,358  In Stock,"=""7,31 €""",RoHS Compliant By Exemption,,https://www.mouser.fr/ProductDetail/onsemi-Fairchild/FCH070N60E?qs=Pve5fMu%2FDEtMVguH2zEhRw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=FCH070N60E&utm_content=onsemi-%2F-Fairchild,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""52 A""",70 mOhms,"- 20 V, + 20 V",2.5 V,128 nC,- 55 C,+ 150 C,481 W,Enhancement,,SuperFET II,Tube
726-IPW65R041CFD7XKS,IPW65R041CFD7XKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW65R041CFD7_DataSheet_v02_01_EN-1901397.pdf,193  In Stock,"=""7,35 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW65R041CFD7XKSA1?qs=sPbYRqrBIVmSJmwjRw9xOw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW65R041CFD7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,700 V,"=""68.5 A""",41 mOhms,"- 20 V, + 20 V",4 V,300 nC,- 55 C,+ 150 C,500 W,Enhancement,,,Tube
726-IPW60R037P7XKSA1,IPW60R037P7XKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW60R037P7_DS_v02_03_EN-3362683.pdf,4 102  In Stock,"=""7,38 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW60R037P7XKSA1?qs=AQlKX63v8RsTUlvVokSDiw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW60R037P7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""76 A""",30 mOhms,"- 20 V, + 20 V",3 V,121 nC,- 55 C,+ 150 C,255 W,Enhancement,,CoolMOS,Tube
511-STWA48N60M2,STWA48N60M2,STMicroelectronics,https://www.st.com/resource/en/datasheet/stwa48n60m2.pdf,93  In Stock,"=""7,49 €""",RoHS Compliant By Exemption,,https://www.mouser.fr/ProductDetail/STMicroelectronics/STWA48N60M2?qs=dTJS0cRn7oihAMoDWTZKrQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STWA48N60M2&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""42 A""",70 mOhms,"- 25 V, + 25 V",2 V,70 nC,- 55 C,+ 150 C,300 W,Enhancement,,MDmesh,
