Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Technology,Mounting Style,Package/Case,Transistor Polarity,Number of Channels,Vds - Drain-Source Breakdown Voltage,Id - Continuous Drain Current,Rds On - Drain-Source Resistance,Vgs - Gate-Source Voltage,Vgs th - Gate-Source Threshold Voltage,Qg - Gate Charge,Minimum Operating Temperature,Maximum Operating Temperature,Pd - Power Dissipation,Channel Mode,Qualification,Tradename,Packaging
747-IXFH120N15P,IXFH120N15P,IXYS,https://eu.mouser.com/datasheet/2/240/media-3320782.pdf,402  In Stock,"8,89 €",RoHS Compliant,,https://eu.mouser.com/ProductDetail/IXYS/IXFH120N15P?qs=t7yjd2JO%2FgTPpgQHmLlxcQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IXFH120N15P&utm_content=IXYS,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,120 A,16 mOhms,"- 20 V, + 20 V",3 V,150 nC,- 55 C,+ 175 C,600 W,Enhancement,,HiPerFET,Tube
747-IXTH150N15X4,IXTH150N15X4,IXYS,https://eu.mouser.com/datasheet/2/240/media-3323759.pdf,196  In Stock,"10,56 €",RoHS Compliant,,https://eu.mouser.com/ProductDetail/IXYS/IXTH150N15X4?qs=T3oQrply3y9fCMNmtsEITw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IXTH150N15X4&utm_content=IXYS,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,150 A,7.2 mOhms,"- 20 V, + 20 V",2.5 V,105 nC,- 55 C,+ 175 C,480 W,Enhancement,,HiPerFET,Tube
747-IXTH240N15X4,IXTH240N15X4,IXYS,https://eu.mouser.com/datasheet/2/240/media-3323534.pdf,250  In Stock,"11,78 €",RoHS Compliant,,https://eu.mouser.com/ProductDetail/IXYS/IXTH240N15X4?qs=T3oQrply3y%252BbuTinOhn9MQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IXTH240N15X4&utm_content=IXYS,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,240 A,4.4 mOhms,"- 20 V, + 20 V",4.5 V,195 nC,- 55 C,+ 175 C,940 W,Enhancement,,HiPerFET,Tube
747-IXFH160N15T2,IXFH160N15T2,IXYS,https://eu.mouser.com/datasheet/2/240/media-3320984.pdf,270  In Stock,"7,79 €",RoHS Compliant By Exemption,,https://eu.mouser.com/ProductDetail/IXYS/IXFH160N15T2?qs=TooEEMgOWu6uktpjFkgS2A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IXFH160N15T2&utm_content=IXYS,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,160 A,9 mOhms,"- 20 V, + 20 V",4.5 V,253 nC,- 55 C,+ 175 C,880 W,Enhancement,,HiPerFET,Tube
942-AUIRFP4568,AUIRFP4568,Infineon Technologies,https://eu.mouser.com/datasheet/2/196/Infineon_AUIRFP4568_DS_v01_02_EN-3360706.pdf,1.378  In Stock,"10,55 €",RoHS Compliant,Verify Status with Factory,https://eu.mouser.com/ProductDetail/Infineon-Technologies/AUIRFP4568?qs=m1T3c8F5IUIdoWYie9aRBg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AUIRFP4568&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,171 A,4.8 mOhms,"- 30 V, + 30 V",3 V,227 nC,- 55 C,+ 175 C,517 W,Enhancement,AEC-Q101,,Tube
512-FDH055N15A,FDH055N15A,onsemi / Fairchild,https://www.onsemi.com/PowerSolutions/product.do?id=FDH055N15A,1.249  In Stock,"6,29 €",RoHS Compliant By Exemption,,https://eu.mouser.com/ProductDetail/onsemi-Fairchild/FDH055N15A?qs=r2Ui%2FjbkGg%2FwTUHq7txgCw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=FDH055N15A&utm_content=onsemi-%2F-Fairchild,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,167 A,4.8 mOhms,"- 20 V, + 20 V",4 V,92 nC,- 55 C,+ 175 C,429 W,Enhancement,,PowerTrench,Tube
512-HUF75852G3,HUF75852G3,onsemi / Fairchild,https://www.onsemi.com/PowerSolutions/product.do?id=HUF75852G3,843  In Stock,"11,40 €",RoHS Compliant By Exemption,,https://eu.mouser.com/ProductDetail/onsemi-Fairchild/HUF75852G3?qs=O7upWGTj0%2FNSYXSalroJxA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HUF75852G3&utm_content=onsemi-%2F-Fairchild,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,75 A,16 mOhms,"- 20 V, + 20 V",2 V,480 nC,- 55 C,+ 175 C,500 W,Enhancement,,UltraFET,Tube
726-IRF150P221AKMA1,IRF150P221AKMA1,Infineon Technologies,https://eu.mouser.com/datasheet/2/196/Infineon_IRF150P221_DataSheet_v02_02_EN-3362781.pdf,1.241  In Stock,"6,18 €",,,https://eu.mouser.com/ProductDetail/Infineon-Technologies/IRF150P221AKMA1?qs=iLbezkQI%252BsgFvQ9qK7vaNg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IRF150P221AKMA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,186 A,4.5 mOhms,"- 20 V, + 20 V",4.6 V,80 nC,- 55 C,+ 175 C,341 W,Enhancement,,,Tube
747-IXTH44P15T,IXTH44P15T,IXYS,https://eu.mouser.com/datasheet/2/240/media-3321593.pdf,1.645  In Stock,"7,48 €",RoHS Compliant,,https://eu.mouser.com/ProductDetail/IXYS/IXTH44P15T?qs=cvHLLyFtoE2pISjJk5x4ew%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IXTH44P15T&utm_content=IXYS,Si,Through Hole,TO-247-3,P-Channel,1 Channel,150 V,44 A,65 mOhms,"- 15 V, + 15 V",4 V,175 nC,- 55 C,+ 150 C,298 W,Enhancement,,,Tube
78-SUG80050E-GE3,SUG80050E-GE3,Vishay Semiconductors,https://www.vishay.com/doc?75186,912  In Stock,"4,79 €",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SUG80050E-GE3?qs=AQlKX63v8Rv39zex8%252B9qiw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SUG80050E-GE3&utm_content=Vishay-Semiconductors,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,100 A,4.5 mOhms,"- 20 V, + 20 V",2 V,165 nC,- 55 C,+ 175 C,500 W,Enhancement,,,Tube
