Numéro d'article Mouser,Numéro de pièce Mfr,Fab.,Fiche technique,Disponibilité,Prix,RoHS,Cycle de vie,Détails du produit,Technologie,Style de montage,Package/Boîte,Polarité du transistor,Nombre de canaux,Vds - Tension de rupture drain-source,Id - Courant continu de fuite,Rds On - Résistance drain-source,Vgs - Tension grille-source,Vgs th - Tension de seuil grille-source ,Qg - Charge de grille,Température de fonctionnement min.,Température de fonctionnement max.,Pd - Dissipation d’énergie ,Mode canal,Qualification,Nom commercial,Conditionnement
747-IXTH240N15X4,IXTH240N15X4,IXYS,https://www.mouser.lu/datasheet/2/240/media-3323534.pdf,250  En stock,"=""11,94 €""",RoHS : conforme,,https://www.mouser.lu/ProductDetail/IXYS/IXTH240N15X4?qs=T3oQrply3y%252BbuTinOhn9MQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IXTH240N15X4&utm_content=IXYS,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,"=""240 A""",4.4 mOhms,"- 20 V, + 20 V",4.5 V,195 nC,- 55 C,+ 175 C,940 W,Enhancement,,HiPerFET,Tube
747-IXFH120N15P,IXFH120N15P,IXYS,https://www.mouser.lu/datasheet/2/240/media-3320782.pdf,402  En stock,"=""9,07 €""",RoHS : conforme,,https://www.mouser.lu/ProductDetail/IXYS/IXFH120N15P?qs=t7yjd2JO%2FgTPpgQHmLlxcQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IXFH120N15P&utm_content=IXYS,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,"=""120 A""",16 mOhms,"- 20 V, + 20 V",3 V,150 nC,- 55 C,+ 175 C,600 W,Enhancement,,HiPerFET,Tube
747-IXTH150N15X4,IXTH150N15X4,IXYS,https://www.mouser.lu/datasheet/2/240/media-3323759.pdf,196  En stock,"=""10,71 €""",RoHS : conforme,,https://www.mouser.lu/ProductDetail/IXYS/IXTH150N15X4?qs=T3oQrply3y9fCMNmtsEITw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IXTH150N15X4&utm_content=IXYS,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,"=""150 A""",7.2 mOhms,"- 20 V, + 20 V",2.5 V,105 nC,- 55 C,+ 175 C,480 W,Enhancement,,HiPerFET,Tube
747-IXFH160N15T2,IXFH160N15T2,IXYS,https://www.mouser.lu/datasheet/2/240/media-3320984.pdf,270  En stock,"=""7,94 €""",Conforme à RoHS par dispense,,https://www.mouser.lu/ProductDetail/IXYS/IXFH160N15T2?qs=TooEEMgOWu6uktpjFkgS2A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IXFH160N15T2&utm_content=IXYS,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,"=""160 A""",9 mOhms,"- 20 V, + 20 V",4.5 V,253 nC,- 55 C,+ 175 C,880 W,Enhancement,,HiPerFET,Tube
942-AUIRFP4568,AUIRFP4568,Infineon Technologies,https://www.mouser.lu/datasheet/2/196/Infineon_AUIRFP4568_DS_v01_02_EN-3360706.pdf,1.378  En stock,"=""10,76 €""",RoHS : conforme,Vérifiez le statut auprès de l''usine,https://www.mouser.lu/ProductDetail/Infineon-Technologies/AUIRFP4568?qs=m1T3c8F5IUIdoWYie9aRBg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AUIRFP4568&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,"=""171 A""",4.8 mOhms,"- 30 V, + 30 V",3 V,227 nC,- 55 C,+ 175 C,517 W,Enhancement,AEC-Q101,,Tube
512-FDH055N15A,FDH055N15A,onsemi / Fairchild,https://www.onsemi.com/PowerSolutions/product.do?id=FDH055N15A,1.249  En stock,"=""6,36 €""",Conforme à RoHS par dispense,,https://www.mouser.lu/ProductDetail/onsemi-Fairchild/FDH055N15A?qs=r2Ui%2FjbkGg%2FwTUHq7txgCw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=FDH055N15A&utm_content=onsemi-%2F-Fairchild,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,"=""167 A""",4.8 mOhms,"- 20 V, + 20 V",4 V,92 nC,- 55 C,+ 175 C,429 W,Enhancement,,PowerTrench,Tube
726-IRF150P221AKMA1,IRF150P221AKMA1,Infineon Technologies,https://www.mouser.lu/datasheet/2/196/Infineon_IRF150P221_DataSheet_v02_02_EN-3362781.pdf,1.696  En stock,"=""6,18 €""",,,https://www.mouser.lu/ProductDetail/Infineon-Technologies/IRF150P221AKMA1?qs=iLbezkQI%252BsgFvQ9qK7vaNg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IRF150P221AKMA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,"=""186 A""",4.5 mOhms,"- 20 V, + 20 V",4.6 V,80 nC,- 55 C,+ 175 C,341 W,Enhancement,,,Tube
78-SUG80050E-GE3,SUG80050E-GE3,Vishay Semiconductors,https://www.vishay.com/doc?75186,852  En stock,"=""5,03 €""",RoHS : conforme,,https://www.mouser.lu/ProductDetail/Vishay-Semiconductors/SUG80050E-GE3?qs=AQlKX63v8Rv39zex8%252B9qiw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SUG80050E-GE3&utm_content=Vishay-Semiconductors,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,"=""100 A""",4.5 mOhms,"- 20 V, + 20 V",2 V,165 nC,- 55 C,+ 175 C,500 W,Enhancement,,,Tube
747-IXFH150N15P,IXFH150N15P,IXYS,https://www.mouser.lu/datasheet/2/240/media-3323361.pdf,50  En stock,"=""11,14 €""",RoHS : conforme,,https://www.mouser.lu/ProductDetail/IXYS/IXFH150N15P?qs=t7yjd2JO%2FgQlVeyiY9jViQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IXFH150N15P&utm_content=IXYS,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,"=""150 A""",13 mOhms,"- 20 V, + 20 V",5 V,190 nC,- 55 C,+ 175 C,714 W,Enhancement,,HiPerFET,Tube
747-IXTH130N15X4,IXTH130N15X4,IXYS,https://www.mouser.lu/datasheet/2/240/media-3323517.pdf,78  En stock,"=""13,30 €""",RoHS : conforme,,https://www.mouser.lu/ProductDetail/IXYS/IXTH130N15X4?qs=%252BEew9%252B0nqrAtAKCtjtLaDg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IXTH130N15X4&utm_content=IXYS,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,"=""130 A""",8.5 mOhms,"- 20 V, + 20 V",2.5 V,87 nC,- 55 C,+ 150 C,400 W,Enhancement,,HiPerFET,
