,t,v
0,1872132.0,0.0
1,1872164.0,0.0
2,1872195.0,0.0
3,1872226.0,0.0
4,1872257.0,0.0
5,1872288.0,0.0
6,1872319.0,0.0
7,1872350.0,0.0
8,1872381.0,0.0
9,1872412.0,0.0
10,1872443.0,0.0
11,1872474.0,0.0
12,1872505.0,0.0
13,1872535.0,0.0
14,1872566.0,0.0
15,1872597.0,0.0
16,1872628.0,0.0
17,1872659.0,0.0
18,1872690.0,0.0
19,1872721.0,0.0
20,1872752.0,0.0
21,1872783.0,0.0
22,1872814.0,0.0
23,1872845.0,0.0
24,1872876.0,0.0
25,1872907.0,0.0
26,1872938.0,0.0
27,1872969.0,0.0
28,1873000.0,0.0
29,1873031.0,0.0
30,1873063.0,0.0
31,1873094.0,0.0
32,1873125.0,0.0
33,1873160.0,0.0
34,1873191.0,0.0
35,1873222.0,0.0
36,1873253.0,0.0
37,1873284.0,0.0
38,1873315.0,0.0
39,1873346.0,0.0
40,1873377.0,0.0
41,1873408.0,0.0
42,1873439.0,0.0
43,1873471.0,0.0
44,1873502.0,0.0
45,1873532.0,0.0
46,1873564.0,0.0
47,1873595.0,0.0
48,1873626.0,0.0
49,1873657.0,0.0
50,1873688.0,0.0
51,1873719.0,0.0
52,1873750.0,0.0
53,1873781.0,0.0
54,1873812.0,0.0
55,1873843.0,0.0
56,1873873.0,0.0
57,1873904.0,0.0
58,1873935.0,0.0
59,1873966.0,0.0
60,1873998.0,0.0
61,1874029.0,0.0
62,1874060.0,0.0
63,1874091.0,0.0
64,1874122.0,0.0
65,1874157.0,0.0
66,1874188.0,0.0
67,1874219.0,0.0
68,1874250.0,0.0
69,1874281.0,0.0
70,1874312.0,0.0
71,1874344.0,0.0
72,1874374.0,0.0
73,1874405.0,0.0
74,1874436.0,0.0
75,1874467.0,0.0
76,1874498.0,0.0
77,1874529.0,0.0
78,1874560.0,0.0
79,1874591.0,0.0
80,1874622.0,0.0
81,1874653.0,0.0
82,1874684.0,0.0
83,1874715.0,0.0
84,1874746.0,0.0
85,1874777.0,0.0
86,1874807.0,0.0
87,1874839.0,0.0
88,1874869.0,0.0
89,1874900.0,0.0
90,1874931.0,0.0
91,1874962.0,0.0
92,1874995.0,0.0
93,1875026.0,0.0
94,1875057.0,0.0
95,1875088.0,0.0
96,1875119.0,0.0
97,1875154.0,0.0
98,1875185.0,0.0
99,1875216.0,0.0
100,1875247.0,0.0
101,1875278.0,0.0
102,1875309.0,0.0
103,1875340.0,1.0
104,1875372.0,0.0
105,1875403.0,6.0
106,1875434.0,9.0
107,1875464.0,5.0
108,1875495.0,5.0
109,1875527.0,6.0
110,1875558.0,8.0
111,1875589.0,9.0
112,1875619.0,9.0
113,1875650.0,10.0
114,1875681.0,14.0
115,1875712.0,16.0
116,1875743.0,16.0
117,1875774.0,15.0
118,1875806.0,16.0
119,1875837.0,16.0
120,1875867.0,16.0
121,1875899.0,16.0
122,1875930.0,18.0
123,1875961.0,19.0
124,1875994.0,19.0
125,1876025.0,21.0
126,1876056.0,21.0
127,1876087.0,21.0
128,1876118.0,22.0
129,1876153.0,23.0
130,1876184.0,28.0
131,1876215.0,27.0
132,1876245.0,30.0
133,1876277.0,29.0
134,1876308.0,30.0
135,1876339.0,33.0
136,1876370.0,32.0
137,1876401.0,32.0
138,1876432.0,36.0
139,1876463.0,38.0
140,1876494.0,42.0
141,1876525.0,38.0
142,1876555.0,40.0
143,1876586.0,38.0
144,1876618.0,42.0
145,1876648.0,42.0
146,1876679.0,43.0
147,1876710.0,43.0
148,1876741.0,43.0
149,1876772.0,48.0
150,1876803.0,48.0
151,1876834.0,48.0
152,1876865.0,48.0
153,1876896.0,48.0
154,1876927.0,48.0
155,1876959.0,48.0
156,1876994.0,51.0
157,1877025.0,49.0
158,1877056.0,54.0
159,1877087.0,52.0
160,1877118.0,56.0
161,1877153.0,55.0
162,1877184.0,60.0
163,1877215.0,57.0
164,1877246.0,55.0
165,1877277.0,59.0
166,1877308.0,62.0
167,1877339.0,62.0
168,1877370.0,60.0
169,1877401.0,64.0
170,1877432.0,64.0
171,1877463.0,66.0
172,1877494.0,64.0
173,1877525.0,65.0
174,1877556.0,65.0
175,1877587.0,66.0
176,1877618.0,68.0
177,1877649.0,69.0
178,1877680.0,69.0
179,1877710.0,69.0
180,1877741.0,71.0
181,1877772.0,75.0
182,1877803.0,77.0
183,1877834.0,75.0
184,1877865.0,74.0
185,1877896.0,78.0
186,1877927.0,77.0
187,1877958.0,79.0
188,1877993.0,78.0
189,1878024.0,80.0
190,1878055.0,80.0
191,1878086.0,80.0
192,1878117.0,80.0
193,1878152.0,81.0
194,1878183.0,87.0
195,1878214.0,83.0
196,1878245.0,82.0
197,1878276.0,84.0
198,1878307.0,85.0
199,1878338.0,87.0
200,1878369.0,86.0
201,1878400.0,86.0
202,1878431.0,91.0
203,1878462.0,95.0
204,1878493.0,96.0
205,1878524.0,94.0
206,1878555.0,93.0
207,1878586.0,94.0
208,1878617.0,95.0
209,1878648.0,95.0
210,1878679.0,97.0
211,1878711.0,97.0
212,1878741.0,97.0
213,1878773.0,104.0
214,1878804.0,105.0
215,1878835.0,102.0
216,1878866.0,102.0
217,1878897.0,103.0
218,1878928.0,106.0
219,1878958.0,106.0
220,1878994.0,106.0
221,1879025.0,109.0
222,1879056.0,109.0
223,1879086.0,109.0
224,1879118.0,109.0
225,1879152.0,110.0
226,1879184.0,112.0
227,1879215.0,112.0
228,1879246.0,112.0
229,1879277.0,112.0
230,1879308.0,112.0
231,1879339.0,112.0
232,1879370.0,114.0
233,1879401.0,116.0
234,1879432.0,118.0
235,1879463.0,119.0
236,1879494.0,121.0
237,1879525.0,118.0
238,1879556.0,122.0
239,1879587.0,121.0
240,1879618.0,123.0
241,1879649.0,121.0
242,1879680.0,123.0
243,1879711.0,124.0
244,1879742.0,123.0
245,1879773.0,128.0
246,1879804.0,128.0
247,1879835.0,128.0
248,1879866.0,128.0
249,1879897.0,128.0
250,1879928.0,128.0
251,1879959.0,128.0
252,1879994.0,130.0
253,1880025.0,131.0
254,1880056.0,134.0
255,1880087.0,134.0
256,1880118.0,134.0
257,1880153.0,134.0
258,1880184.0,136.0
259,1880215.0,137.0
260,1880246.0,137.0
261,1880277.0,140.0
262,1880308.0,139.0
263,1880339.0,141.0
264,1880370.0,142.0
265,1880401.0,141.0
266,1880432.0,142.0
267,1880463.0,146.0
268,1880494.0,145.0
269,1880524.0,144.0
270,1880555.0,144.0
271,1880586.0,144.0
272,1880617.0,144.0
273,1880648.0,146.0
274,1880679.0,145.0
275,1880710.0,147.0
276,1880741.0,148.0
277,1880772.0,151.0
278,1880803.0,153.0
279,1880834.0,151.0
280,1880865.0,151.0
281,1880896.0,153.0
282,1880927.0,153.0
283,1880958.0,155.0
284,1880993.0,157.0
285,1881024.0,157.0
286,1881055.0,157.0
287,1881086.0,159.0
288,1881117.0,158.0
289,1881152.0,160.0
290,1881183.0,162.0
291,1881214.0,165.0
292,1881244.0,162.0
293,1881276.0,163.0
294,1881307.0,163.0
295,1881338.0,163.0
296,1881368.0,163.0
297,1881400.0,165.0
298,1881431.0,167.0
299,1881462.0,171.0
300,1881493.0,171.0
301,1881524.0,170.0
302,1881555.0,171.0
303,1881586.0,171.0
304,1881617.0,173.0
305,1881647.0,173.0
306,1881678.0,173.0
307,1881709.0,175.0
308,1881740.0,175.0
309,1881771.0,176.0
310,1881802.0,176.0
311,1881833.0,177.0
312,1881864.0,176.0
313,1881895.0,177.0
314,1881926.0,177.0
315,1881957.0,177.0
316,1881992.0,179.0
317,1882023.0,181.0
318,1882054.0,181.0
319,1882085.0,181.0
320,1882116.0,180.0
321,1882151.0,181.0
322,1882182.0,188.0
323,1882213.0,188.0
324,1882244.0,184.0
325,1882275.0,185.0
326,1882306.0,188.0
327,1882337.0,187.0
328,1882368.0,189.0
329,1882399.0,189.0
330,1882430.0,190.0
331,1882461.0,191.0
332,1882492.0,193.0
333,1882523.0,194.0
334,1882554.0,197.0
335,1882585.0,193.0
336,1882616.0,193.0
337,1882647.0,193.0
338,1882678.0,195.0
339,1882708.0,195.0
340,1882739.0,197.0
341,1882770.0,197.0
342,1882801.0,197.0
343,1882832.0,199.0
344,1882863.0,201.0
345,1882894.0,202.0
346,1882925.0,199.0
347,1882956.0,201.0
348,1882988.0,203.0
349,1883019.0,203.0
350,1883050.0,202.0
351,1883081.0,205.0
352,1883112.0,207.0
353,1883147.0,208.0
354,1883178.0,207.0
355,1883209.0,207.0
356,1883240.0,207.0
357,1883271.0,208.0
358,1883302.0,208.0
359,1883333.0,210.0
360,1883364.0,209.0
361,1883395.0,208.0
362,1883426.0,209.0
363,1883457.0,209.0
364,1883488.0,210.0
365,1883519.0,212.0
366,1883550.0,212.0
367,1883581.0,211.0
368,1883612.0,217.0
369,1883643.0,218.0
370,1883674.0,218.0
371,1883705.0,215.0
372,1883736.0,218.0
373,1883767.0,217.0
374,1883798.0,218.0
375,1883829.0,219.0
376,1883860.0,221.0
377,1883891.0,220.0
378,1883922.0,224.0
379,1883953.0,224.0
380,1883984.0,224.0
381,1884019.0,223.0
382,1884050.0,225.0
383,1884080.0,224.0
384,1884111.0,224.0
385,1884146.0,230.0
386,1884177.0,226.0
387,1884208.0,226.0
388,1884239.0,226.0
389,1884270.0,228.0
390,1884301.0,228.0
391,1884332.0,233.0
392,1884363.0,235.0
393,1884394.0,234.0
394,1884425.0,233.0
395,1884456.0,233.0
396,1884487.0,236.0
397,1884518.0,235.0
398,1884549.0,235.0
399,1884580.0,235.0
400,1884611.0,238.0
401,1884642.0,237.0
402,1884673.0,240.0
403,1884704.0,240.0
404,1884735.0,240.0
405,1884766.0,240.0
406,1884797.0,240.0
407,1884828.0,240.0
408,1884859.0,241.0
409,1884890.0,240.0
410,1884921.0,241.0
411,1884951.0,241.0
412,1884983.0,245.0
413,1885015.0,243.0
414,1885046.0,241.0
415,1885077.0,243.0
416,1885108.0,245.0
417,1885143.0,245.0
418,1885174.0,245.0
419,1885205.0,246.0
420,1885236.0,247.0
421,1885267.0,247.0
422,1885298.0,249.0
423,1885329.0,247.0
424,1885359.0,251.0
425,1885390.0,250.0
426,1885421.0,250.0
427,1885452.0,256.0
428,1885483.0,256.0
429,1885514.0,254.0
430,1885545.0,255.0
431,1885576.0,255.0
432,1885607.0,255.0
433,1885638.0,255.0
434,1885669.0,257.0
435,1885700.0,257.0
436,1885731.0,257.0
437,1885762.0,257.0
438,1885792.0,260.0
439,1885824.0,262.0
440,1885855.0,257.0
441,1885885.0,260.0
442,1885916.0,262.0
443,1885947.0,262.0
444,1885978.0,263.0
445,1886010.0,265.0
446,1886041.0,265.0
447,1886072.0,268.0
448,1886103.0,269.0
449,1886138.0,268.0
450,1886169.0,269.0
451,1886200.0,267.0
452,1886231.0,269.0
453,1886262.0,272.0
454,1886293.0,272.0
455,1886324.0,272.0
456,1886355.0,272.0
457,1886386.0,272.0
458,1886417.0,271.0
459,1886448.0,272.0
460,1886479.0,272.0
461,1886510.0,272.0
462,1886541.0,272.0
463,1886572.0,273.0
464,1886603.0,277.0
465,1886634.0,274.0
466,1886665.0,274.0
467,1886696.0,274.0
468,1886728.0,275.0
469,1886758.0,275.0
470,1886790.0,277.0
471,1886821.0,277.0
472,1886852.0,279.0
473,1886883.0,283.0
474,1886914.0,284.0
475,1886945.0,279.0
476,1886976.0,282.0
477,1887007.0,282.0
478,1887038.0,282.0
479,1887069.0,283.0
480,1887100.0,282.0
481,1887136.0,283.0
482,1887167.0,285.0
483,1887198.0,285.0
484,1887228.0,285.0
485,1887260.0,286.0
486,1887291.0,287.0
487,1887322.0,288.0
488,1887353.0,291.0
489,1887384.0,290.0
490,1887415.0,289.0
491,1887446.0,290.0
492,1887477.0,289.0
493,1887508.0,290.0
494,1887539.0,291.0
495,1887570.0,291.0
496,1887601.0,292.0
497,1887632.0,292.0
498,1887663.0,299.0
499,1887694.0,298.0
500,1887725.0,294.0
501,1887756.0,295.0
502,1887787.0,296.0
503,1887818.0,294.0
504,1887849.0,295.0
505,1887880.0,298.0
506,1887911.0,299.0
507,1887941.0,298.0
508,1887973.0,302.0
509,1888004.0,301.0
510,1888035.0,301.0
511,1888066.0,303.0
512,1888097.0,301.0
513,1888132.0,301.0
514,1888163.0,304.0
515,1888194.0,303.0
516,1888225.0,304.0
517,1888256.0,304.0
518,1888287.0,304.0
519,1888318.0,304.0
520,1888349.0,304.0
521,1888380.0,305.0
522,1888411.0,304.0
523,1888442.0,306.0
524,1888473.0,310.0
525,1888504.0,310.0
526,1888535.0,306.0
527,1888565.0,309.0
528,1888597.0,308.0
529,1888627.0,310.0
530,1888658.0,310.0
531,1888689.0,310.0
532,1888720.0,311.0
533,1888751.0,311.0
534,1888782.0,315.0
535,1888813.0,318.0
536,1888844.0,314.0
537,1888875.0,315.0
538,1888906.0,315.0
539,1888937.0,316.0
540,1888968.0,315.0
541,1889000.0,315.0
542,1889031.0,316.0
543,1889062.0,320.0
