,t,v
0,1870930.0,0.0
1,1871038.0,0.0
2,1871075.0,0.0
3,1871111.0,0.0
4,1871151.0,0.0
5,1871188.0,0.0
6,1871224.0,0.0
7,1871260.0,0.0
8,1871296.0,0.0
9,1871333.0,0.0
10,1871369.0,0.0
11,1871405.0,0.0
12,1871441.0,0.0
13,1871478.0,0.0
14,1871514.0,0.0
15,1871550.0,1.0
16,1871586.0,7.0
17,1871623.0,12.0
18,1871659.0,15.0
19,1871695.0,20.0
20,1871732.0,26.0
21,1871768.0,32.0
22,1871804.0,35.0
23,1871841.0,42.0
24,1871877.0,47.0
25,1871913.0,51.0
26,1871950.0,56.0
27,1871986.0,59.0
28,1872023.0,64.0
29,1872059.0,70.0
30,1872096.0,74.0
31,1872132.0,80.0
32,1872172.0,85.0
33,1872208.0,89.0
34,1872245.0,94.0
35,1872281.0,98.0
36,1872317.0,101.0
37,1872353.0,105.0
38,1872390.0,110.0
39,1872426.0,110.0
40,1872462.0,117.0
41,1872498.0,121.0
42,1872535.0,126.0
43,1872571.0,129.0
44,1872607.0,130.0
45,1872644.0,133.0
46,1872680.0,137.0
47,1872716.0,139.0
48,1872752.0,144.0
49,1872789.0,148.0
50,1872825.0,149.0
51,1872861.0,152.0
52,1872898.0,155.0
53,1872934.0,160.0
54,1872970.0,162.0
55,1873008.0,165.0
56,1873045.0,166.0
57,1873081.0,171.0
58,1873118.0,174.0
59,1873158.0,176.0
60,1873195.0,176.0
61,1873231.0,180.0
62,1873267.0,183.0
63,1873304.0,184.0
64,1873340.0,188.0
65,1873377.0,189.0
66,1873413.0,191.0
67,1873449.0,196.0
68,1873486.0,195.0
69,1873522.0,199.0
70,1873559.0,201.0
71,1873595.0,201.0
72,1873631.0,207.0
73,1873667.0,209.0
74,1873704.0,207.0
75,1873740.0,212.0
76,1873776.0,212.0
77,1873812.0,215.0
78,1873849.0,216.0
79,1873885.0,218.0
80,1873921.0,222.0
81,1873958.0,223.0
82,1873994.0,223.0
83,1874031.0,226.0
84,1874067.0,225.0
85,1874103.0,226.0
86,1874140.0,228.0
87,1874181.0,233.0
88,1874217.0,234.0
89,1874253.0,234.0
90,1874290.0,238.0
91,1874326.0,234.0
92,1874362.0,238.0
93,1874398.0,242.0
94,1874435.0,240.0
95,1874471.0,245.0
96,1874507.0,243.0
97,1874543.0,245.0
98,1874580.0,247.0
99,1874616.0,246.0
100,1874652.0,247.0
101,1874689.0,251.0
102,1874725.0,251.0
103,1874761.0,253.0
104,1874797.0,255.0
105,1874834.0,253.0
106,1874870.0,258.0
107,1874907.0,256.0
108,1874943.0,256.0
109,1874979.0,262.0
110,1875017.0,260.0
111,1875053.0,262.0
112,1875089.0,264.0
113,1875126.0,263.0
114,1875166.0,264.0
115,1875202.0,266.0
116,1875238.0,269.0
117,1875275.0,267.0
118,1875311.0,269.0
119,1875347.0,270.0
120,1875384.0,270.0
121,1875420.0,272.0
122,1875456.0,270.0
123,1875492.0,270.0
124,1875529.0,273.0
125,1875565.0,273.0
126,1875601.0,273.0
127,1875637.0,277.0
128,1875674.0,275.0
129,1875710.0,277.0
130,1875747.0,276.0
131,1875783.0,277.0
132,1875819.0,281.0
133,1875856.0,280.0
134,1875892.0,281.0
135,1875928.0,281.0
136,1875965.0,281.0
137,1876002.0,281.0
138,1876039.0,284.0
139,1876075.0,282.0
140,1876112.0,284.0
141,1876152.0,283.0
142,1876188.0,287.0
143,1876225.0,284.0
144,1876261.0,286.0
145,1876297.0,289.0
146,1876333.0,286.0
147,1876370.0,289.0
148,1876406.0,289.0
149,1876443.0,291.0
150,1876479.0,292.0
151,1876515.0,289.0
152,1876551.0,291.0
153,1876588.0,293.0
154,1876624.0,292.0
155,1876660.0,293.0
156,1876696.0,293.0
157,1876733.0,293.0
158,1876769.0,295.0
159,1876806.0,293.0
160,1876842.0,293.0
161,1876878.0,295.0
162,1876915.0,293.0
163,1876951.0,294.0
164,1876987.0,295.0
165,1877024.0,294.0
166,1877060.0,297.0
167,1877096.0,295.0
168,1877133.0,295.0
169,1877173.0,297.0
170,1877209.0,300.0
171,1877246.0,297.0
172,1877282.0,298.0
173,1877318.0,301.0
174,1877354.0,300.0
175,1877391.0,298.0
176,1877427.0,301.0
177,1877464.0,300.0
178,1877500.0,301.0
179,1877537.0,301.0
180,1877573.0,301.0
181,1877609.0,304.0
182,1877645.0,303.0
183,1877682.0,303.0
184,1877718.0,305.0
185,1877755.0,303.0
186,1877791.0,304.0
187,1877827.0,305.0
188,1877863.0,304.0
189,1877900.0,304.0
190,1877936.0,304.0
191,1877972.0,305.0
192,1878013.0,306.0
193,1878049.0,305.0
194,1878085.0,305.0
195,1878122.0,305.0
196,1878162.0,306.0
197,1878198.0,309.0
198,1878235.0,306.0
199,1878271.0,307.0
200,1878307.0,309.0
201,1878344.0,308.0
202,1878380.0,307.0
203,1878417.0,307.0
204,1878453.0,308.0
205,1878489.0,308.0
206,1878525.0,309.0
207,1878562.0,309.0
208,1878598.0,311.0
209,1878634.0,309.0
210,1878670.0,308.0
211,1878707.0,312.0
212,1878743.0,310.0
213,1878780.0,309.0
214,1878816.0,309.0
215,1878852.0,311.0
216,1878888.0,313.0
217,1878925.0,311.0
218,1878961.0,311.0
219,1878998.0,313.0
220,1879039.0,312.0
221,1879075.0,311.0
222,1879112.0,312.0
223,1879152.0,312.0
224,1879188.0,314.0
225,1879224.0,312.0
226,1879260.0,313.0
227,1879297.0,312.0
228,1879333.0,312.0
229,1879369.0,313.0
230,1879406.0,314.0
231,1879442.0,314.0
232,1879478.0,315.0
233,1879514.0,313.0
234,1879550.0,313.0
235,1879587.0,313.0
236,1879623.0,314.0
237,1879659.0,314.0
238,1879696.0,314.0
239,1879732.0,313.0
240,1879768.0,316.0
241,1879805.0,314.0
242,1879841.0,314.0
243,1879877.0,316.0
244,1879913.0,315.0
245,1879950.0,315.0
246,1879986.0,313.0
247,1880023.0,316.0
248,1880059.0,316.0
249,1880096.0,315.0
250,1880132.0,315.0
251,1880173.0,315.0
252,1880209.0,316.0
253,1880245.0,316.0
254,1880282.0,316.0
255,1880318.0,316.0
256,1880354.0,315.0
257,1880391.0,316.0
258,1880427.0,316.0
259,1880463.0,316.0
260,1880499.0,316.0
261,1880536.0,315.0
262,1880572.0,315.0
263,1880608.0,316.0
264,1880644.0,316.0
265,1880680.0,316.0
266,1880717.0,316.0
267,1880754.0,316.0
268,1880790.0,316.0
269,1880826.0,316.0
270,1880862.0,316.0
271,1880898.0,317.0
272,1880935.0,316.0
273,1880971.0,316.0
274,1881012.0,316.0
275,1881049.0,319.0
276,1881085.0,316.0
277,1881121.0,316.0
278,1881161.0,316.0
279,1881198.0,317.0
280,1881234.0,316.0
281,1881270.0,316.0
282,1881307.0,316.0
283,1881343.0,316.0
284,1881379.0,316.0
285,1881416.0,316.0
286,1881452.0,316.0
287,1881488.0,318.0
288,1881524.0,316.0
289,1881561.0,316.0
290,1881597.0,316.0
291,1881633.0,317.0
292,1881670.0,317.0
293,1881706.0,317.0
294,1881742.0,316.0
295,1881779.0,316.0
296,1881815.0,316.0
297,1881851.0,317.0
298,1881888.0,320.0
299,1881924.0,316.0
300,1881961.0,318.0
301,1881997.0,320.0
302,1882035.0,318.0
303,1882071.0,317.0
304,1882107.0,316.0
305,1882147.0,320.0
306,1882184.0,317.0
307,1882220.0,317.0
308,1882256.0,317.0
309,1882292.0,318.0
310,1882329.0,323.0
311,1882365.0,318.0
312,1882401.0,317.0
313,1882437.0,319.0
314,1882473.0,317.0
315,1882510.0,318.0
316,1882546.0,318.0
317,1882582.0,318.0
318,1882619.0,318.0
319,1882655.0,317.0
320,1882691.0,318.0
321,1882728.0,320.0
322,1882764.0,318.0
323,1882800.0,319.0
324,1882836.0,319.0
325,1882873.0,317.0
326,1882909.0,319.0
327,1882945.0,319.0
328,1882981.0,319.0
329,1883019.0,318.0
330,1883056.0,318.0
331,1883092.0,319.0
332,1883128.0,322.0
333,1883169.0,320.0
334,1883205.0,319.0
335,1883242.0,319.0
336,1883278.0,322.0
337,1883314.0,319.0
338,1883350.0,320.0
339,1883386.0,317.0
340,1883422.0,319.0
341,1883459.0,319.0
342,1883495.0,318.0
343,1883531.0,319.0
344,1883568.0,322.0
345,1883604.0,319.0
346,1883641.0,321.0
347,1883677.0,320.0
348,1883714.0,319.0
349,1883750.0,319.0
350,1883787.0,319.0
351,1883823.0,319.0
352,1883859.0,319.0
353,1883895.0,320.0
354,1883932.0,320.0
355,1883968.0,320.0
356,1884006.0,319.0
357,1884043.0,320.0
358,1884079.0,320.0
359,1884115.0,319.0
360,1884156.0,319.0
361,1884192.0,319.0
362,1884229.0,319.0
363,1884265.0,319.0
364,1884301.0,320.0
365,1884338.0,322.0
366,1884374.0,319.0
367,1884410.0,319.0
368,1884447.0,319.0
369,1884483.0,320.0
370,1884519.0,319.0
371,1884555.0,319.0
372,1884591.0,321.0
373,1884628.0,323.0
374,1884664.0,321.0
375,1884701.0,320.0
376,1884737.0,319.0
377,1884773.0,320.0
378,1884810.0,320.0
379,1884846.0,319.0
380,1884882.0,322.0
381,1884918.0,321.0
382,1884955.0,320.0
383,1884991.0,321.0
384,1885027.0,324.0
385,1885064.0,319.0
386,1885100.0,321.0
387,1885137.0,319.0
388,1885177.0,320.0
389,1885213.0,320.0
390,1885250.0,322.0
391,1885286.0,319.0
392,1885322.0,321.0
393,1885359.0,321.0
394,1885395.0,320.0
395,1885431.0,319.0
396,1885468.0,322.0
397,1885504.0,319.0
398,1885540.0,319.0
399,1885577.0,320.0
400,1885613.0,320.0
401,1885649.0,320.0
402,1885685.0,322.0
403,1885721.0,321.0
404,1885758.0,322.0
405,1885794.0,320.0
406,1885830.0,320.0
407,1885867.0,320.0
408,1885903.0,322.0
409,1885939.0,320.0
410,1885976.0,320.0
411,1886014.0,322.0
412,1886051.0,321.0
413,1886087.0,320.0
414,1886123.0,321.0
415,1886163.0,320.0
416,1886200.0,321.0
417,1886236.0,320.0
418,1886272.0,322.0
419,1886309.0,325.0
420,1886345.0,321.0
421,1886381.0,321.0
422,1886418.0,325.0
423,1886454.0,321.0
424,1886490.0,321.0
425,1886527.0,320.0
426,1886563.0,321.0
427,1886599.0,321.0
428,1886635.0,321.0
429,1886672.0,321.0
430,1886708.0,323.0
431,1886744.0,319.0
432,1886780.0,322.0
433,1886817.0,321.0
434,1886853.0,320.0
435,1886889.0,322.0
436,1886926.0,320.0
437,1886963.0,322.0
438,1886999.0,319.0
439,1887039.0,322.0
440,1887075.0,321.0
441,1887111.0,321.0
442,1887152.0,321.0
443,1887188.0,324.0
444,1887225.0,321.0
445,1887261.0,322.0
446,1887297.0,321.0
447,1887333.0,321.0
448,1887369.0,320.0
449,1887406.0,321.0
450,1887442.0,321.0
451,1887479.0,322.0
452,1887515.0,322.0
453,1887551.0,321.0
454,1887588.0,322.0
455,1887624.0,321.0
456,1887660.0,321.0
457,1887697.0,320.0
458,1887733.0,321.0
459,1887769.0,322.0
460,1887805.0,320.0
461,1887842.0,321.0
462,1887878.0,324.0
463,1887915.0,320.0
464,1887951.0,320.0
465,1887987.0,325.0
466,1888024.0,321.0
467,1888060.0,322.0
468,1888096.0,320.0
469,1888133.0,321.0
470,1888173.0,321.0
471,1888210.0,322.0
472,1888247.0,319.0
473,1888283.0,319.0
474,1888319.0,321.0
475,1888355.0,322.0
476,1888392.0,321.0
477,1888428.0,323.0
478,1888465.0,321.0
479,1888501.0,321.0
480,1888538.0,324.0
481,1888574.0,321.0
482,1888610.0,322.0
483,1888647.0,321.0
484,1888683.0,321.0
485,1888719.0,321.0
486,1888756.0,321.0
487,1888792.0,321.0
488,1888829.0,321.0
489,1888866.0,320.0
490,1888902.0,321.0
491,1888938.0,324.0
492,1888975.0,320.0
493,1889014.0,321.0
494,1889051.0,322.0
495,1889088.0,324.0
496,1889124.0,321.0
497,1889164.0,322.0
498,1889201.0,320.0
499,1889237.0,321.0
500,1889273.0,321.0
501,1889310.0,322.0
502,1889346.0,321.0
503,1889382.0,321.0
504,1889419.0,322.0
505,1889455.0,320.0
506,1889491.0,322.0
507,1889528.0,323.0
508,1889564.0,321.0
509,1889600.0,320.0
510,1889636.0,319.0
511,1889673.0,322.0
512,1889709.0,322.0
513,1889745.0,321.0
514,1889782.0,321.0
515,1889818.0,323.0
516,1889855.0,321.0
517,1889891.0,321.0
518,1889927.0,324.0
519,1889964.0,319.0
520,1890000.0,321.0
521,1890039.0,322.0
522,1890075.0,321.0
523,1890112.0,321.0
524,1890152.0,321.0
