,t,v
0,1873272.0,0.0
1,1873374.0,0.0
2,1873411.0,0.0
3,1873448.0,0.0
4,1873484.0,0.0
5,1873520.0,0.0
6,1873557.0,0.0
7,1873593.0,0.0
8,1873629.0,0.0
9,1873666.0,0.0
10,1873702.0,0.0
11,1873738.0,0.0
12,1873775.0,0.0
13,1873811.0,0.0
14,1873847.0,0.0
15,1873883.0,0.0
16,1873920.0,0.0
17,1873956.0,0.0
18,1873992.0,0.0
19,1874029.0,0.0
20,1874065.0,0.0
21,1874101.0,0.0
22,1874138.0,0.0
23,1874178.0,0.0
24,1874214.0,0.0
25,1874251.0,0.0
26,1874287.0,0.0
27,1874324.0,0.0
28,1874360.0,0.0
29,1874396.0,0.0
30,1874432.0,0.0
31,1874469.0,0.0
32,1874505.0,0.0
33,1874541.0,0.0
34,1874578.0,0.0
35,1874614.0,0.0
36,1874650.0,0.0
37,1874686.0,0.0
38,1874723.0,0.0
39,1874759.0,0.0
40,1874795.0,0.0
41,1874832.0,0.0
42,1874868.0,0.0
43,1874904.0,0.0
44,1874941.0,0.0
45,1874977.0,1.0
46,1875016.0,4.0
47,1875053.0,2.0
48,1875089.0,7.0
49,1875126.0,10.0
50,1875166.0,12.0
51,1875203.0,12.0
52,1875239.0,12.0
53,1875276.0,14.0
54,1875312.0,16.0
55,1875348.0,20.0
56,1875385.0,20.0
57,1875421.0,21.0
58,1875458.0,26.0
59,1875495.0,25.0
60,1875531.0,29.0
61,1875568.0,31.0
62,1875604.0,29.0
63,1875641.0,32.0
64,1875677.0,35.0
65,1875713.0,35.0
66,1875750.0,35.0
67,1875786.0,40.0
68,1875823.0,39.0
69,1875859.0,40.0
70,1875896.0,46.0
71,1875932.0,44.0
72,1875969.0,48.0
73,1876006.0,49.0
74,1876043.0,48.0
75,1876079.0,50.0
76,1876116.0,54.0
77,1876157.0,56.0
78,1876193.0,56.0
79,1876230.0,57.0
80,1876266.0,59.0
81,1876303.0,59.0
82,1876339.0,59.0
83,1876376.0,63.0
84,1876412.0,63.0
85,1876449.0,67.0
86,1876486.0,69.0
87,1876522.0,69.0
88,1876559.0,71.0
89,1876595.0,71.0
90,1876632.0,73.0
91,1876668.0,75.0
92,1876705.0,78.0
93,1876741.0,78.0
94,1876778.0,81.0
95,1876815.0,80.0
96,1876851.0,82.0
97,1876888.0,83.0
98,1876924.0,83.0
99,1876960.0,85.0
100,1876997.0,87.0
101,1877034.0,86.0
102,1877070.0,90.0
103,1877107.0,92.0
104,1877143.0,94.0
105,1877184.0,94.0
106,1877220.0,95.0
107,1877257.0,97.0
108,1877293.0,96.0
109,1877330.0,99.0
110,1877366.0,100.0
111,1877403.0,101.0
112,1877439.0,103.0
113,1877476.0,105.0
114,1877512.0,105.0
115,1877548.0,106.0
116,1877585.0,105.0
117,1877621.0,107.0
118,1877658.0,110.0
119,1877694.0,109.0
120,1877730.0,110.0
121,1877767.0,116.0
122,1877803.0,114.0
123,1877840.0,116.0
124,1877876.0,119.0
125,1877913.0,117.0
126,1877949.0,119.0
127,1877986.0,122.0
128,1878023.0,122.0
129,1878059.0,125.0
130,1878096.0,127.0
131,1878132.0,127.0
132,1878173.0,127.0
133,1878209.0,129.0
134,1878245.0,129.0
135,1878282.0,129.0
136,1878318.0,131.0
137,1878355.0,130.0
138,1878391.0,133.0
139,1878427.0,136.0
140,1878464.0,134.0
141,1878500.0,136.0
142,1878537.0,139.0
143,1878573.0,139.0
144,1878610.0,141.0
145,1878646.0,143.0
146,1878683.0,141.0
147,1878719.0,143.0
148,1878756.0,145.0
149,1878792.0,145.0
150,1878828.0,149.0
151,1878865.0,146.0
152,1878901.0,149.0
153,1878938.0,152.0
154,1878974.0,151.0
155,1879015.0,150.0
156,1879051.0,152.0
157,1879088.0,154.0
158,1879124.0,154.0
159,1879165.0,154.0
160,1879201.0,155.0
161,1879238.0,160.0
162,1879274.0,158.0
163,1879311.0,160.0
164,1879347.0,163.0
165,1879384.0,162.0
166,1879420.0,163.0
167,1879457.0,166.0
168,1879493.0,163.0
169,1879530.0,166.0
170,1879566.0,168.0
171,1879603.0,166.0
172,1879639.0,169.0
173,1879675.0,169.0
174,1879712.0,171.0
175,1879748.0,174.0
176,1879785.0,172.0
177,1879821.0,173.0
178,1879858.0,176.0
179,1879894.0,176.0
180,1879930.0,176.0
181,1879967.0,177.0
182,1880004.0,176.0
183,1880041.0,176.0
184,1880077.0,180.0
185,1880114.0,178.0
186,1880154.0,179.0
187,1880191.0,179.0
188,1880227.0,185.0
189,1880264.0,183.0
190,1880300.0,183.0
191,1880337.0,188.0
192,1880373.0,186.0
193,1880409.0,188.0
194,1880446.0,190.0
195,1880482.0,188.0
196,1880519.0,189.0
197,1880555.0,190.0
198,1880591.0,191.0
199,1880628.0,196.0
200,1880664.0,193.0
201,1880701.0,193.0
202,1880737.0,197.0
203,1880774.0,196.0
204,1880810.0,196.0
205,1880847.0,199.0
206,1880883.0,198.0
207,1880920.0,199.0
208,1880956.0,199.0
209,1880992.0,199.0
210,1881029.0,199.0
211,1881066.0,201.0
212,1881102.0,201.0
213,1881139.0,201.0
214,1881179.0,201.0
215,1881216.0,204.0
216,1881252.0,204.0
217,1881288.0,206.0
218,1881325.0,206.0
219,1881361.0,206.0
220,1881398.0,210.0
221,1881434.0,209.0
222,1881471.0,210.0
223,1881507.0,212.0
224,1881544.0,210.0
225,1881580.0,211.0
226,1881617.0,214.0
227,1881653.0,212.0
228,1881690.0,213.0
229,1881726.0,218.0
230,1881763.0,215.0
231,1881799.0,216.0
232,1881836.0,218.0
233,1881872.0,216.0
234,1881909.0,219.0
235,1881945.0,219.0
236,1881981.0,220.0
237,1882018.0,221.0
238,1882055.0,222.0
239,1882091.0,223.0
240,1882128.0,223.0
241,1882168.0,223.0
242,1882204.0,223.0
243,1882241.0,223.0
244,1882278.0,226.0
245,1882314.0,224.0
246,1882351.0,226.0
247,1882387.0,228.0
248,1882424.0,227.0
249,1882460.0,228.0
250,1882496.0,229.0
251,1882533.0,229.0
252,1882570.0,231.0
253,1882606.0,232.0
254,1882642.0,232.0
255,1882679.0,232.0
256,1882715.0,232.0
257,1882752.0,234.0
258,1882788.0,233.0
259,1882825.0,234.0
260,1882861.0,235.0
261,1882898.0,238.0
262,1882934.0,235.0
263,1882970.0,237.0
264,1883008.0,237.0
265,1883045.0,237.0
266,1883081.0,237.0
267,1883118.0,242.0
268,1883158.0,243.0
269,1883194.0,240.0
270,1883230.0,242.0
271,1883267.0,242.0
272,1883303.0,243.0
273,1883340.0,242.0
274,1883376.0,245.0
275,1883413.0,245.0
276,1883449.0,245.0
277,1883486.0,246.0
278,1883522.0,246.0
279,1883558.0,246.0
280,1883595.0,246.0
281,1883631.0,246.0
282,1883668.0,247.0
283,1883704.0,247.0
284,1883741.0,246.0
285,1883777.0,250.0
