,t,v
0,8,0
1,265,0
2,316,0
3,367,0
4,417,0
5,468,0
6,519,0
7,570,0
8,620,0
9,671,8
10,722,14
11,773,24
12,824,30
13,874,38
14,925,46
15,976,51
16,1027,61
17,1078,67
18,1129,75
19,1180,84
20,1231,90
21,1282,95
22,1333,103
23,1383,111
24,1434,116
25,1485,121
26,1536,129
27,1587,135
28,1638,139
29,1689,143
30,1740,150
31,1791,156
32,1841,162
33,1892,167
34,1943,170
35,1994,175
36,2045,182
37,2096,186
38,2146,190
39,2197,193
40,2248,195
41,2299,200
42,2349,204
43,2400,210
44,2451,215
45,2502,219
46,2552,220
47,2603,224
48,2654,230
49,2705,233
50,2756,232
51,2807,237
52,2857,242
53,2908,244
54,2959,245
55,3009,248
56,3060,253
57,3111,257
58,3162,259
59,3213,263
60,3263,267
61,3314,269
62,3364,268
63,3415,270
64,3466,270
65,3516,274
66,3567,276
67,3618,278
68,3669,282
69,3720,287
70,3770,291
71,3821,291
72,3872,294
73,3923,296
74,3974,295
75,4025,296
76,4075,298
77,4126,300
78,4177,301
79,4227,303
80,4278,307
81,4329,308
82,4380,310
83,4431,311
84,4481,315
85,4532,317
86,4583,316
87,4633,319
88,4684,318
89,4735,320
90,4786,322
91,4837,322
92,4887,323
93,4938,323
94,4989,324
95,5040,330
96,5090,331
97,5141,332
98,5192,333
99,5243,332
100,5294,332
101,5345,334
102,5395,334
103,5446,335
104,5497,338
105,5548,339
106,5598,338
107,5649,339
108,5699,343
109,5750,344
110,5801,347
111,5852,348
112,5903,346
113,5953,346
114,6004,348
115,6055,348
116,6106,348
117,6157,348
118,6208,348
119,6259,350
120,6310,352
121,6361,354
122,6411,355
123,6462,356
124,6513,352
125,6564,352
126,6615,355
127,6666,356
128,6717,356
129,6767,357
130,6818,358
131,6869,357
132,6920,361
133,6970,362
134,7021,361
135,7072,360
136,7123,361
137,7173,361
138,7224,362
139,7275,363
140,7326,361
141,7377,362
142,7428,363
143,7478,364
144,7529,364
145,7580,368
146,7631,370
147,7681,365
148,7732,367
149,7783,369
150,7834,366
151,7885,369
152,7935,368
153,7986,368
154,8037,370
155,8088,369
156,8139,372
157,8190,373
158,8241,373
159,8291,372
160,8342,373
161,8393,372
162,8443,373
163,8494,371
164,8545,373
165,8596,373
166,8647,373
167,8698,373
168,8749,373
169,8800,376
170,8851,374
171,8902,373
172,8952,373
173,9003,373
174,9054,373
175,9105,374
176,9155,373
177,9206,374
178,9257,377
179,9308,374
180,9359,375
181,9410,378
182,9460,379
183,9511,378
184,9562,377
185,9613,377
186,9664,377
187,9715,376
188,9766,377
189,9817,378
190,9867,377
191,9918,378
192,9969,377
193,10020,381
194,10070,382
195,10121,383
196,10172,377
197,10222,379
198,10273,379
199,10324,379
200,10375,379
201,10425,381
202,10476,381
203,10526,381
204,10577,381
205,10628,381
206,10679,381
207,10729,381
208,10780,386
209,10831,384
210,10882,382
211,10933,382
212,10984,381
213,11034,382
214,11085,383
215,11136,381
216,11187,386
217,11238,381
218,11289,383
219,11340,386
220,11390,386
221,11441,386
222,11492,383
223,11543,385
224,11594,385
225,11644,384
226,11695,385
227,11746,383
228,11797,385
229,11847,385
230,11898,386
231,11949,383
232,12000,387
233,12051,386
234,12101,384
235,12152,384
236,12203,386
237,12254,386
238,12305,386
239,12355,385
240,12406,387
241,12457,386
242,12508,386
243,12558,386
244,12609,386
245,12660,388
246,12710,387
247,12761,389
248,12812,386
249,12862,386
250,12913,386
251,12964,386
252,13015,386
253,13066,387
254,13117,386
255,13168,386
256,13218,386
257,13269,386
258,13320,390
259,13370,389
260,13421,389
261,13472,386
262,13523,386
263,13574,387
264,13624,386
265,13675,387
266,13726,387
267,13777,387
268,13828,386
269,13879,388
270,13929,386
271,13980,388
272,14031,391
273,14082,387
274,14133,388
275,14183,387
276,14234,387
277,14285,388
278,14336,388
279,14387,386
280,14438,387
281,14488,387
282,14539,388
283,14590,390
284,14641,386
285,14691,388
286,14742,388
287,14793,386
288,14844,388
289,14895,388
290,14945,389
291,14996,389
292,15046,389
293,15097,387
294,15148,387
295,15198,388
296,15249,389
297,15300,390
298,15351,391
299,15402,389
300,15452,388
301,15503,390
302,15554,388
303,15604,388
304,15655,389
305,15706,387
306,15756,389
307,15807,390
308,15858,387
309,15909,389
310,15960,391
311,16011,390
312,16061,390
313,16113,390
314,16163,389
315,16214,389
316,16265,390
317,16316,388
318,16366,390
319,16417,389
320,16467,389
321,16518,388
322,16569,390
323,16620,394
324,16670,394
325,16721,387
326,16772,390
327,16823,391
328,16874,390
329,16925,390
330,16976,390
331,17027,389
332,17078,388
333,17128,389
334,17179,390
335,17230,392
336,17280,392
337,17331,394
338,17382,390
339,17433,389
340,17484,390
341,17535,390
342,17586,390
343,17636,390
344,17687,392
345,17738,390
346,17789,389
347,17840,392
348,17890,393
349,17941,394
350,17992,390
351,18043,391
352,18094,390
