time,CH1
-0.002756,0.016
-0.002752,0.0
-0.002748,0.012
-0.0027440000000000003,0.008
-0.0027400000000000002,0.012
-0.002736,0.012
-0.002732,0.012
-0.0027280000000000004,0.004
-0.0027240000000000003,0.012
-0.00272,0.016
-0.002716,0.012
-0.002712,0.012
-0.0027080000000000003,0.004
-0.0027040000000000002,0.016
-0.0027,0.004
-0.002696,0.012
-0.0026920000000000004,0.008
-0.0026880000000000003,0.012
-0.002684,0.008
-0.00268,0.016
-0.0026760000000000004,0.012
-0.0026720000000000003,0.012
-0.0026680000000000002,0.012
-0.002664,0.008
-0.00266,0.012
-0.0026560000000000004,0.02
-0.0026520000000000003,0.012
-0.002648,0.012
-0.002644,0.02
-0.00264,0.012
-0.0026360000000000003,0.012
-0.0026320000000000002,0.008
-0.002628,0.012
-0.002624,0.012
-0.0026200000000000004,0.016
-0.0026160000000000003,0.016
-0.002612,0.012
-0.002608,0.008
-0.0026040000000000004,0.008
-0.0026000000000000003,0.012
-0.0025960000000000002,0.012
-0.002592,0.012
-0.002588,0.012
-0.0025840000000000004,0.008
-0.0025800000000000003,0.012
-0.002576,0.012
-0.002572,0.012
-0.0025680000000000004,0.02
-0.0025640000000000003,0.016
-0.00256,0.008
-0.002556,0.012
-0.002552,0.016
-0.0025480000000000004,0.012
-0.0025440000000000003,0.012
-0.00254,0.016
-0.002536,0.008
-0.0025320000000000004,0.012
-0.0025280000000000003,0.012
-0.002524,0.012
-0.00252,0.012
-0.002516,0.016
-0.0025120000000000003,0.012
-0.0025080000000000002,0.016
-0.002504,0.012
-0.0025,0.012
-0.0024960000000000004,0.012
-0.0024920000000000003,0.008
-0.002488,0.012
-0.002484,0.008
-0.0024800000000000004,0.012
-0.0024760000000000003,0.012
-0.0024720000000000002,0.012
-0.002468,0.012
-0.002464,0.012
-0.0024600000000000004,0.012
-0.0024560000000000003,0.02
-0.002452,0.012
-0.002448,0.012
-0.002444,0.012
-0.0024400000000000003,0.016
-0.0024360000000000002,0.012
-0.002432,0.008
-0.002428,0.012
-0.0024240000000000004,0.016
-0.0024200000000000003,0.012
-0.002416,0.008
-0.002412,0.012
-0.0024080000000000004,0.012
-0.0024040000000000003,0.012
-0.0024000000000000002,0.016
-0.002396,0.02
-0.002392,0.012
-0.0023880000000000004,0.016
-0.0023840000000000003,0.008
-0.00238,0.012
-0.002376,0.012
-0.002372,0.012
-0.0023680000000000003,0.008
-0.002364,0.016
-0.00236,0.012
-0.0023560000000000005,0.008
-0.0023520000000000004,0.004
-0.0023480000000000003,0.012
-0.002344,0.012
-0.00234,0.012
-0.0023360000000000004,0.012
-0.0023320000000000003,0.016
-0.002328,0.012
-0.002324,0.004
-0.00232,0.012
-0.0023160000000000004,0.012
-0.0023120000000000003,0.012
-0.002308,0.012
-0.002304,0.012
-0.0023000000000000004,0.012
-0.0022960000000000003,0.008
-0.002292,0.012
-0.002288,0.008
-0.0022840000000000004,0.016
-0.0022800000000000003,0.004
-0.0022760000000000002,0.016
-0.002272,0.012
-0.002268,0.004
-0.0022640000000000004,0.012
-0.0022600000000000003,0.012
-0.002256,0.012
-0.002252,0.004
-0.002248,0.012
-0.0022440000000000003,0.012
-0.0022400000000000002,0.008
-0.002236,0.04
-0.0022320000000000005,0.008
-0.0022280000000000004,0.008
-0.0022240000000000003,0.016
-0.00222,0.012
-0.002216,0.012
-0.0022120000000000004,0.008
-0.0022080000000000003,0.012
-0.0022040000000000002,0.016
-0.0022,0.012
-0.002196,0.012
-0.0021920000000000004,0.02
-0.0021880000000000003,0.012
-0.002184,0.012
-0.00218,0.012
-0.002176,0.012
-0.0021720000000000003,0.012
-0.0021680000000000002,0.012
-0.002164,0.012
-0.0021600000000000005,0.012
-0.0021560000000000004,0.012
-0.0021520000000000003,0.008
-0.002148,0.012
-0.002144,0.012
-0.0021400000000000004,0.012
-0.0021360000000000003,0.008
-0.002132,0.016
-0.002128,0.02
-0.002124,0.012
-0.0021200000000000004,0.012
-0.0021160000000000003,0.024
-0.002112,0.012
-0.0021080000000000005,0.012
-0.002104,0.012
-0.0021000000000000003,0.012
-0.002096,0.012
-0.002092,0.012
-0.0020880000000000004,0.012
-0.0020840000000000003,0.012
-0.0020800000000000003,0.016
-0.002076,0.0
-0.002072,0.012
-0.0020680000000000004,0.012
-0.0020640000000000003,0.016
-0.00206,0.016
-0.002056,0.008
-0.002052,0.02
-0.0020480000000000003,0.012
-0.0020440000000000002,0.016
-0.00204,0.008
-0.0020360000000000005,0.016
-0.0020320000000000004,0.012
-0.0020280000000000003,0.012
-0.002024,0.012
-0.00202,0.008
-0.0020160000000000004,0.004
-0.0020120000000000003,0.016
-0.0020080000000000002,0.016
-0.002004,0.012
-0.002,0.012
-0.0019960000000000004,0.012
-0.0019920000000000003,0.024
-0.001988,0.012
-0.001984,0.02
-0.00198,0.016
-0.0019760000000000003,0.016
-0.0019720000000000002,0.008
-0.001968,0.012
-0.0019640000000000005,0.008
-0.0019600000000000004,0.016
-0.0019560000000000003,0.008
-0.0019520000000000002,0.012
-0.001948,0.016
-0.0019440000000000002,0.012
-0.0019400000000000003,0.016
-0.0019360000000000002,0.008
-0.0019320000000000001,0.012
-0.0019280000000000002,0.012
-0.0019240000000000004,0.016
-0.0019200000000000003,0.012
-0.0019160000000000002,0.008
-0.0019120000000000003,0.012
-0.0019080000000000002,0.012
-0.0019040000000000003,0.012
-0.0019000000000000002,0.012
-0.0018960000000000001,0.012
-0.0018920000000000002,0.016
-0.0018880000000000004,0.008
-0.0018840000000000003,0.008
-0.0018800000000000002,0.008
-0.0018760000000000003,0.0
-0.0018720000000000004,0.012
-0.0018680000000000003,0.016
-0.0018640000000000002,0.012
-0.00186,0.012
-0.0018560000000000002,0.008
-0.0018520000000000003,0.016
-0.0018480000000000003,0.016
-0.0018440000000000002,0.008
-0.0018400000000000003,0.016
-0.0018360000000000004,0.016
-0.0018320000000000003,0.012
-0.0018280000000000002,0.012
-0.001824,0.012
-0.0018200000000000002,0.012
-0.0018160000000000003,0.02
-0.0018120000000000002,0.016
-0.0018080000000000001,0.016
-0.0018040000000000003,0.012
-0.0018000000000000004,0.008
-0.0017960000000000003,0.012
-0.0017920000000000002,0.016
-0.001788,0.012
-0.0017840000000000002,0.012
-0.0017800000000000003,0.012
-0.0017760000000000002,0.012
-0.0017720000000000004,0.012
-0.0017680000000000003,0.008
-0.0017640000000000002,0.008
-0.0017600000000000003,0.02
-0.0017560000000000002,0.012
-0.0017520000000000003,0.012
-0.0017480000000000002,0.016
-0.0017440000000000003,0.016
-0.0017400000000000002,0.012
-0.0017360000000000003,0.012
-0.0017320000000000002,0.016
-0.0017280000000000002,0.02
-0.0017240000000000003,0.016
-0.0017200000000000002,0.012
-0.0017160000000000003,0.016
-0.0017120000000000002,0.012
-0.0017080000000000003,0.012
-0.0017040000000000002,0.004
-0.0017000000000000003,0.008
-0.0016960000000000002,0.012
-0.0016920000000000001,0.012
-0.0016880000000000003,0.016
-0.0016840000000000002,0.016
-0.0016800000000000003,0.016
-0.0016760000000000002,0.012
-0.0016720000000000003,0.02
-0.0016680000000000002,0.012
-0.0016640000000000003,0.012
-0.0016600000000000002,0.012
-0.0016560000000000004,0.012
-0.0016520000000000003,0.012
-0.0016480000000000002,0.008
-0.0016440000000000003,0.024
-0.0016400000000000002,0.012
-0.0016360000000000003,0.012
-0.0016320000000000002,0.008
-0.0016280000000000003,0.012
-0.0016240000000000002,0.008
-0.0016200000000000003,0.012
-0.0016160000000000002,0.012
-0.0016120000000000002,0.012
-0.0016080000000000003,0.012
-0.0016040000000000002,0.016
-0.0016000000000000003,0.012
-0.0015960000000000002,0.016
-0.0015920000000000003,0.012
-0.0015880000000000002,0.012
-0.0015840000000000003,0.016
-0.0015800000000000002,0.016
-0.0015760000000000004,0.004
-0.0015720000000000003,0.024
-0.0015680000000000002,0.012
-0.0015640000000000003,0.02
-0.0015600000000000002,0.012
-0.0015560000000000003,0.016
-0.0015520000000000002,0.012
-0.0015480000000000003,0.016
-0.0015440000000000002,0.012
-0.0015400000000000004,0.012
-0.0015360000000000003,0.004
-0.0015320000000000002,0.004
-0.0015280000000000003,0.008
-0.0015240000000000002,0.016
-0.0015200000000000003,0.012
-0.0015160000000000002,0.008
-0.0015120000000000003,0.012
-0.0015080000000000002,0.004
-0.0015040000000000003,0.012
-0.0015000000000000002,0.012
-0.0014960000000000004,0.012
-0.0014920000000000003,0.012
-0.0014880000000000002,0.012
-0.0014840000000000003,0.012
-0.0014800000000000002,0.012
-0.0014760000000000003,0.012
-0.0014720000000000002,0.012
-0.0014680000000000003,0.012
-0.0014640000000000002,0.004
-0.0014600000000000004,0.016
-0.0014560000000000003,0.012
-0.0014520000000000002,0.012
-0.0014480000000000003,0.008
-0.0014440000000000002,0.016
-0.0014400000000000003,0.012
-0.0014360000000000002,0.016
-0.0014320000000000003,0.012
-0.0014280000000000002,0.012
-0.0014240000000000004,0.012
-0.0014200000000000003,0.008
-0.0014160000000000002,0.02
-0.0014120000000000003,0.008
-0.0014080000000000002,0.012
-0.0014040000000000003,0.012
-0.0014000000000000002,0.016
-0.0013960000000000003,0.016
-0.0013920000000000002,0.012
-0.0013880000000000003,0.012
-0.0013840000000000002,0.016
-0.0013800000000000004,0.012
-0.0013760000000000003,0.012
-0.0013720000000000002,0.016
-0.0013680000000000003,0.012
-0.0013640000000000002,0.016
-0.0013600000000000003,0.004
-0.0013560000000000002,0.012
-0.0013520000000000003,0.012
-0.0013480000000000002,0.008
-0.0013440000000000004,0.012
-0.0013400000000000003,0.012
-0.0013360000000000002,0.016
-0.0013320000000000003,0.012
-0.0013280000000000002,0.02
-0.0013240000000000003,0.016
-0.0013200000000000002,0.012
