CH1,CH2,CH3,time,Ts
2.9996875000000003,-0.3603125,-0.24,0.0,2e-09
3.020625,-0.40046875,-0.24,2e-09,
3.1,-0.4003125,-0.22,4e-09,
3.04,-0.4196875,-0.2003125,6.000000000000001e-09,
3.03984375,-0.36015625,-0.16015625,8e-09,
3.02,-0.38015625000000003,-0.17984375,1e-08,
3.04015625,-0.380625,-0.16046875,1.2000000000000002e-08,
3.06,-0.4409375,-0.15984375,1.4000000000000001e-08,
3.06,-0.43875000000000003,-0.22,1.6e-08,
3.06,-0.37953125,-0.18015625,1.8000000000000002e-08,
3.04,-0.4215625,-0.24,2e-08,
3.05984375,-0.44,-0.16171875,2.2000000000000002e-08,
3.07984375,-0.37984375,-0.18,2.4000000000000003e-08,
3.1,-0.42015625,-0.17984375,2.6e-08,
3.059375,-0.42,-0.22062500000000002,2.8000000000000003e-08,
3.0203125,-0.4196875,-0.21953125,3.0000000000000004e-08,
3.07984375,-0.400625,-0.2,3.2e-08,
3.04046875,-0.43984375,-0.22,3.4e-08,
3.1403125000000003,-0.3409375,-0.21984375,3.6000000000000005e-08,
3.02109375,-0.41875,-0.28,3.8e-08,
3.07875,-0.40109375,-0.22,4e-08,
3.10046875,-0.3596875,-0.2803125,4.2000000000000006e-08,
3.061875,-0.41984375,-0.19953125,4.4000000000000004e-08,
3.0187500000000003,-0.38078125,-0.15937500000000002,4.6e-08,
3.099375,-0.39875,-0.239375,4.8000000000000006e-08,
3.03921875,-0.40046875,-0.2203125,5.0000000000000004e-08,
3.04015625,-0.3796875,-0.22046875,5.2e-08,
3.0998437500000002,-0.42015625,-0.20078125,5.4e-08,
3.01984375,-0.36,-0.29984375,5.6000000000000005e-08,
3.06046875,-0.44,-0.18,5.8e-08,
3.0196875,-0.44,-0.21937500000000001,6.000000000000001e-08,
2.98,-0.4196875,-0.22046875,6.2e-08,
3.01953125,-0.43984375,-0.20046875,6.4e-08,
3.01984375,-0.4203125,-0.11984375,6.600000000000001e-08,
3.0796875,-0.4003125,-0.18265625,6.8e-08,
3.08109375,-0.37984375,-0.2190625,7e-08,
2.96,-0.4396875,-0.1596875,7.200000000000001e-08,
3.05921875,-0.44046875,-0.19984375000000001,7.4e-08,
3.04015625,-0.420625,-0.20015625,7.6e-08,
3.12046875,-0.39968750000000003,-0.24,7.800000000000001e-08,
3.0796875,-0.44,-0.2396875,8e-08,
3.03984375,-0.4,-0.22,8.2e-08,
3.01984375,-0.38,-0.2,8.400000000000001e-08,
3.01984375,-0.39984375,-0.15921875,8.6e-08,
3.04,-0.40015625,-0.138125,8.800000000000001e-08,
2.9996875000000003,-0.4,-0.23984375,9.000000000000001e-08,
2.98,-0.4,-0.17921875,9.2e-08,
2.99984375,-0.4,-0.20140625,9.400000000000001e-08,
3.02,-0.36,-0.28,9.600000000000001e-08,
3.05984375,-0.42015625,-0.19968750000000002,9.8e-08,
3.04015625,-0.4,-0.22015625,1.0000000000000001e-07,
3.04,-0.4,-0.16,1.02e-07,
3.00015625,-0.4,-0.22078125,1.04e-07,
2.99984375,-0.419375,-0.19828125,1.0600000000000001e-07,
2.9803125,-0.46,-0.1203125,1.08e-07,
3.06015625,-0.42015625,-0.2209375,1.1e-07,
3.01984375,-0.41953125,-0.1796875,1.1200000000000001e-07,
3.08,-0.42203125,-0.21859375,1.14e-07,
3.0796875,-0.34046875,-0.19968750000000002,1.16e-07,
3.0,-0.37984375,-0.1403125,1.1800000000000001e-07,
3.05953125,-0.35984375,-0.24046875,1.2000000000000002e-07,
3.04,-0.42,-0.24,1.22e-07,
3.0390625,-0.42,-0.19968750000000002,1.24e-07,
3.10046875,-0.4,-0.20015625,1.2600000000000002e-07,
3.00046875,-0.39984375,-0.180625,1.28e-07,
3.0609375,-0.4,-0.16,1.3e-07,
3.05921875,-0.4,-0.1196875,1.3200000000000002e-07,
3.02,-0.4,-0.160625,1.34e-07,
3.060625,-0.39984375,-0.26015625,1.36e-07,
3.059375,-0.35984375,-0.199375,1.3800000000000002e-07,
2.9996875000000003,-0.36,-0.1990625,1.4e-07,
2.99984375,-0.36,-0.22,1.42e-07,
2.9996875000000003,-0.38,-0.20015625,1.4400000000000002e-07,
3.0396875,-0.39968750000000003,-0.24,1.46e-07,
3.08015625,-0.42015625,-0.1990625,1.48e-07,
2.97984375,-0.35984375,-0.1796875,1.5000000000000002e-07,
3.07921875,-0.35984375,-0.16,1.52e-07,
3.02125,-0.42,-0.17921875,1.54e-07,
3.02078125,-0.38,-0.2,1.5600000000000002e-07,
3.08015625,-0.42,-0.15984375,1.58e-07,
3.05953125,-0.42,-0.14,1.6e-07,
3.06,-0.35984375,-0.2003125,1.6200000000000002e-07,
3.0803125000000002,-0.36,-0.18,1.64e-07,
2.98,-0.37953125,-0.1796875,1.66e-07,
3.02,-0.44015625,-0.22,1.6800000000000002e-07,
2.92,-0.40015625,-0.18031250000000001,1.7000000000000001e-07,
3.019375,-0.44,-0.18,1.72e-07,
3.08,-0.40015625,-0.18,1.7400000000000002e-07,
3.0003125,-0.4203125,-0.2,1.7600000000000001e-07,
3.0596875,-0.42,-0.22,1.78e-07,
3.06046875,-0.40046875,-0.2196875,1.8000000000000002e-07,
3.02,-0.35984375,-0.21984375,1.8200000000000002e-07,
3.06,-0.41953125,-0.18,1.84e-07,
3.0196875,-0.4,-0.22062500000000002,1.8600000000000002e-07,
3.04015625,-0.34015625,-0.19890625,1.8800000000000002e-07,
3.04,-0.4203125,-0.15984375,1.9e-07,
3.03984375,-0.40015625,-0.1603125,1.9200000000000003e-07,
3.02,-0.400625,-0.19828125,1.9400000000000002e-07,
3.0396875,-0.36,-0.2203125,1.96e-07,
3.0796875,-0.38,-0.15953125,1.98e-07,
3.1015625,-0.36015625,-0.14,2.0000000000000002e-07,
2.94078125,-0.42,-0.16,2.02e-07,
3.01796875,-0.38,-0.14,2.04e-07,
3.0596875,-0.439375,-0.21984375,2.0600000000000002e-07,
3.079375,-0.42,-0.16140625,2.08e-07,
3.0192187500000003,-0.36,-0.18031250000000001,2.1e-07,
3.02,-0.4203125,-0.22,2.1200000000000002e-07,
3.02078125,-0.41984375,-0.18,2.14e-07,
3.079375,-0.39953125,-0.18015625,2.16e-07,
3.00015625,-0.38015625000000003,-0.21937500000000001,2.1800000000000002e-07,
3.100625,-0.41953125,-0.12046875,2.2e-07,
3.0217187500000002,-0.42046875,-0.16015625,2.22e-07,
2.9596875000000002,-0.38015625000000003,-0.1,2.2400000000000002e-07,
3.0192187500000003,-0.40015625,-0.200625,2.26e-07,
3.0403125,-0.4003125,-0.2,2.28e-07,
3.0590625,-0.46,-0.21984375,2.3000000000000002e-07,
3.1203125000000003,-0.40046875,-0.16046875,2.32e-07,
