CH1,CH2,CH3,CH4,time,Ts
2.9,-0.62,-0.4375,-0.010546875,0.0,2e-09
2.9,-0.57921875,-0.52,-0.039921875,2e-09,
2.839375,-0.54015625,-0.4403125,-0.010078125,4e-09,
2.84078125,-0.6,-0.480625,-0.05,6.000000000000001e-09,
2.91984375,-0.56,-0.4390625,-0.01,8e-09,
2.8396875,-0.62140625,-0.39968750000000003,-0.040234375,1e-08,
2.88,-0.619375,-0.36,-0.04,1.2000000000000002e-08,
2.83953125,-0.499375,-0.52,-0.05,1.4000000000000001e-08,
2.9196875,-0.61890625,-0.4,-0.019765625000000002,1.6e-08,
2.87953125,-0.56078125,-0.4403125,-0.06,1.8000000000000002e-08,
2.9401562500000002,-0.560625,-0.35875,-0.01,2e-08,
2.87953125,-0.519375,-0.320625,-0.059921875,2.2000000000000002e-08,
2.96,-0.6392187500000001,-0.479375,-0.02,2.4000000000000003e-08,
2.87984375,-0.563125,-0.401875,-0.04984375,2.6e-08,
2.91984375,-0.5403125,-0.4,-0.03015625,2.8000000000000003e-08,
2.84,-0.52015625,-0.39937500000000004,-0.040078125,3.0000000000000004e-08,
2.94,-0.55953125,-0.48,-0.02015625,3.2e-08,
2.85875,-0.6403125000000001,-0.35875,-0.040078125,3.4e-08,
2.82015625,-0.5,-0.32,0.0,3.6000000000000005e-08,
2.9,-0.58,-0.39937500000000004,-0.02,3.8e-08,
2.7800000000000002,-0.5215625,-0.4403125,-0.00984375,4e-08,
2.9190625,-0.57875,-0.44,-0.04,4.2000000000000006e-08,
2.9,-0.60046875,-0.480625,-0.040078125,4.4000000000000004e-08,
2.92046875,-0.56046875,-0.479375,-0.049921875000000004,4.6e-08,
2.8396875,-0.55984375,-0.39687500000000003,-0.03,4.8000000000000006e-08,
2.93953125,-0.62,-0.3625,-0.04015625,5.0000000000000004e-08,
2.87953125,-0.5610937500000001,-0.5996875,-0.03,5.2e-08,
2.9201562500000002,-0.54078125,-0.4790625,-0.02,5.4e-08,
2.87984375,-0.4996875,-0.32,-0.040234375,5.6000000000000005e-08,
2.8803125,-0.57984375,-0.400625,-0.029687500000000002,5.8e-08,
2.92,-0.54,-0.3196875,0.0,6.000000000000001e-08,
2.9,-0.56,-0.36,-0.0303125,6.2e-08,
2.9,-0.59953125,-0.3603125,-0.04,6.4e-08,
2.8596875,-0.6403125000000001,-0.4,-0.030234375,6.600000000000001e-08,
2.8396875,-0.58078125,-0.3603125,0.0,6.8e-08,
2.9196875,-0.52,-0.4,-0.01015625,7e-08,
2.9,-0.54,-0.4421875,-0.029921875,7.200000000000001e-08,
2.82015625,-0.56015625,-0.5596875,-0.030078125,7.4e-08,
2.8403125,-0.49984375000000003,-0.3196875,-0.009921875,7.6e-08,
2.8000000000000003,-0.52,-0.48,-0.01,7.800000000000001e-08,
2.91984375,-0.55890625,-0.359375,-0.020234375,8e-08,
2.84,-0.60046875,-0.5603125,-0.060078125,8.2e-08,
2.9206250000000002,-0.540625,-0.35781250000000003,-0.04,8.400000000000001e-08,
2.91984375,-0.56,-0.44125000000000003,-0.05,8.6e-08,
2.90015625,-0.59984375,-0.4396875,-0.009375,8.800000000000001e-08,
2.86,-0.59984375,-0.39875,-0.009921875,9.000000000000001e-08,
2.87984375,-0.6215625,-0.318125,-0.039921875,9.2e-08,
2.83953125,-0.54015625,-0.4403125,-0.03,9.400000000000001e-08,
2.97984375,-0.59984375,-0.36,-0.03,9.600000000000001e-08,
2.8603125,-0.54015625,-0.44,-0.03,9.8e-08,
2.87828125,-0.56,-0.32,-0.050078125,1.0000000000000001e-07,
2.979375,-0.6,-0.481875,-0.04,1.02e-07,
2.92140625,-0.54,-0.44,-0.07,1.04e-07,
2.839375,-0.51875,-0.478125,-0.05,1.0600000000000001e-07,
2.84078125,-0.56,-0.48,-0.04984375,1.08e-07,
2.88,-0.56,-0.48031250000000003,-7.8125e-05,1.1e-07,
2.8396875,-0.56015625,-0.52,-0.040234375,1.1200000000000001e-07,
2.839375,-0.6001562500000001,-0.48,-0.02,1.14e-07,
2.8003125,-0.59984375,-0.5203125,-0.04,1.16e-07,
2.89921875,-0.5603125,-0.4809375,-0.030078125,1.1800000000000001e-07,
2.880625,-0.539375,-0.48,-0.0303125,1.2000000000000002e-07,
2.87984375,-0.61953125,-0.48031250000000003,-0.070078125,1.22e-07,
2.8996875,-0.60046875,-0.48,-0.04,1.24e-07,
2.939375,-0.5603125,-0.4371875,-0.04953125,1.2600000000000002e-07,
2.94140625,-0.54015625,-0.36125,0.0,1.28e-07,
2.82015625,-0.57984375,-0.44,-0.05,1.3e-07,
2.9210937500000003,-0.6001562500000001,-0.2821875,-0.039921875,1.3200000000000002e-07,
2.92,-0.58015625,-0.3609375,-0.02,1.34e-07,
2.93953125,-0.56,-0.3603125,-0.030078125,1.36e-07,
2.85984375,-0.58,-0.4,-0.029843750000000002,1.3800000000000002e-07,
2.9196875,-0.57984375,-0.440625,-0.010078125,1.4e-07,
2.92,-0.54,-0.44,-0.02,1.42e-07,
2.86,-0.54,-0.3203125,-0.01015625,1.4400000000000002e-07,
2.85984375,-0.55953125,-0.3596875,-0.04,1.46e-07,
2.88,-0.62,-0.3590625,-0.020625,1.48e-07,
2.84015625,-0.56,-0.48031250000000003,0.02,1.5000000000000002e-07,
2.8396875,-0.54,-0.2790625,-0.049921875000000004,1.52e-07,
2.87984375,-0.5806250000000001,-0.44,-0.010390625,1.54e-07,
2.87984375,-0.62,-0.520625,-0.039843750000000004,1.5600000000000002e-07,
2.91984375,-0.58015625,-0.3225,-0.050078125,1.58e-07,
2.9,-0.5803125,-0.4009375,-0.04,1.6e-07,
2.9201562500000002,-0.5398437500000001,-0.52,-0.029843750000000002,1.6200000000000002e-07,
2.8996875,-0.6,-0.3975,-0.030390625,1.64e-07,
2.88,-0.56,-0.36,-0.060234375,1.66e-07,
2.9003125,-0.57984375,-0.36062500000000003,-0.059609375,1.6800000000000002e-07,
