CH1,CH2,CH3,time,Ts
2.94,-0.35625,-0.356875,0.0,2e-09
2.99859375,-0.44,-0.2403125,2e-09,
3.03984375,-0.4003125,-0.320625,4e-09,
3.04015625,-0.4396875,-0.32125,6.000000000000001e-09,
2.98,-0.4403125,-0.39937500000000004,8e-09,
3.0196875,-0.3990625,-0.238125,1e-08,
3.0003125,-0.5196875,-0.2,1.2000000000000002e-08,
3.020625,-0.3640625,-0.2403125,1.4000000000000001e-08,
3.06,-0.27875,-0.28,1.6e-08,
3.0196875,-0.44,-0.280625,1.8000000000000002e-08,
2.97953125,-0.32,-0.3196875,2e-08,
2.9603125,-0.4,-0.24,2.2000000000000002e-08,
3.05984375,-0.400625,-0.281875,2.4000000000000003e-08,
3.0,-0.3978125,-0.4003125,2.6e-08,
2.9203125,-0.4409375,-0.3203125,2.8000000000000003e-08,
3.0796875,-0.32,-0.31875000000000003,3.0000000000000004e-08,
3.0003125,-0.44,-0.16125,3.2e-08,
3.0,-0.440625,-0.4003125,3.4e-08,
3.02,-0.27968750000000003,-0.239375,3.6000000000000005e-08,
2.98046875,-0.36,-0.36,3.8e-08,
3.0,-0.3603125,-0.2803125,4e-08,
3.06015625,-0.3609375,-0.32,4.2000000000000006e-08,
2.93984375,-0.319375,-0.198125,4.4000000000000004e-08,
3.02078125,-0.44,-0.2009375,4.6e-08,
3.02,-0.400625,-0.28125,4.8000000000000006e-08,
3.02015625,-0.3196875,-0.28,5.0000000000000004e-08,
2.96,-0.436875,-0.2434375,5.2e-08,
3.0403125,-0.4421875,-0.1203125,5.4e-08,
3.04015625,-0.3203125,-0.280625,5.6000000000000005e-08,
3.00046875,-0.36,-0.2403125,5.8e-08,
2.94,-0.36,-0.36,6.000000000000001e-08,
2.97859375,-0.44,-0.239375,6.2e-08,
3.0596875,-0.32,-0.32,6.4e-08,
3.00171875,-0.3978125,-0.2459375,6.600000000000001e-08,
2.94078125,-0.4,-0.16,6.8e-08,
3.06109375,-0.4396875,-0.32125,7e-08,
3.0184375,-0.32,-0.3196875,7.200000000000001e-08,
2.93953125,-0.440625,-0.2396875,7.4e-08,
2.960625,-0.4396875,-0.2803125,7.6e-08,
3.0003125,-0.32,-0.2790625,7.800000000000001e-08,
3.04,-0.359375,-0.36,8e-08,
3.02015625,-0.36,-0.36,8.2e-08,
3.03984375,-0.39968750000000003,-0.3596875,8.400000000000001e-08,
3.04015625,-0.4003125,-0.280625,8.6e-08,
3.00015625,-0.3196875,-0.3184375,8.800000000000001e-08,
2.99953125,-0.3196875,-0.2,9.000000000000001e-08,
3.02046875,-0.439375,-0.3559375,9.2e-08,
2.98015625,-0.4,-0.3590625,9.400000000000001e-08,
3.04015625,-0.44,-0.2396875,9.600000000000001e-08,
3.01984375,-0.36,-0.24,9.8e-08,
3.03984375,-0.44,-0.400625,1.0000000000000001e-07,
2.99984375,-0.32,-0.28,1.02e-07,
3.06,-0.319375,-0.19968750000000002,1.04e-07,
3.04,-0.36,-0.2790625,1.0600000000000001e-07,
2.98,-0.36062500000000003,-0.2803125,1.08e-07,
3.03984375,-0.4,-0.2803125,1.1e-07,
3.00015625,-0.52,-0.2396875,1.1200000000000001e-07,
2.98015625,-0.439375,-0.28,1.14e-07,
2.99953125,-0.359375,-0.4003125,1.16e-07,
3.08,-0.28,-0.2009375,1.1800000000000001e-07,
3.02015625,-0.319375,-0.3203125,1.2000000000000002e-07,
3.04,-0.3209375,-0.24,1.22e-07,
3.079375,-0.24,-0.36062500000000003,1.24e-07,
2.97984375,-0.36062500000000003,-0.2378125,1.2600000000000002e-07,
3.04015625,-0.4003125,-0.2403125,1.28e-07,
2.97984375,-0.4,-0.2,1.3e-07,
3.02,-0.4009375,-0.24,1.3200000000000002e-07,
2.97984375,-0.3209375,-0.2396875,1.34e-07,
3.04,-0.3196875,-0.3603125,1.36e-07,
2.98078125,-0.440625,-0.32,1.3800000000000002e-07,
2.97953125,-0.48,-0.3596875,1.4e-07,
3.0192187500000003,-0.48031250000000003,-0.44,1.42e-07,
3.0403125,-0.4409375,-0.28250000000000003,1.4400000000000002e-07,
3.02,-0.36,-0.2371875,1.46e-07,
3.04,-0.36,-0.36,1.48e-07,
3.0203125,-0.440625,-0.2390625,1.5000000000000002e-07,
3.039375,-0.4784375,-0.28,1.52e-07,
2.93875,-0.3209375,-0.3203125,1.54e-07,
2.9609375,-0.520625,-0.3190625,1.5600000000000002e-07,
3.00015625,-0.36125,-0.240625,1.58e-07,
2.9809375,-0.439375,-0.28,1.6e-07,
2.939375,-0.4,-0.27968750000000003,1.6200000000000002e-07,
3.01953125,-0.44,-0.280625,1.64e-07,
2.980625,-0.36,-0.32,1.66e-07,
2.979375,-0.44,-0.23875000000000002,1.6800000000000002e-07,
3.0196875,-0.36125,-0.2396875,1.7000000000000001e-07,
2.99984375,-0.35781250000000003,-0.3596875,1.72e-07,
2.9996875000000003,-0.52,-0.32,1.7400000000000002e-07,
2.93984375,-0.36,-0.32,1.7600000000000001e-07,
2.98046875,-0.4403125,-0.28,1.78e-07,
3.0,-0.4,-0.3209375,1.8000000000000002e-07,
2.98,-0.44,-0.32,1.8200000000000002e-07,
3.04,-0.4409375,-0.2415625,1.84e-07,
2.979375,-0.44,-0.27968750000000003,1.8600000000000002e-07,
2.9996875000000003,-0.4796875,-0.36,1.8800000000000002e-07,
3.03984375,-0.319375,-0.200625,1.9e-07,
3.0396875,-0.40125,-0.2415625,1.9200000000000003e-07,
2.9603125,-0.358125,-0.4015625,1.9400000000000002e-07,
2.96,-0.28125,-0.40125,1.96e-07,
2.93984375,-0.4753125,-0.32,1.98e-07,
3.0,-0.480625,-0.3603125,2.0000000000000002e-07,
3.02,-0.36,-0.3196875,2.02e-07,
3.0196875,-0.4403125,-0.3203125,2.04e-07,
2.979375,-0.39937500000000004,-0.36062500000000003,2.0600000000000002e-07,
2.9401562500000002,-0.39968750000000003,-0.4009375,2.08e-07,
3.00015625,-0.39875,-0.4028125,2.1e-07,
2.98,-0.5603125,-0.15937500000000002,2.1200000000000002e-07,
3.04,-0.359375,-0.3190625,2.14e-07,
2.98,-0.4,-0.4,2.16e-07,
3.03984375,-0.36125,-0.359375,2.1800000000000002e-07,
3.00078125,-0.479375,-0.32,2.2e-07,
2.9796875000000003,-0.32,-0.319375,2.22e-07,
3.0196875,-0.43625,-0.3990625,2.2400000000000002e-07,
3.040625,-0.5203125,-0.36062500000000003,2.26e-07,
3.05921875,-0.5196875,-0.28,2.28e-07,
2.97953125,-0.43843750000000004,-0.3603125,2.3000000000000002e-07,
3.02109375,-0.3609375,-0.2790625,2.32e-07,
3.0187500000000003,-0.4809375,-0.28,2.34e-07,
2.91953125,-0.39875,-0.4003125,2.3600000000000002e-07,
2.9978125,-0.3990625,-0.24,2.3800000000000001e-07,
3.06,-0.52,-0.39875,2.4000000000000003e-07,
3.02015625,-0.48031250000000003,-0.39968750000000003,2.42e-07,
3.02015625,-0.52,-0.3584375,2.44e-07,
2.96,-0.4396875,-0.28,2.46e-07,
2.999375,-0.44,-0.36062500000000003,2.48e-07,
3.000625,-0.43843750000000004,-0.40125,2.5000000000000004e-07,
3.0003125,-0.5203125,-0.28,2.5200000000000003e-07,
3.019375,-0.3596875,-0.28,2.54e-07,
2.98046875,-0.40125,-0.240625,2.56e-07,
3.06015625,-0.440625,-0.27968750000000003,2.58e-07,
2.99984375,-0.48031250000000003,-0.16,2.6e-07,
3.02015625,-0.48031250000000003,-0.280625,2.62e-07,
3.04,-0.4815625,-0.3203125,2.6400000000000003e-07,
2.97953125,-0.4,-0.3203125,2.66e-07,
2.96,-0.4403125,-0.2390625,2.68e-07,
2.98,-0.3990625,-0.1596875,2.7e-07,
3.0,-0.4015625,-0.24,2.72e-07,
2.98,-0.479375,-0.4,2.74e-07,
2.9796875000000003,-0.359375,-0.3228125,2.7600000000000004e-07,
3.02015625,-0.4,-0.3184375,2.7800000000000003e-07,
3.04,-0.4403125,-0.439375,2.8e-07,
3.0190625,-0.4403125,-0.23875000000000002,2.82e-07,
2.9603125,-0.48,-0.3196875,2.84e-07,
3.0203125,-0.3984375,-0.1596875,2.86e-07,
2.9596875000000002,-0.320625,-0.403125,2.8800000000000004e-07,
2.94,-0.39968750000000003,-0.4053125,2.9000000000000003e-07,
3.02015625,-0.36,-0.28,2.92e-07,
2.98,-0.39968750000000003,-0.24125,2.94e-07,
3.0003125,-0.32,-0.280625,2.96e-07,
2.9596875000000002,-0.441875,-0.12,2.98e-07,
3.0596875,-0.4790625,-0.3209375,3.0000000000000004e-07,
2.9615625,-0.4,-0.32,3.0200000000000003e-07,
2.94140625,-0.520625,-0.36062500000000003,3.04e-07,
3.00046875,-0.4396875,-0.2803125,3.06e-07,
2.97953125,-0.43875000000000003,-0.3203125,3.08e-07,
2.98015625,-0.3196875,-0.2,3.1e-07,
3.00078125,-0.4028125,-0.120625,3.1200000000000004e-07,
3.0192187500000003,-0.4390625,-0.239375,3.1400000000000003e-07,
2.93953125,-0.4,-0.28125,3.16e-07,
2.9990625,-0.48,-0.280625,3.18e-07,
3.05984375,-0.48,-0.4,3.2e-07,
3.04015625,-0.3203125,-0.32,3.22e-07,
3.0203125,-0.5221875,-0.4003125,3.2400000000000004e-07,
2.94,-0.5196875,-0.319375,3.2600000000000003e-07,
3.0187500000000003,-0.51875,-0.32,3.28e-07,
3.040625,-0.3625,-0.32156250000000003,3.3e-07,
2.9996875000000003,-0.4015625,-0.28,3.32e-07,
3.020625,-0.4796875,-0.28,3.34e-07,
3.03953125,-0.39937500000000004,-0.2803125,3.3600000000000004e-07,
2.97984375,-0.440625,-0.319375,3.3800000000000004e-07,
3.02,-0.440625,-0.2396875,3.4000000000000003e-07,
2.98,-0.48031250000000003,-0.359375,3.42e-07,
3.02015625,-0.39968750000000003,-0.2809375,3.44e-07,
3.01984375,-0.440625,-0.319375,3.46e-07,
2.98,-0.3978125,-0.3203125,3.4800000000000005e-07,
2.98,-0.3209375,-0.28,3.5000000000000004e-07,
2.92,-0.485,-0.3203125,3.5200000000000003e-07,
2.98046875,-0.47500000000000003,-0.36,3.54e-07,
3.03984375,-0.28,-0.2421875,3.56e-07,
3.02015625,-0.48125,-0.2403125,3.58e-07,
2.98,-0.39968750000000003,-0.19968750000000002,3.6000000000000005e-07,
2.96,-0.400625,-0.3621875,3.6200000000000004e-07,
3.00046875,-0.44,-0.359375,3.6400000000000003e-07,
3.06015625,-0.39968750000000003,-0.3196875,3.66e-07,
3.039375,-0.39968750000000003,-0.24,3.68e-07,
2.98078125,-0.319375,-0.19968750000000002,3.7e-07,
2.9792187500000002,-0.43843750000000004,-0.32,3.7200000000000005e-07,
3.0196875,-0.4015625,-0.19968750000000002,3.7400000000000004e-07,
3.0196875,-0.3209375,-0.400625,3.7600000000000003e-07,
3.02125,-0.3190625,-0.239375,3.78e-07,
2.97859375,-0.39968750000000003,-0.24,3.8e-07,
3.0607812500000002,-0.3246875,-0.2378125,3.82e-07,
2.95984375,-0.2784375,-0.4,3.8400000000000005e-07,
3.01984375,-0.400625,-0.320625,3.8600000000000004e-07,
2.9396875000000002,-0.3196875,-0.3603125,3.8800000000000003e-07,
2.9601562500000003,-0.52,-0.32,3.9e-07,
2.98015625,-0.36,-0.32,3.92e-07,
3.02,-0.44,-0.24,3.94e-07,
3.0,-0.32125,-0.3184375,3.96e-07,
3.0192187500000003,-0.43843750000000004,-0.2803125,3.9800000000000004e-07,
3.0403125,-0.44,-0.2809375,4.0000000000000003e-07,
3.0,-0.48,-0.3590625,4.02e-07,
3.0396875,-0.4403125,-0.2384375,4.04e-07,
2.98125,-0.440625,-0.3221875,4.06e-07,
2.93921875,-0.359375,-0.4003125,4.08e-07,
3.02,-0.4403125,-0.279375,4.1000000000000004e-07,
2.9601562500000003,-0.3596875,-0.24,4.1200000000000004e-07,
3.04,-0.5196875,-0.361875,4.1400000000000003e-07,
2.959375,-0.44,-0.359375,4.16e-07,
3.00015625,-0.32,-0.32,4.18e-07,
3.02,-0.3596875,-0.320625,4.2e-07,
2.98,-0.3975,-0.32156250000000003,4.2200000000000005e-07,
3.02,-0.48031250000000003,-0.240625,4.2400000000000004e-07,
2.98,-0.4,-0.28125,4.2600000000000003e-07,
3.0196875,-0.4,-0.400625,4.28e-07,
3.04,-0.48031250000000003,-0.3596875,4.3e-07,
2.98,-0.3196875,-0.3203125,4.32e-07,
3.02,-0.36,-0.3203125,4.3400000000000005e-07,
2.96,-0.36062500000000003,-0.2396875,4.3600000000000004e-07,
2.99984375,-0.32156250000000003,-0.279375,4.3800000000000003e-07,
2.99984375,-0.279375,-0.1190625,4.4e-07,
2.98015625,-0.4,-0.24125,4.42e-07,
3.02,-0.4003125,-0.3209375,4.44e-07,
2.97984375,-0.36,-0.3609375,4.4600000000000005e-07,
3.04,-0.40125,-0.3640625,4.4800000000000004e-07,
3.03984375,-0.358125,-0.1596875,4.5000000000000003e-07,
3.0,-0.5203125,-0.240625,4.52e-07,
3.0403125,-0.3603125,-0.240625,4.54e-07,
2.9203125,-0.44,-0.4,4.56e-07,
2.95859375,-0.4,-0.3190625,4.5800000000000005e-07,
3.05859375,-0.32,-0.36,4.6000000000000004e-07,
3.10109375,-0.3175,-0.361875,4.6200000000000003e-07,
2.9792187500000002,-0.4,-0.28,4.64e-07,
3.02046875,-0.4,-0.280625,4.66e-07,
3.00015625,-0.4003125,-0.400625,4.68e-07,
3.04,-0.4403125,-0.43875000000000003,4.7000000000000005e-07,
2.99953125,-0.44,-0.32,4.7200000000000004e-07,
3.00015625,-0.4009375,-0.36125,4.7400000000000004e-07,
3.00015625,-0.3184375,-0.24,4.7600000000000003e-07,
2.98015625,-0.5196875,-0.32156250000000003,4.78e-07,
2.98,-0.36062500000000003,-0.3596875,4.800000000000001e-07,
2.97953125,-0.400625,-0.2396875,4.82e-07,
3.0796875,-0.240625,-0.321875,4.84e-07,
3.001875,-0.5196875,-0.32,4.86e-07,
2.95796875,-0.36375,-0.32,4.88e-07,
3.10015625,-0.4396875,-0.279375,4.900000000000001e-07,
2.9796875000000003,-0.48,-0.280625,4.92e-07,
3.020625,-0.4,-0.4,4.940000000000001e-07,
3.01984375,-0.48,-0.23875000000000002,4.96e-07,
3.0,-0.4,-0.24,4.98e-07,
3.0,-0.28,-0.3196875,5.000000000000001e-07,
3.04,-0.35875,-0.320625,5.02e-07,
3.0403125,-0.400625,-0.31875000000000003,5.040000000000001e-07,
2.9401562500000002,-0.32,-0.4009375,5.06e-07,
2.9996875000000003,-0.32,-0.11937500000000001,5.08e-07,
3.02015625,-0.320625,-0.32,5.1e-07,
3.02,-0.440625,-0.3203125,5.12e-07,
3.01984375,-0.440625,-0.28,5.140000000000001e-07,
3.04,-0.3609375,-0.2803125,5.16e-07,
3.02,-0.3196875,-0.32,5.180000000000001e-07,
2.98,-0.44,-0.32,5.2e-07,
3.0003125,-0.48,-0.3196875,5.22e-07,
2.97953125,-0.39968750000000003,-0.27968750000000003,5.24e-07,
2.94,-0.3596875,-0.280625,5.26e-07,
2.97984375,-0.476875,-0.32,5.280000000000001e-07,
2.97984375,-0.4815625,-0.280625,5.3e-07,
2.99984375,-0.3203125,-0.2403125,5.32e-07,
3.01984375,-0.440625,-0.2803125,5.34e-07,
3.02,-0.44,-0.27968750000000003,5.36e-07,
3.02,-0.32,-0.4,5.380000000000001e-07,
3.0196875,-0.438125,-0.2815625,5.4e-07,
3.04,-0.44,-0.27875,5.420000000000001e-07,
3.0192187500000003,-0.32,-0.3203125,5.44e-07,
3.00046875,-0.3609375,-0.3196875,5.46e-07,
3.05984375,-0.3984375,-0.28,5.48e-07,
2.97859375,-0.2815625,-0.2803125,5.5e-07,
3.00171875,-0.5615625,-0.3609375,5.520000000000001e-07,
3.0996875,-0.443125,-0.36312500000000003,5.54e-07,
2.96171875,-0.359375,-0.28,5.560000000000001e-07,
2.95859375,-0.44,-0.3609375,5.58e-07,
3.03984375,-0.4,-0.359375,5.6e-07,
2.9996875000000003,-0.4,-0.320625,5.620000000000001e-07,
3.06046875,-0.36,-0.3590625,5.64e-07,
2.9409375,-0.39937500000000004,-0.2,5.660000000000001e-07,
3.00078125,-0.4403125,-0.2403125,5.68e-07,
2.9996875000000003,-0.4,-0.1603125,5.7e-07,
3.0203125,-0.44,-0.3203125,5.72e-07,
3.0396875,-0.52,-0.28,5.74e-07,
2.99984375,-0.3990625,-0.4,5.760000000000001e-07,
3.02,-0.28,-0.32,5.78e-07,
3.04,-0.48,-0.44,5.800000000000001e-07,
3.03953125,-0.28,-0.3203125,5.82e-07,
2.98,-0.4409375,-0.4,5.84e-07,
3.019375,-0.519375,-0.280625,5.860000000000001e-07,
3.1196875,-0.4396875,-0.2803125,5.88e-07,
2.94046875,-0.48,-0.2809375,5.900000000000001e-07,
2.97984375,-0.4403125,-0.36,5.92e-07,
2.9803125,-0.5175,-0.319375,5.94e-07,
2.96,-0.5203125,-0.359375,5.96e-07,
2.98,-0.4403125,-0.239375,5.98e-07,
3.09921875,-0.56,-0.2815625,6.000000000000001e-07,
2.939375,-0.43875000000000003,-0.36125,6.02e-07,
3.0203125,-0.4409375,-0.359375,6.040000000000001e-07,
2.96,-0.440625,-0.2415625,6.06e-07,
3.04,-0.36,-0.2003125,6.08e-07,
3.0,-0.4403125,-0.2396875,6.100000000000001e-07,
2.94,-0.440625,-0.32,6.12e-07,
3.0,-0.6003125,-0.35875,6.140000000000001e-07,
2.93921875,-0.4371875,-0.2,6.16e-07,
3.06,-0.3603125,-0.3196875,6.180000000000001e-07,
2.9406250000000003,-0.47875,-0.24125,6.2e-07,
3.00078125,-0.48,-0.3196875,6.22e-07,
2.98,-0.439375,-0.3203125,6.240000000000001e-07,
2.9996875000000003,-0.319375,-0.28,6.26e-07,
2.9396875000000002,-0.3615625,-0.3209375,6.280000000000001e-07,
2.9803125,-0.4403125,-0.36,6.3e-07,
2.959375,-0.4,-0.2803125,6.32e-07,
2.95890625,-0.4403125,-0.28,6.340000000000001e-07,
3.02,-0.4,-0.27968750000000003,6.36e-07,
2.9601562500000003,-0.5203125,-0.32,6.380000000000001e-07,
2.979375,-0.440625,-0.279375,6.4e-07,
3.02,-0.5593750000000001,-0.2803125,6.420000000000001e-07,
3.00046875,-0.36,-0.32,6.44e-07,
2.9987500000000002,-0.515625,-0.28,6.46e-07,
3.03984375,-0.600625,-0.32,6.480000000000001e-07,
3.0,-0.39937500000000004,-0.24,6.5e-07,
3.0403125,-0.401875,-0.24125,6.520000000000001e-07,
2.9992187500000003,-0.48,-0.3203125,6.54e-07,
2.96,-0.3575,-0.28,6.56e-07,
3.02015625,-0.280625,-0.32,6.58e-07,
3.0,-0.436875,-0.28250000000000003,6.6e-07,
3.0203125,-0.479375,-0.24,6.620000000000001e-07,
3.02,-0.44,-0.2396875,6.64e-07,
2.98,-0.43875000000000003,-0.2003125,6.660000000000001e-07,
3.01984375,-0.3190625,-0.28,6.68e-07,
2.94,-0.36125,-0.2,6.7e-07,
3.0390625,-0.400625,-0.2790625,6.720000000000001e-07,
2.9996875000000003,-0.48,-0.2009375,6.74e-07,
2.9603125,-0.4,-0.24125,6.760000000000001e-07,
3.04078125,-0.48,-0.36,6.78e-07,
3.01859375,-0.36,-0.28,6.800000000000001e-07,
2.9596875000000002,-0.439375,-0.40125,6.82e-07,
3.0003125,-0.2390625,-0.319375,6.84e-07,
3.04,-0.2790625,-0.321875,6.860000000000001e-07,
2.9996875000000003,-0.320625,-0.24,6.88e-07,
2.98,-0.439375,-0.3209375,6.900000000000001e-07,
2.97984375,-0.2790625,-0.3203125,6.92e-07,
2.98,-0.40218750000000003,-0.2803125,6.94e-07,
2.97953125,-0.4390625,-0.2803125,6.960000000000001e-07,
3.00046875,-0.36,-0.32156250000000003,6.98e-07,
2.9401562500000002,-0.4409375,-0.20125,7.000000000000001e-07,
3.000625,-0.48,-0.319375,7.02e-07,
3.00046875,-0.438125,-0.3609375,7.040000000000001e-07,
3.0590625,-0.36062500000000003,-0.12,7.06e-07,
2.91765625,-0.4815625,-0.36375,7.08e-07,
2.92140625,-0.4390625,-0.44,7.100000000000001e-07,
3.02078125,-0.44,-0.405,7.12e-07,
3.000625,-0.48,-0.2396875,7.140000000000001e-07,
2.96046875,-0.6,-0.32,7.16e-07,
2.9596875000000002,-0.279375,-0.28,7.18e-07,
3.0196875,-0.441875,-0.32125,7.200000000000001e-07,
3.02046875,-0.3575,-0.3603125,7.22e-07,
2.99984375,-0.40218750000000003,-0.3603125,7.240000000000001e-07,
3.0196875,-0.521875,-0.325625,7.26e-07,
2.9992187500000003,-0.3596875,-0.2,7.280000000000001e-07,
2.96,-0.4809375,-0.3596875,7.3e-07,
3.0,-0.39875,-0.32,7.32e-07,
3.00015625,-0.4,-0.3596875,7.340000000000001e-07,
3.06,-0.36,-0.2403125,7.36e-07,
3.0196875,-0.4,-0.319375,7.380000000000001e-07,
2.98,-0.400625,-0.2803125,7.4e-07,
3.02015625,-0.480625,-0.3196875,7.420000000000001e-07,
3.02,-0.43875000000000003,-0.32,7.440000000000001e-07,
3.0,-0.4,-0.3184375,7.46e-07,
2.98,-0.4003125,-0.2003125,7.480000000000001e-07,
3.00015625,-0.44125000000000003,-0.36,7.5e-07,
3.01984375,-0.48,-0.2815625,7.520000000000001e-07,
3.04,-0.39875,-0.3203125,7.54e-07,
3.0,-0.3203125,-0.2403125,7.56e-07,
3.02,-0.480625,-0.28125,7.580000000000001e-07,
3.0,-0.35781250000000003,-0.27875,7.6e-07,
3.02015625,-0.3615625,-0.2,7.620000000000001e-07,
2.99984375,-0.44,-0.24,7.64e-07,
2.980625,-0.440625,-0.3196875,7.660000000000001e-07,
2.95890625,-0.4403125,-0.36,7.680000000000001e-07,
3.03984375,-0.400625,-0.27968750000000003,7.7e-07,
2.9809375,-0.36125,-0.48,7.720000000000001e-07,
3.018125,-0.3184375,-0.27968750000000003,7.74e-07,
3.04078125,-0.52,-0.4,7.760000000000001e-07,
3.00046875,-0.3259375,-0.2040625,7.78e-07,
2.97953125,-0.358125,-0.2390625,7.8e-07,
2.9401562500000002,-0.400625,-0.280625,7.820000000000001e-07,
3.04015625,-0.36,-0.28125,7.84e-07,
2.9796875000000003,-0.44,-0.4396875,7.860000000000001e-07,
2.98,-0.36,-0.24,7.88e-07,
2.98015625,-0.48,-0.3184375,7.900000000000001e-07,
3.02,-0.2846875,-0.3253125,7.92e-07,
2.9406250000000003,-0.3959375,-0.2003125,7.94e-07,
2.99890625,-0.520625,-0.280625,7.960000000000001e-07,
3.07984375,-0.4009375,-0.2809375,7.98e-07,
3.020625,-0.4,-0.3609375,8.000000000000001e-07,
2.98015625,-0.4009375,-0.36062500000000003,8.02e-07,
2.98,-0.27968750000000003,-0.400625,8.04e-07,
3.00109375,-0.3603125,-0.2396875,8.060000000000001e-07,
3.1003125000000002,-0.28,-0.32,8.08e-07,
3.03953125,-0.479375,-0.3184375,8.100000000000001e-07,
2.9996875000000003,-0.48,-0.2403125,8.12e-07,
3.0003125,-0.32,-0.36,8.140000000000001e-07,
3.08,-0.39875,-0.319375,8.16e-07,
3.0,-0.40218750000000003,-0.32,8.18e-07,
