CH1,CH2,CH3,CH4,time,Ts
3.0196875,-0.34015625,-0.36,-0.7000000000000001,0.0,2e-09
3.0396875,-0.38,-0.32,-0.39921875,2e-09,
3.06,-0.4,-0.3625,-0.4,4e-09,
3.0209375,-0.4,-0.48,-0.6000000000000001,6.000000000000001e-09,
2.95984375,-0.46,-0.4065625,-0.70078125,8e-09,
2.9803125,-0.42,-0.24,-0.49921875000000004,1e-08,
2.97984375,-0.46015625,-0.3209375,-0.40078125000000003,1.2000000000000002e-08,
2.97984375,-0.44,-0.36062500000000003,-0.30078125,1.4000000000000001e-08,
2.9803125,-0.43984375000000003,-0.4409375,-0.40078125000000003,1.6e-08,
3.02015625,-0.4,-0.480625,-0.39921875,1.8000000000000002e-08,
3.00046875,-0.43984375000000003,-0.4825,-0.6000000000000001,2e-08,
2.98,-0.38078125,-0.32,-0.39765625000000004,2.2000000000000002e-08,
2.9996875000000003,-0.37953125,-0.3603125,-0.30078125,2.4000000000000003e-08,
3.04,-0.40015625,-0.3203125,-0.503125,2.6e-08,
3.00015625,-0.36015625,-0.400625,-0.6984375,2.8000000000000003e-08,
3.02,-0.3803125,-0.3175,-0.49921875000000004,3.0000000000000004e-08,
2.99953125,-0.43984375000000003,-0.32,-0.4,3.2e-08,
3.03953125,-0.4225,-0.400625,-0.30078125,3.4e-08,
2.98,-0.36,-0.27875,-0.5,3.6000000000000005e-08,
3.05984375,-0.44,-0.3209375,-0.5,3.8e-08,
2.9396875000000002,-0.34,-0.48,-0.39921875,4e-08,
2.9796875000000003,-0.48015625,-0.199375,-0.4,4.2000000000000006e-08,
3.0,-0.38,-0.4,-0.5,4.4000000000000004e-08,
2.96,-0.37921875,-0.36062500000000003,-0.39921875,4.6e-08,
2.9601562500000003,-0.45984375,-0.36062500000000003,-0.4,4.8000000000000006e-08,
2.89953125,-0.42046875,-0.2803125,-0.40234375,5.0000000000000004e-08,
3.0596875,-0.42,-0.3196875,-0.2,5.2e-08,
2.98046875,-0.39984375,-0.3596875,-0.49921875000000004,5.4e-08,
3.05984375,-0.4596875,-0.32,-0.40078125000000003,5.6000000000000005e-08,
3.02109375,-0.35984375,-0.3603125,-0.59921875,5.8e-08,
2.95984375,-0.41984375,-0.28125,-0.60078125,6.000000000000001e-08,
3.06,-0.3403125,-0.3609375,-0.6000000000000001,6.2e-08,
2.9796875000000003,-0.38,-0.48,-0.5984375000000001,6.4e-08,
3.0403125,-0.36,-0.3975,-0.50625,6.600000000000001e-08,
2.9792187500000002,-0.44015625,-0.31875000000000003,-0.7992187500000001,6.8e-08,
