CH1,CH3,time,Ts
3.01984375,-2.8046875,0.0,2e-09
3.0003125,-3.4000000000000004,2e-09,
3.02015625,-3.0,4e-09,
2.9403125,-2.6,6.000000000000001e-09,
2.9401562500000002,-3.2046875000000004,8e-09,
2.98,-3.1984375000000003,1e-08,
2.94,-3.203125,1.2000000000000002e-08,
2.98015625,-2.9921875,1.4000000000000001e-08,
2.92,-3.403125,1.6e-08,
2.98,-3.3984375,1.8000000000000002e-08,
2.96,-3.6046875000000003,2e-08,
3.00015625,-3.79375,2.2000000000000002e-08,
2.9796875000000003,-3.4000000000000004,2.4000000000000003e-08,
2.96,-3.2062500000000003,2.6e-08,
3.0,-2.5968750000000003,2.8000000000000003e-08,
2.96,-2.796875,3.0000000000000004e-08,
2.98,-3.6,3.2e-08,
2.9796875000000003,-3.1968750000000004,3.4e-08,
3.0403125,-3.4000000000000004,3.6000000000000005e-08,
2.96046875,-3.2046875000000004,3.8e-08,
2.99984375,-2.8046875,4e-08,
2.9809375,-2.9984375,4.2000000000000006e-08,
3.0596875,-3.4000000000000004,4.4000000000000004e-08,
2.93828125,-3.203125,4.6e-08,
2.9609375,-3.803125,4.8000000000000006e-08,
2.98,-3.4000000000000004,5.0000000000000004e-08,
2.95890625,-3.0015625000000004,5.2e-08,
2.91859375,-2.9984375,5.4e-08,
3.039375,-3.3921875000000004,5.6000000000000005e-08,
2.9601562500000003,-4.2015625000000005,5.8e-08,
2.97984375,-3.3765625000000004,6.000000000000001e-08,
2.9792187500000002,-2.8015625,6.2e-08,
3.06046875,-3.8015625,6.4e-08,
2.94171875,-3.0109375000000003,6.600000000000001e-08,
2.98125,-3.2,6.8e-08,
2.99984375,-3.2,7e-08,
2.97953125,-2.6046875000000003,7.200000000000001e-08,
2.9803125,-3.4000000000000004,7.4e-08,
3.02,-2.6,7.6e-08,
2.99953125,-3.203125,7.800000000000001e-08,
2.92,-3.2015625,8e-08,
2.980625,-3.4000000000000004,8.2e-08,
2.96,-2.9937500000000004,8.400000000000001e-08,
2.9,-2.6,8.6e-08,
2.9803125,-3.4000000000000004,8.800000000000001e-08,
2.98,-3.7906250000000004,9.000000000000001e-08,
2.96,-2.6,9.2e-08,
2.98015625,-3.59375,9.400000000000001e-08,
2.99984375,-3.1953125,9.600000000000001e-08,
2.97984375,-3.1968750000000004,9.8e-08,
3.0003125,-3.0046875,1.0000000000000001e-07,
2.99953125,-3.5968750000000003,1.02e-07,
2.98,-3.0,1.04e-07,
3.02,-3.6015625,1.0600000000000001e-07,
2.9996875000000003,-3.0,1.08e-07,
2.96,-3.6015625,1.1e-07,
2.97953125,-3.3984375,1.1200000000000001e-07,
3.0,-4.0,1.14e-07,
2.9609375,-3.5984375,1.16e-07,
2.9396875000000002,-3.5953125000000004,1.1800000000000001e-07,
3.001875,-3.621875,1.2000000000000002e-07,
3.03953125,-2.6015625,1.22e-07,
3.00015625,-3.3984375,1.24e-07,
3.06015625,-3.2,1.2600000000000002e-07,
2.9990625,-3.403125,1.28e-07,
2.99984375,-3.203125,1.3e-07,
2.9803125,-2.5734375000000003,1.3200000000000002e-07,
3.03953125,-4.0015625,1.34e-07,
3.04015625,-3.0,1.36e-07,
3.02015625,-2.8000000000000003,1.3800000000000002e-07,
2.98015625,-3.0109375000000003,1.4e-07,
2.979375,-3.3953125,1.42e-07,
3.01984375,-2.7984375000000004,1.4400000000000002e-07,
2.98078125,-3.7796875,1.46e-07,
2.9596875000000002,-3.4000000000000004,1.48e-07,
2.96046875,-3.2015625,1.5000000000000002e-07,
3.040625,-3.1984375000000003,1.52e-07,
3.08,-2.7984375000000004,1.54e-07,
