CH1,CH2,CH3,time,Ts
-0.0319375,-0.04603125,-0.28,0.0,4e-09
-0.016,-0.044046875,-0.3603125,4e-09,
-0.032,-0.044171875,-0.36,8e-09,
-0.028,-0.048,-0.32,1.2000000000000002e-08,
-0.02403125,-0.038,-0.400625,1.6e-08,
-0.0159375,-0.050234375,-0.480625,2e-08,
-0.01603125,-0.048,-0.4,2.4000000000000003e-08,
-0.02009375,-0.050015625,-0.44,2.8000000000000003e-08,
-0.028,-0.048,-0.36125,3.2e-08,
-0.0200625,-0.0460625,-0.44125000000000003,3.6000000000000005e-08,
-0.016,-0.042046875,-0.47875,4e-08,
-0.02396875,-0.046,-0.3603125,4.4000000000000004e-08,
-0.0279375,-0.042015625,-0.48,4.8000000000000006e-08,
-0.02,-0.048203125,-0.48,5.2e-08,
-0.024,-0.05,-0.4003125,5.6000000000000005e-08,
-0.016,-0.04803125,-0.4,6.000000000000001e-08,
-0.024,-0.04203125,-0.36,6.4e-08,
-0.032,-0.05,-0.52,6.8e-08,
-0.024,-0.054,-0.36,7.200000000000001e-08,
-0.032,-0.0499375,-0.52,7.6e-08,
-0.02,-0.048015625,-0.36,8e-08,
-0.028,-0.044,-0.480625,8.400000000000001e-08,
-0.012,-0.044046875,-0.28,8.800000000000001e-08,
-0.032,-0.046,-0.4809375,9.2e-08,
-0.00409375,-0.043953125,-0.44,9.600000000000001e-08,
-0.020375,-0.04403125,-0.4409375,1.0000000000000001e-07,
-0.031968750000000004,-0.046,-0.28,1.04e-07,
-0.02390625,-0.046171875,-0.4,1.08e-07,
-0.02,-0.052000000000000005,-0.36,1.1200000000000001e-07,
-0.024,-0.048,-0.4403125,1.16e-07,
-0.044,-0.051984375,-0.359375,1.2000000000000002e-07,
-0.0240625,-0.047968750000000004,-0.35875,1.24e-07,
-0.0320625,-0.051937500000000004,-0.44,1.28e-07,
-0.01996875,-0.039828125,-0.3603125,1.3200000000000002e-07,
-0.02,-0.043953125,-0.4003125,1.36e-07,
-0.02,-0.041875,-0.28,1.4e-07,
-0.02003125,-0.04215625,-0.39968750000000003,1.4400000000000002e-07,
-0.028,-0.048,-0.36062500000000003,1.48e-07,
-0.01596875,-0.043953125,-0.52,1.52e-07,
-0.016125,-0.0480625,-0.52,1.5600000000000002e-07,
-0.024,-0.05,-0.4403125,1.6e-07,
-0.01603125,-0.046,-0.4815625,1.64e-07,
-0.028,-0.048,-0.36,1.6800000000000002e-07,
-0.03203125,-0.04203125,-0.44,1.72e-07,
-0.02396875,-0.047953125,-0.36,1.7600000000000001e-07,
