a0,a1,vout,a2,a3,a4,a5,a6,a7,tempS,d
404.0,3546.0,109.15,1454.0,2519.0,2334.0,147.0,2903.0,27.0,1.44,20.31
394.0,3539.0,108.94,1451.0,2520.0,2335.0,143.0,2904.0,26.0,1.12,20.34
407.0,3543.0,109.06,1451.0,2521.0,2335.0,144.0,2899.0,24.0,0.48,20.31
429.0,3546.0,109.15,1455.0,2521.0,2335.0,141.0,2898.0,24.0,0.48,20.37
429.0,3544.0,109.09,1455.0,2522.0,2335.0,144.0,2903.0,25.0,0.8,20.28
402.0,3545.0,109.12,1455.0,2524.0,2336.0,147.0,2900.0,25.0,0.8,20.31
412.0,3544.0,109.09,1453.0,2520.0,2335.0,138.0,2898.0,28.0,1.76,20.34
426.0,3542.0,109.03,1453.0,2521.0,2334.0,151.0,2899.0,27.0,1.44,20.34
413.0,3544.0,109.09,1452.0,2519.0,2334.0,139.0,2901.0,23.0,0.16,20.37
416.0,3542.0,109.03,1452.0,2520.0,2334.0,146.0,2901.0,26.0,1.12,20.25
407.0,3544.0,109.09,1456.0,2522.0,2336.0,147.0,2899.0,27.0,1.44,20.37
423.0,3543.0,109.06,1454.0,2521.0,2335.0,141.0,2897.0,23.0,0.16,20.34
428.0,3541.0,109.0,1453.0,2521.0,2336.0,142.0,2900.0,27.0,1.44,20.37
416.0,3543.0,109.06,1454.0,2522.0,2335.0,140.0,2899.0,24.0,0.48,20.34
417.0,3542.0,109.03,1453.0,2521.0,2335.0,134.0,2898.0,24.0,0.48,20.31
423.0,3545.0,109.12,1456.0,2520.0,2336.0,151.0,2899.0,26.0,1.12,20.37
416.0,3542.0,109.03,1451.0,2522.0,2336.0,143.0,2899.0,25.0,0.8,20.34
421.0,3541.0,109.0,1453.0,2520.0,2335.0,151.0,2903.0,26.0,1.12,20.31
422.0,3540.0,108.97,1453.0,2521.0,2335.0,147.0,2899.0,26.0,1.12,20.4
411.0,3542.0,109.03,1452.0,2521.0,2337.0,148.0,2902.0,27.0,1.44,20.31
419.0,3544.0,109.09,1451.0,2522.0,2336.0,149.0,2903.0,30.0,2.41,20.31
411.0,3541.0,109.0,1454.0,2521.0,2335.0,147.0,2901.0,26.0,1.12,20.37
416.0,3544.0,109.09,1452.0,2520.0,2337.0,139.0,2899.0,25.0,0.8,20.31
428.0,3540.0,108.97,1451.0,2520.0,2334.0,138.0,2899.0,25.0,0.8,20.34
405.0,3543.0,109.06,1455.0,2522.0,2336.0,152.0,2902.0,29.0,2.09,20.43
428.0,3541.0,109.0,1451.0,2521.0,2336.0,152.0,2899.0,26.0,1.12,20.37
425.0,3543.0,109.06,1454.0,2523.0,2337.0,154.0,2899.0,24.0,0.48,20.34
420.0,3543.0,109.06,1454.0,2523.0,2337.0,152.0,2900.0,25.0,0.8,20.28
403.0,3543.0,109.06,1453.0,2520.0,2336.0,139.0,2900.0,26.0,1.12,20.31
411.0,3543.0,109.06,1454.0,2523.0,2338.0,138.0,2899.0,23.0,0.16,20.31
412.0,3543.0,109.06,1452.0,2519.0,2336.0,141.0,2901.0,26.0,1.12,20.31
404.0,3541.0,109.0,1454.0,2522.0,2337.0,138.0,2902.0,25.0,0.8,20.34
423.0,3543.0,109.06,1457.0,2523.0,2337.0,139.0,2899.0,23.0,0.16,20.34
412.0,3541.0,109.0,1453.0,2521.0,2337.0,144.0,2900.0,25.0,0.8,20.34
412.0,3540.0,108.97,1457.0,2520.0,2336.0,151.0,2900.0,24.0,0.48,20.28
413.0,3543.0,109.06,1452.0,2520.0,2336.0,148.0,2899.0,23.0,0.16,20.37
426.0,3541.0,109.0,1452.0,2520.0,2337.0,146.0,2900.0,24.0,0.48,20.4
413.0,3541.0,109.0,1456.0,2519.0,2336.0,145.0,2899.0,24.0,0.48,20.31
411.0,3540.0,108.97,1453.0,2523.0,2337.0,148.0,2899.0,24.0,0.48,20.34
420.0,3541.0,109.0,1452.0,2522.0,2337.0,141.0,2900.0,30.0,2.41,20.37
428.0,3541.0,109.0,1452.0,2523.0,2337.0,137.0,2898.0,25.0,0.8,20.25
421.0,3543.0,109.06,1453.0,2521.0,2336.0,140.0,2901.0,27.0,1.44,20.31
414.0,3541.0,109.0,1451.0,2519.0,2337.0,152.0,2901.0,26.0,1.12,20.31
415.0,3541.0,109.0,1451.0,2519.0,2336.0,139.0,2899.0,24.0,0.48,20.4
412.0,3542.0,109.03,1451.0,2519.0,2336.0,141.0,2900.0,24.0,0.48,20.43
417.0,3542.0,109.03,1453.0,2522.0,2339.0,151.0,2903.0,23.0,0.16,20.37
409.0,3544.0,109.09,1449.0,2521.0,2337.0,141.0,2900.0,23.0,0.16,20.34
413.0,3545.0,109.12,1457.0,2524.0,2338.0,144.0,2899.0,28.0,1.76,20.34
398.0,3540.0,108.97,1452.0,2521.0,2337.0,147.0,2900.0,24.0,0.48,20.34
410.0,3543.0,109.06,1453.0,2521.0,2336.0,138.0,2900.0,23.0,0.16,20.25
408.0,3544.0,109.09,1457.0,2523.0,2338.0,143.0,2900.0,25.0,0.8,20.37
399.0,3542.0,109.03,1454.0,2520.0,2337.0,141.0,2901.0,26.0,1.12,20.37
415.0,3542.0,109.03,1450.0,2518.0,2337.0,153.0,2902.0,25.0,0.8,20.37
416.0,3543.0,109.06,1456.0,2523.0,2339.0,138.0,2899.0,24.0,0.48,20.34
426.0,3546.0,109.15,1454.0,2522.0,2336.0,149.0,2901.0,29.0,2.09,20.34
410.0,3542.0,109.03,1452.0,2520.0,2336.0,149.0,2901.0,23.0,0.16,20.28
416.0,3542.0,109.03,1451.0,2521.0,2337.0,135.0,2898.0,22.0,-0.16,20.31
403.0,3541.0,109.0,1451.0,2517.0,2337.0,150.0,2900.0,24.0,0.48,20.37
411.0,3542.0,109.03,1450.0,2519.0,2338.0,143.0,2902.0,26.0,1.12,20.34
421.0,3541.0,109.0,1450.0,2519.0,2337.0,142.0,2903.0,26.0,1.12,20.31
410.0,3544.0,109.09,1453.0,2521.0,2337.0,154.0,2901.0,26.0,1.12,20.28
407.0,3541.0,109.0,1451.0,2521.0,2340.0,143.0,2902.0,24.0,0.48,20.37
416.0,3543.0,109.06,1451.0,2521.0,2338.0,140.0,2900.0,26.0,1.12,20.28
418.0,3539.0,108.94,1453.0,2520.0,2338.0,153.0,2903.0,28.0,1.76,20.34
409.0,3542.0,109.03,1453.0,2522.0,2337.0,143.0,2899.0,25.0,0.8,20.4
400.0,3543.0,109.06,1453.0,2520.0,2337.0,145.0,2902.0,26.0,1.12,20.25
420.0,3541.0,109.0,1451.0,2520.0,2338.0,145.0,2901.0,26.0,1.12,20.31
417.0,3545.0,109.12,1454.0,2522.0,2337.0,139.0,2900.0,25.0,0.8,20.34
396.0,3543.0,109.06,1453.0,2520.0,2338.0,138.0,2899.0,27.0,1.44,20.34
410.0,3541.0,109.0,1450.0,2518.0,2338.0,154.0,2902.0,28.0,1.76,20.31
410.0,3543.0,109.06,1454.0,2522.0,2338.0,156.0,2900.0,25.0,0.8,20.37
407.0,3542.0,109.03,1453.0,2522.0,2338.0,140.0,2900.0,25.0,0.8,20.34
410.0,3541.0,109.0,1452.0,2521.0,2338.0,140.0,2899.0,25.0,0.8,20.37
406.0,3544.0,109.09,1455.0,2523.0,2338.0,143.0,2898.0,24.0,0.48,20.31
412.0,3541.0,109.0,1450.0,2521.0,2339.0,150.0,2900.0,24.0,0.48,20.34
421.0,3543.0,109.06,1451.0,2519.0,2338.0,142.0,2900.0,24.0,0.48,20.37
414.0,3543.0,109.06,1453.0,2521.0,2337.0,151.0,2899.0,23.0,0.16,20.34
423.0,3541.0,109.0,1453.0,2522.0,2339.0,146.0,2901.0,28.0,1.76,20.25
414.0,3543.0,109.06,1452.0,2519.0,2338.0,144.0,2903.0,25.0,0.8,20.31
403.0,3541.0,109.0,1451.0,2522.0,2338.0,150.0,2899.0,29.0,2.09,20.28
411.0,3539.0,108.94,1455.0,2520.0,2338.0,147.0,2901.0,25.0,0.8,20.37
427.0,3541.0,109.0,1454.0,2522.0,2338.0,146.0,2899.0,23.0,0.16,20.31
422.0,3541.0,109.0,1450.0,2520.0,2338.0,143.0,2900.0,26.0,1.12,20.34
411.0,3544.0,109.09,1456.0,2521.0,2338.0,140.0,2902.0,24.0,0.48,20.31
398.0,3542.0,109.03,1452.0,2519.0,2337.0,148.0,2898.0,28.0,1.76,20.28
407.0,3542.0,109.03,1452.0,2520.0,2338.0,150.0,2900.0,24.0,0.48,20.31
434.0,3543.0,109.06,1452.0,2521.0,2337.0,141.0,2900.0,25.0,0.8,20.4
424.0,3544.0,109.09,1453.0,2521.0,2338.0,142.0,2897.0,23.0,0.16,20.4
409.0,3542.0,109.03,1452.0,2521.0,2339.0,150.0,2899.0,27.0,1.44,20.34
412.0,3542.0,109.03,1451.0,2519.0,2338.0,139.0,2903.0,25.0,0.8,20.22
425.0,3543.0,109.06,1451.0,2519.0,2337.0,146.0,2900.0,26.0,1.12,20.37
408.0,3542.0,109.03,1453.0,2523.0,2339.0,151.0,2900.0,26.0,1.12,20.34
410.0,3542.0,109.03,1452.0,2521.0,2338.0,145.0,2899.0,26.0,1.12,20.25
408.0,3539.0,108.94,1449.0,2520.0,2341.0,139.0,2903.0,29.0,2.09,20.37
