a0,a1,vout,a2,a3,a4,a5,a6,a7,Vin,tempS,TempP,ene
408.0,3542.0,109.03,1449.0,2520.0,2348.0,156.0,2896.0,28.0,1.76,20.51,8.79,1200.0
415.0,3546.0,109.15,1449.0,2519.0,2339.0,140.0,2894.0,29.0,2.09,20.45,8.87,1200.0
411.0,3540.0,108.97,1445.0,2520.0,2353.0,145.0,2897.0,27.0,1.44,20.43,8.79,1200.0
409.0,3545.0,109.12,1449.0,2522.0,2340.0,146.0,2895.0,28.0,1.76,20.51,8.75,1200.0
410.0,3543.0,109.06,1448.0,2521.0,2340.0,150.0,2895.0,26.0,1.12,20.45,8.79,1200.0
412.0,3543.0,109.06,1445.0,2519.0,2349.0,146.0,2898.0,30.0,2.41,20.4,8.92,1200.0
414.0,3544.0,109.09,1449.0,2522.0,2339.0,148.0,2895.0,26.0,1.12,20.54,8.77,1200.0
407.0,3541.0,109.0,1446.0,2520.0,2348.0,147.0,2896.0,28.0,1.76,20.48,8.77,1200.0
421.0,3542.0,109.03,1446.0,2521.0,2342.0,149.0,2893.0,23.0,0.16,20.43,8.82,1200.0
414.0,3543.0,109.06,1445.0,2519.0,2342.0,148.0,2897.0,23.0,0.16,20.45,8.77,1200.0
419.0,3540.0,108.97,1446.0,2522.0,2352.0,148.0,2897.0,26.0,1.12,20.51,8.89,1200.0
409.0,3544.0,109.09,1449.0,2522.0,2345.0,138.0,2885.0,24.0,0.48,20.69,8.89,1200.0
420.0,3544.0,109.09,1449.0,2522.0,2340.0,137.0,2561.0,23.0,0.16,30.5,8.84,1200.0
422.0,3544.0,109.09,1449.0,2525.0,2341.0,143.0,1746.0,21.0,-0.48,53.73,8.82,1200.0
389.0,3544.0,109.09,1449.0,2523.0,2326.0,146.0,1031.0,19.0,-1.13,79.45,8.77,3160.0
401.0,3543.0,109.06,1448.0,2521.0,2354.0,150.0,581.0,19.0,-1.13,106.68,8.87,0.0
397.0,3543.0,109.06,1449.0,2519.0,2329.0,152.0,584.0,16.0,-2.09,106.53,8.79,0.0
396.0,3543.0,109.06,1449.0,2524.0,2341.0,146.0,573.0,16.0,-2.09,107.21,8.79,0.0
424.0,3545.0,109.12,1446.0,2520.0,2359.0,144.0,528.0,19.0,-1.13,110.29,8.89,0.0
422.0,3544.0,109.09,1445.0,2521.0,2342.0,143.0,377.0,17.0,-1.77,125.0,8.77,0.0
421.0,3544.0,109.09,1450.0,2522.0,2335.0,145.0,335.0,20.0,-0.8,125.0,8.87,0.0
416.0,3543.0,109.06,1445.0,2520.0,2352.0,138.0,315.0,18.0,-1.45,125.0,8.79,0.0
421.0,3543.0,109.06,1446.0,2522.0,2333.0,144.0,358.0,16.0,-2.09,125.0,8.87,0.0
409.0,3544.0,109.09,1446.0,2521.0,2348.0,149.0,534.0,19.0,-1.13,110.36,8.79,0.0
408.0,3545.0,109.12,1448.0,2522.0,2347.0,139.0,719.0,17.0,-1.77,96.41,8.87,0.0
405.0,3540.0,108.97,1451.0,2525.0,2342.0,140.0,890.0,17.0,-1.77,85.28,8.82,3160.0
414.0,3544.0,109.09,1449.0,2523.0,2356.0,145.0,1044.0,20.0,-0.8,78.91,8.79,3160.0
424.0,3543.0,109.06,1449.0,2521.0,2349.0,130.0,1166.0,21.0,-0.48,73.42,8.89,3160.0
406.0,3539.0,108.94,1444.0,2521.0,2345.0,156.0,1275.0,24.0,0.48,69.77,8.75,3160.0
409.0,3542.0,109.03,1445.0,2520.0,2348.0,155.0,1357.0,20.0,-0.8,66.45,8.77,3160.0
421.0,3547.0,109.19,1450.0,2525.0,2347.0,158.0,1430.0,24.0,0.48,63.58,8.82,3160.0
421.0,3546.0,109.15,1447.0,2522.0,2345.0,141.0,1487.0,20.0,-0.8,61.53,8.79,3160.0
408.0,3542.0,109.03,1444.0,2519.0,2348.0,147.0,1542.0,21.0,-0.48,60.17,8.75,3160.0
411.0,3543.0,109.06,1444.0,2523.0,2345.0,147.0,1582.0,21.0,-0.48,58.96,8.84,1200.0
417.0,3545.0,109.12,1445.0,2519.0,2346.0,148.0,1625.0,21.0,-0.48,57.66,8.79,1200.0
427.0,3541.0,109.0,1446.0,2522.0,2347.0,153.0,1657.0,22.0,-0.16,56.59,8.7,1200.0
423.0,3541.0,109.0,1447.0,2523.0,2345.0,149.0,1689.0,24.0,0.48,55.6,8.82,1200.0
415.0,3545.0,109.12,1450.0,2523.0,2350.0,139.0,1719.0,25.0,0.8,54.54,8.79,1200.0
405.0,3543.0,109.06,1450.0,2523.0,2346.0,143.0,1747.0,22.0,-0.16,53.56,8.77,1200.0
417.0,3545.0,109.12,1446.0,2517.0,2343.0,152.0,1777.0,20.0,-0.8,52.66,8.75,1200.0
411.0,3544.0,109.09,1447.0,2519.0,2346.0,145.0,1801.0,22.0,-0.16,51.85,8.79,1200.0
408.0,3541.0,109.0,1445.0,2518.0,2340.0,139.0,1822.0,27.0,1.44,51.09,8.77,1200.0
403.0,3540.0,108.97,1444.0,2518.0,2349.0,144.0,1847.0,23.0,0.16,50.24,8.82,1200.0
415.0,3545.0,109.12,1447.0,2520.0,2344.0,144.0,1864.0,25.0,0.8,49.81,8.84,1200.0
416.0,3543.0,109.06,1445.0,2520.0,2347.0,140.0,1881.0,21.0,-0.48,49.28,8.77,1200.0
405.0,3541.0,109.0,1447.0,2523.0,2348.0,143.0,1902.0,22.0,-0.16,48.72,8.82,1200.0
418.0,3545.0,109.12,1445.0,2522.0,2343.0,147.0,1921.0,21.0,-0.48,48.28,8.87,1200.0
400.0,3545.0,109.12,1448.0,2520.0,2346.0,137.0,1940.0,25.0,0.8,47.9,8.79,1200.0
411.0,3544.0,109.09,1445.0,2521.0,2344.0,143.0,1959.0,24.0,0.48,47.44,8.89,1200.0
418.0,3541.0,109.0,1444.0,2522.0,2346.0,138.0,1975.0,24.0,0.48,46.99,8.77,1200.0
403.0,3542.0,109.03,1447.0,2522.0,2347.0,146.0,1990.0,25.0,0.8,46.54,8.79,1200.0
391.0,3543.0,109.06,1447.0,2521.0,2343.0,152.0,2005.0,23.0,0.16,46.22,8.77,1200.0
413.0,3544.0,109.09,1448.0,2521.0,2349.0,144.0,2022.0,24.0,0.48,45.68,8.79,1200.0
411.0,3541.0,109.0,1446.0,2521.0,2345.0,153.0,2038.0,25.0,0.8,45.21,8.82,1200.0
428.0,3543.0,109.06,1448.0,2523.0,2345.0,139.0,2052.0,21.0,-0.48,44.84,8.79,1200.0
407.0,3541.0,109.0,1444.0,2519.0,2346.0,139.0,2065.0,23.0,0.16,44.47,8.87,1200.0
397.0,3541.0,109.0,1444.0,2522.0,2346.0,139.0,2077.0,19.0,-1.13,44.09,8.89,1200.0
416.0,3544.0,109.09,1445.0,2520.0,2346.0,136.0,2093.0,23.0,0.16,43.71,8.79,1200.0
420.0,3543.0,109.06,1445.0,2521.0,2346.0,152.0,2108.0,24.0,0.48,43.24,8.87,1200.0
412.0,3545.0,109.12,1448.0,2522.0,2344.0,149.0,2118.0,21.0,-0.48,42.94,8.82,1200.0
417.0,3541.0,109.0,1445.0,2521.0,2346.0,155.0,2132.0,21.0,-0.48,42.57,8.84,1200.0
409.0,3541.0,109.0,1445.0,2520.0,2345.0,143.0,2140.0,21.0,-0.48,42.24,8.77,1200.0
415.0,3540.0,108.97,1447.0,2523.0,2345.0,142.0,2154.0,19.0,-1.13,41.83,8.84,1200.0
416.0,3543.0,109.06,1447.0,2521.0,2347.0,140.0,2167.0,22.0,-0.16,41.39,8.82,1200.0
407.0,3540.0,108.97,1445.0,2519.0,2344.0,144.0,2180.0,19.0,-1.13,41.0,8.79,1200.0
422.0,3546.0,109.15,1449.0,2523.0,2348.0,143.0,2190.0,23.0,0.16,40.75,8.79,1200.0
408.0,3543.0,109.06,1446.0,2520.0,2344.0,155.0,2202.0,24.0,0.48,40.35,8.72,1200.0
421.0,3543.0,109.06,1444.0,2519.0,2344.0,141.0,2208.0,23.0,0.16,40.02,8.79,1200.0
399.0,3542.0,109.03,1447.0,2522.0,2346.0,146.0,2219.0,22.0,-0.16,39.69,8.84,1200.0
417.0,3542.0,109.03,1451.0,2524.0,2344.0,153.0,2232.0,21.0,-0.48,39.32,8.79,1200.0
411.0,3545.0,109.12,1447.0,2520.0,2347.0,141.0,2241.0,21.0,-0.48,38.94,8.79,1200.0
424.0,3545.0,109.12,1446.0,2520.0,2344.0,148.0,2251.0,22.0,-0.16,38.63,8.79,1200.0
421.0,3542.0,109.03,1447.0,2521.0,2343.0,144.0,2258.0,23.0,0.16,38.32,8.84,1200.0
416.0,3543.0,109.06,1448.0,2521.0,2344.0,143.0,2267.0,21.0,-0.48,38.07,8.87,1200.0
393.0,3545.0,109.12,1447.0,2521.0,2345.0,138.0,2277.0,24.0,0.48,37.71,8.82,1200.0
425.0,3542.0,109.03,1445.0,2521.0,2345.0,143.0,2286.0,22.0,-0.16,37.58,8.72,1200.0
423.0,3541.0,109.0,1443.0,2520.0,2346.0,146.0,2294.0,22.0,-0.16,37.43,8.84,1200.0
424.0,3545.0,109.12,1444.0,2520.0,2343.0,141.0,2302.0,20.0,-0.8,37.16,8.82,1200.0
