CH1,CH4,time,Ts
388.0,-0.5,0.0,1e-08
390.0,-0.5,1e-08,
390.0,-0.7000000000000001,2e-08,
390.0,-0.30000000000000004,3.0000000000000004e-08,
384.0,-0.6000000000000001,4e-08,
394.0,-0.6000000000000001,5e-08,
392.0,-0.7000000000000001,6.000000000000001e-08,
390.0,-0.5,7e-08,
392.0,-0.5,8e-08,
396.0,-0.8,9e-08,
396.0,-0.4,1e-07,
390.0,-0.4,1.1e-07,
396.0,-0.7000000000000001,1.2000000000000002e-07,
390.0,-0.7000000000000001,1.3e-07,
388.0,-0.6000000000000001,1.4e-07,
394.0,-0.5,1.5e-07,
394.0,-0.7000000000000001,1.6e-07,
392.0,-0.5,1.7000000000000001e-07,
394.0,-0.8,1.8e-07,
396.0,-0.6000000000000001,1.9e-07,
388.0,-0.7000000000000001,2e-07,
396.0,-0.7000000000000001,2.1e-07,
392.0,-0.5,2.2e-07,
394.0,-0.4,2.3e-07,
388.0,-0.5,2.4000000000000003e-07,
390.0,-0.5,2.5e-07,
392.0,-0.4,2.6e-07,
392.0,-0.7000000000000001,2.7e-07,
392.0,-0.5,2.8e-07,
388.0,-0.6000000000000001,2.9000000000000003e-07,
398.0,-0.6000000000000001,3e-07,
396.0,-0.7000000000000001,3.1e-07,
388.0,-0.6000000000000001,3.2e-07,
396.0,-0.7000000000000001,3.3e-07,
394.0,-0.6000000000000001,3.4000000000000003e-07,
388.0,-0.4,3.5e-07,
390.0,-0.6000000000000001,3.6e-07,
394.0,-0.6000000000000001,3.7e-07,
394.0,-0.6000000000000001,3.8e-07,
386.0,-0.5,3.9e-07,
392.0,-0.7000000000000001,4e-07,
390.0,-0.6000000000000001,4.1e-07,
390.0,-0.8,4.2e-07,
392.0,-0.7000000000000001,4.3e-07,
388.0,-0.6000000000000001,4.4e-07,
392.0,-0.6000000000000001,4.5000000000000003e-07,
394.0,-0.6000000000000001,4.6e-07,
388.0,-0.2,4.7e-07,
392.0,-1.0,4.800000000000001e-07,
390.0,-0.8,4.9e-07,
392.0,-0.8,5e-07,
392.0,-0.6000000000000001,5.1e-07,
394.0,-0.6000000000000001,5.2e-07,
394.0,-0.8,5.3e-07,
392.0,-0.6000000000000001,5.4e-07,
388.0,-0.8,5.5e-07,
388.0,-0.4,5.6e-07,
386.0,-0.7000000000000001,5.7e-07,
394.0,-0.5,5.800000000000001e-07,
390.0,-0.7000000000000001,5.9e-07,
394.0,-0.7000000000000001,6e-07,
392.0,-0.7000000000000001,6.1e-07,
392.0,-0.7000000000000001,6.2e-07,
388.0,-0.7000000000000001,6.3e-07,
390.0,-0.6000000000000001,6.4e-07,
392.0,-0.7000000000000001,6.5e-07,
390.0,-0.7000000000000001,6.6e-07,
388.0,-0.8,6.7e-07,
388.0,-0.8,6.800000000000001e-07,
394.0,-0.6000000000000001,6.900000000000001e-07,
390.0,-0.6000000000000001,7e-07,
388.0,-0.7000000000000001,7.1e-07,
390.0,-1.0,7.2e-07,
398.0,-0.8,7.3e-07,
394.0,-0.8,7.4e-07,
388.0,-0.4,7.5e-07,
392.0,-0.6000000000000001,7.6e-07,
396.0,-0.7000000000000001,7.7e-07,
386.0,-0.4,7.8e-07,
392.0,-0.30000000000000004,7.900000000000001e-07,
394.0,-0.6000000000000001,8e-07,
394.0,-0.5,8.1e-07,
392.0,-0.6000000000000001,8.2e-07,
400.0,-0.7000000000000001,8.3e-07,
394.0,-0.7000000000000001,8.4e-07,
394.0,-0.6000000000000001,8.5e-07,
390.0,-0.6000000000000001,8.6e-07,
394.0,-0.5,8.7e-07,
388.0,-0.6000000000000001,8.8e-07,
392.0,-0.8,8.900000000000001e-07,
390.0,-0.5,9.000000000000001e-07,
392.0,-0.8,9.1e-07,
388.0,-0.6000000000000001,9.2e-07,
388.0,-0.30000000000000004,9.3e-07,
390.0,-0.5,9.4e-07,
392.0,-0.30000000000000004,9.5e-07,
396.0,-0.7000000000000001,9.600000000000001e-07,
388.0,-0.6000000000000001,9.7e-07,
396.0,-0.6000000000000001,9.8e-07,
392.0,-0.5,9.9e-07,
390.0,-0.6000000000000001,1e-06,
394.0,-0.9,1.01e-06,
392.0,-0.8,1.02e-06,
388.0,-0.4,1.03e-06,
394.0,-0.8,1.04e-06,
388.0,-0.6000000000000001,1.0500000000000001e-06,
390.0,-1.0,1.06e-06,
390.0,-1.0,1.07e-06,
396.0,-0.6000000000000001,1.08e-06,
394.0,-0.8,1.09e-06,
394.0,-0.6000000000000001,1.1e-06,
390.0,-0.7000000000000001,1.11e-06,
388.0,-0.9,1.12e-06,
