CH1,CH2,time,Ts
3.46,-0.5,0.0,4e-09
3.48,-0.49921875000000004,4e-09,
3.42,-0.50390625,8e-09,
3.48,-0.69921875,1.2000000000000002e-08,
3.47984375,-0.6000000000000001,1.6e-08,
3.43984375,-0.70078125,2e-08,
3.4601562500000003,-0.6023437500000001,2.4000000000000003e-08,
3.48,-0.5015625,2.8000000000000003e-08,
3.5,-0.5,3.2e-08,
3.4803125,-0.30000000000000004,3.6000000000000005e-08,
3.43984375,-0.6023437500000001,4e-08,
3.46,-0.4,4.4000000000000004e-08,
3.4601562500000003,-0.7039062500000001,4.8000000000000006e-08,
3.5,-0.7992187500000001,5.2e-08,
3.4801562500000003,-0.50546875,5.6000000000000005e-08,
3.46,-0.30546875,6.000000000000001e-08,
3.47984375,-0.59921875,6.4e-08,
3.4796875000000003,-0.20078125000000002,6.8e-08,
3.4803125,-0.60859375,7.200000000000001e-08,
3.52,-0.5,7.6e-08,
3.4796875000000003,-0.60078125,8e-08,
3.46,-0.30390625000000004,8.400000000000001e-08,
3.48,-0.7000000000000001,8.800000000000001e-08,
3.5,-0.49921875000000004,9.2e-08,
3.46,-0.90625,9.600000000000001e-08,
3.52,-0.703125,1.0000000000000001e-07,
3.48,-0.6000000000000001,1.04e-07,
3.52,-0.59609375,1.08e-07,
3.46,-0.30078125,1.1200000000000001e-07,
3.54046875,-0.50625,1.16e-07,
3.419375,-0.6000000000000001,1.2000000000000002e-07,
3.5009375,-0.6000000000000001,1.24e-07,
3.499375,-0.7046875,1.28e-07,
3.46,-0.7000000000000001,1.3200000000000002e-07,
3.48,-0.6000000000000001,1.36e-07,
3.48,-0.79453125,1.4e-07,
3.47984375,-0.49843750000000003,1.4400000000000002e-07,
3.5203125,-0.79609375,1.48e-07,
3.51984375,-0.09453125000000001,1.52e-07,
3.47953125,-0.59609375,1.5600000000000002e-07,
3.4201562500000002,-0.49453125000000003,1.6e-07,
3.52,-0.5015625,1.64e-07,
3.44,-0.5,1.6800000000000002e-07,
3.4801562500000003,-0.59765625,1.72e-07,
3.499375,-0.50234375,1.7600000000000001e-07,
3.44,-0.8,1.8000000000000002e-07,
3.5003125,-0.3984375,1.84e-07,
3.52,-0.7000000000000001,1.8800000000000002e-07,
3.4801562500000003,-0.49609375,1.9200000000000003e-07,
3.47984375,-0.2,1.96e-07,
3.4801562500000003,-0.3984375,2.0000000000000002e-07,
3.49984375,-0.6023437500000001,2.04e-07,
3.48,-0.7015625000000001,2.08e-07,
3.5,-0.6023437500000001,2.1200000000000002e-07,
3.47984375,-0.29375,2.16e-07,
3.5196875,-0.30390625000000004,2.2e-07,
3.56,-0.49843750000000003,2.2400000000000002e-07,
3.5,-0.40390625,2.28e-07,
3.49953125,-0.40078125000000003,2.32e-07,
3.52,-0.59921875,2.3600000000000002e-07,
3.5,-0.5,2.4000000000000003e-07,
3.4996875000000003,-0.6000000000000001,2.44e-07,
3.5396875,-0.40703125,2.48e-07,
3.54,-0.30000000000000004,2.5200000000000003e-07,
3.4996875000000003,-0.49843750000000003,2.56e-07,
3.48,-0.696875,2.6e-07,
3.5,-0.7000000000000001,2.6400000000000003e-07,
3.48,-0.603125,2.68e-07,
3.5,-0.3984375,2.72e-07,
3.48,-0.60078125,2.7600000000000004e-07,
3.5,-0.2,2.8e-07,
3.4803125,-0.5984375000000001,2.84e-07,
3.54,-0.39765625000000004,2.8800000000000004e-07,
3.48,-0.48984375,2.92e-07,
3.52,-0.7000000000000001,2.96e-07,
3.46046875,-0.49921875000000004,3.0000000000000004e-07,
3.4801562500000003,-0.50234375,3.04e-07,
3.52,-0.40078125000000003,3.08e-07,
3.48,-0.6000000000000001,3.1200000000000004e-07,
3.5,-0.50390625,3.16e-07,
3.52,-0.5,3.2e-07,
3.48,-0.40156250000000004,3.2400000000000004e-07,
3.52,-0.39687500000000003,3.28e-07,
3.46,-0.6000000000000001,3.32e-07,
3.4603125,-0.40468750000000003,3.3600000000000004e-07,
3.54,-0.3984375,3.4000000000000003e-07,
3.54,-0.5,3.44e-07,
3.46,-0.40625,3.4800000000000005e-07,
3.4996875000000003,-0.40156250000000004,3.5200000000000003e-07,
3.50015625,-0.80078125,3.56e-07,
3.54,-0.31015625,3.6000000000000005e-07,
3.49984375,-0.4078125,3.6400000000000003e-07,
3.5,-0.70078125,3.68e-07,
3.52,-0.403125,3.7200000000000005e-07,
3.5,-0.5015625,3.7600000000000003e-07,
3.5,-0.49765625,3.8e-07,
3.5,-0.69921875,3.8400000000000005e-07,
3.52,-0.59921875,3.8800000000000003e-07,
3.5,-0.603125,3.92e-07,
3.48,-0.5,3.96e-07,
3.4996875000000003,-0.59765625,4.0000000000000003e-07,
3.5596875,-0.1015625,4.04e-07,
3.5803125000000002,-0.5,4.08e-07,
3.48,-0.30078125,4.1200000000000004e-07,
3.48,-0.39296875000000003,4.16e-07,
3.5,-0.59921875,4.2e-07,
3.48,-0.30312500000000003,4.2400000000000004e-07,
3.5003125,-0.49453125000000003,4.28e-07,
3.42046875,-0.80078125,4.32e-07,
3.4609375,-0.60703125,4.3600000000000004e-07,
3.54,-0.4,4.4e-07,
3.48,-0.6015625,4.44e-07,
