CH1,CH2,time,Ts
0.6598437500000001,-4.603125,0.0,4e-09
0.6803125,-4.809375,4e-09,
0.69984375,-4.4015625,8e-09,
0.6396875,-5.2093750000000005,1.2000000000000002e-08,
0.64015625,-5.028125,1.6e-08,
0.68015625,-4.4,2e-08,
0.64,-5.0046875,2.4000000000000003e-08,
0.68,-5.596875000000001,2.8000000000000003e-08,
0.61984375,-5.1890625,3.2e-08,
0.64,-4.6015625,3.6000000000000005e-08,
0.71984375,-4.7921875,4e-08,
0.66,-4.9984375000000005,4.4000000000000004e-08,
0.70015625,-4.800000000000001,4.8000000000000006e-08,
0.62,-5.198437500000001,5.2e-08,
0.61984375,-5.196875,5.6000000000000005e-08,
0.64,-4.8046875,6.000000000000001e-08,
0.66,-5.003125000000001,6.4e-08,
0.64015625,-5.4,6.8e-08,
0.61984375,-5.2125,7.200000000000001e-08,
0.6598437500000001,-5.003125000000001,7.6e-08,
0.64015625,-5.2,8e-08,
0.64,-4.6109375,8.400000000000001e-08,
0.64,-4.6171875,8.800000000000001e-08,
0.66,-5.3968750000000005,9.2e-08,
0.66015625,-5.3984375,9.600000000000001e-08,
0.6598437500000001,-5.59375,1.0000000000000001e-07,
0.68015625,-4.8031250000000005,1.04e-07,
0.6001562500000001,-5.1937500000000005,1.08e-07,
0.66,-4.9921875,1.1200000000000001e-07,
0.68,-4.390625,1.16e-07,
0.64,-5.401562500000001,1.2000000000000002e-07,
0.6,-4.7984375,1.24e-07,
0.61953125,-4.996875,1.28e-07,
0.6996875,-4.790625,1.3200000000000002e-07,
0.68,-4.5953125,1.36e-07,
0.67984375,-5.3953125,1.4e-07,
0.66,-4.9859375,1.4400000000000002e-07,
0.68015625,-4.6000000000000005,1.48e-07,
0.62015625,-4.995312500000001,1.52e-07,
0.6396875,-5.8046875,1.5600000000000002e-07,
0.64,-5.421875,1.6e-07,
0.64,-5.0015625,1.64e-07,
0.64,-5.401562500000001,1.6800000000000002e-07,
0.64015625,-4.809375,1.72e-07,
0.6796875,-4.6046875,1.7600000000000001e-07,
0.7000000000000001,-4.800000000000001,1.8000000000000002e-07,
0.68015625,-4.378125,1.84e-07,
0.6598437500000001,-6.4078125,1.8800000000000002e-07,
0.64,-5.41875,1.9200000000000003e-07,
0.66,-4.7984375,1.96e-07,
0.66,-5.80625,2.0000000000000002e-07,
0.64,-5.4125000000000005,2.04e-07,
0.68,-5.0,2.08e-07,
0.68015625,-5.4,2.1200000000000002e-07,
0.62,-5.009375,2.16e-07,
0.6001562500000001,-4.7984375,2.2e-07,
0.66015625,-4.6000000000000005,2.2400000000000002e-07,
0.66,-4.7984375,2.28e-07,
0.64,-5.0062500000000005,2.32e-07,
0.63953125,-5.403125,2.3600000000000002e-07,
0.6603125,-5.6109375,2.4000000000000003e-07,
0.59984375,-4.7890625,2.44e-07,
0.64046875,-4.996875,2.48e-07,
0.66,-5.0,2.5200000000000003e-07,
0.66015625,-4.8140625,2.56e-07,
0.66,-5.8031250000000005,2.6e-07,
0.67984375,-4.5953125,2.6400000000000003e-07,
0.68015625,-5.40625,2.68e-07,
0.6796875,-5.0046875,2.72e-07,
0.6196875000000001,-5.2046875,2.7600000000000004e-07,
0.62,-5.2015625000000005,2.8e-07,
0.7000000000000001,-4.80625,2.84e-07,
0.66,-4.409375,2.8800000000000004e-07,
0.68015625,-5.196875,2.92e-07,
0.5996875,-5.2015625000000005,2.96e-07,
0.6203125,-4.9906250000000005,3.0000000000000004e-07,
0.64,-4.6000000000000005,3.04e-07,
0.66015625,-4.800000000000001,3.08e-07,
0.7000000000000001,-4.7859375,3.1200000000000004e-07,
0.64015625,-4.39375,3.16e-07,
0.66015625,-5.198437500000001,3.2e-07,
0.64,-4.4015625,3.2400000000000004e-07,
0.6603125,-5.3968750000000005,3.28e-07,
0.68,-4.7953125000000005,3.32e-07,
0.66,-5.2,3.3600000000000004e-07,
0.68,-5.003125000000001,3.4000000000000003e-07,
0.64015625,-4.60625,3.44e-07,
0.6203125,-5.198437500000001,3.4800000000000005e-07,
0.66015625,-4.9984375000000005,3.5200000000000003e-07,
0.66,-4.99375,3.56e-07,
0.62,-4.6000000000000005,3.6000000000000005e-07,
0.66,-5.0015625,3.6400000000000003e-07,
0.6001562500000001,-4.8031250000000005,3.68e-07,
0.7000000000000001,-5.390625,3.7200000000000005e-07,
0.6596875,-5.1921875,3.7600000000000003e-07,
0.6403125000000001,-5.003125000000001,3.8e-07,
0.6598437500000001,-5.3953125,3.8400000000000005e-07,
0.62,-5.393750000000001,3.8800000000000003e-07,
0.68,-5.0,3.92e-07,
0.72015625,-4.9984375000000005,3.96e-07,
0.6587500000000001,-5.3875,4.0000000000000003e-07,
0.62046875,-4.800000000000001,4.04e-07,
0.68,-5.8015625,4.08e-07,
0.6196875000000001,-4.996875,4.1200000000000004e-07,
0.6596875,-5.393750000000001,4.16e-07,
0.68,-4.98125,4.2e-07,
0.62015625,-4.2015625000000005,4.2400000000000004e-07,
0.64015625,-5.1921875,4.28e-07,
0.64015625,-5.3984375,4.32e-07,
0.68,-5.4,4.3600000000000004e-07,
0.63984375,-5.2015625000000005,4.4e-07,
0.64,-5.0,4.44e-07,
0.66,-5.0,4.4800000000000004e-07,
0.66,-4.7984375,4.52e-07,
0.62015625,-5.4046875000000005,4.56e-07,
0.72015625,-5.2015625000000005,4.6000000000000004e-07,
0.66,-5.2,4.64e-07,
0.7000000000000001,-4.603125,4.68e-07,
0.66,-5.203125,4.7200000000000004e-07,
0.6804687500000001,-4.390625,4.7600000000000003e-07,
0.59984375,-5.010937500000001,4.800000000000001e-07,
0.66046875,-5.0,4.84e-07,
0.61921875,-4.4203125000000005,4.88e-07,
0.59984375,-5.800000000000001,4.92e-07,
0.66,-5.800000000000001,4.96e-07,
0.66,-5.3953125,5.000000000000001e-07,
0.7000000000000001,-5.3984375,5.040000000000001e-07,
0.6596875,-4.987500000000001,5.08e-07,
0.66,-4.203125,5.12e-07,
0.66,-5.190625000000001,5.16e-07,
0.67984375,-5.1890625,5.2e-07,
0.63984375,-4.5859375,5.24e-07,
0.64,-4.4,5.280000000000001e-07,
0.70015625,-5.40625,5.32e-07,
0.67921875,-4.7953125000000005,5.36e-07,
0.5996875,-5.2,5.4e-07,
0.62015625,-5.401562500000001,5.44e-07,
0.64,-5.2,5.48e-07,
0.61984375,-4.59375,5.520000000000001e-07,
0.6598437500000001,-4.2093750000000005,5.560000000000001e-07,
0.63984375,-5.196875,5.6e-07,
0.66015625,-5.1859375000000005,5.64e-07,
0.66,-4.80625,5.68e-07,
0.66015625,-5.2,5.72e-07,
0.62,-4.790625,5.760000000000001e-07,
0.6596875,-5.0078125,5.800000000000001e-07,
0.7000000000000001,-5.025,5.84e-07,
0.64,-4.196875,5.88e-07,
0.6396875,-4.8015625,5.92e-07,
0.6796875,-4.3734375000000005,5.96e-07,
0.7000000000000001,-5.6015625,6.000000000000001e-07,
0.6603125,-4.3984375,6.040000000000001e-07,
0.6596875,-5.1875,6.08e-07,
0.68,-4.60625,6.12e-07,
0.66,-4.996875,6.16e-07,
0.68,-5.393750000000001,6.2e-07,
0.66,-5.2,6.240000000000001e-07,
0.6598437500000001,-4.2046875,6.280000000000001e-07,
0.7000000000000001,-4.5890625,6.32e-07,
0.68,-4.800000000000001,6.36e-07,
0.69984375,-4.6046875,6.4e-07,
0.66015625,-4.6000000000000005,6.44e-07,
0.69984375,-4.8015625,6.480000000000001e-07,
0.64015625,-4.9984375000000005,6.520000000000001e-07,
0.67984375,-5.0,6.56e-07,
0.66015625,-5.2,6.6e-07,
0.63984375,-4.8125,6.64e-07,
0.62,-5.0062500000000005,6.68e-07,
0.66,-5.796875,6.720000000000001e-07,
0.72,-5.809375,6.760000000000001e-07,
0.66046875,-5.3890625000000005,6.800000000000001e-07,
0.6,-4.6000000000000005,6.84e-07,
0.6596875,-5.1921875,6.88e-07,
0.66,-4.996875,6.92e-07,
0.62015625,-4.3859375,6.960000000000001e-07,
0.7000000000000001,-5.3984375,7.000000000000001e-07,
0.68,-4.5984375,7.040000000000001e-07,
0.6196875000000001,-4.978125,7.08e-07,
0.6796875,-5.198437500000001,7.12e-07,
0.63953125,-4.6015625,7.16e-07,
0.64,-4.7921875,7.200000000000001e-07,
0.64,-5.003125000000001,7.240000000000001e-07,
0.64,-5.0062500000000005,7.280000000000001e-07,
0.67953125,-4.5984375,7.32e-07,
0.70015625,-5.2078125,7.36e-07,
0.64015625,-5.0140625000000005,7.4e-07,
0.68015625,-4.4,7.440000000000001e-07,
0.68,-5.010937500000001,7.480000000000001e-07,
0.64,-5.2125,7.520000000000001e-07,
0.66,-4.8015625,7.56e-07,
0.6598437500000001,-5.3984375,7.6e-07,
0.6996875,-4.7953125000000005,7.64e-07,
0.72,-5.6000000000000005,7.680000000000001e-07,
0.7000000000000001,-4.403125,7.720000000000001e-07,
0.63984375,-4.7859375,7.760000000000001e-07,
0.66,-5.2,7.8e-07,
0.6598437500000001,-5.0078125,7.84e-07,
0.6796875,-4.7921875,7.88e-07,
0.6803125,-5.603125,7.92e-07,
0.64015625,-5.018750000000001,7.960000000000001e-07,
0.6596875,-4.8015625,8.000000000000001e-07,
0.58,-5.3968750000000005,8.04e-07,
0.68015625,-4.4171875,8.08e-07,
0.6409375,-4.8031250000000005,8.12e-07,
0.63953125,-5.0015625,8.16e-07,
0.73984375,-5.215625,8.200000000000001e-07,
0.65953125,-4.190625,8.240000000000001e-07,
0.64,-4.59375,8.280000000000001e-07,
0.68,-5.800000000000001,8.32e-07,
0.62,-4.784375,8.36e-07,
