CH1,CH2,CH4,time,Ts
-0.040625,-0.32,-0.05,0.0,2e-09
-0.12,-0.35953125,-0.050234375,2e-09,
0.000625,-0.27984375,-0.02,4e-09,
0.04,-0.361875,-0.05,6.000000000000001e-09,
0.0,-0.37796875,-0.040078125,8e-09,
0.04,-0.3003125,-0.039765625,1e-08,
0.19968750000000002,-0.38125000000000003,-0.05,1.2000000000000002e-08,
0.0003125,-0.34,-0.000625,1.4000000000000001e-08,
0.079375,-0.32015625000000003,-0.019375,1.6e-08,
0.12,-0.34015625,-0.070078125,1.8000000000000002e-08,
-0.0003125,-0.3596875,-0.029296875,2e-08,
0.080625,-0.32015625000000003,0.0,2.2000000000000002e-08,
0.07968750000000001,-0.3603125,-0.070234375,2.4000000000000003e-08,
0.08,-0.31953125,-0.04,2.6e-08,
0.0409375,-0.2971875,-0.05,2.8000000000000003e-08,
0.0,-0.39968750000000003,-0.00046875,3.0000000000000004e-08,
0.0,-0.32125,-0.01,3.2e-08,
-0.038125,-0.2996875,-0.03015625,3.4e-08,
-0.08125,-0.32,-0.050234375,3.6000000000000005e-08,
-0.0384375,-0.32015625000000003,0.0,3.8e-08,
-0.1215625,-0.338125,-0.009609375,4e-08,
0.040625,-0.3803125,-0.039921875,4.2000000000000006e-08,
-0.0003125,-0.33984375,-0.03,4.4000000000000004e-08,
0.0,-0.38015625000000003,-0.040234375,4.6e-08,
0.0396875,-0.3003125,-0.04015625,4.8000000000000006e-08,
-0.040625,-0.3,0.0,5.0000000000000004e-08,
-0.04,-0.36,-0.03,5.2e-08,
0.0,-0.33859375,-0.020234375,5.4e-08,
-0.0384375,-0.400625,-0.03,5.6000000000000005e-08,
-0.080625,-0.30109375,-0.0403125,5.8e-08,
0.0396875,-0.3390625,-0.06,6.000000000000001e-08,
0.001875,-0.4396875,-0.039921875,6.2e-08,
-0.1603125,-0.42078125,-0.030234375,6.4e-08,
-0.001875,-0.34125,-0.04,6.600000000000001e-08,
-0.0003125,-0.3196875,-0.01,6.8e-08,
0.0403125,-0.34,-0.03015625,7e-08,
0.0396875,-0.34,-0.03,7.200000000000001e-08,
0.0,-0.36,-0.04,7.4e-08,
-0.0003125,-0.42,-0.030078125,7.6e-08,
-0.0403125,-0.36015625,-0.04,7.800000000000001e-08,
0.08,-0.3809375,-0.0103125,8e-08,
-0.0403125,-0.30046875,0.01,8.2e-08,
-0.0003125,-0.3,-7.8125e-05,8.400000000000001e-08,
-0.0003125,-0.32,-0.009765625,8.6e-08,
0.08,-0.32,-0.059921875,8.800000000000001e-08,
-0.0403125,-0.34015625,-0.029921875,9.000000000000001e-08,
0.12,-0.34,-0.029921875,9.2e-08,
-0.04,-0.3409375,-0.030078125,9.400000000000001e-08,
0.1196875,-0.28,-0.039843750000000004,9.600000000000001e-08,
0.0396875,-0.34,-0.02,9.8e-08,
0.0396875,-0.32,-0.040234375,1.0000000000000001e-07,
-0.0803125,-0.43984375000000003,-0.049921875000000004,1.02e-07,
-0.04,-0.36078125,-0.040078125,1.04e-07,
-0.12,-0.359375,-0.04,1.0600000000000001e-07,
-0.0396875,-0.3409375,-0.04,1.08e-07,
0.0003125,-0.29984375,-0.04,1.1e-07,
-0.11937500000000001,-0.34,-0.04,1.1200000000000001e-07,
-0.040625,-0.32,-0.03,1.14e-07,
0.04,-0.36,-0.03,1.16e-07,
0.0390625,-0.38,-0.06,1.1800000000000001e-07,
0.12125,-0.36140625,-0.03015625,1.2000000000000002e-07,
-0.0403125,-0.34,-0.04,1.22e-07,
0.12125,-0.35984375,-0.02015625,1.24e-07,
0.07968750000000001,-0.3,-0.01,1.2600000000000002e-07,
0.1609375,-0.34015625,-0.02015625,1.28e-07,
0.11812500000000001,-0.34015625,-0.050078125,1.3e-07,
0.0,-0.36015625,-0.00015625,1.3200000000000002e-07,
0.07843750000000001,-0.30046875,-0.02046875,1.34e-07,
0.0809375,-0.339375,-0.06015625,1.36e-07,
0.0003125,-0.39984375,-0.05984375,1.3800000000000002e-07,
-0.040625,-0.3803125,-0.029375000000000002,1.4e-07,
0.1196875,-0.31984375,-0.01,1.42e-07,
0.040625,-0.31984375,-0.03,1.4400000000000002e-07,
0.080625,-0.38078125,-0.040078125,1.46e-07,
0.0009375,-0.28046875,-0.05,1.48e-07,
0.16,-0.28,-0.02,1.5000000000000002e-07,
-0.0015625,-0.34,-0.04015625,1.52e-07,
0.0003125,-0.31984375,-0.04,1.54e-07,
0.07968750000000001,-0.3,-0.05,1.5600000000000002e-07,
0.04,-0.3,-0.049765625,1.58e-07,
0.04,-0.3,-0.02,1.6e-07,
-0.0003125,-0.3196875,-0.039843750000000004,1.6200000000000002e-07,
0.07968750000000001,-0.34,-0.04,1.64e-07,
0.040625,-0.3,-0.05015625,1.66e-07,
-0.12,-0.340625,-0.0103125,1.6800000000000002e-07,
-0.0403125,-0.33984375,-0.01984375,1.7000000000000001e-07,
-0.0396875,-0.28046875,-0.05015625,1.72e-07,
0.039375,-0.29921875000000003,-0.02,1.7400000000000002e-07,
0.12,-0.38,-0.040078125,1.7600000000000001e-07,
0.039375,-0.34,-0.019453125,1.78e-07,
0.04,-0.34015625,-0.030390625,1.8000000000000002e-07,
-0.0003125,-0.3803125,-0.0496875,1.8200000000000002e-07,
0.0409375,-0.40015625,-0.01,1.84e-07,
0.0803125,-0.34125,-0.039843750000000004,1.8600000000000002e-07,
-0.0803125,-0.35921875000000003,-0.020078125,1.8800000000000002e-07,
0.11937500000000001,-0.4003125,-0.040078125,1.9e-07,
