CH1,CH2,CH4,time,Ts
0.04,-0.07,-0.06,0.0,2e-08
-0.04,-0.08,-0.03,2e-08,
0.16,-0.03,-0.01,4e-08,
0.04,-0.05,-0.05,6.000000000000001e-08,
0.0,-0.06,-0.03,8e-08,
-0.16,-0.07,-0.06,1e-07,
0.04,-0.02,-0.07,1.2000000000000002e-07,
0.24,-0.04,-0.02,1.4e-07,
0.04,-0.05,-0.03,1.6e-07,
-0.04,-0.05,-0.02,1.8e-07,
0.04,-0.05,-0.05,2e-07,
0.0,-0.06,-0.02,2.2e-07,
0.16,-0.01,-0.05,2.4000000000000003e-07,
-0.04,-0.07,-0.02,2.6e-07,
-0.04,-0.04,-0.03,2.8e-07,
0.0,-0.08,-0.06,3e-07,
-0.04,-0.05,-0.04,3.2e-07,
-0.08,-0.05,-0.05,3.4000000000000003e-07,
-0.04,-0.09,-0.01,3.6e-07,
-0.04,-0.05,-0.05,3.8e-07,
-0.08,-0.08,-0.03,4e-07,
0.12,-0.11,-0.05,4.2e-07,
0.12,-0.05,-0.04,4.4e-07,
-0.08,-0.05,-0.04,4.6e-07,
-0.08,-0.06,-0.03,4.800000000000001e-07,
0.12,-0.06,-0.04,5e-07,
-0.04,-0.02,-0.04,5.2e-07,
0.0,-0.07,-0.03,5.4e-07,
-0.04,-0.03,-0.02,5.6e-07,
-0.04,-0.04,-0.02,5.800000000000001e-07,
-0.08,-0.09,0.0,6e-07,
-0.08,-0.08,-0.02,6.2e-07,
0.0,-0.05,-0.02,6.4e-07,
0.0,-0.08,-0.03,6.6e-07,
-0.04,-0.06,-0.04,6.800000000000001e-07,
0.0,-0.07,-0.07,7e-07,
0.04,-0.06,-0.04,7.2e-07,
0.0,-0.07,-0.06,7.4e-07,
-0.08,-0.05,-0.01,7.6e-07,
0.0,-0.06,-0.02,7.8e-07,
0.12,-0.06,-0.04,8e-07,
-0.12,-0.07,-0.06,8.2e-07,
-0.12,-0.04,-0.03,8.4e-07,
-0.12,-0.07,-0.05,8.6e-07,
0.0,-0.04,-0.03,8.8e-07,
0.04,-0.04,-0.04,9.000000000000001e-07,
-0.12,-0.07,-0.04,9.2e-07,
-0.04,-0.03,-0.03,9.4e-07,
0.12,-0.06,-0.05,9.600000000000001e-07,
0.04,-0.04,-0.06,9.8e-07,
0.0,-0.05,-0.03,1e-06,
-0.16,-0.06,-0.02,1.02e-06,
-0.08,-0.05,-0.03,1.04e-06,
-0.04,-0.06,-0.05,1.06e-06,
-0.08,-0.05,-0.02,1.08e-06,
0.04,-0.03,-0.05,1.1e-06,
0.0,-0.08,-0.06,1.12e-06,
-0.04,-0.06,-0.03,1.14e-06,
0.04,-0.04,-0.04,1.1600000000000001e-06,
-0.08,-0.07,-0.01,1.18e-06,
0.08,-0.05,-0.03,1.2e-06,
0.04,-0.06,-0.05,1.22e-06,
0.08,-0.09,-0.01,1.24e-06,
0.04,-0.07,-0.03,1.26e-06,
-0.12,-0.07,-0.03,1.28e-06,
-0.04,-0.08,-0.03,1.3e-06,
0.04,-0.06,-0.03,1.32e-06,
0.0,-0.05,-0.05,1.34e-06,
-0.08,-0.04,-0.02,1.3600000000000001e-06,
0.0,-0.04,-0.04,1.3800000000000001e-06,
0.0,-0.04,-0.02,1.4e-06,
0.0,-0.07,-0.06,1.42e-06,
0.08,-0.06,-0.08,1.44e-06,
0.0,-0.05,-0.04,1.46e-06,
0.0,-0.05,-0.04,1.48e-06,
-0.16,-0.04,-0.05,1.5e-06,
-0.04,-0.05,-0.05,1.52e-06,
-0.08,-0.06,-0.02,1.54e-06,
-0.04,-0.07,-0.04,1.56e-06,
0.08,-0.06,-0.03,1.5800000000000001e-06,
0.0,-0.04,-0.04,1.6e-06,
-0.08,-0.06,-0.02,1.62e-06,
-0.08,-0.06,-0.05,1.64e-06,
-0.04,-0.07,0.0,1.66e-06,
0.0,-0.08,-0.05,1.68e-06,
-0.08,-0.07,-0.01,1.7e-06,
0.04,-0.08,-0.05,1.72e-06,
-0.04,-0.06,-0.03,1.74e-06,
-0.04,-0.03,-0.06,1.76e-06,
-0.04,-0.07,0.0,1.7800000000000001e-06,
0.0,-0.02,-0.02,1.8000000000000001e-06,
-0.12,-0.05,-0.06,1.82e-06,
