CH1,CH2,CH4,time,Ts
374.0,9.0415625,-6.0,0.0,2e-09
371.828125,9.2009375,-4.800000000000001,2e-09,
386.0625,9.1596875,-6.0,4e-09,
366.09375,9.16125,-6.0,6.000000000000001e-09,
372.078125,9.0396875,-6.0,8e-09,
367.953125,9.120625,-6.3968750000000005,1e-08,
372.140625,9.120000000000001,-4.800000000000001,1.2000000000000002e-08,
375.984375,9.1596875,-6.0,1.4000000000000001e-08,
371.921875,9.120000000000001,-4.800000000000001,1.6e-08,
370.03125,9.16,-6.393750000000001,1.8000000000000002e-08,
373.9375,9.0803125,-6.0,2e-08,
374.0,9.08,-6.800000000000001,2.2000000000000002e-08,
374.015625,9.0803125,-5.99375,2.4000000000000003e-08,
369.96875,9.08,-6.0,2.6e-08,
375.953125,9.160625,-6.0,2.8000000000000003e-08,
370.15625,9.2403125,-6.4,3.0000000000000004e-08,
361.9375,9.244375,-6.41875,3.2e-08,
370.109375,8.9603125,-4.8031250000000005,3.4e-08,
370.015625,9.160937500000001,-5.603125,3.6000000000000005e-08,
374.046875,9.198125000000001,-4.8031250000000005,3.8e-08,
373.9375,9.079062500000001,-6.0,4e-08,
367.984375,9.1621875,-4.800000000000001,4.2000000000000006e-08,
372.015625,9.2396875,-6.003125000000001,4.4000000000000004e-08,
374.0,9.1234375,-5.21875,4.6e-08,
364.0,9.040625,-5.2,4.8000000000000006e-08,
376.0,9.079375,-6.800000000000001,5.0000000000000004e-08,
374.0,8.9996875,-4.80625,5.2e-08,
367.984375,9.1234375,-6.4,5.4e-08,
372.0,9.240625,-5.6000000000000005,5.6000000000000005e-08,
370.0625,9.1578125,-6.393750000000001,5.8e-08,
368.015625,8.96,-5.6000000000000005,6.000000000000001e-08,
374.03125,9.120625,-6.003125000000001,6.2e-08,
371.96875,9.1184375,-5.6000000000000005,6.4e-08,
369.90625,9.040625,-5.987500000000001,6.600000000000001e-08,
363.90625,9.160937500000001,-4.809375,6.8e-08,
366.0625,9.1190625,-6.4,7e-08,
380.0,9.0796875,-5.2,7.200000000000001e-08,
369.96875,9.120000000000001,-6.403125,7.4e-08,
371.984375,9.119375,-6.0,7.6e-08,
373.96875,9.0796875,-7.2,7.800000000000001e-08,
376.0,9.1628125,-6.393750000000001,8e-08,
372.03125,9.2784375,-5.596875000000001,8.2e-08,
373.9375,9.0,-5.6000000000000005,8.400000000000001e-08,
373.859375,9.120625,-5.1937500000000005,8.6e-08,
367.984375,9.0403125,-5.196875,8.800000000000001e-08,
374.0625,9.200000000000001,-6.390625,9.000000000000001e-08,
375.984375,9.0796875,-6.0,9.2e-08,
371.828125,9.2425,-4.800000000000001,9.400000000000001e-08,
363.9375,9.1978125,-5.987500000000001,9.600000000000001e-08,
368.171875,9.16,-6.390625,9.8e-08,
378.015625,9.040000000000001,-7.2,1.0000000000000001e-07,
370.046875,9.0,-5.60625,1.02e-07,
374.0,9.20125,-5.6156250000000005,1.04e-07,
370.0,9.1978125,-6.4,1.0600000000000001e-07,
373.953125,9.079375,-6.0,1.08e-07,
373.96875,9.161875,-6.4,1.1e-07,
376.046875,9.201875,-5.2,1.1200000000000001e-07,
369.96875,9.0384375,-6.0,1.14e-07,
372.03125,9.041875000000001,-5.2,1.16e-07,
369.984375,9.20125,-6.009375,1.1800000000000001e-07,
367.984375,9.159062500000001,-5.612500000000001,1.2000000000000002e-07,
366.0,9.1596875,-4.800000000000001,1.22e-07,
376.0,9.120000000000001,-5.603125,1.24e-07,
367.984375,9.159062500000001,-5.603125,1.2600000000000002e-07,
372.03125,9.040000000000001,-5.603125,1.28e-07,
378.0,9.160625,-5.6000000000000005,1.3e-07,
372.0,9.079375,-6.4,1.3200000000000002e-07,
370.0,9.161875,-6.0062500000000005,1.34e-07,
366.03125,9.16,-5.2,1.36e-07,
377.953125,9.24,-4.80625,1.3800000000000002e-07,
376.015625,9.1984375,-4.796875,1.4e-07,
374.0,9.0396875,-6.009375,1.42e-07,
370.015625,9.1603125,-6.393750000000001,1.4400000000000002e-07,
374.015625,9.038125,-5.6000000000000005,1.46e-07,
371.953125,9.081875,-6.0062500000000005,1.48e-07,
374.078125,9.16,-6.4,1.5000000000000002e-07,
380.0625,9.1625,-6.4,1.52e-07,
370.125,9.080625,-6.0125,1.54e-07,
371.9375,9.11875,-5.2,1.5600000000000002e-07,
373.9375,9.160625,-6.003125000000001,1.58e-07,
376.09375,9.08,-5.6156250000000005,1.6e-07,
370.03125,9.159375,-4.4,1.6200000000000002e-07,
373.890625,9.119375,-5.996875,1.64e-07,
373.984375,9.1996875,-4.809375,1.66e-07,
373.984375,9.12125,-5.203125,1.6800000000000002e-07,
372.015625,9.079375,-4.415625,1.7000000000000001e-07,
