CH1,CH2,CH3,time,Ts
2.96046875,-0.38,-0.400625,0.0,2e-09
3.06015625,-0.38,-0.28,2e-09,
3.0203125,-0.38015625000000003,-0.19968750000000002,4e-09,
2.96,-0.4,-0.24,6.000000000000001e-09,
3.04,-0.42031250000000003,-0.4396875,8e-09,
2.99984375,-0.39968750000000003,-0.361875,1e-08,
3.05984375,-0.44015625,-0.35875,1.2000000000000002e-08,
3.0203125,-0.36,-0.440625,1.4000000000000001e-08,
2.98,-0.36015625,-0.2396875,1.6e-08,
2.98,-0.32,-0.4,1.8000000000000002e-08,
2.98,-0.3803125,-0.36,2e-08,
2.99984375,-0.40046875,-0.39937500000000004,2.2000000000000002e-08,
3.02,-0.34046875,-0.3596875,2.4000000000000003e-08,
3.03984375,-0.359375,-0.32,2.6e-08,
3.0,-0.42,-0.2403125,2.8000000000000003e-08,
2.9990625,-0.40015625,-0.27875,3.0000000000000004e-08,
2.9209375,-0.43984375000000003,-0.200625,3.2e-08,
3.0998437500000002,-0.3603125,-0.36062500000000003,3.4e-08,
2.9601562500000003,-0.37921875,-0.28500000000000003,3.6000000000000005e-08,
3.03984375,-0.38015625000000003,-0.27875,3.8e-08,
3.00015625,-0.39984375,-0.4,4e-08,
3.039375,-0.42,-0.27968750000000003,4.2000000000000006e-08,
3.02109375,-0.38,-0.27968750000000003,4.4000000000000004e-08,
2.96,-0.40015625,-0.36,4.6e-08,
2.97984375,-0.3596875,-0.280625,4.8000000000000006e-08,
2.9609375,-0.42,-0.31875000000000003,5.0000000000000004e-08,
3.04,-0.36,-0.32,5.2e-08,
2.9592187500000002,-0.3803125,-0.32,5.4e-08,
2.98015625,-0.33953125,-0.36,5.6000000000000005e-08,
2.98078125,-0.3409375,-0.44,5.8e-08,
3.0807812500000002,-0.42046875,-0.359375,6.000000000000001e-08,
3.0421875000000003,-0.4009375,-0.32406250000000003,6.2e-08,
2.9,-0.36,-0.2,6.4e-08,
2.99890625,-0.38,-0.36125,6.600000000000001e-08,
2.9803125,-0.3603125,-0.359375,6.8e-08,
2.99984375,-0.44,-0.32,7e-08,
2.999375,-0.34,-0.3203125,7.200000000000001e-08,
3.0396875,-0.39937500000000004,-0.3203125,7.4e-08,
2.9796875000000003,-0.40046875,-0.319375,7.6e-08,
3.0003125,-0.39984375,-0.4,7.800000000000001e-08,
3.00015625,-0.46,-0.319375,8e-08,
2.9996875000000003,-0.4,-0.28,8.2e-08,
2.94,-0.43984375000000003,-0.2803125,8.400000000000001e-08,
3.04,-0.34,-0.36,8.6e-08,
2.93921875,-0.358125,-0.481875,8.800000000000001e-08,
2.9796875000000003,-0.44,-0.320625,9.000000000000001e-08,
2.9996875000000003,-0.3596875,-0.36,9.2e-08,
3.04015625,-0.36078125,-0.2403125,9.400000000000001e-08,
3.0603125,-0.4,-0.3196875,9.600000000000001e-08,
2.9601562500000003,-0.38,-0.240625,9.8e-08,
3.019375,-0.42015625,-0.4378125,1.0000000000000001e-07,
3.0,-0.41921875000000003,-0.4896875,1.02e-07,
3.0,-0.48,-0.239375,1.04e-07,
3.04,-0.4396875,-0.3609375,1.0600000000000001e-07,
2.99984375,-0.37984375000000004,-0.27968750000000003,1.08e-07,
3.0,-0.40015625,-0.3615625,1.1e-07,
2.96,-0.37984375000000004,-0.36062500000000003,1.1200000000000001e-07,
3.0,-0.39984375,-0.4403125,1.14e-07,
2.94,-0.41984375,-0.31875000000000003,1.16e-07,
2.96,-0.44,-0.28,1.1800000000000001e-07,
3.01953125,-0.42,-0.36,1.2000000000000002e-07,
3.08046875,-0.43921875,-0.359375,1.22e-07,
3.00078125,-0.33968750000000003,-0.27968750000000003,1.24e-07,
3.019375,-0.42046875,-0.27968750000000003,1.2600000000000002e-07,
