CH1,CH2,CH3,time,Ts
0.492,-0.041984375000000004,-0.3609375,0.0,4e-09
0.484,-0.039984375,-0.36,4e-09,
0.492,-0.042,-0.2,8e-09,
0.488,-0.04,-0.32,1.2000000000000002e-08,
0.492,-0.0400625,-0.36,1.6e-08,
0.492,-0.035984375,-0.2403125,2e-08,
0.488,-0.035984375,-0.28,2.4000000000000003e-08,
0.4879375,-0.033953125,-0.39937500000000004,2.8000000000000003e-08,
0.50396875,-0.04,-0.2415625,3.2e-08,
0.492,-0.03603125,-0.32,3.6000000000000005e-08,
0.48796875,-0.0339375,-0.39937500000000004,4e-08,
0.484,-0.03803125,-0.2803125,4.4000000000000004e-08,
0.492,-0.037984375,-0.32,4.8000000000000006e-08,
0.47996875,-0.041953125,-0.320625,5.2e-08,
0.492,-0.041953125,-0.3603125,5.6000000000000005e-08,
0.47590625000000003,-0.036046875,-0.24,6.000000000000001e-08,
0.4880625,-0.038015625,-0.400625,6.4e-08,
0.49203125000000003,-0.040015625,-0.36,6.8e-08,
0.49593750000000003,-0.040125,-0.200625,7.200000000000001e-08,
0.48009375,-0.038015625,-0.2809375,7.6e-08,
0.48790625,-0.044015625,-0.2803125,8e-08,
0.499875,-0.040109375,-0.32,8.400000000000001e-08,
0.5079375,-0.04,-0.36,8.800000000000001e-08,
0.488,-0.038,-0.2403125,9.2e-08,
0.4879375,-0.04,-0.2809375,9.600000000000001e-08,
0.5,-0.03796875,-0.4396875,1.0000000000000001e-07,
0.49603125000000003,-0.037984375,-0.4,1.04e-07,
0.492,-0.038015625,-0.3596875,1.08e-07,
0.48403125,-0.033984375000000004,-0.28,1.1200000000000001e-07,
0.484,-0.037859375,-0.3203125,1.16e-07,
0.49203125000000003,-0.04403125,-0.3203125,1.2000000000000002e-07,
0.4920625,-0.046,-0.36125,1.24e-07,
0.47596875,-0.04009375,-0.2803125,1.28e-07,
0.49578125,-0.040015625,-0.44,1.3200000000000002e-07,
0.50403125,-0.04,-0.400625,1.36e-07,
0.49590625,-0.042046875,-0.28,1.4e-07,
0.4839375,-0.0380625,-0.32,1.4400000000000002e-07,
0.48403125,-0.044015625,-0.28,1.48e-07,
0.4919375,-0.03403125,-0.36,1.52e-07,
0.496,-0.042015625,-0.4003125,1.5600000000000002e-07,
0.4920625,-0.035984375,-0.39875,1.6e-07,
0.48,-0.0459375,-0.24,1.64e-07,
0.488,-0.039921875,-0.36,1.6800000000000002e-07,
0.492,-0.0379375,-0.2803125,1.72e-07,
0.5,-0.040015625,-0.39968750000000003,1.7600000000000001e-07,
0.48403125,-0.04,-0.4003125,1.8000000000000002e-07,
0.49190625,-0.039984375,-0.359375,1.84e-07,
0.50396875,-0.039953125,-0.24,1.8800000000000002e-07,
0.5,-0.03603125,-0.27968750000000003,1.9200000000000003e-07,
0.49996875,-0.0379375,-0.3203125,1.96e-07,
0.49196875,-0.042078125,-0.32,2.0000000000000002e-07,
0.49196875,-0.04215625,-0.2775,2.04e-07,
0.49596875,-0.036015625,-0.39968750000000003,2.08e-07,
0.496,-0.04003125,-0.2003125,2.1200000000000002e-07,
0.4920625,-0.037984375,-0.3178125,2.16e-07,
0.48796875,-0.04403125,-0.39968750000000003,2.2e-07,
0.488,-0.041921875000000004,-0.2403125,2.2400000000000002e-07,
0.48796875,-0.0360625,-0.32,2.28e-07,
0.484125,-0.0360625,-0.24,2.32e-07,
0.4759375,-0.042,-0.200625,2.3600000000000002e-07,
0.49584375,-0.04609375,-0.3615625,2.4000000000000003e-07,
0.4919375,-0.035921875,-0.4003125,2.44e-07,
0.47996875,-0.035953125,-0.28,2.48e-07,
0.484,-0.04196875,-0.4015625,2.5200000000000003e-07,
0.492,-0.043984375,-0.44125000000000003,2.56e-07,
0.484,-0.04203125,-0.36,2.6e-07,
0.484,-0.042015625,-0.44125000000000003,2.6400000000000003e-07,
0.49603125000000003,-0.043953125,-0.44125000000000003,2.68e-07,
0.47600000000000003,-0.0419375,-0.24,2.72e-07,
0.49203125000000003,-0.043921875,-0.2809375,2.7600000000000004e-07,
0.48796875,-0.033984375000000004,-0.28,2.8e-07,
0.484,-0.04184375,-0.3203125,2.84e-07,
0.49596875,-0.0419375,-0.36,2.8800000000000004e-07,
0.4880625,-0.04,-0.28,2.92e-07,
0.4919375,-0.042,-0.48,2.96e-07,
