CH1,CH2,CH3,time,Ts
-0.012,-0.036000000000000004,-0.20015625,0.0,2e-09
-0.0119375,-0.038,-0.27984375,2e-09,
-0.016,-0.036015625,-0.2403125,4e-09,
-6.25e-05,-0.03796875,-0.28015625,6.000000000000001e-09,
-3.125e-05,-0.039953125,-0.26,8e-09,
-0.0080625,-0.044,-0.28,1e-08,
-0.00796875,-0.04203125,-0.26,1.2000000000000002e-08,
3.125e-05,-0.037984375,-0.28046875,1.4000000000000001e-08,
-0.02,-0.040078125,-0.2809375,1.6e-08,
-0.00796875,-0.03596875,-0.23984375,1.8000000000000002e-08,
-0.00803125,-0.042,-0.22,2e-08,
-0.004,-0.036015625,-0.22015625,2.2000000000000002e-08,
-0.00403125,-0.038,-0.26,2.4000000000000003e-08,
0.00015625,-0.038,-0.18046875,2.6e-08,
-0.01603125,-0.036000000000000004,-0.2996875,2.8000000000000003e-08,
-0.000125,-0.041984375000000004,-0.2634375,3.0000000000000004e-08,
-0.00809375,-0.038,-0.22,3.2e-08,
-0.00396875,-0.04,-0.28,3.4e-08,
-0.0039375,-0.037984375,-0.22,3.6000000000000005e-08,
-0.000125,-0.034,-0.28140625,3.8e-08,
-0.01196875,-0.03803125,-0.3196875,4e-08,
0.0,-0.040046875,-0.24171875,4.2000000000000006e-08,
-0.01190625,-0.0419375,-0.22,4.4000000000000004e-08,
-0.00425,-0.047968750000000004,-0.30062500000000003,4.6e-08,
3.125e-05,-0.044078125,-0.27968750000000003,4.8000000000000006e-08,
-0.01196875,-0.03603125,-0.21953125,5.0000000000000004e-08,
-0.0080625,-0.036015625,-0.24109375,5.2e-08,
-0.0080625,-0.03796875,-0.28,5.4e-08,
-0.00384375,-0.044015625,-0.24171875,5.6000000000000005e-08,
-0.01596875,-0.03803125,-0.2,5.8e-08,
3.125e-05,-0.038,-0.26046875,6.000000000000001e-08,
-0.0040625,-0.036000000000000004,-0.32,6.2e-08,
-0.00403125,-0.034015625,-0.24,6.4e-08,
-0.00796875,-0.038,-0.3,6.600000000000001e-08,
-0.012,-0.04203125,-0.22,6.8e-08,
-0.004,-0.03803125,-0.29953125,7e-08,
-0.016,-0.039968750000000004,-0.24078125,7.200000000000001e-08,
-0.004,-0.04,-0.22,7.4e-08,
-0.01596875,-0.038015625,-0.2609375,7.6e-08,
-0.016125,-0.036015625,-0.32,7.800000000000001e-08,
-0.00403125,-0.04003125,-0.200625,8e-08,
-0.0079375,-0.042046875,-0.179375,8.2e-08,
-0.00803125,-0.036015625,-0.24046875,8.400000000000001e-08,
-0.004,-0.04,-0.3,8.6e-08,
0.0039375,-0.038,-0.1990625,8.800000000000001e-08,
-0.008,-0.046015625,-0.2415625,9.000000000000001e-08,
0.0,-0.039968750000000004,-0.26,9.2e-08,
-0.01203125,-0.038,-0.28015625,9.400000000000001e-08,
-0.004,-0.04003125,-0.280625,9.600000000000001e-08,
-0.012,-0.038015625,-0.26015625,9.8e-08,
-0.00796875,-0.038015625,-0.26015625,1.0000000000000001e-07,
-0.02396875,-0.036015625,-0.26,1.02e-07,
-0.01209375,-0.04,-0.24015625000000002,1.04e-07,
-0.01603125,-0.04,-0.24,1.0600000000000001e-07,
-0.0080625,-0.040046875,-0.340625,1.08e-07,
-0.01609375,-0.038,-0.22046875,1.1e-07,
-0.0119375,-0.044,-0.32015625000000003,1.1200000000000001e-07,
-0.01203125,-0.04,-0.23921875,1.14e-07,
-0.012,-0.042,-0.24,1.16e-07,
-0.0079375,-0.037984375,-0.26015625,1.1800000000000001e-07,
-0.00390625,-0.042078125,-0.25953125,1.2000000000000002e-07,
0.004,-0.046046875,-0.23828125,1.22e-07,
6.25e-05,-0.038046875,-0.3,1.24e-07,
-0.00396875,-0.038,-0.23984375,1.2600000000000002e-07,
-0.00796875,-0.038,-0.28015625,1.28e-07,
-0.012,-0.038,-0.24,1.3e-07,
-0.012,-0.038,-0.25984375,1.3200000000000002e-07,
-0.01203125,-0.042,-0.2203125,1.34e-07,
-0.00790625,-0.04196875,-0.2790625,1.36e-07,
-0.00403125,-0.046015625,-0.31984375,1.3800000000000002e-07,
-0.012125,-0.04,-0.21984375,1.4e-07,
-0.01596875,-0.04403125,-0.3,1.42e-07,
-0.0039375,-0.045984375,-0.27984375,1.4400000000000002e-07,
0.0,-0.038,-0.3,1.46e-07,
0.00790625,-0.0419375,-0.28171875,1.48e-07,
