CH1,CH3,time,Ts
0.008,-0.2,0.0,1e-08
0.0,-0.2,1e-08,
0.0,-0.36,2e-08,
0.004,-0.12,3.0000000000000004e-08,
0.004,-0.2,4e-08,
-0.008,-0.28,5e-08,
-0.004,-0.28,6.000000000000001e-08,
0.008,-0.12,7e-08,
-0.012,-0.12,8e-08,
0.0,-0.32,9e-08,
0.004,-0.24,1e-07,
0.004,-0.2,1.1e-07,
0.0,-0.16,1.2000000000000002e-07,
-0.008,-0.24,1.3e-07,
0.008,-0.24,1.4e-07,
-0.004,-0.28,1.5e-07,
-0.008,-0.32,1.6e-07,
0.004,-0.16,1.7000000000000001e-07,
0.004,-0.28,1.8e-07,
0.004,-0.12,1.9e-07,
-0.004,-0.16,2e-07,
0.0,-0.2,2.1e-07,
-0.012,-0.12,2.2e-07,
-0.004,-0.28,2.3e-07,
-0.012,-0.12,2.4000000000000003e-07,
0.0,-0.24,2.5e-07,
0.0,-0.28,2.6e-07,
0.0,-0.16,2.7e-07,
-0.008,-0.28,2.8e-07,
-0.004,-0.08,2.9000000000000003e-07,
-0.008,-0.28,3e-07,
0.004,-0.28,3.1e-07,
0.0,-0.08,3.2e-07,
0.0,-0.24,3.3e-07,
0.0,-0.28,3.4000000000000003e-07,
0.0,-0.12,3.5e-07,
-0.012,-0.2,3.6e-07,
0.0,-0.28,3.7e-07,
0.008,-0.28,3.8e-07,
0.0,-0.12,3.9e-07,
-0.008,-0.32,4e-07,
0.0,-0.32,4.1e-07,
-0.008,-0.12,4.2e-07,
-0.004,-0.24,4.3e-07,
0.008,-0.2,4.4e-07,
-0.004,-0.32,4.5000000000000003e-07,
-0.024,-0.28,4.6e-07,
0.004,-0.2,4.7e-07,
0.012,-0.08,4.800000000000001e-07,
0.0,-0.08,4.9e-07,
0.0,-0.16,5e-07,
0.008,-0.2,5.1e-07,
-0.008,-0.2,5.2e-07,
0.0,-0.24,5.3e-07,
-0.004,-0.24,5.4e-07,
-0.008,-0.2,5.5e-07,
-0.004,-0.24,5.6e-07,
0.0,-0.24,5.7e-07,
-0.012,-0.12,5.800000000000001e-07,
0.004,-0.28,5.9e-07,
-0.004,-0.2,6e-07,
0.0,-0.08,6.1e-07,
0.004,-0.16,6.2e-07,
0.004,-0.16,6.3e-07,
0.008,-0.2,6.4e-07,
-0.004,-0.2,6.5e-07,
-0.008,-0.08,6.6e-07,
0.0,-0.12,6.7e-07,
-0.004,-0.2,6.800000000000001e-07,
-0.008,-0.32,6.900000000000001e-07,
0.004,-0.24,7e-07,
-0.004,-0.32,7.1e-07,
0.004,-0.24,7.2e-07,
-0.008,-0.04,7.3e-07,
-0.008,-0.24,7.4e-07,
0.008,-0.2,7.5e-07,
-0.012,-0.2,7.6e-07,
-0.008,-0.28,7.7e-07,
-0.008,-0.16,7.8e-07,
-0.008,-0.32,7.900000000000001e-07,
-0.004,-0.32,8e-07,
0.008,-0.2,8.1e-07,
-0.008,-0.24,8.2e-07,
-0.004,-0.2,8.3e-07,
-0.004,-0.24,8.4e-07,
0.008,-0.28,8.5e-07,
0.0,-0.28,8.6e-07,
0.004,-0.16,8.7e-07,
-0.016,-0.2,8.8e-07,
0.004,-0.24,8.900000000000001e-07,
0.004,-0.24,9.000000000000001e-07,
-0.008,-0.16,9.1e-07,
0.0,-0.2,9.2e-07,
-0.004,-0.16,9.3e-07,
0.0,-0.24,9.4e-07,
-0.004,-0.24,9.5e-07,
