CH1,CH3,time,Ts
0.0190625,5.92,0.0,2e-10
0.0503125,5.79875,2e-10,
0.03078125,5.9125000000000005,4e-10,
0.020078125,6.04,6e-10,
0.03,5.999375000000001,8e-10,
0.02015625,6.0396875,1e-09,
0.01984375,5.9578125,1.2e-09,
0.01984375,6.0043750000000005,1.4000000000000001e-09,
0.019921875000000002,6.0421875,1.6e-09,
0.029921875,6.076875,1.8e-09,
0.039921875,5.9990625,2e-09,
0.039531250000000004,6.0396875,2.2000000000000003e-09,
0.050234375,6.0003125,2.4e-09,
0.030546875,6.0356250000000005,2.6e-09,
0.02015625,5.9184375000000005,2.8000000000000003e-09,
0.010625,5.958125,3e-09,
0.0084375,5.8796875,3.2e-09,
0.049765625,5.9596875,3.4000000000000003e-09,
0.03328125,5.8803125000000005,3.6e-09,
-0.01015625,5.9671875000000005,3.8e-09,
0.018359375,5.9615625,4e-09,
0.04,6.04,4.2e-09,
0.0303125,6.0003125,4.4000000000000005e-09,
0.02,5.9953125,4.6e-09,
0.029375000000000002,5.8384375,4.8e-09,
0.0396875,5.92375,5e-09,
0.030625,5.8809375,5.2e-09,
-0.0003125,6.0025,5.4e-09,
0.016796875,6.0428125,5.6000000000000005e-09,
0.031718750000000004,6.076875,5.8e-09,
-0.000546875,5.9490625,6e-09,
0.04890625,5.9290625,6.2e-09,
0.02296875,5.9971875,6.4e-09,
0.00921875,5.8784375,6.6e-09,
0.0403125,5.9171875,6.8000000000000005e-09,
0.011640625,5.84375,7.000000000000001e-09,
0.025234375,6.0028125,7.2e-09,
0.050546875,5.9596875,7.4e-09,
0.0221875,6.0421875,7.6e-09,
0.018671875,6.0409375,7.8e-09,
0.02890625,6.0365625000000005,8e-09,
0.031015625,5.918125,8.2e-09,
0.0190625,5.960625,8.4e-09,
0.039843750000000004,5.9193750000000005,8.600000000000001e-09,
0.01234375,5.8403125000000005,8.800000000000001e-09,
-0.000390625,5.8421875000000005,9e-09,
0.01890625,5.923125,9.2e-09,
0.030078125,5.8396875,9.4e-09,
0.020078125,5.9503125,9.6e-09,
0.03015625,5.93125,9.8e-09,
0.0309375,5.9371875,1e-08,
0.008515625,6.0478125,1.02e-08,
0.018046875,5.9246875,1.04e-08,
0.030234375,6.0390625,1.06e-08,
0.019375,6.0421875,1.08e-08,
0.019921875000000002,5.9609375,1.1000000000000001e-08,
0.00859375,5.9590625,1.1200000000000001e-08,
7.8125e-05,5.9628125,1.1400000000000001e-08,
0.01140625,5.9503125,1.16e-08,
0.020234375,6.035,1.18e-08,
0.020078125,6.0009375,1.2e-08,
0.018203125,6.0728125,1.22e-08,
0.010625,6.085,1.24e-08,
0.029453125,6.0465625,1.26e-08,
-0.0003125,5.965625,1.28e-08,
0.000859375,5.9593750000000005,1.3e-08,
0.0115625,5.9603125,1.32e-08,
0.0428125,5.9603125,1.3400000000000001e-08,
0.038984375,5.9596875,1.3600000000000001e-08,
0.02,6.000625,1.3800000000000001e-08,
0.029765625,6.0021875,1.4000000000000001e-08,
0.02046875,5.9178125,1.42e-08,
0.039921875,5.9193750000000005,1.44e-08,
0.01890625,5.96125,1.46e-08,
0.029921875,5.920625,1.48e-08,
0.02078125,5.999375000000001,1.5000000000000002e-08,
0.050390625,5.91875,1.52e-08,
0.027265625,5.7978125,1.54e-08,
0.020234375,5.7984375,1.56e-08,
0.02859375,5.880625,1.58e-08,
-0.000234375,5.8390625,1.6e-08,
0.009765625,5.7996875,1.62e-08,
7.8125e-05,5.8415625,1.64e-08,
0.041796875000000004,5.9196875,1.66e-08,
0.0396875,5.9165625,1.68e-08,
0.028515625,5.876875,1.7e-08,
0.0096875,5.8803125000000005,1.7200000000000002e-08,
0.010390625,5.9225,1.74e-08,
0.020546875,6.0,1.7600000000000002e-08,
0.029140625,5.90875,1.78e-08,
0.021718750000000002,5.795625,1.8e-08,
0.05078125,5.8,1.82e-08,
0.0159375,5.924375,1.84e-08,
0.00078125,5.8778125,1.86e-08,
0.0221875,5.926875,1.88e-08,
0.04171875,6.0015625,1.9e-08,
0.028359375,5.9559375,1.92e-08,
0.001015625,5.9628125,1.9400000000000002e-08,
0.03078125,5.99875,1.96e-08,
0.0053125,5.96125,1.9800000000000002e-08,
0.014140625,5.99625,2e-08,
0.049609375000000004,5.920625,2.0200000000000002e-08,
0.019453125,6.001875,2.04e-08,
0.045078125000000004,5.915625,2.06e-08,
0.060078125,5.9278125,2.08e-08,
0.046796875,5.9590625,2.1e-08,
0.016875,5.8746875,2.12e-08,
0.001328125,5.8896875,2.14e-08,
0.031171875,5.998125,2.16e-08,
0.028515625,5.8796875,2.18e-08,
0.009765625,5.99875,2.2000000000000002e-08,
0.012968750000000001,5.9696875,2.22e-08,
0.04,5.8803125000000005,2.2400000000000002e-08,
0.008906250000000001,5.9525,2.26e-08,
0.0209375,6.0096875,2.2800000000000002e-08,
0.029296875,5.9165625,2.3e-08,
0.010078125,6.0221875,2.32e-08,
0.010234375,5.984375,2.34e-08,
0.010703125,5.97125,2.36e-08,
0.01015625,6.0328125,2.38e-08,
0.041953125,5.918125,2.4e-08,
0.0021875,5.999375000000001,2.42e-08,
0.017656250000000002,5.9259375,2.44e-08,
0.010937500000000001,5.9965625000000005,2.4600000000000002e-08,
0.025234375,5.9209375,2.48e-08,
0.04171875,6.03875,2.5000000000000002e-08,
0.01046875,5.9603125,2.52e-08,
0.03796875,6.04,2.5400000000000002e-08,
0.033671875000000004,5.96375,2.56e-08,
0.02,5.9596875,2.58e-08,
0.02734375,6.00125,2.6e-08,
0.0409375,5.9603125,2.62e-08,
0.0134375,6.0428125,2.64e-08,
0.00859375,6.0746875000000005,2.66e-08,
0.02046875,5.92,2.6800000000000002e-08,
0.002265625,5.958125,2.7e-08,
-0.00296875,5.8378125,2.7200000000000002e-08,
0.029687500000000002,5.926875,2.74e-08,
0.011640625,5.956875,2.7600000000000002e-08,
0.0190625,5.8803125000000005,2.78e-08,
0.019921875000000002,5.96875,2.8000000000000003e-08,
0.020078125,5.9503125,2.82e-08,
-7.8125e-05,5.82375,2.84e-08,
0.0196875,5.7700000000000005,2.86e-08,
0.011328125,5.9290625,2.88e-08,
-0.00953125,5.8715625000000005,2.9e-08,
0.03859375,5.8896875,2.92e-08,
0.03,5.966875,2.9400000000000002e-08,
0.04,5.9546875,2.96e-08,
0.04,5.9134375,2.9800000000000002e-08,
0.04,5.9340625000000005,3.0000000000000004e-08,
0.00078125,6.0453125000000005,3.02e-08,
0.0103125,6.038125,3.04e-08,
0.019609375000000002,6.04,3.06e-08,
0.0,6.0425,3.08e-08,
0.02,6.029375,3.1e-08,
0.009609375,5.95375,3.12e-08,
0.050625,5.9609375,3.14e-08,
0.029843750000000002,5.9628125,3.16e-08,
0.039765625,5.945625,3.18e-08,
0.02,5.8753125,3.2e-08,
0.05,5.9390625,3.2200000000000004e-08,
0.010390625,6.0096875,3.24e-08,
0.0115625,5.983750000000001,3.26e-08,
0.01,5.91625,3.28e-08,
0.000390625,5.974375,3.3000000000000004e-08,
0.039609375,6.0440625,3.32e-08,
0.049140625,6.0353125,3.34e-08,
0.010234375,5.9925,3.36e-08,
0.030390625,5.905,3.38e-08,
0.030546875,5.8950000000000005,3.4e-08,
0.019609375000000002,5.99875,3.42e-08,
0.047890625,5.866875,3.4400000000000004e-08,
0.042421875,5.8409375,3.46e-08,
0.000234375,5.8412500000000005,3.48e-08,
0.020234375,5.8821875,3.5e-08,
0.02046875,5.920625,3.5200000000000004e-08,
0.0203125,5.8828125,3.54e-08,
0.029921875,5.8,3.56e-08,
0.0203125,5.878125,3.58e-08,
0.009453125,5.918125,3.6e-08,
0.02015625,5.95375,3.62e-08,
0.0009375,5.99125,3.64e-08,
0.0175,6.0665625,3.6600000000000003e-08,
0.039296875,6.0978125,3.68e-08,
0.039843750000000004,6.034375,3.7e-08,
0.039921875,6.07625,3.72e-08,
0.03015625,5.9440625,3.7400000000000004e-08,
0.03,6.0665625,3.76e-08,
0.019296875,6.00875,3.78e-08,
-7.8125e-05,5.759375,3.8e-08,
0.021953125,5.92125,3.8200000000000005e-08,
0.04984375,5.883125,3.84e-08,
0.019765625000000002,5.8403125000000005,3.86e-08,
0.039921875,5.99875,3.8800000000000003e-08,
0.027734375000000002,6.04,3.9e-08,
0.009765625,6.0,3.92e-08,
0.039375,5.9593750000000005,3.94e-08,
0.06078125,6.0,3.9600000000000004e-08,
0.029687500000000002,5.9593750000000005,3.98e-08,
0.040078125,5.9990625,4e-08,
0.019921875000000002,5.99875,4.02e-08,
0.038671875,6.0034375,4.0400000000000004e-08,
0.040546875,5.8378125,4.06e-08,
0.00953125,5.9271875000000005,4.08e-08,
0.051328125,6.0059375,4.1e-08,
0.020625,6.0371875,4.12e-08,
0.029843750000000002,5.915,4.14e-08,
0.0603125,5.9215625,4.16e-08,
0.022109375,5.9193750000000005,4.1800000000000004e-08,
0.009609375,5.9621875,4.2e-08,
0.019453125,5.9959375,4.22e-08,
0.040234375,5.8759375,4.24e-08,
0.0203125,5.9334375,4.2600000000000004e-08,
0.0384375,6.08,4.28e-08,
0.05,5.956875,4.3e-08,
0.040859375,5.9209375,4.32e-08,
0.019375,5.96,4.3400000000000005e-08,
-0.000625,5.963125,4.36e-08,
0.039531250000000004,6.0803125,4.38e-08,
0.049765625,6.0334375,4.4000000000000004e-08,
0.05984375,5.91875,4.42e-08,
0.04046875,5.9625,4.44e-08,
0.04015625,5.954375,4.46e-08,
0.03015625,5.9209375,4.4800000000000004e-08,
0.030234375,6.0,4.5e-08,
0.040078125,5.9603125,4.52e-08,
0.0390625,5.9984375000000005,4.54e-08,
0.050937500000000004,5.916875,4.5600000000000005e-08,
0.0103125,5.9153125,4.58e-08,
0.038828125,5.884375,4.6e-08,
0.02078125,6.0434375000000005,4.6200000000000003e-08,
0.026484375,5.9509375,4.64e-08,
0.04984375,5.924375,4.66e-08,
0.024921875,5.9584375000000005,4.68e-08,
-0.00109375,5.9240625,4.7000000000000004e-08,
0.036640625,5.9971875,4.72e-08,
0.059062500000000004,5.8375,4.74e-08,
0.068984375,5.9625,4.76e-08,
0.062578125,5.9196875,4.7800000000000005e-08,
0.03046875,6.0025,4.8e-08,
0.040234375,5.9593750000000005,4.82e-08,
0.011953125,5.8790625,4.84e-08,
0.009375,6.0834375000000005,4.8600000000000005e-08,
0.0203125,6.01625,4.88e-08,
0.009921875,5.9165625,4.9e-08,
0.029531250000000002,6.0321875,4.9200000000000004e-08,
0.0196875,6.0134375,4.94e-08,
0.009609375,5.9593750000000005,4.96e-08,
0.019921875000000002,5.9409375,4.98e-08,
0.017734375,5.79125,5.0000000000000004e-08,
0.04078125,5.7771875,5.02e-08,
0.00984375,5.8500000000000005,5.04e-08,
0.042421875,5.9662500000000005,5.06e-08,
0.016875,6.01125,5.0800000000000005e-08,
-0.00140625,5.933125,5.1e-08,
0.00171875,5.8812500000000005,5.12e-08,
0.02125,5.9071875,5.1400000000000004e-08,
0.019921875000000002,5.9665625,5.16e-08,
0.018828125,5.881875,5.18e-08,
0.010234375,5.98,5.2e-08,
0.019765625000000002,6.0134375,5.2200000000000004e-08,
0.010078125,5.87875,5.24e-08,
0.02,5.99625,5.26e-08,
0.01,5.9659375,5.28e-08,
0.020703125,5.9228125,5.3000000000000005e-08,
0.0203125,5.88,5.32e-08,
0.029921875,5.8793750000000005,5.34e-08,
0.009140625,5.839375,5.3600000000000004e-08,
0.0009375,5.9225,5.38e-08,
0.0303125,5.96,5.4e-08,
0.017421875,5.925,5.42e-08,
0.020234375,5.8412500000000005,5.4400000000000004e-08,
0.051640625,5.9984375000000005,5.46e-08,
0.059296875,5.9178125,5.48e-08,
0.027578125000000002,5.8021875000000005,5.5e-08,
0.020078125,5.996875,5.5200000000000005e-08,
0.03109375,5.9971875,5.54e-08,
0.039921875,5.9603125,5.56e-08,
0.02859375,6.04125,5.5800000000000003e-08,
0.02,5.995,5.6000000000000005e-08,
0.019765625000000002,5.8,5.62e-08,
0.02015625,6.015000000000001,5.64e-08,
0.03,5.985625,5.6600000000000004e-08,
0.019765625000000002,5.963125,5.68e-08,
0.020390625,6.039375,5.7e-08,
0.019765625000000002,5.9590625,5.72e-08,
0.02109375,5.9546875,5.7400000000000004e-08,
0.02859375,5.8821875,5.76e-08,
