CH1,CH2,CH4,time,Ts
0.828125,-0.4,-0.519375,0.0,2e-09
1.9781250000000001,-0.520625,-0.4396875,2e-09,
-1.221875,-0.56,-0.6012500000000001,4e-09,
0.018750000000000003,-0.52,-0.5596875,6.000000000000001e-09,
-0.003125,-0.5596875,-0.48,8e-09,
0.403125,-0.440625,-0.6,1e-08,
0.796875,-0.32,-0.48,1.2000000000000002e-08,
0.41875,-0.43843750000000004,-0.680625,1.4000000000000001e-08,
-0.4,-0.5209375,-0.6390625,1.6e-08,
0.39687500000000003,-0.4003125,-0.55875,1.8000000000000002e-08,
0.403125,-0.44,-0.52,2e-08,
0.003125,-0.4,-0.56,2.2000000000000002e-08,
-0.390625,-0.48125,-0.5196875,2.4000000000000003e-08,
-0.7937500000000001,-0.36,-0.48,2.6e-08,
0.0,-0.52,-0.6,2.8000000000000003e-08,
-0.40625,-0.52,-0.43875000000000003,3.0000000000000004e-08,
0.003125,-0.39968750000000003,-0.44,3.2e-08,
0.4,-0.44,-0.4796875,3.4e-08,
0.0,-0.4003125,-0.56,3.6000000000000005e-08,
-0.4,-0.4796875,-0.52,3.8e-08,
-1.1968750000000001,-0.5196875,-0.5603125,4e-08,
-1.20625,-0.6,-0.52,4.2000000000000006e-08,
0.39687500000000003,-0.520625,-0.5996875,4.4000000000000004e-08,
-0.8,-0.440625,-0.600625,4.6e-08,
1.5906250000000002,-0.5603125,-0.520625,4.8000000000000006e-08,
1.2156250000000002,-0.520625,-0.4771875,5.0000000000000004e-08,
0.4,-0.5196875,-0.68,5.2e-08,
0.8,-0.520625,-0.4784375,5.4e-08,
0.7875000000000001,-0.44,-0.5621875000000001,5.6000000000000005e-08,
-0.39687500000000003,-0.480625,-0.5196875,5.8e-08,
1.209375,-0.5596875,-0.5609375,6.000000000000001e-08,
0.796875,-0.4003125,-0.600625,6.2e-08,
0.8031250000000001,-0.51875,-0.6015625,6.4e-08,
-0.4,-0.440625,-0.48,6.600000000000001e-08,
0.390625,-0.5196875,-0.6009375,6.8e-08,
1.609375,-0.5203125,-0.5603125,7e-08,
0.39687500000000003,-0.6,-0.56,7.200000000000001e-08,
1.990625,-0.56,-0.52,7.4e-08,
0.8187500000000001,-0.5996875,-0.520625,7.6e-08,
1.19375,-0.56,-0.48,7.800000000000001e-08,
-0.018750000000000003,-0.48,-0.5603125,8e-08,
0.00625,-0.56125,-0.5596875,8.2e-08,
0.8125,-0.63875,-0.64,8.400000000000001e-08,
0.7718750000000001,-0.4390625,-0.519375,8.6e-08,
-0.8,-0.561875,-0.56,8.800000000000001e-08,
0.815625,-0.56125,-0.5615625,9.000000000000001e-08,
0.421875,-0.44125000000000003,-0.48031250000000003,9.2e-08,
-0.8031250000000001,-0.39968750000000003,-0.6,9.400000000000001e-08,
0.0,-0.520625,-0.52,9.600000000000001e-08,
-0.8031250000000001,-0.5203125,-0.521875,9.8e-08,
0.784375,-0.6,-0.64,1.0000000000000001e-07,
0.415625,-0.6009375,-0.52,1.02e-07,
-0.003125,-0.48125,-0.64,1.04e-07,
