CH1,CH2,CH3,CH4,time,Ts
0.56,-0.30000000000000004,-0.8,-5.2,0.0,4e-07
0.56,-0.7000000000000001,-1.2000000000000002,-5.4,4e-07,
0.6,-0.5,-1.0,-5.0,8e-07,
0.48,-0.5,-0.6000000000000001,-5.4,1.2e-06,
0.56,-0.4,-0.6000000000000001,-5.4,1.6e-06,
0.52,-0.6000000000000001,-1.0,-5.0,2e-06,
0.52,-0.6000000000000001,-0.8,-5.4,2.4e-06,
0.56,-0.4,-1.0,-5.800000000000001,2.8e-06,
0.6,-0.5,-1.0,-4.6000000000000005,3.2e-06,
0.56,-0.4,-1.0,-5.4,3.6e-06,
0.52,-0.4,-0.6000000000000001,-5.0,4e-06,
0.52,-0.6000000000000001,-0.6000000000000001,-5.4,4.4e-06,
0.52,-0.5,-0.6000000000000001,-5.4,4.8e-06,
0.64,-0.4,-0.6000000000000001,-5.0,5.199999999999999e-06,
0.52,-0.6000000000000001,-0.6000000000000001,-5.4,5.6e-06,
0.52,-0.5,-0.6000000000000001,-5.4,6e-06,
0.6,-0.4,-0.8,-5.4,6.4e-06,
0.52,-0.7000000000000001,-0.6000000000000001,-5.4,6.799999999999999e-06,
0.6,-0.6000000000000001,-1.0,-5.800000000000001,7.2e-06,
0.6,-0.4,-0.8,-5.0,7.6e-06,
0.52,-0.7000000000000001,-0.6000000000000001,-5.4,8e-06,
0.56,-0.6000000000000001,-0.8,-5.4,8.4e-06,
0.52,-0.5,-0.8,-4.6000000000000005,8.8e-06,
0.56,-0.5,-0.6000000000000001,-5.4,9.2e-06,
0.56,-0.4,-1.0,-5.0,9.6e-06,
0.52,-0.4,-0.6000000000000001,-5.4,9.999999999999999e-06,
0.6,-0.30000000000000004,-1.0,-4.6000000000000005,1.0399999999999999e-05,
0.52,-0.4,-0.6000000000000001,-4.800000000000001,1.08e-05,
0.56,-0.5,-1.0,-5.4,1.12e-05,
0.6,-0.5,-0.6000000000000001,-5.2,1.1599999999999999e-05,
0.52,-0.5,-0.6000000000000001,-5.0,1.2e-05,
0.56,-0.4,-0.6000000000000001,-5.2,1.24e-05,
0.6,-0.6000000000000001,-0.4,-4.6000000000000005,1.28e-05,
0.48,-0.4,-1.2000000000000002,-5.4,1.3199999999999999e-05,
0.52,-0.6000000000000001,-0.6000000000000001,-5.0,1.3599999999999999e-05,
0.52,-0.5,-0.6000000000000001,-5.0,1.4e-05,
0.52,-0.4,-0.6000000000000001,-5.2,1.44e-05,
0.52,-0.5,-0.8,-5.0,1.4799999999999999e-05,
0.48,-0.5,-0.8,-5.0,1.52e-05,
0.6,-0.7000000000000001,-0.6000000000000001,-5.2,1.56e-05,
0.52,-0.4,-1.0,-5.2,1.6e-05,
0.52,-0.5,-1.0,-5.4,1.64e-05,
0.6,-0.4,-0.8,-5.4,1.68e-05,
0.52,-0.6000000000000001,-0.8,-5.2,1.7199999999999998e-05,
0.64,-0.5,-1.0,-4.800000000000001,1.76e-05,
0.64,-0.5,-0.6000000000000001,-5.4,1.8e-05,
0.56,-0.6000000000000001,-1.2000000000000002,-5.4,1.84e-05,
0.56,-0.5,-0.6000000000000001,-5.4,1.88e-05,
0.6,-0.5,-0.6000000000000001,-4.6000000000000005,1.92e-05,
0.6,-0.6000000000000001,-1.0,-5.0,1.96e-05,
0.56,-0.5,-0.6000000000000001,-5.4,1.9999999999999998e-05,
0.52,-0.6000000000000001,-0.6000000000000001,-5.4,2.0399999999999998e-05,
0.56,-0.5,-0.2,-4.800000000000001,2.0799999999999997e-05,
0.56,-0.6000000000000001,-1.0,-5.4,2.12e-05,
0.52,-0.7000000000000001,-0.6000000000000001,-5.800000000000001,2.16e-05,
0.56,-0.30000000000000004,-1.0,-5.0,2.2e-05,
0.52,-0.6000000000000001,-0.6000000000000001,-5.2,2.24e-05,
0.56,-0.5,-0.4,-4.6000000000000005,2.28e-05,
0.64,-0.6000000000000001,-0.8,-5.6000000000000005,2.3199999999999998e-05,
0.56,-0.4,-0.8,-5.4,2.3599999999999998e-05,
0.64,-0.5,-0.8,-5.4,2.4e-05,
0.56,-0.5,-0.4,-5.4,2.44e-05,
0.52,-0.5,-0.6000000000000001,-5.4,2.48e-05,
0.56,-0.5,-0.6000000000000001,-5.4,2.52e-05,
0.48,-0.4,-0.6000000000000001,-5.4,2.56e-05,
0.56,-0.5,-0.6000000000000001,-5.6000000000000005,2.6e-05,
0.52,-0.6000000000000001,-0.8,-5.4,2.6399999999999998e-05,
0.6,-0.5,-0.4,-4.800000000000001,2.6799999999999998e-05,
0.64,-0.6000000000000001,-0.6000000000000001,-5.2,2.7199999999999997e-05,
0.48,-0.4,-0.6000000000000001,-5.4,2.76e-05,
0.52,-0.7000000000000001,-0.6000000000000001,-5.0,2.8e-05,
0.56,-0.4,-0.6000000000000001,-5.0,2.84e-05,
0.52,-0.4,-0.6000000000000001,-5.4,2.88e-05,
0.56,-0.6000000000000001,-0.6000000000000001,-5.4,2.9199999999999998e-05,
0.52,-0.4,-0.8,-5.4,2.9599999999999998e-05,
0.48,-0.5,-1.2000000000000002,-5.6000000000000005,2.9999999999999997e-05,
0.48,-0.4,-1.0,-5.4,3.04e-05,
0.56,-0.6000000000000001,-1.0,-5.6000000000000005,3.0799999999999996e-05,
0.56,-0.5,-0.8,-5.4,3.12e-05,
0.6,-0.5,-0.6000000000000001,-5.4,3.1599999999999996e-05,
0.6,-0.30000000000000004,-1.0,-5.4,3.2e-05,
0.52,-0.6000000000000001,-1.0,-5.0,3.24e-05,
0.6,-0.4,-1.2000000000000002,-5.0,3.28e-05,
0.52,-0.5,-0.8,-5.0,3.32e-05,
0.6,-0.6000000000000001,-0.4,-5.4,3.36e-05,
0.6,-0.4,-0.6000000000000001,-5.0,3.4e-05,
0.56,-0.5,-1.0,-5.4,3.4399999999999996e-05,
0.6,-0.5,-1.0,-5.0,3.48e-05,
0.56,-0.5,-1.0,-5.4,3.52e-05,
0.56,-0.4,-0.6000000000000001,-5.2,3.56e-05,
0.52,-0.6000000000000001,-0.4,-5.2,3.6e-05,
0.52,-0.4,-0.6000000000000001,-5.2,3.64e-05,
0.6,-0.5,-1.0,-5.6000000000000005,3.68e-05,
0.56,-0.4,-0.6000000000000001,-5.0,3.7199999999999996e-05,
0.48,-0.7000000000000001,-0.6000000000000001,-5.0,3.76e-05,
