time,CH1,CH2
-0.0010002,-0.8200000000000001,-9.700000000000001
-0.001,-0.86,-9.9
-0.0009998,-0.86,-9.9
-0.0009996,-0.89,-10.100000000000001
-0.0009994,-0.86,-9.700000000000001
-0.0009992,-0.85,-9.8
-0.0009989999999999999,-0.88,-9.700000000000001
-0.0009988,-0.9,-9.8
-0.0009985999999999999,-0.88,-9.8
-0.0009984,-0.87,-9.8
-0.0009981999999999999,-0.86,-9.600000000000001
-0.000998,-0.87,-10.0
-0.0009977999999999999,-0.89,-9.8
-0.0009976,-0.88,-9.9
-0.0009973999999999998,-0.89,-9.700000000000001
-0.0009972,-0.91,-9.5
-0.0009969999999999998,-0.93,-9.8
-0.0009968,-0.93,-9.700000000000001
-0.0009965999999999998,-0.9400000000000001,-9.700000000000001
-0.0009964,-0.93,-9.700000000000001
-0.0009961999999999998,-0.93,-9.8
-0.000996,-0.92,-9.700000000000001
-0.0009957999999999998,-0.9400000000000001,-9.700000000000001
-0.0009956,-0.92,-9.4
-0.0009954,-0.9500000000000001,-9.4
-0.0009952,-0.92,-9.700000000000001
-0.000995,-0.93,-9.5
-0.0009948,-0.9400000000000001,-9.600000000000001
-0.0009946,-0.96,-9.700000000000001
-0.0009943999999999999,-0.96,-9.5
-0.0009942,-0.9400000000000001,-9.700000000000001
-0.0009939999999999999,-0.97,-9.8
-0.0009938,-0.99,-9.4
-0.0009935999999999999,-1.0,-9.3
-0.0009934,-0.99,-9.4
-0.0009931999999999999,-0.98,-9.4
-0.000993,-0.98,-9.8
-0.0009927999999999998,-1.0,-9.600000000000001
-0.0009926,-0.97,-9.4
-0.0009923999999999998,-1.0,-9.5
-0.0009922,-0.98,-9.3
-0.0009919999999999998,-0.99,-9.5
-0.0009918,-1.0,-9.200000000000001
-0.0009915999999999998,-1.03,-9.4
-0.0009914,-1.03,-9.5
-0.0009912,-1.01,-9.5
-0.000991,-1.03,-9.200000000000001
-0.0009908,-0.99,-9.4
-0.0009906,-1.01,-9.3
-0.0009904,-1.03,-9.200000000000001
-0.0009901999999999999,-1.01,-9.4
-0.00099,-1.0,-9.3
-0.0009897999999999999,-1.05,-9.200000000000001
-0.0009896,-1.04,-9.1
-0.0009893999999999999,-1.04,-9.4
-0.0009892,-1.05,-9.1
-0.0009889999999999999,-1.04,-9.1
-0.0009888,-1.03,-9.200000000000001
-0.0009885999999999999,-1.04,-9.3
-0.0009884,-1.06,-9.0
-0.0009881999999999998,-1.04,-9.1
-0.000988,-1.05,-9.3
-0.0009877999999999998,-1.08,-9.200000000000001
-0.0009876,-1.05,-9.3
-0.0009873999999999998,-1.07,-9.1
-0.0009872,-1.04,-9.200000000000001
-0.0009869999999999998,-1.05,-9.1
-0.0009868,-1.08,-8.700000000000001
-0.0009866,-1.07,-8.9
-0.0009864,-1.07,-9.1
-0.0009862,-1.09,-8.8
-0.000986,-1.08,-8.9
-0.0009858,-1.11,-8.8
-0.0009855999999999999,-1.09,-9.1
-0.0009854,-1.09,-9.0
-0.0009851999999999999,-1.08,-8.8
-0.000985,-1.12,-9.1
-0.0009847999999999999,-1.12,-9.0
-0.0009846,-1.09,-8.700000000000001
-0.0009843999999999999,-1.11,-8.8
-0.0009842,-1.1300000000000001,-8.8
-0.0009839999999999998,-1.11,-9.0
-0.0009838,-1.1400000000000001,-8.9
-0.0009835999999999998,-1.1,-9.0
-0.0009834,-1.11,-8.700000000000001
-0.0009831999999999998,-1.1300000000000001,-8.700000000000001
-0.000983,-1.12,-8.9
-0.0009827999999999998,-1.12,-8.700000000000001
-0.0009826,-1.1500000000000001,-8.8
-0.0009824,-1.1500000000000001,-8.700000000000001
-0.0009822,-1.1500000000000001,-8.700000000000001
-0.000982,-1.1400000000000001,-8.5
-0.0009818,-1.1500000000000001,-8.8
-0.0009816,-1.1400000000000001,-8.8
-0.0009814,-1.17,-8.6
-0.0009812,-1.1500000000000001,-8.6
-0.0009809999999999999,-1.1500000000000001,-8.700000000000001
-0.0009808,-1.16,-8.6
-0.0009805999999999999,-1.1500000000000001,-8.4
-0.0009804,-1.1400000000000001,-8.3
-0.0009801999999999999,-1.19,-8.700000000000001
-0.00098,-1.17,-8.5
-0.0009797999999999999,-1.17,-8.5
-0.0009796,-1.21,-8.6
-0.0009793999999999998,-1.1500000000000001,-8.3
-0.0009792,-1.21,-8.5
-0.0009789999999999998,-1.17,-8.700000000000001
-0.0009788,-1.2,-8.4
-0.0009785999999999998,-1.17,-8.200000000000001
-0.0009784,-1.18,-8.3
-0.0009781999999999998,-1.21,-8.200000000000001
-0.000978,-1.19,-8.200000000000001
-0.0009778,-1.22,-8.3
-0.0009776,-1.2,-8.4
-0.0009774,-1.21,-7.9
-0.0009772,-1.23,-8.200000000000001
-0.000977,-1.22,-8.4
-0.0009767999999999999,-1.23,-8.200000000000001
-0.0009766,-1.22,-8.4
-0.0009763999999999999,-1.22,-8.1
-0.0009761999999999999,-1.23,-8.1
-0.0009759999999999999,-1.21,-8.200000000000001
-0.0009757999999999999,-1.24,-8.3
-0.0009756,-1.22,-8.200000000000001
-0.0009754,-1.21,-8.1
-0.0009752,-1.22,-7.9
-0.000975,-1.24,-8.1
-0.0009748,-1.24,-8.0
-0.0009745999999999999,-1.22,-7.800000000000001
-0.0009743999999999999,-1.23,-7.9
-0.0009741999999999999,-1.28,-8.1
-0.0009739999999999999,-1.28,-8.0
-0.0009737999999999999,-1.26,-7.800000000000001
-0.0009735999999999999,-1.28,-7.7
-0.0009733999999999999,-1.27,-8.0
-0.0009731999999999999,-1.24,-7.7
-0.0009729999999999999,-1.28,-7.6000000000000005
-0.0009727999999999999,-1.27,-7.7
-0.0009725999999999999,-1.28,-7.5
-0.0009723999999999999,-1.27,-7.800000000000001
-0.0009721999999999999,-1.28,-7.7
-0.0009719999999999999,-1.27,-7.7
-0.0009717999999999999,-1.28,-7.5
-0.0009715999999999999,-1.3,-7.5
-0.0009713999999999999,-1.29,-7.5
-0.0009712,-1.29,-7.5
-0.000971,-1.27,-7.4
-0.0009708,-1.29,-7.4
-0.0009706,-1.28,-7.5
-0.0009704,-1.28,-7.800000000000001
-0.0009702,-1.29,-7.5
-0.0009699999999999999,-1.27,-7.5
-0.0009697999999999999,-1.3,-7.5
-0.0009695999999999999,-1.29,-7.6000000000000005
-0.0009693999999999999,-1.3,-7.300000000000001
-0.0009691999999999999,-1.3,-7.5
-0.0009689999999999999,-1.29,-7.300000000000001
-0.0009687999999999999,-1.31,-7.300000000000001
-0.0009685999999999999,-1.31,-7.4
-0.0009683999999999999,-1.31,-7.300000000000001
-0.0009681999999999999,-1.31,-7.4
-0.0009679999999999999,-1.34,-7.4
-0.0009677999999999999,-1.31,-7.300000000000001
-0.0009675999999999999,-1.31,-7.2
-0.0009673999999999999,-1.29,-7.1000000000000005
-0.0009671999999999999,-1.32,-7.1000000000000005
-0.0009669999999999999,-1.31,-7.2
-0.0009667999999999999,-1.33,-7.2
-0.0009666,-1.34,-7.1000000000000005
-0.0009664,-1.34,-7.1000000000000005
-0.0009662,-1.34,-7.2
-0.000966,-1.36,-7.0
-0.0009658,-1.33,-6.800000000000001
-0.0009655999999999999,-1.36,-6.9
-0.0009653999999999999,-1.34,-7.0
-0.0009651999999999999,-1.33,-6.9
-0.0009649999999999999,-1.35,-7.1000000000000005
-0.0009647999999999999,-1.32,-7.0
-0.0009645999999999999,-1.34,-7.0
-0.0009643999999999999,-1.34,-6.800000000000001
-0.0009641999999999999,-1.3800000000000001,-7.1000000000000005
-0.0009639999999999999,-1.36,-6.800000000000001
-0.0009637999999999999,-1.3800000000000001,-6.7
-0.0009635999999999999,-1.35,-7.1000000000000005
-0.0009633999999999999,-1.36,-6.6000000000000005
-0.0009631999999999999,-1.35,-6.9
-0.0009629999999999999,-1.37,-6.6000000000000005
-0.0009627999999999999,-1.4000000000000001,-6.9
-0.0009625999999999999,-1.35,-6.4
-0.0009624,-1.37,-6.5
-0.0009622,-1.3900000000000001,-6.6000000000000005
-0.000962,-1.3900000000000001,-6.800000000000001
-0.0009618,-1.37,-6.7
-0.0009616,-1.3900000000000001,-6.5
-0.0009614,-1.3800000000000001,-6.7
-0.0009611999999999999,-1.41,-6.5
-0.0009609999999999999,-1.4000000000000001,-6.5
-0.0009607999999999999,-1.3900000000000001,-6.5
-0.0009605999999999999,-1.3900000000000001,-6.4
-0.0009603999999999999,-1.42,-6.5
-0.0009601999999999999,-1.4000000000000001,-6.300000000000001
-0.0009599999999999999,-1.3800000000000001,-6.4
-0.0009597999999999999,-1.41,-6.4
-0.0009595999999999999,-1.3800000000000001,-6.2
-0.0009593999999999999,-1.42,-6.4
-0.0009591999999999999,-1.41,-6.6000000000000005
-0.0009589999999999999,-1.4000000000000001,-6.4
-0.0009587999999999999,-1.4000000000000001,-6.2
-0.0009585999999999999,-1.41,-6.1000000000000005
-0.0009583999999999999,-1.42,-6.2
-0.0009581999999999999,-1.43,-6.5
-0.0009579999999999999,-1.41,-6.4
-0.0009578,-1.4000000000000001,-6.0
-0.0009576,-1.43,-6.2
-0.0009574,-1.42,-6.300000000000001
-0.0009572,-1.42,-6.0
-0.000957,-1.43,-6.2
-0.0009568,-1.44,-6.2
-0.0009565999999999999,-1.45,-6.2
-0.0009563999999999999,-1.44,-6.0
-0.0009561999999999999,-1.44,-5.9
-0.0009559999999999999,-1.42,-5.7
-0.0009557999999999999,-1.45,-5.9
-0.0009555999999999999,-1.4000000000000001,-5.800000000000001
-0.0009553999999999999,-1.44,-5.7
-0.0009551999999999999,-1.44,-5.800000000000001
-0.0009549999999999999,-1.45,-6.1000000000000005
-0.0009547999999999999,-1.44,-5.800000000000001
-0.0009545999999999999,-1.44,-5.5
-0.0009543999999999999,-1.46,-6.0
-0.0009541999999999999,-1.46,-5.800000000000001
-0.0009539999999999999,-1.46,-5.6000000000000005
-0.0009537999999999999,-1.48,-5.800000000000001
-0.0009535999999999999,-1.45,-5.800000000000001
-0.0009533999999999999,-1.45,-5.6000000000000005
-0.0009532,-1.47,-5.6000000000000005
-0.000953,-1.46,-5.6000000000000005
-0.0009528,-1.44,-5.6000000000000005
-0.0009526,-1.48,-5.800000000000001
-0.0009524,-1.48,-5.7
-0.0009521999999999999,-1.47,-5.4
-0.0009519999999999999,-1.46,-5.5
-0.0009517999999999999,-1.47,-5.5
-0.0009515999999999999,-1.45,-5.300000000000001
-0.0009513999999999999,-1.5,-5.300000000000001
-0.0009511999999999999,-1.47,-5.2
-0.0009509999999999999,-1.45,-5.5
-0.0009507999999999999,-1.49,-5.1000000000000005
-0.0009505999999999999,-1.47,-5.2
-0.0009503999999999999,-1.49,-5.300000000000001
-0.0009501999999999999,-1.47,-5.0
-0.0009499999999999999,-1.51,-5.1000000000000005
-0.0009497999999999999,-1.46,-5.300000000000001
-0.0009495999999999999,-1.46,-5.300000000000001
-0.0009493999999999999,-1.49,-5.0
-0.0009491999999999999,-1.52,-5.0
-0.000949,-1.48,-5.0
-0.0009488,-1.48,-5.0
-0.0009486,-1.48,-5.0
-0.0009484,-1.48,-5.0
-0.0009482,-1.5,-5.2
-0.000948,-1.46,-4.9
