CH1,CH2,time,Ts
-0.06,-1.44,0.0,1e-08
-0.11,-1.44,1e-08,
-0.07,-1.43,2e-08,
-0.09,-1.41,3.0000000000000004e-08,
-0.08,-1.46,4e-08,
-0.06,-1.44,5e-08,
-0.07,-1.45,6.000000000000001e-08,
-0.11,-1.45,7e-08,
-0.09,-1.44,8e-08,
-0.09,-1.47,9e-08,
-0.08,-1.45,1e-07,
-0.08,-1.44,1.1e-07,
-0.11,-1.43,1.2000000000000002e-07,
-0.06,-1.47,1.3e-07,
-0.07,-1.48,1.4e-07,
-0.09,-1.49,1.5e-07,
-0.11,-1.46,1.6e-07,
-0.07,-1.48,1.7000000000000001e-07,
-0.08,-1.51,1.8e-07,
-0.06,-1.5,1.9e-07,
-0.07,-1.48,2e-07,
-0.1,-1.48,2.1e-07,
-0.08,-1.49,2.2e-07,
-0.06,-1.51,2.3e-07,
-0.07,-1.5,2.4000000000000003e-07,
-0.07,-1.53,2.5e-07,
-0.06,-1.51,2.6e-07,
-0.07,-1.52,2.7e-07,
-0.06,-1.51,2.8e-07,
-0.06,-1.52,2.9000000000000003e-07,
-0.05,-1.51,3e-07,
-0.08,-1.51,3.1e-07,
-0.08,-1.54,3.2e-07,
-0.08,-1.52,3.3e-07,
-0.07,-1.55,3.4000000000000003e-07,
-0.07,-1.5,3.5e-07,
-0.06,-1.57,3.6e-07,
-0.08,-1.56,3.7e-07,
-0.03,-1.52,3.8e-07,
-0.05,-1.52,3.9e-07,
-0.1,-1.54,4e-07,
-0.09,-1.54,4.1e-07,
-0.08,-1.53,4.2e-07,
-0.05,-1.56,4.3e-07,
-0.09,-1.53,4.4e-07,
-0.04,-1.58,4.5000000000000003e-07,
-0.1,-1.59,4.6e-07,
-0.12,-1.57,4.7e-07,
-0.07,-1.59,4.800000000000001e-07,
-0.07,-1.59,4.9e-07,
-0.08,-1.6,5e-07,
-0.08,-1.56,5.1e-07,
-0.07,-1.61,5.2e-07,
-0.06,-1.62,5.3e-07,
-0.09,-1.57,5.4e-07,
-0.07,-1.59,5.5e-07,
-0.08,-1.58,5.6e-07,
-0.1,-1.57,5.7e-07,
-0.08,-1.6,5.800000000000001e-07,
-0.09,-1.62,5.9e-07,
-0.1,-1.59,6e-07,
-0.07,-1.59,6.1e-07,
-0.1,-1.6,6.2e-07,
-0.09,-1.62,6.3e-07,
-0.11,-1.62,6.4e-07,
-0.08,-1.62,6.5e-07,
-0.07,-1.6300000000000001,6.6e-07,
-0.03,-1.59,6.7e-07,
-0.06,-1.6500000000000001,6.800000000000001e-07,
-0.08,-1.62,6.900000000000001e-07,
-0.08,-1.61,7e-07,
-0.1,-1.6500000000000001,7.1e-07,
-0.12,-1.6600000000000001,7.2e-07,
-0.08,-1.6400000000000001,7.3e-07,
-0.09,-1.6500000000000001,7.4e-07,
-0.05,-1.6400000000000001,7.5e-07,
-0.08,-1.67,7.6e-07,
-0.12,-1.6600000000000001,7.7e-07,
-0.07,-1.6500000000000001,7.8e-07,
-0.05,-1.6600000000000001,7.900000000000001e-07,
-0.07,-1.67,8e-07,
-0.09,-1.67,8.1e-07,
-0.1,-1.67,8.2e-07,
-0.11,-1.6600000000000001,8.3e-07,
-0.09,-1.67,8.4e-07,
-0.05,-1.68,8.5e-07,
-0.1,-1.69,8.6e-07,
-0.09,-1.7,8.7e-07,
-0.08,-1.67,8.8e-07,
-0.1,-1.7,8.900000000000001e-07,
-0.09,-1.69,9.000000000000001e-07,
-0.06,-1.69,9.1e-07,
-0.07,-1.68,9.2e-07,
-0.06,-1.68,9.3e-07,
-0.09,-1.69,9.4e-07,
-0.09,-1.68,9.5e-07,
-0.07,-1.72,9.600000000000001e-07,
-0.08,-1.7,9.7e-07,
-0.1,-1.7,9.8e-07,
-0.08,-1.71,9.9e-07,
-0.1,-1.73,1e-06,
-0.07,-1.71,1.01e-06,
-0.09,-1.69,1.02e-06,
-0.07,-1.72,1.03e-06,
-0.07,-1.73,1.04e-06,
