CH1,CH2,time,Ts
-0.01221875,-0.3984375,0.0,1e-09
-0.00790625,-0.4346875,1e-09,
-0.0160625,-0.51875,2e-09,
-0.0200625,-0.483125,3.0000000000000004e-09,
-0.024,-0.47750000000000004,4e-09,
-0.01978125,-0.64,5e-09,
-0.00803125,-0.519375,6.000000000000001e-09,
-0.0160625,-0.6,7.000000000000001e-09,
-0.02,-0.4796875,8e-09,
-0.01984375,-0.5203125,9.000000000000001e-09,
-0.0160625,-0.480625,1e-08,
-0.03209375,-0.6796875,1.1000000000000001e-08,
-0.0240625,-0.5175,1.2000000000000002e-08,
-0.01603125,-0.52,1.3e-08,
-0.01990625,-0.47625,1.4000000000000001e-08,
-0.024,-0.6365625,1.5000000000000002e-08,
-0.0201875,-0.5700000000000001,1.6e-08,
-0.012,-0.3596875,1.7e-08,
-0.01990625,-0.56,1.8000000000000002e-08,
-0.01996875,-0.48,1.9e-08,
-0.02,-0.44,2e-08,
-0.02,-0.5221875,2.1000000000000003e-08,
-0.02,-0.64,2.2000000000000002e-08,
-0.02009375,-0.5190625,2.3e-08,
-0.02409375,-0.5203125,2.4000000000000003e-08,
-0.0080625,-0.56,2.5000000000000002e-08,
-0.015875,-0.5603125,2.6e-08,
-0.0200625,-0.5609375,2.7e-08,
-0.01603125,-0.52125,2.8000000000000003e-08,
-0.019875,-0.440625,2.9e-08,
-0.01203125,-0.4003125,3.0000000000000004e-08,
-0.024,-0.52125,3.1e-08,
-0.01203125,-0.4790625,3.2e-08,
-0.02,-0.440625,3.3000000000000004e-08,
-0.02003125,-0.4796875,3.4e-08,
-0.024,-0.4003125,3.5e-08,
-0.01209375,-0.5209375,3.6000000000000005e-08,
-0.015875,-0.560625,3.7e-08,
-0.02396875,-0.55875,3.8e-08,
-0.024,-0.44,3.9000000000000005e-08,
-0.0240625,-0.5928125,4e-08,
-0.01571875,-0.6009375,4.1e-08,
-0.01209375,-0.560625,4.2000000000000006e-08,
-0.02,-0.4396875,4.3e-08,
-0.016,-0.5609375,4.4000000000000004e-08,
-0.024,-0.4790625,4.5000000000000006e-08,
-0.01990625,-0.48031250000000003,4.6e-08,
-0.00803125,-0.48,4.7000000000000004e-08,
-0.016125,-0.4796875,4.8000000000000006e-08,
-0.016,-0.44,4.9e-08,
-0.0240625,-0.4809375,5.0000000000000004e-08,
-0.0279375,-0.48031250000000003,5.1e-08,
-0.02003125,-0.52,5.2e-08,
-0.02409375,-0.5240625,5.3000000000000005e-08,
-0.02809375,-0.4403125,5.4e-08,
-0.0200625,-0.51875,5.5e-08,
-0.016,-0.52125,5.6000000000000005e-08,
-0.016,-0.4,5.7e-08,
-0.016,-0.5184375,5.8e-08,
-0.019875,-0.48031250000000003,5.9000000000000006e-08,
-0.004,-0.4403125,6.000000000000001e-08,
-0.0240625,-0.5603125,6.1e-08,
-0.016,-0.4796875,6.2e-08,
-0.032,-0.5615625,6.300000000000001e-08,
-0.016125,-0.5203125,6.4e-08,
-0.02003125,-0.480625,6.5e-08,
-0.01221875,-0.43343750000000003,6.600000000000001e-08,
-0.015625,-0.5653125,6.7e-08,
-0.02803125,-0.4,6.8e-08,
-0.0198125,-0.6021875,6.900000000000001e-08,
-0.0200625,-0.48,7e-08,
-0.02396875,-0.5221875,7.1e-08,
-0.01596875,-0.48,7.200000000000001e-08,
-0.0160625,-0.4009375,7.3e-08,
-0.02003125,-0.52125,7.4e-08,
-0.02,-0.479375,7.500000000000001e-08,
-0.024,-0.5209375,7.6e-08,
-0.02021875,-0.4790625,7.7e-08,
-0.0159375,-0.44,7.800000000000001e-08,
-0.02403125,-0.5175,7.9e-08,
-0.016,-0.5253125,8e-08,
-0.02403125,-0.44,8.100000000000001e-08,
-0.01596875,-0.52125,8.2e-08,
-0.02834375,-0.56,8.3e-08,
-0.027875,-0.48125,8.400000000000001e-08,
-0.02425,-0.6403125000000001,8.500000000000001e-08,
-0.031906250000000004,-0.51875,8.6e-08,
-0.01175,-0.560625,8.700000000000001e-08,
-0.020125,-0.4771875,8.800000000000001e-08,
-0.01584375,-0.4796875,8.9e-08,
-0.02009375,-0.5596875,9.000000000000001e-08,
-0.0238125,-0.48,9.100000000000001e-08,
-0.012,-0.6,9.2e-08,
-0.0160625,-0.436875,9.300000000000001e-08,
-0.0120625,-0.6403125000000001,9.400000000000001e-08,
-0.01196875,-0.39968750000000003,9.5e-08,
-0.016,-0.598125,9.600000000000001e-08,
-0.0119375,-0.480625,9.700000000000001e-08,
-0.00803125,-0.48031250000000003,9.8e-08,
-0.016,-0.43875000000000003,9.9e-08,
-0.01203125,-0.440625,1.0000000000000001e-07,
-0.02,-0.4396875,1.01e-07,
-0.012,-0.4403125,1.02e-07,
