CH1,CH2,time,Ts
-0.012,-0.601875,0.0,4e-09
-0.0200625,-0.439375,4e-09,
-0.02390625,-0.561875,8e-09,
-0.012,-0.5609375,1.2000000000000002e-08,
-0.02,-0.5215625,1.6e-08,
-0.016,-0.56,2e-08,
-0.01596875,-0.44,2.4000000000000003e-08,
-0.02,-0.561875,2.8000000000000003e-08,
-0.02009375,-0.48,3.2e-08,
-0.03203125,-0.4403125,3.6000000000000005e-08,
-0.0199375,-0.48031250000000003,4e-08,
-0.016,-0.4796875,4.4000000000000004e-08,
-0.02,-0.52125,4.8000000000000006e-08,
-0.024,-0.4784375,5.2e-08,
-0.0239375,-0.3990625,5.6000000000000005e-08,
-0.016,-0.6453125000000001,6.000000000000001e-08,
-0.02,-0.5590625,6.4e-08,
-0.016,-0.3603125,6.8e-08,
-0.016,-0.524375,7.200000000000001e-08,
-0.016,-0.52,7.6e-08,
-0.028,-0.5596875,8e-08,
-0.01596875,-0.640625,8.400000000000001e-08,
-0.0200625,-0.5615625,8.800000000000001e-08,
-0.032,-0.48,9.2e-08,
-0.012,-0.6009375,9.600000000000001e-08,
-0.024,-0.5209375,1.0000000000000001e-07,
-0.0200625,-0.4809375,1.04e-07,
-0.0160625,-0.56125,1.08e-07,
-0.024,-0.56,1.1200000000000001e-07,
-0.02003125,-0.439375,1.16e-07,
-0.028,-0.48,1.2000000000000002e-07,
-0.02,-0.44,1.24e-07,
-0.016,-0.5609375,1.28e-07,
-0.01996875,-0.480625,1.3200000000000002e-07,
-0.024,-0.52,1.36e-07,
-0.02,-0.43875000000000003,1.4e-07,
-0.02,-0.479375,1.4400000000000002e-07,
-0.02003125,-0.5209375,1.48e-07,
-0.0240625,-0.5181250000000001,1.52e-07,
-0.036000000000000004,-0.44,1.5600000000000002e-07,
-0.0279375,-0.56125,1.6e-07,
-0.0160625,-0.5203125,1.64e-07,
-0.02803125,-0.6,1.6800000000000002e-07,
-0.024,-0.4784375,1.72e-07,
-0.024,-0.52,1.7600000000000001e-07,
-0.02003125,-0.639375,1.8000000000000002e-07,
-0.01996875,-0.4365625,1.84e-07,
-0.0199375,-0.479375,1.8800000000000002e-07,
-0.01609375,-0.600625,1.9200000000000003e-07,
-0.028,-0.5571875000000001,1.96e-07,
-0.01603125,-0.480625,2.0000000000000002e-07,
-0.024,-0.4821875,2.04e-07,
-0.01603125,-0.56,2.08e-07,
-0.016,-0.48125,2.1200000000000002e-07,
-0.02,-0.519375,2.16e-07,
-0.012,-0.48,2.2e-07,
-0.01603125,-0.480625,2.2400000000000002e-07,
-0.008,-0.4790625,2.28e-07,
-0.016,-0.56,2.32e-07,
-0.01203125,-0.44375000000000003,2.3600000000000002e-07,
-0.02,-0.43875000000000003,2.4000000000000003e-07,
-0.02003125,-0.5996875,2.44e-07,
-0.024,-0.52125,2.48e-07,
-0.024,-0.56,2.5200000000000003e-07,
-0.016,-0.48031250000000003,2.56e-07,
-0.02396875,-0.5203125,2.6e-07,
-0.0200625,-0.4403125,2.6400000000000003e-07,
-0.02,-0.4390625,2.68e-07,
-0.0199375,-0.480625,2.72e-07,
-0.012,-0.440625,2.7600000000000004e-07,
-0.0199375,-0.5590625,2.8e-07,
-0.02,-0.48,2.84e-07,
-0.0199375,-0.5603125,2.8800000000000004e-07,
-0.02396875,-0.5650000000000001,2.92e-07,
-0.012,-0.4403125,2.96e-07,
-0.024,-0.599375,3.0000000000000004e-07,
-0.016,-0.6046875,3.04e-07,
-0.012,-0.5196875,3.08e-07,
-0.016,-0.520625,3.1200000000000004e-07,
