CH1,CH2,time,Ts
0.21215625,-0.2803125,0.0,1e-09
0.21596875000000001,-0.52,1e-09,
0.2159375,-0.4353125,2e-09,
0.212,-0.3590625,3.0000000000000004e-09,
0.21603125,-0.4025,4e-09,
0.21181250000000001,-0.52,5e-09,
0.20415625,-0.28,6.000000000000001e-09,
0.22,-0.520625,7.000000000000001e-09,
0.20790625000000001,-0.4015625,8e-09,
0.20796875,-0.6409375,9.000000000000001e-09,
0.216,-0.44,1e-08,
0.208125,-0.525,1.1000000000000001e-08,
0.20778125,-0.3203125,1.2000000000000002e-08,
0.22003125,-0.48,1.3e-08,
0.20800000000000002,-0.48,1.4000000000000001e-08,
0.216,-0.4753125,1.5000000000000002e-08,
0.212,-0.2409375,1.6e-08,
0.20800000000000002,-0.5234375,1.7e-08,
0.20800000000000002,-0.398125,1.8000000000000002e-08,
0.2159375,-0.443125,1.9e-08,
0.21596875000000001,-0.4390625,2e-08,
0.20803125,-0.359375,2.1000000000000003e-08,
0.20390625,-0.441875,2.2000000000000002e-08,
0.21575,-0.480625,2.3e-08,
0.2116875,-0.3178125,2.4000000000000003e-08,
0.20003125,-0.5175,2.5000000000000002e-08,
0.21615625,-0.4809375,2.6e-08,
0.216,-0.48031250000000003,2.7e-08,
0.22,-0.480625,2.8000000000000003e-08,
0.21603125,-0.4784375,2.9e-08,
0.212,-0.4003125,3.0000000000000004e-08,
0.20800000000000002,-0.48,3.1e-08,
0.195875,-0.4,3.2e-08,
0.21984375,-0.439375,3.3000000000000004e-08,
0.2081875,-0.3596875,3.4e-08,
0.2159375,-0.440625,3.5e-08,
0.20784375,-0.4396875,3.6000000000000005e-08,
0.20825,-0.5271875,3.7e-08,
0.21590625,-0.3203125,3.8e-08,
0.20384375000000002,-0.52,3.9000000000000005e-08,
0.2081875,-0.3959375,4e-08,
0.22,-0.4428125,4.1e-08,
0.21171875,-0.5615625,4.2000000000000006e-08,
0.20400000000000001,-0.478125,4.3e-08,
0.21234375,-0.28,4.4000000000000004e-08,
0.2159375,-0.400625,4.5000000000000006e-08,
0.20778125,-0.3609375,4.6e-08,
0.20409375,-0.525,4.7000000000000004e-08,
0.21640625,-0.5146875,4.8000000000000006e-08,
0.22396875,-0.3590625,4.9e-08,
0.20800000000000002,-0.3584375,5.0000000000000004e-08,
0.21990625,-0.44,5.1e-08,
0.21206250000000001,-0.36,5.2e-08,
0.216125,-0.36,5.3000000000000005e-08,
0.20400000000000001,-0.36062500000000003,5.4e-08,
0.215875,-0.48031250000000003,5.5e-08,
0.20809375,-0.3603125,5.6000000000000005e-08,
0.20796875,-0.400625,5.7e-08,
0.20796875,-0.481875,5.8e-08,
0.212,-0.5996875,5.9000000000000006e-08,
0.20815625000000001,-0.47781250000000003,6.000000000000001e-08,
0.19993750000000002,-0.43875000000000003,6.1e-08,
0.21171875,-0.39937500000000004,6.2e-08,
0.21603125,-0.480625,6.300000000000001e-08,
0.212,-0.4009375,6.4e-08,
0.2080625,-0.441875,6.5e-08,
0.20396875,-0.320625,6.600000000000001e-08,
0.2159375,-0.39968750000000003,6.7e-08,
0.21206250000000001,-0.3209375,6.8e-08,
0.212125,-0.40125,6.900000000000001e-08,
0.2079375,-0.4403125,7e-08,
0.22409375,-0.439375,7.1e-08,
0.20425000000000001,-0.39937500000000004,7.200000000000001e-08,
0.21181250000000001,-0.4796875,7.3e-08,
0.2080625,-0.4025,7.4e-08,
0.20821875,-0.36,7.500000000000001e-08,
0.19603125,-0.3190625,7.6e-08,
0.2121875,-0.395625,7.7e-08,
0.21984375,-0.400625,7.800000000000001e-08,
0.20400000000000001,-0.39937500000000004,7.9e-08,
0.2083125,-0.4390625,8e-08,
0.22396875,-0.48031250000000003,8.100000000000001e-08,
0.21596875000000001,-0.440625,8.2e-08,
0.21603125,-0.4796875,8.3e-08,
0.20800000000000002,-0.32,8.400000000000001e-08,
0.21196875,-0.4396875,8.500000000000001e-08,
0.2000625,-0.4409375,8.6e-08,
0.21996875000000002,-0.64,8.700000000000001e-08,
0.20409375,-0.436875,8.800000000000001e-08,
0.21565625,-0.40218750000000003,8.9e-08,
0.21603125,-0.2725,9.000000000000001e-08,
0.2081875,-0.5181250000000001,9.100000000000001e-08,
0.20390625,-0.32656250000000003,9.2e-08,
0.216,-0.3590625,9.300000000000001e-08,
0.20796875,-0.4,9.400000000000001e-08,
0.22009375,-0.36,9.5e-08,
0.21987500000000001,-0.48,9.600000000000001e-08,
0.21190625000000002,-0.4390625,9.700000000000001e-08,
0.20403125,-0.44,9.8e-08,
0.2119375,-0.5209375,9.9e-08,
0.2080625,-0.5196875,1.0000000000000001e-07,
0.2079375,-0.4,1.01e-07,
0.21590625,-0.44125000000000003,1.02e-07,
0.21590625,-0.3921875,1.0300000000000001e-07,
0.21206250000000001,-0.5609375,1.04e-07,
0.216,-0.320625,1.05e-07,
0.212,-0.400625,1.0600000000000001e-07,
0.216,-0.48031250000000003,1.07e-07,
0.212,-0.4396875,1.08e-07,
0.212,-0.440625,1.0900000000000001e-07,
0.212,-0.439375,1.1e-07,
0.22803125,-0.3603125,1.11e-07,
0.208125,-0.4809375,1.1200000000000001e-07,
0.21578125,-0.47875,1.13e-07,
