CH1,CH2,time,Ts
-0.024,-0.0558125,0.0,1e-09
-0.024125,-0.05671875,1e-09,
-0.01584375,-0.044,2e-09,
-0.012,-0.05625,3.0000000000000004e-09,
-0.0160625,-0.052000000000000005,4e-09,
-0.0239375,-0.03571875,5e-09,
-0.01196875,-0.036000000000000004,6.000000000000001e-09,
-0.0160625,-0.04821875,7.000000000000001e-09,
-0.012,-0.052000000000000005,8e-09,
-0.012,-0.04775,9.000000000000001e-09,
-0.02,-0.0360625,1e-08,
-0.01225,-0.04809375,1.1000000000000001e-08,
-0.011875,-0.044,1.2000000000000002e-08,
-0.02003125,-0.0478125,1.3e-08,
-0.00809375,-0.0483125,1.4000000000000001e-08,
-0.01215625,-0.04,1.5000000000000002e-08,
-0.012,-0.0360625,1.6e-08,
-0.016125,-0.04403125,1.7e-08,
-0.01596875,-0.043875000000000004,1.8000000000000002e-08,
-0.01621875,-0.04009375,1.9e-08,
-0.024,-0.0560625,2e-08,
-0.015875,-0.04371875,2.1000000000000003e-08,
-0.02015625,-0.044125,2.2000000000000002e-08,
-0.023875,-0.051937500000000004,2.3e-08,
-0.0200625,-0.06371875,2.4000000000000003e-08,
-0.0236875,-0.036000000000000004,2.5000000000000002e-08,
-0.004,-0.052000000000000005,2.6e-08,
-0.0200625,-0.0444375,2.7e-08,
-0.01203125,-0.04403125,2.8000000000000003e-08,
-0.023875,-0.039968750000000004,2.9e-08,
-0.02415625,-0.039906250000000004,3.0000000000000004e-08,
-0.00790625,-0.047968750000000004,3.1e-08,
-0.016125,-0.05203125,3.2e-08,
-0.03609375,-0.039875,3.3000000000000004e-08,
-0.02790625,-0.04828125,3.4e-08,
-0.01190625,-0.05178125,3.5e-08,
-0.00796875,-0.039906250000000004,3.6000000000000005e-08,
-0.004125,-0.0360625,3.7e-08,
-0.023875,-0.043937500000000004,3.8e-08,
-0.016,-0.0520625,3.9000000000000005e-08,
-0.01178125,-0.031875,4e-08,
-0.02,-0.05190625,4.1e-08,
-0.011875,-0.04003125,4.2000000000000006e-08,
-0.01203125,-0.056,4.3e-08,
-0.0159375,-0.04803125,4.4000000000000004e-08,
-0.02796875,-0.05203125,4.5000000000000006e-08,
-0.01603125,-0.0479375,4.6e-08,
-0.024,-0.047968750000000004,4.7000000000000004e-08,
-0.01628125,-0.0480625,4.8000000000000006e-08,
-0.01575,-0.051812500000000004,4.9e-08,
-0.024125,-0.039875,5.0000000000000004e-08,
-0.00834375,-0.064,5.1e-08,
-0.00771875,-0.04009375,5.2e-08,
-0.01990625,-0.043375000000000004,5.3000000000000005e-08,
-0.01996875,-0.0600625,5.4e-08,
-0.01996875,-0.05621875,5.5e-08,
-0.02009375,-0.04403125,5.6000000000000005e-08,
-0.028,-0.052000000000000005,5.7e-08,
-0.02003125,-0.0476875,5.8e-08,
-0.02,-0.039968750000000004,5.9000000000000006e-08,
-0.016,-0.0440625,6.000000000000001e-08,
-0.02003125,-0.044,6.1e-08,
-0.020125,-0.04409375,6.2e-08,
-0.027875,-0.0479375,6.300000000000001e-08,
-0.01196875,-0.0401875,6.4e-08,
-0.02003125,-0.05609375,6.5e-08,
-0.01596875,-0.05203125,6.600000000000001e-08,
-0.028,-0.0574375,6.7e-08,
-0.016125,-0.032,6.8e-08,
-0.01984375,-0.06,6.900000000000001e-08,
-0.024,-0.044,7e-08,
-0.02,-0.04815625,7.1e-08,
-0.016,-0.0398125,7.200000000000001e-08,
-0.032,-0.04015625,7.3e-08,
-0.016,-0.048125,7.4e-08,
-0.016,-0.047906250000000004,7.500000000000001e-08,
-0.0159375,-0.04396875,7.6e-08,
-0.0320625,-0.0440625,7.7e-08,
-0.02803125,-0.04396875,7.800000000000001e-08,
-0.02803125,-0.04,7.9e-08,
-0.01640625,-0.04365625,8e-08,
-0.01215625,-0.048,8.100000000000001e-08,
-0.0240625,-0.0440625,8.2e-08,
-0.0199375,-0.0399375,8.3e-08,
-0.02,-0.0401875,8.400000000000001e-08,
-0.02003125,-0.047968750000000004,8.500000000000001e-08,
-0.016,-0.0440625,8.6e-08,
-0.02,-0.05628125,8.700000000000001e-08,
-0.02,-0.05184375,8.800000000000001e-08,
-0.02,-0.0401875,8.9e-08,
-0.01609375,-0.05203125,9.000000000000001e-08,
-0.0121875,-0.03975,9.100000000000001e-08,
-0.0079375,-0.04396875,9.2e-08,
-0.0160625,-0.04821875,9.300000000000001e-08,
-0.01621875,-0.04403125,9.400000000000001e-08,
-0.02803125,-0.052000000000000005,9.5e-08,
-0.01590625,-0.043687500000000004,9.600000000000001e-08,
-0.02009375,-0.04415625,9.700000000000001e-08,
-0.02,-0.04775,9.8e-08,
-0.02015625,-0.031906250000000004,9.9e-08,
-0.02796875,-0.04046875,1.0000000000000001e-07,
-0.01575,-0.05190625,1.01e-07,
-0.02009375,-0.035937500000000004,1.02e-07,
-0.02409375,-0.0524375,1.0300000000000001e-07,
-0.02809375,-0.047531250000000004,1.04e-07,
-0.02784375,-0.04403125,1.05e-07,
-0.0159375,-0.051937500000000004,1.0600000000000001e-07,
-0.012,-0.052000000000000005,1.07e-07,
-0.01584375,-0.052000000000000005,1.08e-07,
-0.02396875,-0.04396875,1.0900000000000001e-07,
-0.0239375,-0.04803125,1.1e-07,
-0.028,-0.052000000000000005,1.11e-07,
-0.01634375,-0.05203125,1.1200000000000001e-07,
-0.01184375,-0.0480625,1.13e-07,
-0.0240625,-0.0600625,1.14e-07,
