CH1,CH2,CH3,CH4,time,Ts
146.0,-0.38,-0.0002,-5.6000000000000005,0.0,2e-08
145.0,-0.3,-0.0005,-4.800000000000001,2e-08,
145.0,-0.32,-0.00030000000000000003,-4.800000000000001,4e-08,
144.0,-0.36,-0.0002,-4.0,6.000000000000001e-08,
148.0,-0.3,-0.00030000000000000003,-4.4,8e-08,
145.0,-0.44,-0.0004,-4.4,1e-07,
149.0,-0.38,0.0,-5.2,1.2000000000000002e-07,
149.0,-0.32,-0.0001,-4.800000000000001,1.4e-07,
149.0,-0.28,-0.0001,-4.800000000000001,1.6e-07,
147.0,-0.32,-0.0005,-3.2,1.8e-07,
147.0,-0.32,-0.0001,-4.800000000000001,2e-07,
147.0,-0.3,-0.00030000000000000003,-4.0,2.2e-07,
147.0,-0.4,-0.0002,-3.6,2.4000000000000003e-07,
147.0,-0.42,-0.0004,-4.4,2.6e-07,
151.0,-0.3,-0.0005,-3.6,2.8e-07,
146.0,-0.42,-0.0001,-3.6,3e-07,
147.0,-0.36,-0.0001,-4.4,3.2e-07,
146.0,-0.38,-0.0002,-4.4,3.4000000000000003e-07,
145.0,-0.34,0.0,-3.6,3.6e-07,
147.0,-0.36,-0.0001,-4.4,3.8e-07,
149.0,-0.42,-0.0002,-4.0,4e-07,
146.0,-0.42,-0.00030000000000000003,-3.6,4.2e-07,
146.0,-0.46,-0.0004,-3.2,4.4e-07,
147.0,-0.3,-0.0005,-3.6,4.6e-07,
146.0,-0.36,-0.00030000000000000003,-4.0,4.800000000000001e-07,
147.0,-0.36,0.0002,-3.6,5e-07,
145.0,-0.32,-0.0006000000000000001,-4.0,5.2e-07,
150.0,-0.42,-0.0001,-4.4,5.4e-07,
148.0,-0.34,-0.0001,-4.4,5.6e-07,
146.0,-0.34,-0.00030000000000000003,-4.4,5.800000000000001e-07,
146.0,-0.36,0.0,-4.0,6e-07,
146.0,-0.38,0.0,-5.6000000000000005,6.2e-07,
146.0,-0.36,-0.00030000000000000003,-4.4,6.4e-07,
148.0,-0.42,-0.0004,-4.0,6.6e-07,
147.0,-0.32,-0.0006000000000000001,-5.6000000000000005,6.800000000000001e-07,
147.0,-0.32,-0.0001,-4.0,7e-07,
148.0,-0.34,0.0,-5.6000000000000005,7.2e-07,
147.0,-0.3,-0.0002,-4.4,7.4e-07,
146.0,-0.4,0.0001,-4.800000000000001,7.6e-07,
147.0,-0.34,-0.0005,-4.4,7.8e-07,
146.0,-0.34,0.0001,-3.6,8e-07,
150.0,-0.38,0.0,-4.0,8.2e-07,
146.0,-0.4,0.0,-5.2,8.4e-07,
146.0,-0.32,-0.0001,-5.2,8.6e-07,
145.0,-0.24,-0.0001,-3.6,8.8e-07,
146.0,-0.32,0.0,-4.4,9.000000000000001e-07,
