CH1,CH2,CH4,time,Ts
-29.0,-0.054,-4.0,0.0,1e-08
-30.0,-0.062,-4.0,1e-08,
-30.0,-0.05,-4.0,2e-08,
-31.0,-0.054,-4.4,3.0000000000000004e-08,
-30.0,-0.058,-4.2,4e-08,
-30.0,-0.058,-5.2,5e-08,
-28.0,-0.05,-4.800000000000001,6.000000000000001e-08,
-31.0,-0.06,-3.6,7e-08,
-34.0,-0.058,-4.4,8e-08,
-31.0,-0.056,-4.0,9e-08,
-31.0,-0.058,-4.6000000000000005,1e-07,
-29.0,-0.064,-4.800000000000001,1.1e-07,
-33.0,-0.064,-4.6000000000000005,1.2000000000000002e-07,
-30.0,-0.068,-4.4,1.3e-07,
-32.0,-0.064,-4.6000000000000005,1.4e-07,
-31.0,-0.062,-5.2,1.5e-07,
-33.0,-0.062,-5.0,1.6e-07,
-33.0,-0.064,-4.2,1.7000000000000001e-07,
-32.0,-0.062,-5.0,1.8e-07,
-34.0,-0.064,-4.4,1.9e-07,
-30.0,-0.058,-4.800000000000001,2e-07,
-33.0,-0.056,-4.800000000000001,2.1e-07,
-30.0,-0.062,-4.800000000000001,2.2e-07,
-35.0,-0.066,-4.800000000000001,2.3e-07,
-33.0,-0.064,-4.4,2.4000000000000003e-07,
-29.0,-0.064,-4.800000000000001,2.5e-07,
-34.0,-0.06,-4.6000000000000005,2.6e-07,
-34.0,-0.056,-5.0,2.7e-07,
-32.0,-0.068,-4.800000000000001,2.8e-07,
-34.0,-0.06,-5.0,2.9000000000000003e-07,
-31.0,-0.064,-4.4,3e-07,
-35.0,-0.066,-4.4,3.1e-07,
-34.0,-0.066,-4.800000000000001,3.2e-07,
-31.0,-0.062,-4.6000000000000005,3.3e-07,
-34.0,-0.064,-4.800000000000001,3.4000000000000003e-07,
-32.0,-0.064,-5.2,3.5e-07,
-35.0,-0.066,-4.4,3.6e-07,
-32.0,-0.07200000000000001,-4.800000000000001,3.7e-07,
-34.0,-0.06,-4.800000000000001,3.8e-07,
-35.0,-0.064,-4.800000000000001,3.9e-07,
-30.0,-0.07,-5.4,4e-07,
-31.0,-0.064,-5.0,4.1e-07,
-32.0,-0.068,-5.0,4.2e-07,
-34.0,-0.062,-5.0,4.3e-07,
-34.0,-0.064,-4.6000000000000005,4.4e-07,
-30.0,-0.074,-4.800000000000001,4.5000000000000003e-07,
-32.0,-0.066,-4.6000000000000005,4.6e-07,
-33.0,-0.078,-4.800000000000001,4.7e-07,
-33.0,-0.066,-5.2,4.800000000000001e-07,
-32.0,-0.066,-4.0,4.9e-07,
-32.0,-0.068,-5.0,5e-07,
-32.0,-0.076,-5.0,5.1e-07,
-30.0,-0.068,-4.4,5.2e-07,
-32.0,-0.066,-4.2,5.3e-07,
-30.0,-0.064,-4.6000000000000005,5.4e-07,
-34.0,-0.074,-5.2,5.5e-07,
-30.0,-0.074,-4.6000000000000005,5.6e-07,
-32.0,-0.066,-4.6000000000000005,5.7e-07,
-32.0,-0.07200000000000001,-4.2,5.800000000000001e-07,
-33.0,-0.07200000000000001,-4.4,5.9e-07,
-32.0,-0.074,-4.800000000000001,6e-07,
-33.0,-0.068,-4.2,6.1e-07,
-31.0,-0.078,-4.4,6.2e-07,
-30.0,-0.076,-4.6000000000000005,6.3e-07,
-31.0,-0.07,-4.800000000000001,6.4e-07,
-31.0,-0.08,-4.4,6.5e-07,
-33.0,-0.07200000000000001,-4.2,6.6e-07,
-32.0,-0.078,-4.0,6.7e-07,
-30.0,-0.074,-4.4,6.800000000000001e-07,
-28.0,-0.082,-4.6000000000000005,6.900000000000001e-07,
-29.0,-0.07200000000000001,-4.4,7e-07,
-31.0,-0.076,-3.6,7.1e-07,
-33.0,-0.07,-4.0,7.2e-07,
-30.0,-0.076,-4.800000000000001,7.3e-07,
-29.0,-0.07,-5.0,7.4e-07,
-30.0,-0.082,-4.4,7.5e-07,
-32.0,-0.068,-4.0,7.6e-07,
-28.0,-0.068,-4.0,7.7e-07,
-27.0,-0.076,-4.0,7.8e-07,
-29.0,-0.068,-4.2,7.900000000000001e-07,
-26.0,-0.078,-4.2,8e-07,
-29.0,-0.074,-3.8000000000000003,8.1e-07,
-28.0,-0.074,-4.2,8.2e-07,
-26.0,-0.076,-3.6,8.3e-07,
-27.0,-0.08,-3.4000000000000004,8.4e-07,
-28.0,-0.08,-3.4000000000000004,8.5e-07,
-26.0,-0.068,-3.8000000000000003,8.6e-07,
-26.0,-0.082,-4.4,8.7e-07,
-25.0,-0.08,-3.6,8.8e-07,
-25.0,-0.082,-3.2,8.900000000000001e-07,
-28.0,-0.078,-3.4000000000000004,9.000000000000001e-07,
-22.0,-0.074,-3.4000000000000004,9.1e-07,
-23.0,-0.074,-3.4000000000000004,9.2e-07,
-22.0,-0.08,-2.8000000000000003,9.3e-07,
-23.0,-0.08,-3.8000000000000003,9.4e-07,
-22.0,-0.082,-3.4000000000000004,9.5e-07,
-20.0,-0.074,-3.4000000000000004,9.600000000000001e-07,
-20.0,-0.082,-3.8000000000000003,9.7e-07,
-20.0,-0.068,-2.8000000000000003,9.8e-07,
-19.0,-0.08,-3.6,9.9e-07,
-18.0,-0.078,-2.6,1e-06,
-20.0,-0.076,-3.6,1.01e-06,
-20.0,-0.08,-3.0,1.02e-06,
-18.0,-0.084,-2.8000000000000003,1.03e-06,
-13.0,-0.076,-2.6,1.04e-06,
-19.0,-0.082,-1.6,1.0500000000000001e-06,
-15.0,-0.076,-2.2,1.06e-06,
-15.0,-0.074,-2.6,1.07e-06,
-15.0,-0.08,-1.6,1.08e-06,
-16.0,-0.074,-2.2,1.09e-06,
-13.0,-0.084,-2.0,1.1e-06,
-13.0,-0.082,-1.8,1.11e-06,
-16.0,-0.074,-2.8000000000000003,1.12e-06,
-10.0,-0.076,-2.8000000000000003,1.13e-06,
-13.0,-0.076,-1.6,1.14e-06,
-13.0,-0.09,-2.2,1.15e-06,
