CH1,CH2,CH4,time,Ts
278.0,-0.014,-3.94,0.0,1e-08
288.0,-0.01,-3.94,1e-08,
274.0,-0.01,-4.0200000000000005,2e-08,
284.0,-0.002,-3.98,3.0000000000000004e-08,
284.0,-0.004,-3.96,4e-08,
284.0,-0.004,-4.0,5e-08,
286.0,0.0,-3.98,6.000000000000001e-08,
280.0,0.004,-4.0,7e-08,
280.0,-0.002,-4.0,8e-08,
280.0,0.008,-4.0200000000000005,9e-08,
278.0,0.008,-4.0200000000000005,1e-07,
282.0,0.012,-3.92,1.1e-07,
286.0,0.004,-4.0,1.2000000000000002e-07,
284.0,0.012,-3.94,1.3e-07,
278.0,0.01,-3.94,1.4e-07,
280.0,0.012,-3.98,1.5e-07,
276.0,0.016,-3.98,1.6e-07,
284.0,0.018000000000000002,-3.96,1.7000000000000001e-07,
278.0,0.008,-3.98,1.8e-07,
278.0,0.022,-3.94,1.9e-07,
284.0,0.022,-3.98,2e-07,
278.0,0.018000000000000002,-3.96,2.1e-07,
284.0,0.024,-3.98,2.2e-07,
278.0,0.028,-3.92,2.3e-07,
278.0,0.022,-3.92,2.4000000000000003e-07,
280.0,0.028,-3.94,2.5e-07,
280.0,0.032,-3.92,2.6e-07,
278.0,0.028,-3.98,2.7e-07,
284.0,0.03,-3.92,2.8e-07,
276.0,0.028,-3.92,2.9000000000000003e-07,
282.0,0.032,-4.04,3e-07,
286.0,0.032,-3.94,3.1e-07,
280.0,0.032,-4.0,3.2e-07,
276.0,0.04,-3.9,3.3e-07,
286.0,0.038,-3.98,3.4000000000000003e-07,
280.0,0.046,-3.96,3.5e-07,
278.0,0.042,-3.96,3.6e-07,
274.0,0.038,-3.96,3.7e-07,
278.0,0.042,-4.0200000000000005,3.8e-07,
276.0,0.048,-3.94,3.9e-07,
278.0,0.048,-3.92,4e-07,
274.0,0.048,-3.94,4.1e-07,
278.0,0.05,-3.96,4.2e-07,
282.0,0.05,-3.94,4.3e-07,
280.0,0.05,-4.0,4.4e-07,
278.0,0.056,-3.96,4.5000000000000003e-07,
280.0,0.054,-3.94,4.6e-07,
276.0,0.058,-3.98,4.7e-07,
280.0,0.068,-3.96,4.800000000000001e-07,
282.0,0.062,-3.94,4.9e-07,
280.0,0.062,-3.86,5e-07,
284.0,0.058,-3.96,5.1e-07,
