CH2,CH3,CH4,time,Ts
-1.039921875,6.1996875000000005,-0.004978125,0.0,2e-09
-1.040546875,6.1596875,-0.003,2e-09,
-1.07,6.2409375,-0.0010046875000000002,4e-09,
-1.02875,6.2396875000000005,-0.0019859375000000003,6.000000000000001e-09,
-1.020546875,6.16,-0.0022,8e-09,
-1.04,6.3171875,-0.0016046875,1e-08,
-1.01984375,6.2406250000000005,-0.0019953125,1.2000000000000002e-08,
-1.02,6.1203125,-0.0021984375000000003,1.4000000000000001e-08,
-1.020078125,6.1606250000000005,-0.0022015625,1.6e-08,
-1.040234375,6.16,-0.0024000000000000002,1.8000000000000002e-08,
-1.040078125,6.2003125,-0.0020046875,2e-08,
-1.050078125,6.24,-0.003,2.2000000000000002e-08,
-1.04109375,6.08,-0.0024000000000000002,2.4000000000000003e-08,
-1.019765625,6.24,-0.0015984375,2.6e-08,
-1.049765625,6.2403125,-0.002,2.8000000000000003e-08,
-1.03078125,6.16,-0.0011984375,3.0000000000000004e-08,
-0.9996875000000001,6.2403125,-0.0015921875,3.2e-08,
-1.059375,6.2406250000000005,-0.0028,3.4e-08,
-1.031953125,6.19875,-0.0031921875,3.6000000000000005e-08,
-1.00984375,6.2406250000000005,-0.0040171875,3.8e-08,
-1.029921875,6.1196875,-0.002003125,4e-08,
-1.020078125,6.2396875000000005,-0.0034156250000000003,4.2000000000000006e-08,
-1.02,6.120625,-0.0024109375000000003,4.4000000000000004e-08,
-1.02,6.32,-0.0008,4.6e-08,
-1.01,6.1215625000000005,-0.001,4.8000000000000006e-08,
-1.020078125,6.155,0.000221875,5.0000000000000004e-08,
-1.009921875,6.2396875000000005,-0.0024000000000000002,5.2e-08,
-1.029921875,6.2387500000000005,-0.001771875,5.4e-08,
-1.03,6.0784375,-0.0018375000000000002,5.6000000000000005e-08,
-1.05,6.161875,-0.0054078125,5.8e-08,
-1.0401562500000001,6.2003125,-0.0035843750000000003,6.000000000000001e-08,
-1.029765625,6.2003125,-0.003,6.2e-08,
-1.0306250000000001,6.0796875,-0.001,6.4e-08,
-0.9899218750000001,6.16,-0.0062015625000000005,6.600000000000001e-08,
-1.029921875,6.1590625,-0.0009765625,6.8e-08,
-1.01,6.1196875,-0.0026000000000000003,7e-08,
-0.98,6.16,3.125e-06,7.200000000000001e-08,
-1.0496875,6.1990625,-0.00201875,7.4e-08,
-1.031015625,6.08125,-0.0008203125000000001,7.6e-08,
-1.020078125,6.1196875,-0.0004,7.800000000000001e-08,
-0.99,6.1203125,-0.0018015625,8e-08,
-0.99,6.2009375,-0.00059375,8.2e-08,
-1.029921875,6.1590625,-0.0034109375000000003,8.400000000000001e-08,
-1.009921875,5.99875,0.0022,8.6e-08,
-1.0,5.999375000000001,-0.0031265625,8.800000000000001e-08,
-0.999609375,6.15875,-0.0028046875000000003,9.000000000000001e-08,
-1.02984375,6.1190625,-0.004420312500000001,9.2e-08,
-1.019921875,6.0375000000000005,-0.004596875,9.400000000000001e-08,
-1.04,6.0021875,-0.0033921875000000002,9.600000000000001e-08,
-1.01015625,6.3215625,-0.0030078125,9.8e-08,
-1.0096875,6.1171875,-0.0032046875,1.0000000000000001e-07,
-1.0306250000000001,6.11875,-0.0018062500000000001,1.02e-07,
-0.9999218750000001,6.08,-0.0018000000000000002,1.04e-07,
-1.030234375,6.1203125,-0.0018000000000000002,1.0600000000000001e-07,
-0.9899218750000001,6.1196875,-0.0008,1.08e-07,
-1.06,6.08,-0.0054062500000000005,1.1e-07,
