CH1,CH2,time,Ts
-44.0625,-0.082015625,0.0,1e-09
-36.0625,-0.079984375,1e-09,
-37.984375,-0.079984375,2e-09,
-37.9375,-0.07660937500000001,3.0000000000000004e-09,
-46.078125,-0.06803125,4e-09,
-41.9375,-0.07596875,5e-09,
-41.9375,-0.07615625,6.000000000000001e-09,
-38.0,-0.066015625,7.000000000000001e-09,
-42.0,-0.076078125,8e-09,
-32.015625,-0.071953125,9.000000000000001e-09,
-42.1875,-0.074,1e-08,
-39.96875,-0.076109375,1.1000000000000001e-08,
-44.125,-0.081734375,1.2000000000000002e-08,
-48.015625,-0.06190625,1.3e-08,
-47.90625,-0.076125,1.4000000000000001e-08,
-34.03125,-0.068,1.5000000000000002e-08,
-42.0625,-0.0738125,1.6e-08,
-41.96875,-0.070125,1.7e-08,
-48.0,-0.07190625,1.8000000000000002e-08,
-44.03125,-0.079953125,1.9e-08,
-44.046875,-0.08003125,2e-08,
-36.0,-0.0740625,2.1000000000000003e-08,
-44.0,-0.074015625,2.2000000000000002e-08,
-36.0,-0.07,2.3e-08,
-44.046875,-0.07209375,2.4000000000000003e-08,
-48.0,-0.074015625,2.5000000000000002e-08,
-46.0,-0.074015625,2.6e-08,
-46.0625,-0.075984375,2.7e-08,
-38.03125,-0.079984375,2.8000000000000003e-08,
-37.859375,-0.080296875,2.9e-08,
-44.0,-0.07584375,3.0000000000000004e-08,
-39.953125,-0.080015625,3.1e-08,
-42.0625,-0.071890625,3.2e-08,
-42.015625,-0.076,3.3000000000000004e-08,
-43.96875,-0.0758125,3.4e-08,
-40.0,-0.07,3.5e-08,
-44.0,-0.078125,3.6000000000000005e-08,
-40.0,-0.077953125,3.7e-08,
-44.0,-0.07596875,3.8e-08,
-40.0,-0.074046875,3.9000000000000005e-08,
-42.140625,-0.075953125,4e-08,
-33.96875,-0.068015625,4.1e-08,
-44.0,-0.0719375,4.2000000000000006e-08,
-36.046875,-0.0718125,4.3e-08,
-44.265625,-0.076,4.4000000000000004e-08,
-46.046875,-0.072015625,4.5000000000000006e-08,
-47.875,-0.078015625,4.6e-08,
-37.90625,-0.073984375,4.7000000000000004e-08,
-42.25,-0.07596875,4.8000000000000006e-08,
-48.015625,-0.06796875000000001,4.9e-08,
-43.8125,-0.0741875,5.0000000000000004e-08,
-42.140625,-0.073875,5.1e-08,
-52.0,-0.07396875,5.2e-08,
-43.984375,-0.08196875,5.3000000000000005e-08,
-48.015625,-0.07200000000000001,5.4e-08,
-40.0,-0.074,5.5e-08,
-37.984375,-0.072140625,5.6000000000000005e-08,
-35.921875,-0.07,5.7e-08,
-44.015625,-0.072109375,5.8e-08,
-38.015625,-0.085953125,5.9000000000000006e-08,
-44.015625,-0.07803125,6.000000000000001e-08,
-40.0,-0.080015625,6.1e-08,
-44.015625,-0.075796875,6.2e-08,
-42.015625,-0.07831250000000001,6.300000000000001e-08,
-45.953125,-0.081328125,6.4e-08,
-35.984375,-0.05396875,6.5e-08,
-40.03125,-0.074296875,6.600000000000001e-08,
-36.03125,-0.071984375,6.7e-08,
-40.0,-0.08,6.8e-08,
-43.859375,-0.071953125,6.900000000000001e-08,
-48.0,-0.080078125,7e-08,
-43.984375,-0.07,7.1e-08,
-46.0,-0.08,7.200000000000001e-08,
-42.0,-0.07200000000000001,7.3e-08,
-46.015625,-0.079984375,7.4e-08,
-44.0,-0.06596875,7.500000000000001e-08,
-46.0,-0.078171875,7.6e-08,
-40.046875,-0.074015625,7.7e-08,
-43.953125,-0.0819375,7.800000000000001e-08,
-43.953125,-0.070015625,7.9e-08,
-44.234375,-0.078015625,8e-08,
-33.890625,-0.068,8.100000000000001e-08,
-47.9375,-0.07785937500000001,8.2e-08,
-39.921875,-0.074015625,8.3e-08,
-46.25,-0.082015625,8.400000000000001e-08,
-46.0,-0.074,8.500000000000001e-08,
-45.953125,-0.082,8.6e-08,
-42.015625,-0.071765625,8.700000000000001e-08,
-42.015625,-0.072046875,8.800000000000001e-08,
-42.0,-0.074109375,8.9e-08,
-41.96875,-0.08,9.000000000000001e-08,
-42.125,-0.069875,9.100000000000001e-08,
-52.0,-0.074109375,9.2e-08,
-41.96875,-0.084125,9.300000000000001e-08,
-42.015625,-0.08190625,9.400000000000001e-08,
-39.984375,-0.08003125,9.5e-08,
-46.0,-0.082140625,9.600000000000001e-08,
-34.015625,-0.078015625,9.700000000000001e-08,
-43.9375,-0.078,9.8e-08,
-38.0,-0.074,9.9e-08,
-46.0,-0.078015625,1.0000000000000001e-07,
-40.0,-0.078046875,1.01e-07,
-44.0,-0.07981250000000001,1.02e-07,
-36.0,-0.06590625,1.0300000000000001e-07,
-46.0,-0.07434375,1.04e-07,
-40.015625,-0.0779375,1.05e-07,
-46.0,-0.072046875,1.0600000000000001e-07,
-37.96875,-0.07803125,1.07e-07,
-52.0,-0.07203125,1.08e-07,
-38.140625,-0.071671875,1.0900000000000001e-07,
-46.03125,-0.07796875,1.1e-07,
-38.015625,-0.076015625,1.11e-07,
-46.0,-0.078015625,1.1200000000000001e-07,
-36.0,-0.075984375,1.13e-07,
-41.984375,-0.073921875,1.14e-07,
-39.984375,-0.070046875,1.1500000000000001e-07,
-46.0,-0.08015625,1.16e-07,
-44.0,-0.082015625,1.17e-07,
-44.03125,-0.08171875,1.1800000000000001e-07,
-36.09375,-0.071984375,1.1900000000000001e-07,
-37.984375,-0.078015625,1.2000000000000002e-07,
-36.015625,-0.07003125,1.21e-07,
-35.9375,-0.07003125,1.22e-07,
-34.203125,-0.072109375,1.23e-07,
-48.203125,-0.084,1.24e-07,
-41.90625,-0.07184375,1.2500000000000002e-07,
-42.015625,-0.0780625,1.2600000000000002e-07,
-42.015625,-0.07384375,1.27e-07,
-46.015625,-0.076078125,1.28e-07,
-41.9375,-0.080015625,1.29e-07,
-40.0,-0.07187500000000001,1.3e-07,
-42.078125,-0.06646875000000001,1.31e-07,
-48.046875,-0.082265625,1.3200000000000002e-07,
-45.984375,-0.08003125,1.33e-07,
-43.71875,-0.083953125,1.34e-07,
-32.015625,-0.07203125,1.35e-07,
-45.90625,-0.08,1.36e-07,
-34.265625,-0.07200000000000001,1.37e-07,
-37.734375,-0.0739375,1.3800000000000002e-07,
-45.90625,-0.068046875,1.3900000000000001e-07,
-46.0,-0.084,1.4e-07,
-42.0,-0.074,1.41e-07,
-45.890625,-0.085984375,1.42e-07,
-50.015625,-0.067875,1.43e-07,
-42.09375,-0.076453125,1.4400000000000002e-07,
-37.984375,-0.075875,1.4500000000000001e-07,
-45.921875,-0.070046875,1.46e-07,
-45.96875,-0.077890625,1.47e-07,
-46.1875,-0.078296875,1.48e-07,
-34.046875,-0.0715625,1.49e-07,
-42.0,-0.0896875,1.5000000000000002e-07,
-44.046875,-0.082375,1.5100000000000002e-07,
-38.03125,-0.074171875,1.52e-07,
-37.96875,-0.068078125,1.53e-07,
-41.96875,-0.0700625,1.54e-07,
-41.984375,-0.07403125,1.55e-07,
-44.0,-0.075953125,1.5600000000000002e-07,
-42.046875,-0.0700625,1.5700000000000002e-07,
-41.984375,-0.07575,1.58e-07,
-41.984375,-0.090109375,1.59e-07,
-42.0625,-0.07,1.6e-07,
-41.828125,-0.067359375,1.61e-07,
-50.015625,-0.080578125,1.6200000000000002e-07,
-41.953125,-0.06603125,1.6300000000000002e-07,
-39.9375,-0.079890625,1.64e-07,
-36.0,-0.07,1.65e-07,
-48.015625,-0.080046875,1.66e-07,
-38.03125,-0.06596875,1.67e-07,
-46.015625,-0.07803125,1.6800000000000002e-07,
-40.0,-0.071984375,1.6900000000000002e-07,
-46.0625,-0.07403125,1.7000000000000001e-07,
-42.0,-0.066,1.71e-07,
-43.984375,-0.0739375,1.72e-07,
-38.015625,-0.074046875,1.73e-07,
-41.96875,-0.074171875,1.7400000000000002e-07,
-41.9375,-0.06534375,1.7500000000000002e-07,
-46.015625,-0.0838125,1.7600000000000001e-07,
-40.03125,-0.074234375,1.77e-07,
-43.96875,-0.079953125,1.78e-07,
-42.046875,-0.076,1.79e-07,
-40.0,-0.076,1.8000000000000002e-07,
-40.046875,-0.068,1.8100000000000002e-07,
-46.03125,-0.084109375,1.8200000000000002e-07,
-41.96875,-0.078,1.83e-07,
-42.015625,-0.0780625,1.84e-07,
-41.984375,-0.07796875,1.85e-07,
-42.03125,-0.07,1.8600000000000002e-07,
-38.0,-0.074,1.8700000000000002e-07,
-41.984375,-0.07165625,1.8800000000000002e-07,
-40.015625,-0.081921875,1.89e-07,
-44.046875,-0.074046875,1.9e-07,
-44.0,-0.072015625,1.91e-07,
-43.96875,-0.0780625,1.9200000000000003e-07,
-34.03125,-0.075953125,1.9300000000000002e-07,
-38.0,-0.074015625,1.9400000000000002e-07,
-40.0625,-0.07603125,1.95e-07,
-52.0,-0.073984375,1.96e-07,
-40.03125,-0.070046875,1.97e-07,
-46.03125,-0.0821875,1.98e-07,
-36.0,-0.08196875,1.9900000000000002e-07,
-45.984375,-0.079984375,2.0000000000000002e-07,
-38.0,-0.0766875,2.01e-07,
-48.109375,-0.06603125,2.02e-07,
-39.859375,-0.07596875,2.03e-07,
-42.0625,-0.076140625,2.04e-07,
-42.0,-0.068015625,2.0500000000000002e-07,
-42.0,-0.0760625,2.0600000000000002e-07,
-30.015625,-0.071984375,2.0700000000000001e-07,
-42.203125,-0.07403125,2.08e-07,
-39.96875,-0.07009375,2.09e-07,
-44.0625,-0.079828125,2.1e-07,
-46.03125,-0.059796875,2.1100000000000002e-07,
-49.90625,-0.072171875,2.1200000000000002e-07,
-32.03125,-0.07,2.1300000000000001e-07,
-42.15625,-0.075578125,2.14e-07,
-48.0625,-0.08003125,2.15e-07,
-44.015625,-0.074109375,2.16e-07,
-45.9375,-0.073875,2.1700000000000002e-07,
-42.078125,-0.08403125,2.1800000000000002e-07,
-38.0,-0.06809375,2.1900000000000002e-07,
-48.015625,-0.076015625,2.2e-07,
-40.0,-0.066,2.21e-07,
-44.03125,-0.074265625,2.22e-07,
-46.0,-0.08009375,2.2300000000000002e-07,
-48.0,-0.081953125,2.2400000000000002e-07,
-46.046875,-0.076015625,2.2500000000000002e-07,
-42.03125,-0.08,2.26e-07,
-39.875,-0.072296875,2.27e-07,
-46.0625,-0.073765625,2.28e-07,
-40.015625,-0.07403125,2.2900000000000003e-07,
-48.125,-0.07203125,2.3000000000000002e-07,
-43.96875,-0.074,2.3100000000000002e-07,
-42.03125,-0.074046875,2.32e-07,
-44.0,-0.078,2.33e-07,
-41.921875,-0.077921875,2.34e-07,
-36.03125,-0.074046875,2.3500000000000003e-07,
-48.0,-0.08,2.3600000000000002e-07,
-40.0625,-0.07396875,2.3700000000000002e-07,
-42.078125,-0.07798437500000001,2.3800000000000001e-07,
-33.984375,-0.07003125,2.39e-07,
-43.96875,-0.072140625,2.4000000000000003e-07,
-40.046875,-0.0691875,2.41e-07,
-44.125,-0.084,2.42e-07,
-44.0,-0.063953125,2.43e-07,
-46.015625,-0.07803125,2.44e-07,
-41.890625,-0.06992187500000001,2.4500000000000004e-07,
-40.203125,-0.074,2.46e-07,
-47.984375,-0.07003125,2.4700000000000003e-07,
-37.8125,-0.07818750000000001,2.48e-07,
-42.171875,-0.077953125,2.49e-07,
-48.015625,-0.078,2.5000000000000004e-07,
-46.0,-0.078,2.51e-07,
-47.96875,-0.076,2.5200000000000003e-07,
-42.0,-0.07,2.53e-07,
-39.984375,-0.07778125,2.54e-07,
-37.9375,-0.074046875,2.55e-07,
-44.015625,-0.0680625,2.56e-07,
-36.03125,-0.07990625,2.5700000000000004e-07,
-40.015625,-0.07403125,2.58e-07,
-36.015625,-0.072015625,2.5900000000000003e-07,
-41.984375,-0.0699375,2.6e-07,
-36.015625,-0.072140625,2.61e-07,
-43.921875,-0.07375,2.62e-07,
-27.984375,-0.064,2.63e-07,
-40.109375,-0.074078125,2.6400000000000003e-07,
-38.0625,-0.071953125,2.65e-07,
-38.0,-0.088,2.66e-07,
-35.921875,-0.074046875,2.67e-07,
-42.0,-0.086046875,2.68e-07,
-42.046875,-0.070109375,2.6900000000000004e-07,
-46.0,-0.076,2.7e-07,
-40.015625,-0.071984375,2.7100000000000003e-07,
-42.0,-0.080015625,2.72e-07,
-38.0,-0.077953125,2.73e-07,
-44.0,-0.080109375,2.74e-07,
-36.078125,-0.0840625,2.75e-07,
-39.921875,-0.083765625,2.7600000000000004e-07,
-39.96875,-0.06992187500000001,2.77e-07,
-42.109375,-0.086015625,2.7800000000000003e-07,
-35.96875,-0.06803125,2.79e-07,
-42.015625,-0.07746875,2.8e-07,
-33.9375,-0.08603125,2.8100000000000004e-07,
-38.109375,-0.084125,2.82e-07,
-38.0625,-0.078,2.8300000000000003e-07,
-46.046875,-0.084,2.84e-07,
-42.015625,-0.06778125,2.85e-07,
-41.984375,-0.07625,2.86e-07,
-37.984375,-0.075953125,2.87e-07,
-40.0625,-0.07200000000000001,2.8800000000000004e-07,
