CH4,time,Ts
-0.44,0.0,2e-06
-0.36,2e-06,
-0.44,4e-06,
-0.44,6e-06,
-0.48,8e-06,
-0.36,9.999999999999999e-06,
-0.44,1.2e-05,
-0.48,1.4e-05,
-0.36,1.6e-05,
-0.4,1.8e-05,
-0.44,1.9999999999999998e-05,
-0.4,2.2e-05,
-0.36,2.4e-05,
-0.36,2.6e-05,
-0.36,2.8e-05,
-0.36,2.9999999999999997e-05,
-0.36,3.2e-05,
-0.48,3.4e-05,
-0.36,3.6e-05,
-0.36,3.7999999999999995e-05,
-0.36,3.9999999999999996e-05,
-0.4,4.2e-05,
-0.36,4.4e-05,
-0.44,4.6e-05,
-0.48,4.8e-05,
-0.44,4.9999999999999996e-05,
-0.36,5.2e-05,
-0.36,5.4e-05,
-0.44,5.6e-05,
-0.36,5.8e-05,
-0.48,5.9999999999999995e-05,
-0.36,6.2e-05,
-0.32,6.4e-05,
-0.36,6.599999999999999e-05,
-0.32,6.8e-05,
-0.44,7e-05,
-0.44,7.2e-05,
-0.32,7.4e-05,
-0.48,7.599999999999999e-05,
-0.36,7.8e-05,
-0.48,7.999999999999999e-05,
-0.48,8.2e-05,
-0.44,8.4e-05,
-0.36,8.599999999999999e-05,
-0.36,8.8e-05,
-0.36,8.999999999999999e-05,
-0.36,9.2e-05,
-0.44,9.4e-05,
-0.36,9.6e-05,
-0.36,9.8e-05,
-0.44,9.999999999999999e-05,
-0.4,0.000102,
-0.44,0.000104,
-0.44,0.000106,
-0.36,0.000108,
-0.48,0.00010999999999999999,
-0.44,0.000112,
-0.36,0.00011399999999999999,
-0.44,0.000116,
-0.48,0.000118,
-0.36,0.00011999999999999999,
-0.44,0.000122,
-0.52,0.000124,
-0.36,0.000126,
-0.44,0.000128,
-0.36,0.00013,
-0.36,0.00013199999999999998,
-0.44,0.000134,
-0.44,0.000136,
-0.48,0.000138,
-0.4,0.00014,
-0.44,0.00014199999999999998,
-0.4,0.000144,
-0.4,0.000146,
-0.36,0.000148,
-0.4,0.00015,
-0.4,0.00015199999999999998,
-0.56,0.000154,
-0.48,0.000156,
-0.36,0.000158,
-0.48,0.00015999999999999999,
-0.48,0.00016199999999999998,
-0.44,0.000164,
-0.36,0.000166,
-0.44,0.000168,
-0.4,0.00016999999999999999,
-0.32,0.00017199999999999998,
-0.36,0.000174,
-0.44,0.000176,
-0.48,0.000178,
-0.36,0.00017999999999999998,
-0.36,0.00018199999999999998,
-0.44,0.000184,
-0.48,0.000186,
-0.44,0.000188,
-0.36,0.00018999999999999998,
-0.48,0.000192,
-0.4,0.000194,
-0.44,0.000196,
-0.36,0.000198,
-0.36,0.00019999999999999998,
-0.48,0.000202,
-0.4,0.000204,
-0.36,0.000206,
-0.36,0.000208,
-0.36,0.00020999999999999998,
-0.36,0.000212,
-0.48,0.000214,
-0.36,0.000216,
-0.36,0.00021799999999999999,
-0.36,0.00021999999999999998,
-0.4,0.000222,
-0.36,0.000224,
-0.36,0.000226,
-0.4,0.00022799999999999999,
-0.52,0.00022999999999999998,
-0.4,0.000232,
-0.36,0.000234,
-0.44,0.000236,
-0.36,0.00023799999999999998,
-0.4,0.00023999999999999998,
-0.36,0.000242,
-0.48,0.000244,
-0.44,0.00024599999999999996,
-0.44,0.000248,
-0.32,0.00025,
-0.48,0.000252,
-0.48,0.000254,
-0.44,0.000256,
-0.36,0.000258,
-0.48,0.00026,
-0.36,0.00026199999999999997,
-0.48,0.00026399999999999997,
-0.32,0.000266,
-0.36,0.000268,
-0.36,0.00027,
-0.36,0.000272,
-0.36,0.000274,
-0.36,0.000276,
-0.36,0.000278,
-0.32,0.00028,
-0.44,0.00028199999999999997,
-0.52,0.00028399999999999996,
-0.48,0.000286,
-0.44,0.000288,
-0.48,0.00029,
-0.36,0.000292,
-0.48,0.000294,
-0.36,0.000296,
-0.48,0.000298,
-0.36,0.0003,
-0.4,0.00030199999999999997,
-0.44,0.00030399999999999996,
-0.36,0.000306,
-0.4,0.000308,
-0.32,0.00031,
-0.48,0.000312,
-0.44,0.000314,
-0.36,0.000316,
-0.44,0.000318,
-0.44,0.00031999999999999997,
-0.4,0.00032199999999999997,
-0.4,0.00032399999999999996,
-0.36,0.000326,
-0.32,0.000328,
-0.44,0.00033,
-0.48,0.000332,
-0.36,0.000334,
-0.44,0.000336,
-0.48,0.000338,
-0.32,0.00033999999999999997,
-0.36,0.00034199999999999996,
-0.36,0.00034399999999999996,
-0.44,0.000346,
-0.36,0.000348,
-0.36,0.00035,
-0.4,0.000352,
-0.4,0.000354,
-0.44,0.000356,
-0.36,0.000358,
-0.36,0.00035999999999999997,
-0.36,0.00036199999999999996,
-0.52,0.00036399999999999996,
-0.36,0.000366,
-0.32,0.000368,
-0.32,0.00037,
-0.32,0.000372,
-0.32,0.000374,
-0.48,0.000376,
-0.36,0.00037799999999999997,
-0.48,0.00037999999999999997,
-0.44,0.00038199999999999996,
-0.48,0.000384,
-0.36,0.000386,
-0.36,0.000388,
-0.36,0.00039,
-0.48,0.000392,
-0.36,0.000394,
-0.36,0.000396,
-0.32,0.00039799999999999997,
-0.36,0.00039999999999999996,
-0.52,0.00040199999999999996,
-0.36,0.000404,
-0.36,0.000406,
-0.48,0.000408,
-0.36,0.00041,
-0.36,0.000412,
-0.36,0.000414,
-0.36,0.000416,
-0.4,0.00041799999999999997,
-0.36,0.00041999999999999996,
-0.36,0.00042199999999999996,
-0.48,0.000424,
-0.36,0.000426,
-0.48,0.000428,
-0.4,0.00043,
-0.36,0.000432,
-0.32,0.000434,
-0.36,0.00043599999999999997,
-0.44,0.00043799999999999997,
-0.36,0.00043999999999999996,
-0.44,0.00044199999999999996,
-0.44,0.000444,
-0.36,0.000446,
-0.36,0.000448,
-0.36,0.00045,
-0.36,0.000452,
-0.52,0.000454,
-0.44,0.00045599999999999997,
-0.48,0.00045799999999999997,
-0.44,0.00045999999999999996,
-0.44,0.00046199999999999995,
-0.28,0.000464,
-0.36,0.000466,
-0.44,0.000468,
-0.36,0.00047,
-0.44,0.000472,
-0.44,0.000474,
-0.48,0.00047599999999999997,
-0.36,0.00047799999999999996,
-0.36,0.00047999999999999996,
-0.44,0.00048199999999999995,
-0.36,0.000484,
-0.36,0.000486,
-0.36,0.000488,
-0.44,0.00049,
-0.48,0.0004919999999999999,
-0.32,0.000494,
-0.32,0.000496,
-0.36,0.000498,
-0.4,0.0005,
-0.36,0.000502,
-0.36,0.000504,
-0.36,0.0005059999999999999,
-0.36,0.000508,
-0.44,0.0005099999999999999,
-0.36,0.000512,
-0.36,0.000514,
-0.36,0.000516,
-0.44,0.000518,
-0.4,0.00052,
-0.44,0.000522,
-0.36,0.0005239999999999999,
-0.44,0.000526,
-0.36,0.0005279999999999999,
-0.48,0.00053,
-0.44,0.000532,
-0.44,0.000534,
-0.4,0.000536,
-0.32,0.000538,
-0.28,0.00054,
-0.4,0.000542,
-0.36,0.000544,
-0.4,0.0005459999999999999,
-0.56,0.000548,
-0.36,0.0005499999999999999,
-0.36,0.000552,
-0.44,0.000554,
-0.32,0.000556,
-0.48,0.000558,
-0.44,0.00056,
-0.36,0.000562,
-0.44,0.0005639999999999999,
-0.4,0.000566,
-0.44,0.0005679999999999999,
-0.36,0.00057,
-0.48,0.000572,
-0.44,0.000574,
-0.36,0.000576,
-0.36,0.000578,
-0.36,0.00058,
-0.32,0.0005819999999999999,
-0.52,0.000584,
-0.48,0.0005859999999999999,
-0.36,0.000588,
-0.52,0.0005899999999999999,
-0.56,0.000592,
-0.44,0.000594,
-0.36,0.000596,
-0.4,0.000598,
-0.4,0.0006,
-0.32,0.000602,
-0.44,0.0006039999999999999,
-0.32,0.000606,
-0.48,0.0006079999999999999,
-0.4,0.00061,
-0.48,0.000612,
-0.44,0.000614,
-0.48,0.000616,
-0.44,0.000618,
-0.36,0.00062,
-0.36,0.0006219999999999999,
-0.4,0.000624,
-0.32,0.0006259999999999999,
-0.4,0.000628,
-0.4,0.0006299999999999999,
-0.4,0.000632,
-0.52,0.000634,
-0.36,0.000636,
-0.32,0.000638,
-0.36,0.0006399999999999999,
-0.4,0.000642,
-0.48,0.0006439999999999999,
-0.36,0.000646,
-0.44,0.0006479999999999999,
-0.36,0.00065,
-0.36,0.000652,
-0.36,0.000654,
-0.36,0.000656,
-0.28,0.000658,
-0.44,0.00066,
-0.48,0.0006619999999999999,
-0.48,0.000664,
-0.36,0.0006659999999999999,
-0.36,0.000668,
-0.36,0.00067,
-0.48,0.000672,
-0.36,0.000674,
-0.4,0.000676,
-0.48,0.000678,
-0.48,0.0006799999999999999,
-0.44,0.000682,
-0.44,0.0006839999999999999,
-0.48,0.000686,
-0.32,0.0006879999999999999,
