CH1,CH3,CH4,time,Ts
-0.4,9.040000000000001,-0.048,0.0,4e-07
-0.4,8.92,-0.044,4e-07,
0.4,8.96,-0.04,8e-07,
-0.4,8.92,-0.044,1.2e-06,
33.6,8.92,-0.04,1.6e-06,
46.800000000000004,8.92,-0.044,2e-06,
46.0,8.88,-0.048,2.4e-06,
46.400000000000006,8.96,-0.04,2.8e-06,
46.400000000000006,9.0,-0.044,3.2e-06,
46.400000000000006,8.96,-0.048,3.6e-06,
46.400000000000006,8.92,-0.048,4e-06,
46.400000000000006,8.96,-0.044,4.4e-06,
46.0,8.96,-0.056,4.8e-06,
-0.4,9.0,-0.044,5.199999999999999e-06,
0.0,8.96,-0.044,5.6e-06,
0.0,8.92,-0.048,6e-06,
0.0,8.96,-0.044,6.4e-06,
-0.8,9.040000000000001,-0.044,6.799999999999999e-06,
-0.4,8.92,-0.052000000000000005,7.2e-06,
0.0,8.92,-0.044,7.6e-06,
0.4,8.96,-0.048,8e-06,
48.0,8.88,-0.08,8.4e-06,
46.0,8.92,-0.06,8.8e-06,
46.0,8.92,-0.048,9.2e-06,
45.6,8.96,-0.052000000000000005,9.6e-06,
45.2,8.96,-0.048,9.999999999999999e-06,
46.0,8.96,-0.048,1.0399999999999999e-05,
46.0,8.96,-0.048,1.08e-05,
46.0,8.92,-0.052000000000000005,1.12e-05,
23.6,8.96,-0.048,1.1599999999999999e-05,
-0.4,8.92,-0.048,1.2e-05,
0.0,9.0,-0.048,1.24e-05,
0.0,8.96,-0.052000000000000005,1.28e-05,
0.0,8.96,-0.052000000000000005,1.3199999999999999e-05,
0.4,8.92,-0.048,1.3599999999999999e-05,
0.4,8.96,-0.04,1.4e-05,
-0.8,8.96,-0.048,1.44e-05,
0.0,8.96,-0.056,1.4799999999999999e-05,
46.400000000000006,8.96,-0.052000000000000005,1.52e-05,
46.400000000000006,8.96,-0.052000000000000005,1.56e-05,
46.0,8.92,-0.04,1.6e-05,
46.800000000000004,8.96,-0.048,1.64e-05,
46.400000000000006,8.96,-0.052000000000000005,1.68e-05,
46.400000000000006,8.84,-0.044,1.7199999999999998e-05,
46.800000000000004,8.96,-0.048,1.76e-05,
46.0,8.96,-0.056,1.8e-05,
-2.4000000000000004,8.96,-0.116,1.84e-05,
0.0,8.96,-0.036000000000000004,1.88e-05,
0.4,8.92,-0.052000000000000005,1.92e-05,
-0.4,8.92,-0.044,1.96e-05,
-0.4,8.92,-0.044,1.9999999999999998e-05,
-0.4,8.92,-0.044,2.0399999999999998e-05,
0.4,8.92,-0.048,2.0799999999999997e-05,
0.0,8.96,-0.036000000000000004,2.12e-05,
12.4,9.0,-0.04,2.16e-05,
46.400000000000006,8.92,-0.056,2.2e-05,
47.2,8.96,-0.044,2.24e-05,
46.800000000000004,8.96,-0.04,2.28e-05,
46.800000000000004,8.92,-0.036000000000000004,2.3199999999999998e-05,
46.0,9.040000000000001,-0.044,2.3599999999999998e-05,
46.400000000000006,8.92,-0.052000000000000005,2.4e-05,
46.0,8.92,-0.048,2.44e-05,
46.400000000000006,8.92,-0.044,2.48e-05,
-0.4,8.92,-0.04,2.52e-05,
0.0,9.0,-0.044,2.56e-05,
0.0,8.92,-0.052000000000000005,2.6e-05,
-0.4,8.96,-0.048,2.6399999999999998e-05,
-0.4,8.96,-0.044,2.6799999999999998e-05,
0.4,8.84,-0.044,2.7199999999999997e-05,
0.0,8.92,-0.044,2.76e-05,
-0.4,8.92,-0.048,2.8e-05,
48.800000000000004,8.68,-0.096,2.84e-05,
46.400000000000006,8.88,-0.044,2.88e-05,
46.0,8.96,-0.04,2.9199999999999998e-05,
46.0,8.92,-0.044,2.9599999999999998e-05,
45.6,9.0,-0.044,2.9999999999999997e-05,
46.400000000000006,8.92,-0.048,3.04e-05,
45.6,8.92,-0.052000000000000005,3.0799999999999996e-05,
45.2,9.0,-0.048,3.12e-05,
44.800000000000004,8.88,-0.048,3.1599999999999996e-05,
-1.2000000000000002,9.0,-0.048,3.2e-05,
-0.8,8.96,-0.052000000000000005,3.24e-05,
-0.4,8.84,-0.044,3.28e-05,
-0.4,9.0,-0.052000000000000005,3.32e-05,
0.0,8.96,-0.048,3.36e-05,
0.0,9.040000000000001,-0.044,3.4e-05,
0.0,8.96,-0.04,3.4399999999999996e-05,
-0.8,8.92,-0.048,3.48e-05,
46.800000000000004,9.0,-0.048,3.52e-05,
46.0,8.96,-0.048,3.56e-05,
46.0,8.96,-0.048,3.6e-05,
46.800000000000004,8.96,-0.052000000000000005,3.64e-05,
46.400000000000006,8.92,-0.044,3.68e-05,
46.0,8.88,-0.052000000000000005,3.7199999999999996e-05,
46.0,8.92,-0.048,3.76e-05,
46.800000000000004,8.96,-0.048,3.7999999999999995e-05,
-4.800000000000001,8.32,-0.088,3.84e-05,
-0.8,8.92,-0.052000000000000005,3.88e-05,
-0.4,8.96,-0.044,3.92e-05,
0.4,8.92,-0.044,3.96e-05,
0.0,8.88,-0.044,3.9999999999999996e-05,
0.0,8.88,-0.048,4.04e-05,
0.0,8.96,-0.04,4.0799999999999996e-05,
-0.4,9.040000000000001,-0.052000000000000005,4.12e-05,
0.8,8.88,-0.052000000000000005,4.1599999999999995e-05,
47.2,9.0,-0.048,4.2e-05,
46.800000000000004,8.96,-0.044,4.24e-05,
46.800000000000004,8.92,-0.044,4.28e-05,
46.400000000000006,9.08,-0.052000000000000005,4.32e-05,
46.400000000000006,8.88,-0.044,4.3599999999999996e-05,
46.0,8.96,-0.052000000000000005,4.4e-05,
46.400000000000006,8.88,-0.048,4.4399999999999995e-05,
