CH1,CH2,time,Ts
5.6000000000000005,3.8000000000000003,0.0,2e-08
5.6000000000000005,3.7,2e-08,
5.6000000000000005,3.5,4e-08,
5.6000000000000005,3.5,6.000000000000001e-08,
5.4,3.5,8e-08,
6.0,3.6,1e-07,
5.4,3.4000000000000004,1.2000000000000002e-07,
5.2,3.4000000000000004,1.4e-07,
5.800000000000001,3.3000000000000003,1.6e-07,
6.0,3.3000000000000003,1.8e-07,
5.2,3.6,2e-07,
5.6000000000000005,3.6,2.2e-07,
5.4,3.7,2.4000000000000003e-07,
5.6000000000000005,3.4000000000000004,2.6e-07,
5.6000000000000005,3.5,2.8e-07,
5.6000000000000005,3.6,3e-07,
5.4,3.3000000000000003,3.2e-07,
5.4,3.3000000000000003,3.4000000000000003e-07,
5.800000000000001,3.3000000000000003,3.6e-07,
5.4,3.2,3.8e-07,
5.4,3.6,4e-07,
5.2,3.3000000000000003,4.2e-07,
5.4,3.3000000000000003,4.4e-07,
5.6000000000000005,3.3000000000000003,4.6e-07,
5.2,3.5,4.800000000000001e-07,
5.6000000000000005,3.3000000000000003,5e-07,
5.6000000000000005,3.6,5.2e-07,
5.6000000000000005,3.0,5.4e-07,
5.800000000000001,3.4000000000000004,5.6e-07,
5.6000000000000005,3.3000000000000003,5.800000000000001e-07,
5.6000000000000005,3.4000000000000004,6e-07,
5.4,3.2,6.2e-07,
5.6000000000000005,3.5,6.4e-07,
5.2,3.1,6.6e-07,
5.4,3.7,6.800000000000001e-07,
5.4,3.5,7e-07,
5.4,3.2,7.2e-07,
5.4,3.1,7.4e-07,
6.0,3.2,7.6e-07,
5.6000000000000005,3.1,7.8e-07,
5.4,3.3000000000000003,8e-07,
5.4,3.3000000000000003,8.2e-07,
5.4,3.5,8.4e-07,
6.0,3.1,8.6e-07,
5.4,3.0,8.8e-07,
5.6000000000000005,3.3000000000000003,9.000000000000001e-07,
5.6000000000000005,3.1,9.2e-07,
5.4,3.6,9.4e-07,
5.2,3.1,9.600000000000001e-07,
5.0,3.1,9.8e-07,
5.6000000000000005,3.1,1e-06,
5.6000000000000005,2.9000000000000004,1.02e-06,
5.4,2.9000000000000004,1.04e-06,
5.2,3.1,1.06e-06,
5.2,3.2,1.08e-06,
5.0,3.1,1.1e-06,
5.4,3.3000000000000003,1.12e-06,
5.4,3.4000000000000004,1.14e-06,
5.0,3.1,1.1600000000000001e-06,
5.2,3.6,1.18e-06,
5.4,3.1,1.2e-06,
5.0,3.5,1.22e-06,
5.6000000000000005,3.0,1.24e-06,
5.800000000000001,3.0,1.26e-06,
5.0,2.9000000000000004,1.28e-06,
5.6000000000000005,3.2,1.3e-06,
5.6000000000000005,3.2,1.32e-06,
5.2,3.1,1.34e-06,
5.2,3.1,1.3600000000000001e-06,
4.800000000000001,2.8000000000000003,1.3800000000000001e-06,
4.800000000000001,3.0,1.4e-06,
5.800000000000001,3.0,1.42e-06,
5.2,3.1,1.44e-06,
5.6000000000000005,3.1,1.46e-06,
5.6000000000000005,3.1,1.48e-06,
5.800000000000001,2.9000000000000004,1.5e-06,
5.4,2.9000000000000004,1.52e-06,
5.2,2.8000000000000003,1.54e-06,
5.4,2.8000000000000003,1.56e-06,
5.4,3.0,1.5800000000000001e-06,
4.6000000000000005,2.9000000000000004,1.6e-06,
5.6000000000000005,3.4000000000000004,1.62e-06,
6.0,3.1,1.64e-06,
6.0,2.9000000000000004,1.66e-06,
5.2,3.4000000000000004,1.68e-06,
4.800000000000001,2.7,1.7e-06,
5.2,3.1,1.72e-06,
5.2,3.2,1.74e-06,
5.0,3.3000000000000003,1.76e-06,
5.4,2.5,1.7800000000000001e-06,
5.2,2.9000000000000004,1.8000000000000001e-06,
5.4,3.0,1.82e-06,
5.0,2.8000000000000003,1.84e-06,
6.0,2.7,1.86e-06,
4.800000000000001,2.7,1.88e-06,
5.6000000000000005,2.8000000000000003,1.9e-06,
5.6000000000000005,3.0,1.9200000000000003e-06,
5.4,2.9000000000000004,1.94e-06,
5.6000000000000005,2.7,1.96e-06,
5.2,3.0,1.98e-06,
5.4,3.0,2e-06,
5.6000000000000005,2.9000000000000004,2.02e-06,
5.2,2.5,2.04e-06,
5.4,2.9000000000000004,2.06e-06,
5.2,2.7,2.08e-06,
5.4,3.1,2.1000000000000002e-06,
5.4,3.0,2.12e-06,
5.0,3.0,2.14e-06,
5.0,3.1,2.16e-06,
5.0,2.7,2.18e-06,
5.4,2.8000000000000003,2.2e-06,
5.2,2.8000000000000003,2.22e-06,
5.4,2.8000000000000003,2.24e-06,
5.2,2.6,2.26e-06,
5.6000000000000005,2.6,2.28e-06,
5.0,3.0,2.3e-06,
4.800000000000001,2.9000000000000004,2.3200000000000002e-06,
5.6000000000000005,3.0,2.34e-06,
5.4,2.9000000000000004,2.36e-06,
5.6000000000000005,2.9000000000000004,2.38e-06,
4.800000000000001,2.3000000000000003,2.4e-06,
4.800000000000001,2.7,2.42e-06,
5.4,2.9000000000000004,2.44e-06,
5.2,3.0,2.46e-06,
5.2,2.7,2.48e-06,
4.800000000000001,2.6,2.5e-06,
5.0,2.6,2.52e-06,
5.6000000000000005,2.4000000000000004,2.5400000000000002e-06,
5.2,2.6,2.56e-06,
5.6000000000000005,2.9000000000000004,2.58e-06,
4.800000000000001,2.4000000000000004,2.6e-06,
5.0,2.9000000000000004,2.62e-06,
5.6000000000000005,2.5,2.64e-06,
5.6000000000000005,2.6,2.66e-06,
5.2,2.5,2.68e-06,
5.0,2.6,2.7e-06,
5.4,3.0,2.7200000000000002e-06,
5.4,2.4000000000000004,2.74e-06,
5.0,2.5,2.7600000000000003e-06,
4.4,2.6,2.78e-06,
5.2,2.8000000000000003,2.8e-06,
5.2,2.1,2.82e-06,
5.2,2.4000000000000004,2.84e-06,
5.6000000000000005,2.4000000000000004,2.86e-06,
4.6000000000000005,2.8000000000000003,2.88e-06,
