time,CH1,CH2
-0.000118,-0.36,-1.26
-0.00011797999999999999,-0.36,-1.25
-0.00011795999999999999,-0.356,-1.25
-0.00011794,-0.34800000000000003,-1.22
-0.00011792,-0.36,-1.26
-0.00011789999999999999,-0.36,-1.26
-0.00011787999999999999,-0.376,-1.26
-0.00011786,-0.36,-1.25
-0.00011784,-0.372,-1.24
-0.00011782,-0.368,-1.25
-0.00011779999999999999,-0.36,-1.22
-0.00011778,-0.368,-1.23
-0.00011776,-0.372,-1.26
-0.00011774,-0.376,-1.22
-0.00011771999999999999,-0.38,-1.23
-0.0001177,-0.364,-1.24
-0.00011768,-0.368,-1.26
-0.00011766,-0.368,-1.26
-0.00011763999999999999,-0.376,-1.22
-0.00011761999999999999,-0.364,-1.28
-0.0001176,-0.376,-1.25
-0.00011758,-0.372,-1.26
-0.00011755999999999999,-0.372,-1.24
-0.00011753999999999999,-0.388,-1.26
-0.00011752,-0.368,-1.21
-0.0001175,-0.38,-1.23
-0.00011748,-0.372,-1.25
-0.00011745999999999999,-0.376,-1.22
-0.00011744,-0.38,-1.25
-0.00011742,-0.376,-1.22
-0.0001174,-0.388,-1.26
-0.00011737999999999999,-0.384,-1.24
-0.00011736,-0.38,-1.26
-0.00011734,-0.396,-1.24
-0.00011732,-0.388,-1.25
-0.00011729999999999999,-0.38,-1.25
-0.00011727999999999999,-0.392,-1.23
-0.00011726,-0.392,-1.25
-0.00011724,-0.384,-1.27
-0.00011721999999999999,-0.392,-1.26
-0.00011719999999999999,-0.388,-1.25
-0.00011718,-0.396,-1.22
-0.00011716,-0.384,-1.25
-0.00011713999999999999,-0.392,-1.23
-0.00011711999999999999,-0.396,-1.24
-0.0001171,-0.4,-1.24
-0.00011708,-0.4,-1.25
-0.00011706,-0.392,-1.23
-0.00011703999999999999,-0.392,-1.24
-0.00011702,-0.396,-1.23
-0.000117,-0.396,-1.22
-0.00011698,-0.392,-1.23
-0.00011695999999999999,-0.396,-1.25
-0.00011694,-0.404,-1.24
-0.00011692,-0.404,-1.25
-0.0001169,-0.4,-1.23
-0.00011687999999999999,-0.404,-1.21
-0.00011685999999999999,-0.396,-1.26
-0.00011684,-0.404,-1.21
-0.00011682,-0.404,-1.23
-0.00011679999999999999,-0.4,-1.21
-0.00011677999999999999,-0.4,-1.25
-0.00011676,-0.404,-1.23
-0.00011674,-0.40800000000000003,-1.23
-0.00011672,-0.396,-1.24
-0.00011669999999999999,-0.42,-1.24
-0.00011668,-0.396,-1.21
-0.00011666,-0.40800000000000003,-1.23
-0.00011664,-0.4,-1.22
-0.00011661999999999999,-0.404,-1.23
-0.0001166,-0.41200000000000003,-1.25
-0.00011658,-0.41600000000000004,-1.22
-0.00011656,-0.41200000000000003,-1.25
-0.00011653999999999999,-0.41600000000000004,-1.24
-0.00011651999999999999,-0.404,-1.2
-0.0001165,-0.42,-1.21
-0.00011648,-0.42,-1.24
-0.00011645999999999999,-0.41200000000000003,-1.23
-0.00011643999999999999,-0.41200000000000003,-1.22
-0.00011642,-0.41200000000000003,-1.21
-0.0001164,-0.41200000000000003,-1.22
-0.00011638,-0.424,-1.22
-0.00011635999999999999,-0.41600000000000004,-1.22
-0.00011634,-0.41600000000000004,-1.2
-0.00011632,-0.42,-1.24
-0.0001163,-0.428,-1.23
-0.00011627999999999999,-0.41600000000000004,-1.22
-0.00011626,-0.41600000000000004,-1.23
-0.00011624,-0.41600000000000004,-1.21
-0.00011622,-0.42,-1.24
-0.00011619999999999999,-0.424,-1.23
-0.00011617999999999999,-0.428,-1.2
-0.00011616,-0.41600000000000004,-1.22
-0.00011614,-0.428,-1.25
-0.00011611999999999999,-0.424,-1.24
-0.00011609999999999999,-0.436,-1.21
-0.00011608,-0.42,-1.23
-0.00011606,-0.432,-1.22
-0.00011604,-0.424,-1.19
-0.00011601999999999999,-0.432,-1.2
-0.000116,-0.424,-1.2
-0.00011598,-0.424,-1.21
-0.00011596,-0.432,-1.2
-0.00011593999999999999,-0.44,-1.2
-0.00011592,-0.436,-1.22
-0.0001159,-0.432,-1.22
-0.00011588,-0.436,-1.22
-0.00011585999999999999,-0.436,-1.22
-0.00011583999999999999,-0.432,-1.22
-0.00011582,-0.44,-1.17
-0.0001158,-0.44,-1.23
-0.00011577999999999999,-0.444,-1.21
-0.00011575999999999999,-0.436,-1.19
-0.00011574,-0.432,-1.19
-0.00011572,-0.432,-1.22
-0.0001157,-0.44,-1.21
-0.00011567999999999999,-0.444,-1.2
-0.00011566,-0.448,-1.2
-0.00011564,-0.436,-1.21
-0.00011562,-0.444,-1.2
-0.00011559999999999999,-0.452,-1.19
-0.00011558,-0.432,-1.25
-0.00011556,-0.452,-1.21
-0.00011554,-0.448,-1.22
-0.00011551999999999999,-0.444,-1.19
-0.00011549999999999999,-0.444,-1.21
-0.00011548,-0.444,-1.19
-0.00011546,-0.452,-1.21
-0.00011543999999999999,-0.452,-1.19
-0.00011541999999999999,-0.448,-1.19
-0.0001154,-0.448,-1.22
-0.00011538,-0.44,-1.19
-0.00011536,-0.444,-1.17
-0.00011533999999999999,-0.46,-1.18
-0.00011532,-0.46,-1.21
-0.0001153,-0.448,-1.18
-0.00011528,-0.444,-1.19
-0.00011525999999999999,-0.452,-1.21
-0.00011524,-0.464,-1.21
-0.00011522,-0.456,-1.2
-0.0001152,-0.456,-1.2
-0.00011517999999999999,-0.456,-1.21
-0.00011516,-0.464,-1.19
-0.00011514,-0.46,-1.2
-0.00011512,-0.456,-1.19
-0.00011509999999999999,-0.452,-1.18
-0.00011507999999999999,-0.456,-1.2
-0.00011506,-0.468,-1.19
-0.00011504,-0.464,-1.2
-0.00011501999999999999,-0.464,-1.19
-0.00011499999999999999,-0.452,-1.17
-0.00011498,-0.468,-1.16
-0.00011496,-0.47200000000000003,-1.19
-0.00011494,-0.468,-1.2
-0.00011491999999999999,-0.464,-1.19
-0.0001149,-0.456,-1.18
-0.00011488,-0.468,-1.21
-0.00011486,-0.46,-1.18
-0.00011483999999999999,-0.464,-1.1400000000000001
-0.00011481999999999999,-0.468,-1.19
-0.0001148,-0.47600000000000003,-1.21
-0.00011478,-0.468,-1.16
-0.00011475999999999999,-0.47200000000000003,-1.21
-0.00011473999999999999,-0.47200000000000003,-1.1500000000000001
-0.00011472,-0.464,-1.19
-0.0001147,-0.484,-1.17
-0.00011467999999999999,-0.47200000000000003,-1.17
-0.00011465999999999999,-0.484,-1.18
-0.00011464,-0.47600000000000003,-1.19
-0.00011462,-0.464,-1.18
-0.0001146,-0.464,-1.19
-0.00011457999999999999,-0.48,-1.19
-0.00011456,-0.48,-1.17
-0.00011454,-0.47200000000000003,-1.16
-0.00011452,-0.488,-1.21
-0.00011449999999999999,-0.47600000000000003,-1.18
-0.00011448,-0.47600000000000003,-1.19
-0.00011446,-0.47200000000000003,-1.17
-0.00011444,-0.47600000000000003,-1.17
