time,CH1,CH2
-0.02,0.68,-0.6000000000000001
-0.019996,0.67,-0.6000000000000001
-0.019992,0.68,-0.4
-0.019988,0.6900000000000001,-0.7000000000000001
-0.019984000000000002,0.67,-0.6000000000000001
-0.01998,0.67,-0.7000000000000001
-0.019976,0.67,-0.7000000000000001
-0.019972,0.67,-0.7000000000000001
-0.019968,0.67,-0.7000000000000001
-0.019964,0.67,-0.6000000000000001
-0.019960000000000002,0.67,-0.7000000000000001
-0.019956,0.68,-0.6000000000000001
-0.019952,0.67,-0.6000000000000001
-0.019948,0.65,-0.5
-0.019944,0.66,-0.8
-0.01994,0.66,-0.7000000000000001
-0.019936,0.67,-0.7000000000000001
-0.019932000000000002,0.67,-0.7000000000000001
-0.019928,0.65,-0.6000000000000001
-0.019924,0.67,-0.6000000000000001
-0.01992,0.64,-0.7000000000000001
-0.019916,0.65,-0.6000000000000001
-0.019912,0.66,-0.5
-0.019908000000000002,0.65,-0.7000000000000001
-0.019904,0.66,-0.6000000000000001
-0.0199,0.65,-0.6000000000000001
-0.019896,0.64,-0.6000000000000001
-0.019892,0.65,-0.8
-0.019888,0.65,-0.8
-0.019884,0.65,-0.6000000000000001
-0.019880000000000002,0.65,-0.6000000000000001
-0.019876,0.64,-0.8
-0.019872,0.66,-0.8
-0.019868,0.64,-0.8
-0.019864,0.65,-0.7000000000000001
-0.01986,0.63,-0.7000000000000001
-0.019856000000000002,0.63,-0.7000000000000001
-0.019852,0.64,-0.8
-0.019848,0.63,-0.9
-0.019844,0.64,-0.6000000000000001
-0.01984,0.65,-0.8
-0.019836,0.64,-0.7000000000000001
-0.019832,0.63,-0.9
-0.019828000000000002,0.63,-0.7000000000000001
-0.019824,0.62,-0.6000000000000001
-0.01982,0.63,-0.8
-0.019816,0.64,-0.6000000000000001
-0.019812,0.62,-0.8
-0.019808,0.64,-0.7000000000000001
-0.019804000000000002,0.64,-0.8
-0.0198,0.61,-0.7000000000000001
-0.019796,0.64,-0.9
-0.019792,0.62,-0.9
-0.019788,0.62,-1.0
-0.019784,0.62,-1.0
-0.01978,0.63,-0.9
-0.019776000000000002,0.61,-0.9
-0.019772,0.62,-0.9
-0.019768,0.62,-0.7000000000000001
-0.019764,0.61,-0.9
-0.01976,0.61,-0.9
-0.019756,0.61,-0.9
-0.019752,0.62,-0.9
-0.019748,0.62,-1.0
-0.019744,0.61,-1.0
-0.01974,0.61,-1.0
-0.019736,0.61,-0.8
-0.019732,0.61,-1.0
-0.019728,0.59,-0.9
-0.019724000000000002,0.6,-0.8
-0.01972,0.61,-1.0
-0.019716,0.61,-1.1
-0.019712,0.62,-1.0
-0.019708,0.59,-0.9
-0.019704,0.59,-1.0
-0.0197,0.61,-1.0
-0.019696,0.6,-1.0
-0.019692,0.6,-0.9
-0.019688,0.59,-0.9
-0.019684,0.59,-1.2000000000000002
-0.01968,0.61,-1.0
-0.019676,0.59,-1.0
-0.019672000000000002,0.61,-0.9
-0.019668,0.59,-0.9
-0.019664,0.59,-1.1
-0.01966,0.59,-1.0
-0.019656,0.59,-1.0
-0.019652,0.6,-1.0
-0.019648,0.59,-1.0
-0.019644000000000002,0.59,-1.0
-0.01964,0.58,-1.0
-0.019636,0.59,-1.0
-0.019632,0.59,-1.1
-0.019628,0.58,-1.2000000000000002
-0.019624,0.59,-1.3
-0.019620000000000002,0.58,-1.1
-0.019616,0.59,-1.0
-0.019612,0.58,-1.1
-0.019608,0.58,-1.1
-0.019604,0.59,-1.2000000000000002
-0.0196,0.5700000000000001,-1.2000000000000002
-0.019596,0.5700000000000001,-1.1
-0.019592000000000002,0.58,-1.2000000000000002
-0.019588,0.58,-1.2000000000000002
-0.019584,0.56,-1.1
-0.01958,0.5700000000000001,-1.1
-0.019576,0.59,-1.2000000000000002
-0.019572,0.56,-1.2000000000000002
-0.019568000000000002,0.5700000000000001,-1.0
-0.019564,0.5700000000000001,-1.1
-0.01956,0.58,-1.1
-0.019556,0.56,-1.2000000000000002
-0.019552,0.5700000000000001,-1.2000000000000002
-0.019548,0.5700000000000001,-1.2000000000000002
-0.019544,0.56,-1.2000000000000002
-0.019540000000000002,0.56,-1.1
-0.019536,0.56,-1.1
-0.019532,0.5700000000000001,-1.3
-0.019528,0.5700000000000001,-1.2000000000000002
-0.019524,0.5700000000000001,-1.2000000000000002
-0.01952,0.56,-1.2000000000000002
-0.019516000000000002,0.56,-1.4000000000000001
-0.019512,0.56,-1.3
-0.019508,0.56,-1.1
-0.019504,0.56,-1.1
-0.0195,0.56,-1.3
-0.019496,0.56,-1.3
-0.019492,0.56,-1.4000000000000001
-0.019488000000000002,0.56,-1.3
-0.019484,0.54,-1.2000000000000002
-0.01948,0.56,-1.2000000000000002
-0.019476,0.55,-1.3
-0.019472,0.56,-1.3
-0.019468,0.56,-1.3
-0.019464000000000002,0.54,-1.3
-0.01946,0.55,-1.4000000000000001
-0.019456,0.55,-1.3
-0.019452,0.56,-1.2000000000000002
-0.019448,0.54,-1.2000000000000002
-0.019444,0.53,-1.4000000000000001
-0.01944,0.54,-1.4000000000000001
-0.019436000000000002,0.52,-1.4000000000000001
-0.019432,0.55,-1.5
-0.019428,0.53,-1.4000000000000001
-0.019424,0.54,-1.2000000000000002
-0.01942,0.54,-1.4000000000000001
-0.019416,0.52,-1.4000000000000001
-0.019412,0.53,-1.2000000000000002
-0.019408,0.53,-1.3
-0.019404,0.52,-1.3
-0.0194,0.53,-1.5
-0.019396,0.52,-1.4000000000000001
-0.019392,0.53,-1.4000000000000001
-0.019388,0.52,-1.6
-0.019384000000000002,0.52,-1.4000000000000001
-0.01938,0.52,-1.4000000000000001
-0.019376,0.52,-1.5
-0.019372,0.52,-1.5
-0.019368,0.53,-1.4000000000000001
