CH1,CH2,time,Ts
-0.13593750000000002,-0.48,0.0,1e-09
-0.13603125,-0.44,1e-09,
-0.13593750000000002,-0.56125,2e-09,
-0.13203125,-0.56,3.0000000000000004e-09,
-0.1400625,-0.5196875,4e-09,
-0.1360625,-0.4396875,5e-09,
-0.13593750000000002,-0.4,6.000000000000001e-09,
-0.14003125,-0.5165625,7.000000000000001e-09,
-0.13203125,-0.5671875000000001,8e-09,
-0.13603125,-0.4025,9.000000000000001e-09,
-0.13190625,-0.4,1e-08,
-0.132,-0.4403125,1.1000000000000001e-08,
-0.132,-0.4409375,1.2000000000000002e-08,
-0.13203125,-0.479375,1.3e-08,
-0.124,-0.359375,1.4000000000000001e-08,
-0.14003125,-0.4403125,1.5000000000000002e-08,
-0.132,-0.440625,1.6e-08,
-0.13996875,-0.560625,1.7e-08,
-0.1320625,-0.5181250000000001,1.8000000000000002e-08,
-0.13209375,-0.48031250000000003,1.9e-08,
-0.124,-0.5196875,2e-08,
-0.13584375,-0.4884375,2.1000000000000003e-08,
-0.13996875,-0.3978125,2.2000000000000002e-08,
-0.14009375,-0.5996875,2.3e-08,
-0.13978125,-0.52375,2.4000000000000003e-08,
-0.128,-0.32,2.5000000000000002e-08,
-0.136,-0.4825,2.6e-08,
-0.1319375,-0.47875,2.7e-08,
-0.12815625,-0.39968750000000003,2.8000000000000003e-08,
-0.13603125,-0.5215625,2.9e-08,
-0.1319375,-0.4746875,3.0000000000000004e-08,
-0.1400625,-0.280625,3.1e-08,
-0.14790625000000002,-0.48375,3.2e-08,
-0.13203125,-0.52,3.3000000000000004e-08,
-0.1400625,-0.520625,3.4e-08,
-0.136125,-0.480625,3.5e-08,
-0.13990625,-0.4409375,3.6000000000000005e-08,
-0.1441875,-0.39937500000000004,3.7e-08,
-0.13203125,-0.5196875,3.8e-08,
-0.136,-0.4815625,3.9000000000000005e-08,
-0.1319375,-0.4403125,4e-08,
-0.128,-0.4403125,4.1e-08,
-0.1360625,-0.4796875,4.2000000000000006e-08,
-0.14400000000000002,-0.4396875,4.3e-08,
-0.14,-0.439375,4.4000000000000004e-08,
-0.14409375,-0.39968750000000003,4.5000000000000006e-08,
-0.13203125,-0.5590625,4.6e-08,
-0.13990625,-0.5609375,4.7000000000000004e-08,
-0.13609375,-0.529375,4.8000000000000006e-08,
-0.14003125,-0.39937500000000004,4.9e-08,
-0.13578125,-0.56125,5.0000000000000004e-08,
-0.13209375,-0.48,5.1e-08,
