CH1,CH2,CH3,CH4,time,Ts
145.0,-0.6000000000000001,-0.0024000000000000002,-4.4,0.0,1e-08
148.0,-0.30000000000000004,-0.0034000000000000002,-4.4,1e-08,
149.0,-0.2,-0.0026000000000000003,-5.2,2e-08,
149.0,-0.5,-0.0022,-2.8000000000000003,3.0000000000000004e-08,
148.0,-0.5,-0.0028,-5.2,4e-08,
148.0,-0.1,-0.003,-4.800000000000001,5e-08,
145.0,-0.5,-0.003,-6.0,6.000000000000001e-08,
148.0,-0.6000000000000001,-0.0036000000000000003,-5.2,7e-08,
149.0,-0.4,-0.0034000000000000002,-4.800000000000001,8e-08,
147.0,-0.30000000000000004,-0.0038,-3.2,9e-08,
145.0,-0.4,-0.0026000000000000003,-4.800000000000001,1e-07,
150.0,-0.4,-0.0028,-4.800000000000001,1.1e-07,
148.0,-0.5,-0.0034000000000000002,-4.0,1.2000000000000002e-07,
142.0,-0.8,-0.003,-4.800000000000001,1.3e-07,
144.0,-0.5,-0.0034000000000000002,-4.4,1.4e-07,
147.0,-0.5,-0.0034000000000000002,-4.4,1.5e-07,
144.0,-0.4,-0.0034000000000000002,-5.6000000000000005,1.6e-07,
144.0,-0.6000000000000001,-0.0028,-5.2,1.7000000000000001e-07,
147.0,-0.4,-0.0032,-4.800000000000001,1.8e-07,
147.0,-0.4,-0.0032,-5.2,1.9e-07,
149.0,-0.4,-0.0034000000000000002,-4.0,2e-07,
145.0,-0.2,-0.0034000000000000002,-5.2,2.1e-07,
146.0,-0.30000000000000004,-0.0034000000000000002,-5.6000000000000005,2.2e-07,
145.0,-0.2,-0.0026000000000000003,-5.2,2.3e-07,
144.0,-0.30000000000000004,-0.0022,-4.4,2.4000000000000003e-07,
144.0,-0.5,-0.003,-3.6,2.5e-07,
145.0,-0.30000000000000004,-0.0028,-4.0,2.6e-07,
145.0,-0.4,-0.0034000000000000002,-4.800000000000001,2.7e-07,
146.0,-0.30000000000000004,-0.0028,-4.4,2.8e-07,
147.0,-0.7000000000000001,-0.003,-4.0,2.9000000000000003e-07,
144.0,-0.4,-0.0028,-5.2,3e-07,
148.0,-0.6000000000000001,-0.0034000000000000002,-4.800000000000001,3.1e-07,
142.0,-0.5,-0.003,-3.6,3.2e-07,
151.0,-0.6000000000000001,-0.0028,-5.6000000000000005,3.3e-07,
150.0,-0.4,-0.0024000000000000002,-4.800000000000001,3.4000000000000003e-07,
147.0,-0.4,-0.0026000000000000003,-4.800000000000001,3.5e-07,
148.0,-0.5,-0.0032,-4.0,3.6e-07,
147.0,-0.5,-0.0026000000000000003,-3.6,3.7e-07,
147.0,-0.5,-0.003,-4.4,3.8e-07,
144.0,-0.30000000000000004,-0.003,-3.6,3.9e-07,
147.0,-0.1,-0.0028,-5.2,4e-07,
146.0,-0.4,-0.0032,-5.2,4.1e-07,
147.0,-0.30000000000000004,-0.0022,-4.4,4.2e-07,
146.0,-0.7000000000000001,-0.0032,-5.2,4.3e-07,
148.0,-0.1,-0.0026000000000000003,-4.800000000000001,4.4e-07,
145.0,-0.30000000000000004,-0.003,-4.0,4.5000000000000003e-07,
146.0,-0.7000000000000001,-0.0028,-4.800000000000001,4.6e-07,
143.0,-0.6000000000000001,-0.0034000000000000002,-4.800000000000001,4.7e-07,
145.0,-0.6000000000000001,-0.003,-5.2,4.800000000000001e-07,
146.0,-0.2,-0.0028,-5.2,4.9e-07,
148.0,-0.5,-0.0028,-5.6000000000000005,5e-07,
147.0,-0.4,-0.0032,-3.6,5.1e-07,
144.0,-0.5,-0.0032,-5.6000000000000005,5.2e-07,
148.0,-0.5,-0.003,-4.4,5.3e-07,
148.0,-0.1,-0.0026000000000000003,-4.0,5.4e-07,
147.0,-0.2,-0.003,-4.0,5.5e-07,
150.0,-0.2,-0.003,-4.800000000000001,5.6e-07,
148.0,-0.5,-0.0024000000000000002,-4.800000000000001,5.7e-07,
146.0,-0.30000000000000004,-0.003,-3.6,5.800000000000001e-07,
146.0,-0.4,-0.0028,-5.6000000000000005,5.9e-07,
147.0,-0.2,-0.0028,-4.800000000000001,6e-07,
145.0,-0.5,-0.0032,-6.0,6.1e-07,
148.0,-0.6000000000000001,-0.0032,-4.0,6.2e-07,
146.0,-0.4,-0.0032,-5.2,6.3e-07,
148.0,-0.30000000000000004,-0.003,-3.6,6.4e-07,
149.0,-0.6000000000000001,-0.0026000000000000003,-4.4,6.5e-07,
145.0,-0.30000000000000004,-0.0024000000000000002,-2.8000000000000003,6.6e-07,
148.0,-0.4,-0.0026000000000000003,-6.0,6.7e-07,
147.0,-0.7000000000000001,-0.0022,-4.800000000000001,6.800000000000001e-07,
147.0,-0.30000000000000004,-0.003,-4.800000000000001,6.900000000000001e-07,
148.0,-0.5,-0.003,-4.800000000000001,7e-07,
148.0,-0.2,-0.0032,-4.4,7.1e-07,
145.0,-0.6000000000000001,-0.0032,-4.0,7.2e-07,
145.0,-0.2,-0.0032,-3.6,7.3e-07,
145.0,-0.30000000000000004,-0.0028,-4.4,7.4e-07,
145.0,-0.4,-0.003,-4.800000000000001,7.5e-07,
144.0,-0.6000000000000001,-0.0032,-4.4,7.6e-07,
147.0,-0.2,-0.0032,-4.4,7.7e-07,
145.0,-0.4,-0.0034000000000000002,-4.0,7.8e-07,
147.0,-0.7000000000000001,-0.0032,-5.2,7.900000000000001e-07,
147.0,-0.7000000000000001,-0.003,-4.800000000000001,8e-07,
147.0,-0.5,-0.0032,-4.4,8.1e-07,
146.0,-0.4,-0.0034000000000000002,-4.4,8.2e-07,
144.0,-0.5,-0.003,-5.2,8.3e-07,
149.0,-0.1,-0.0028,-4.4,8.4e-07,
148.0,-0.4,-0.0024000000000000002,-2.4000000000000004,8.5e-07,
148.0,-0.30000000000000004,-0.0038,-3.6,8.6e-07,
146.0,-0.4,-0.0022,-3.2,8.7e-07,
145.0,-0.6000000000000001,-0.0028,-5.6000000000000005,8.8e-07,
145.0,-0.4,-0.003,-4.800000000000001,8.900000000000001e-07,
150.0,-0.7000000000000001,-0.0024000000000000002,-4.4,9.000000000000001e-07,
147.0,0.0,-0.0032,-4.4,9.1e-07,
145.0,-0.6000000000000001,-0.0032,-4.800000000000001,9.2e-07,
144.0,-0.4,-0.0026000000000000003,-4.800000000000001,9.3e-07,
