CH1,CH3,CH4,time,Ts
9.600000000000001,-0.36,2.92,0.0,4e-07
10.0,-0.36,2.8000000000000003,4e-07,
9.600000000000001,-0.36,2.96,8e-07,
9.600000000000001,-0.36,2.92,1.2e-06,
9.200000000000001,-0.36,2.84,1.6e-06,
9.200000000000001,-0.32,2.96,2e-06,
8.8,-0.36,2.96,2.4e-06,
9.600000000000001,-0.28,2.8000000000000003,2.8e-06,
9.600000000000001,-0.24,2.92,3.2e-06,
10.4,-0.32,2.92,3.6e-06,
9.600000000000001,-0.28,2.8000000000000003,4e-06,
9.600000000000001,-0.36,2.92,4.4e-06,
9.600000000000001,-0.32,2.92,4.8e-06,
10.0,-0.32,2.72,5.199999999999999e-06,
10.8,-0.32,3.0,5.6e-06,
9.600000000000001,-0.32,3.0,6e-06,
10.0,-0.32,2.88,6.4e-06,
9.200000000000001,-0.32,2.96,6.799999999999999e-06,
9.600000000000001,-0.4,2.92,7.2e-06,
10.4,-0.36,2.7600000000000002,7.6e-06,
9.200000000000001,-0.32,2.96,8e-06,
9.600000000000001,-0.36,2.92,8.4e-06,
9.200000000000001,-0.36,2.8000000000000003,8.8e-06,
10.4,-0.24,2.56,9.2e-06,
9.600000000000001,-0.36,2.8000000000000003,9.6e-06,
9.600000000000001,-0.36,2.88,9.999999999999999e-06,
9.600000000000001,-0.32,2.8000000000000003,1.0399999999999999e-05,
10.4,-0.36,2.88,1.08e-05,
9.600000000000001,-0.32,2.84,1.12e-05,
9.600000000000001,-0.36,2.92,1.1599999999999999e-05,
9.600000000000001,-0.36,2.88,1.2e-05,
10.0,-0.4,2.88,1.24e-05,
10.0,-0.24,2.84,1.28e-05,
10.0,-0.32,2.88,1.3199999999999999e-05,
9.600000000000001,-0.4,2.96,1.3599999999999999e-05,
9.200000000000001,-0.36,2.88,1.4e-05,
9.600000000000001,-0.36,3.3200000000000003,1.44e-05,
10.0,-0.32,3.08,1.4799999999999999e-05,
9.200000000000001,-0.36,2.88,1.52e-05,
9.600000000000001,-0.36,2.92,1.56e-05,
9.200000000000001,-0.4,2.88,1.6e-05,
9.600000000000001,-0.32,2.88,1.64e-05,
10.0,-0.32,2.96,1.68e-05,
9.600000000000001,-0.28,2.44,1.7199999999999998e-05,
10.0,-0.36,2.8000000000000003,1.76e-05,
8.8,-0.36,2.7600000000000002,1.8e-05,
9.600000000000001,-0.36,2.84,1.84e-05,
9.600000000000001,-0.32,2.92,1.88e-05,
10.0,-0.32,2.92,1.92e-05,
9.600000000000001,-0.36,2.88,1.96e-05,
9.600000000000001,-0.36,2.88,1.9999999999999998e-05,
9.600000000000001,-0.32,2.96,2.0399999999999998e-05,
10.0,-0.32,3.3200000000000003,2.0799999999999997e-05,
9.200000000000001,-0.32,3.0,2.12e-05,
10.0,-0.28,3.0,2.16e-05,
10.0,-0.36,2.96,2.2e-05,
10.0,-0.24,2.92,2.24e-05,
10.8,-0.36,2.88,2.28e-05,
8.4,-0.32,2.88,2.3199999999999998e-05,
9.600000000000001,-0.32,2.88,2.3599999999999998e-05,
10.0,-0.4,2.92,2.4e-05,
9.600000000000001,-0.28,2.32,2.44e-05,
9.600000000000001,-0.28,2.52,2.48e-05,
10.0,-0.24,2.7600000000000002,2.52e-05,
10.0,-0.32,2.8000000000000003,2.56e-05,
10.4,-0.36,2.88,2.6e-05,
9.600000000000001,-0.36,2.8000000000000003,2.6399999999999998e-05,
9.600000000000001,-0.28,2.92,2.6799999999999998e-05,
8.8,-0.28,2.92,2.7199999999999997e-05,
10.0,-0.4,2.84,2.76e-05,
9.600000000000001,-0.28,2.88,2.8e-05,
9.600000000000001,-0.32,2.88,2.84e-05,
10.0,-0.36,3.36,2.88e-05,
9.600000000000001,-0.36,3.12,2.9199999999999998e-05,
9.600000000000001,-0.36,2.88,2.9599999999999998e-05,
9.600000000000001,-0.28,2.92,2.9999999999999997e-05,
9.600000000000001,-0.36,3.0,3.04e-05,
8.8,-0.32,2.88,3.0799999999999996e-05,
9.600000000000001,-0.4,2.88,3.12e-05,
10.0,-0.28,2.96,3.1599999999999996e-05,
10.0,-0.36,2.48,3.2e-05,
9.600000000000001,-0.32,2.64,3.24e-05,
10.0,-0.36,2.8000000000000003,3.28e-05,
9.200000000000001,-0.36,2.88,3.32e-05,
8.8,-0.36,2.88,3.36e-05,
10.0,-0.36,2.88,3.4e-05,
9.600000000000001,-0.28,2.84,3.4399999999999996e-05,
9.600000000000001,-0.36,2.84,3.48e-05,
9.200000000000001,-0.36,2.96,3.52e-05,
9.600000000000001,-0.36,3.36,3.56e-05,
10.0,-0.32,2.92,3.6e-05,
9.200000000000001,-0.24,2.96,3.64e-05,
9.600000000000001,-0.32,2.84,3.68e-05,
9.600000000000001,-0.36,2.92,3.7199999999999996e-05,
10.0,-0.36,2.7600000000000002,3.76e-05,
9.600000000000001,-0.32,2.8000000000000003,3.7999999999999995e-05,
10.4,-0.32,2.92,3.84e-05,
9.600000000000001,-0.36,2.88,3.88e-05,
9.600000000000001,-0.32,2.88,3.92e-05,
9.600000000000001,-0.32,2.44,3.96e-05,
8.8,-0.28,2.7600000000000002,3.9999999999999996e-05,
9.600000000000001,-0.32,2.8000000000000003,4.04e-05,
10.8,-0.28,2.84,4.0799999999999996e-05,
9.200000000000001,-0.28,2.84,4.12e-05,
10.0,-0.32,2.8000000000000003,4.1599999999999995e-05,
9.200000000000001,-0.28,3.0,4.2e-05,
10.0,-0.28,2.88,4.24e-05,
8.4,-0.4,2.92,4.28e-05,
10.0,-0.4,2.88,4.32e-05,
8.8,-0.4,2.92,4.3599999999999996e-05,
9.600000000000001,-0.36,3.08,4.4e-05,
9.600000000000001,-0.32,2.96,4.4399999999999995e-05,
9.600000000000001,-0.4,2.92,4.48e-05,
9.600000000000001,-0.28,2.88,4.52e-05,
10.4,-0.28,2.92,4.56e-05,
10.0,-0.36,2.96,4.6e-05,
10.0,-0.32,2.88,4.6399999999999996e-05,
10.0,-0.4,2.4,4.68e-05,
9.600000000000001,-0.36,2.6,4.7199999999999995e-05,
8.8,-0.4,2.7600000000000002,4.76e-05,
10.8,-0.36,2.84,4.8e-05,
9.600000000000001,-0.36,2.8000000000000003,4.84e-05,
8.8,-0.36,2.92,4.88e-05,
9.600000000000001,-0.32,2.96,4.9199999999999997e-05,
8.8,-0.32,2.84,4.96e-05,
9.600000000000001,-0.44,2.88,4.9999999999999996e-05,
10.0,-0.32,3.52,5.04e-05,
9.600000000000001,-0.32,3.0,5.0799999999999995e-05,
9.600000000000001,-0.36,3.0,5.12e-05,
10.8,-0.36,2.92,5.16e-05,
10.0,-0.36,2.88,5.2e-05,
10.0,-0.32,2.88,5.24e-05,
10.0,-0.32,2.92,5.2799999999999996e-05,
10.0,-0.28,2.96,5.32e-05,
10.4,-0.32,2.88,5.3599999999999995e-05,
9.600000000000001,-0.32,2.88,5.4e-05,
10.0,-0.32,2.72,5.4399999999999994e-05,
9.600000000000001,-0.32,2.6,5.48e-05,
10.8,-0.36,2.72,5.52e-05,
9.200000000000001,-0.32,2.84,5.5599999999999996e-05,
9.600000000000001,-0.4,2.88,5.6e-05,
9.600000000000001,-0.36,2.84,5.6399999999999995e-05,
9.200000000000001,-0.36,2.92,5.68e-05,
9.600000000000001,-0.32,2.88,5.7199999999999994e-05,
10.0,-0.24,2.8000000000000003,5.76e-05,
10.0,-0.36,2.88,5.8e-05,
9.600000000000001,-0.36,2.88,5.8399999999999997e-05,
9.600000000000001,-0.36,2.92,5.88e-05,
10.0,-0.4,3.3200000000000003,5.9199999999999996e-05,
9.600000000000001,-0.36,3.12,5.96e-05,
9.200000000000001,-0.36,2.92,5.9999999999999995e-05,
9.600000000000001,-0.24,2.88,6.04e-05,
8.4,-0.32,2.88,6.08e-05,
10.0,-0.32,2.88,6.12e-05,
10.0,-0.36,2.84,6.159999999999999e-05,
8.8,-0.32,2.92,6.2e-05,
10.0,-0.4,2.84,6.24e-05,
9.600000000000001,-0.36,2.88,6.28e-05,
9.600000000000001,-0.36,2.88,6.319999999999999e-05,
9.600000000000001,-0.32,2.88,6.36e-05,
9.200000000000001,-0.36,2.64,6.4e-05,
9.200000000000001,-0.28,2.52,6.44e-05,
10.0,-0.36,3.04,6.48e-05,
9.600000000000001,-0.36,2.88,6.52e-05,
9.600000000000001,-0.28,2.7600000000000002,6.56e-05,
9.600000000000001,-0.28,3.04,6.599999999999999e-05,
9.200000000000001,-0.32,2.92,6.64e-05,
9.200000000000001,-0.36,2.64,6.68e-05,
9.600000000000001,-0.4,2.88,6.72e-05,
9.600000000000001,-0.28,3.0,6.76e-05,
9.600000000000001,-0.4,2.8000000000000003,6.8e-05,
9.600000000000001,-0.36,2.96,6.84e-05,
9.600000000000001,-0.28,2.92,6.879999999999999e-05,
8.8,-0.36,2.7600000000000002,6.92e-05,
10.0,-0.36,2.96,6.96e-05,
9.600000000000001,-0.4,2.96,7e-05,
9.200000000000001,-0.36,2.8000000000000003,7.04e-05,
9.600000000000001,-0.36,2.88,7.08e-05,
9.200000000000001,-0.36,2.84,7.12e-05,
10.0,-0.28,2.72,7.159999999999999e-05,
10.0,-0.36,2.92,7.2e-05,
9.600000000000001,-0.32,2.96,7.24e-05,
9.200000000000001,-0.44,2.88,7.28e-05,
9.600000000000001,-0.36,2.88,7.319999999999999e-05,
9.600000000000001,-0.28,2.88,7.36e-05,
10.4,-0.24,2.88,7.4e-05,
10.8,-0.24,2.88,7.439999999999999e-05,
8.8,-0.36,2.96,7.48e-05,
9.600000000000001,-0.32,2.8000000000000003,7.52e-05,
9.600000000000001,-0.32,2.8000000000000003,7.56e-05,
9.200000000000001,-0.28,3.04,7.599999999999999e-05,
10.0,-0.32,2.88,7.64e-05,
10.8,-0.32,2.7600000000000002,7.68e-05,
10.0,-0.36,2.68,7.719999999999999e-05,
9.200000000000001,-0.36,2.72,7.76e-05,
9.600000000000001,-0.32,2.88,7.8e-05,
10.0,-0.32,2.8000000000000003,7.84e-05,
8.8,-0.36,2.96,7.879999999999999e-05,
9.600000000000001,-0.36,2.92,7.92e-05,
9.600000000000001,-0.32,2.92,7.96e-05,
9.200000000000001,-0.28,2.96,7.999999999999999e-05,
10.0,-0.36,2.92,8.04e-05,
10.4,-0.28,2.88,8.08e-05,
9.200000000000001,-0.32,2.84,8.12e-05,
10.0,-0.36,2.8000000000000003,8.159999999999999e-05,
10.4,-0.28,3.52,8.2e-05,
9.600000000000001,-0.24,3.0,8.24e-05,
8.8,-0.32,3.04,8.28e-05,
10.0,-0.32,2.96,8.319999999999999e-05,
9.200000000000001,-0.36,2.84,8.36e-05,
9.600000000000001,-0.36,2.84,8.4e-05,
8.8,-0.32,2.88,8.439999999999999e-05,
9.600000000000001,-0.36,2.64,8.48e-05,
9.600000000000001,-0.32,2.56,8.52e-05,
10.4,-0.36,2.7600000000000002,8.56e-05,
9.200000000000001,-0.28,2.84,8.599999999999999e-05,
8.4,-0.32,2.84,8.64e-05,
10.0,-0.28,2.84,8.68e-05,
10.0,-0.24,2.96,8.719999999999999e-05,
10.0,-0.32,2.96,8.76e-05,
9.600000000000001,-0.28,2.88,8.8e-05,
9.600000000000001,-0.4,2.84,8.84e-05,
9.600000000000001,-0.4,3.0,8.879999999999999e-05,
9.200000000000001,-0.36,2.96,8.92e-05,
9.600000000000001,-0.32,2.88,8.96e-05,
9.600000000000001,-0.36,2.88,8.999999999999999e-05,
9.600000000000001,-0.32,2.92,9.04e-05,
9.600000000000001,-0.32,2.84,9.08e-05,
10.0,-0.28,2.84,9.12e-05,
8.8,-0.36,2.92,9.159999999999999e-05,
10.0,-0.4,2.88,9.2e-05,
9.600000000000001,-0.36,2.8000000000000003,9.24e-05,
8.8,-0.32,2.56,9.279999999999999e-05,
10.0,-0.36,2.7600000000000002,9.32e-05,
10.0,-0.4,2.8000000000000003,9.36e-05,
10.0,-0.4,2.88,9.4e-05,
9.600000000000001,-0.36,2.88,9.439999999999999e-05,
9.600000000000001,-0.32,2.84,9.48e-05,
8.4,-0.4,2.88,9.52e-05,
9.200000000000001,-0.36,2.84,9.559999999999999e-05,
9.200000000000001,-0.36,3.0,9.6e-05,
9.600000000000001,-0.28,2.88,9.64e-05,
9.600000000000001,-0.32,2.88,9.68e-05,
9.600000000000001,-0.4,3.2800000000000002,9.719999999999999e-05,
10.0,-0.4,3.08,9.76e-05,
9.600000000000001,-0.36,3.0,9.8e-05,
10.0,-0.36,2.92,9.839999999999999e-05,
9.600000000000001,-0.32,2.92,9.879999999999999e-05,
9.600000000000001,-0.36,2.88,9.92e-05,
9.200000000000001,-0.32,2.92,9.96e-05,
10.0,-0.32,2.88,9.999999999999999e-05,
9.600000000000001,-0.32,2.4,0.0001004,
9.200000000000001,-0.32,2.68,0.0001008,
9.600000000000001,-0.4,2.84,0.0001012,
10.0,-0.36,2.84,0.00010159999999999999,
10.8,-0.4,2.88,0.000102,
9.200000000000001,-0.36,2.8000000000000003,0.0001024,
9.600000000000001,-0.36,2.84,0.00010279999999999999,
9.600000000000001,-0.36,2.88,0.0001032,
9.600000000000001,-0.36,2.96,0.0001036,
9.200000000000001,-0.28,3.44,0.000104,
9.600000000000001,-0.28,2.96,0.00010439999999999999,
9.200000000000001,-0.32,2.96,0.0001048,
9.200000000000001,-0.32,2.88,0.0001052,
8.4,-0.36,2.88,0.00010559999999999999,
9.200000000000001,-0.28,2.92,0.000106,
9.200000000000001,-0.32,2.88,0.0001064,
9.600000000000001,-0.32,2.84,0.0001068,
9.600000000000001,-0.4,2.88,0.00010719999999999999,
9.200000000000001,-0.4,2.8000000000000003,0.0001076,
9.600000000000001,-0.32,2.32,0.000108,
9.600000000000001,-0.28,2.68,0.00010839999999999999,
9.200000000000001,-0.36,2.7600000000000002,0.00010879999999999999,
9.600000000000001,-0.4,2.84,0.0001092,
9.200000000000001,-0.28,2.88,0.0001096,
10.0,-0.32,2.88,0.00010999999999999999,
9.600000000000001,-0.36,2.92,0.0001104,
9.600000000000001,-0.28,2.92,0.0001108,
9.600000000000001,-0.32,2.88,0.00011119999999999999,
9.200000000000001,-0.36,2.84,0.00011159999999999999,
10.0,-0.28,2.88,0.000112,
9.600000000000001,-0.32,3.4,0.0001124,
10.0,-0.32,3.08,0.00011279999999999999,
9.200000000000001,-0.36,2.96,0.0001132,
8.8,-0.32,2.7600000000000002,0.0001136,
9.600000000000001,-0.36,2.84,0.00011399999999999999,
10.0,-0.32,2.88,0.00011439999999999999,
10.0,-0.36,2.8000000000000003,0.0001148,
10.0,-0.44,2.88,0.0001152,
10.0,-0.4,2.32,0.00011559999999999999,
9.600000000000001,-0.36,2.64,0.000116,
8.4,-0.28,2.7600000000000002,0.0001164,
9.600000000000001,-0.36,2.84,0.00011679999999999999,
9.600000000000001,-0.36,2.88,0.00011719999999999999,
9.600000000000001,-0.32,2.92,0.0001176,
9.600000000000001,-0.32,2.88,0.000118,
9.600000000000001,-0.36,2.92,0.00011839999999999999,
10.0,-0.32,2.88,0.0001188,
10.0,-0.36,3.56,0.0001192,
