CH1,CH4,time,Ts
9.600000000000001,2.96,0.0,2e-06
10.4,2.88,2e-06,
9.200000000000001,2.88,4e-06,
9.600000000000001,2.96,6e-06,
10.0,2.92,8e-06,
10.0,2.92,9.999999999999999e-06,
9.600000000000001,2.88,1.2e-05,
10.0,3.44,1.4e-05,
9.600000000000001,2.88,1.6e-05,
9.600000000000001,2.84,1.8e-05,
10.0,2.92,1.9999999999999998e-05,
9.600000000000001,2.84,2.2e-05,
9.600000000000001,2.7600000000000002,2.4e-05,
9.200000000000001,2.92,2.6e-05,
9.600000000000001,2.96,2.8e-05,
9.600000000000001,2.8000000000000003,2.9999999999999997e-05,
9.600000000000001,2.92,3.2e-05,
10.4,2.84,3.4e-05,
9.600000000000001,2.88,3.6e-05,
10.0,3.04,3.7999999999999995e-05,
9.600000000000001,2.88,3.9999999999999996e-05,
8.8,2.96,4.2e-05,
9.600000000000001,3.0,4.4e-05,
9.200000000000001,2.88,4.6e-05,
10.0,2.36,4.8e-05,
9.600000000000001,2.84,4.9999999999999996e-05,
8.8,2.88,5.2e-05,
10.0,2.92,5.4e-05,
9.200000000000001,2.68,5.6e-05,
9.600000000000001,2.84,5.8e-05,
9.200000000000001,2.96,5.9999999999999995e-05,
10.0,2.84,6.2e-05,
10.0,2.84,6.4e-05,
9.600000000000001,2.88,6.599999999999999e-05,
9.600000000000001,3.2,6.8e-05,
9.200000000000001,2.8000000000000003,7e-05,
8.8,2.84,7.2e-05,
9.600000000000001,2.8000000000000003,7.4e-05,
9.200000000000001,3.0,7.599999999999999e-05,
9.600000000000001,2.7600000000000002,7.8e-05,
9.200000000000001,2.88,7.999999999999999e-05,
10.0,2.92,8.2e-05,
9.600000000000001,2.7600000000000002,8.4e-05,
9.200000000000001,2.88,8.599999999999999e-05,
9.600000000000001,2.84,8.8e-05,
9.600000000000001,2.88,8.999999999999999e-05,
9.600000000000001,2.92,9.2e-05,
9.600000000000001,2.8000000000000003,9.4e-05,
9.600000000000001,2.92,9.6e-05,
9.600000000000001,2.88,9.8e-05,
9.600000000000001,2.92,9.999999999999999e-05,
10.0,2.7600000000000002,0.000102,
9.200000000000001,2.92,0.000104,
9.600000000000001,2.84,0.000106,
9.600000000000001,2.84,0.000108,
10.0,2.84,0.00010999999999999999,
9.200000000000001,2.92,0.000112,
10.0,2.92,0.00011399999999999999,
9.600000000000001,2.32,0.000116,
9.600000000000001,2.8000000000000003,0.000118,
9.600000000000001,3.16,0.00011999999999999999,
9.200000000000001,2.84,0.000122,
9.600000000000001,2.7600000000000002,0.000124,
10.0,2.92,0.000126,
9.600000000000001,2.92,0.000128,
10.0,2.88,0.00013,
9.600000000000001,2.8000000000000003,0.00013199999999999998,
9.200000000000001,2.88,0.000134,
9.200000000000001,2.88,0.000136,
9.600000000000001,2.84,0.000138,
9.600000000000001,2.7600000000000002,0.00014,
8.8,2.88,0.00014199999999999998,
9.600000000000001,2.88,0.000144,
10.0,2.7600000000000002,0.000146,
10.0,2.92,0.000148,
10.4,2.92,0.00015,
9.600000000000001,2.96,0.00015199999999999998,
8.8,2.88,0.000154,
9.600000000000001,2.92,0.000156,
9.600000000000001,3.44,0.000158,
8.8,2.92,0.00015999999999999999,
9.600000000000001,2.92,0.00016199999999999998,
9.600000000000001,2.84,0.000164,
8.8,2.88,0.000166,
9.600000000000001,2.92,0.000168,
9.200000000000001,2.84,0.00016999999999999999,
9.200000000000001,2.84,0.00017199999999999998,
9.200000000000001,2.96,0.000174,
9.600000000000001,2.7600000000000002,0.000176,
9.600000000000001,2.84,0.000178,
9.600000000000001,3.2800000000000002,0.00017999999999999998,
9.200000000000001,2.88,0.00018199999999999998,
9.600000000000001,2.56,0.000184,
9.600000000000001,2.88,0.000186,
9.600000000000001,2.84,0.000188,
9.600000000000001,2.84,0.00018999999999999998,
9.600000000000001,2.8000000000000003,0.000192,
10.0,2.92,0.000194,
10.0,2.72,0.000196,
10.0,3.0,0.000198,
9.600000000000001,2.84,0.00019999999999999998,
9.600000000000001,2.92,0.000202,
9.600000000000001,2.88,0.000204,
9.200000000000001,2.92,0.000206,
9.600000000000001,3.0,0.000208,
9.600000000000001,2.88,0.00020999999999999998,
10.0,3.08,0.000212,
9.600000000000001,2.96,0.000214,
9.200000000000001,2.84,0.000216,
10.0,3.4,0.00021799999999999999,
9.200000000000001,2.88,0.00021999999999999998,
8.8,2.16,0.000222,
9.200000000000001,2.84,0.000224,
9.200000000000001,2.92,0.000226,
10.4,2.96,0.00022799999999999999,
10.8,2.44,0.00022999999999999998,
9.600000000000001,2.88,0.000232,
10.0,3.08,0.000234,
9.200000000000001,2.88,0.000236,
8.8,2.92,0.00023799999999999998,
10.4,2.64,0.00023999999999999998,
10.0,2.96,0.000242,
9.600000000000001,2.8000000000000003,0.000244,
10.8,2.8000000000000003,0.00024599999999999996,
