CH1,CH3,CH4,time,Ts
10.0,2.92,2.92,0.0,4e-07
9.600000000000001,2.96,2.92,4e-07,
9.200000000000001,2.92,2.84,8e-07,
10.0,2.96,2.92,1.2e-06,
10.0,2.92,2.44,1.6e-06,
9.600000000000001,2.96,2.7600000000000002,2e-06,
9.600000000000001,2.92,2.8000000000000003,2.4e-06,
9.600000000000001,2.88,2.88,2.8e-06,
9.600000000000001,2.92,2.84,3.2e-06,
8.4,2.88,2.8000000000000003,3.6e-06,
9.600000000000001,2.92,2.84,4e-06,
9.600000000000001,3.0,2.84,4.4e-06,
9.600000000000001,2.92,2.92,4.8e-06,
10.0,2.92,3.0,5.199999999999999e-06,
8.8,2.96,2.96,5.6e-06,
9.600000000000001,2.84,2.92,6e-06,
8.4,2.96,2.84,6.4e-06,
9.600000000000001,2.96,2.84,6.799999999999999e-06,
10.0,2.88,2.92,7.2e-06,
8.8,2.92,2.92,7.6e-06,
10.0,2.92,2.8000000000000003,8e-06,
10.4,2.92,2.96,8.4e-06,
10.4,2.96,2.84,8.8e-06,
9.600000000000001,2.92,2.92,9.2e-06,
10.0,3.0,2.84,9.6e-06,
10.0,2.96,2.6,9.999999999999999e-06,
9.600000000000001,2.96,2.64,1.0399999999999999e-05,
9.600000000000001,2.88,3.04,1.08e-05,
9.600000000000001,3.0,2.84,1.12e-05,
10.4,2.88,2.68,1.1599999999999999e-05,
9.600000000000001,2.84,3.0,1.2e-05,
9.600000000000001,2.88,2.84,1.24e-05,
9.600000000000001,2.96,2.7600000000000002,1.28e-05,
10.0,3.0,2.96,1.3199999999999999e-05,
9.600000000000001,2.92,2.8000000000000003,1.3599999999999999e-05,
10.0,2.92,2.8000000000000003,1.4e-05,
10.4,2.92,2.88,1.44e-05,
9.600000000000001,2.88,2.92,1.4799999999999999e-05,
10.0,2.88,2.8000000000000003,1.52e-05,
10.4,2.92,3.0,1.56e-05,
9.600000000000001,3.0,2.88,1.6e-05,
10.4,2.88,2.8000000000000003,1.64e-05,
10.0,2.92,2.84,1.68e-05,
9.600000000000001,3.0,2.96,1.7199999999999998e-05,
9.600000000000001,2.96,2.7600000000000002,1.76e-05,
10.0,2.92,2.92,1.8e-05,
10.0,2.88,2.88,1.84e-05,
10.0,3.0,2.88,1.88e-05,
9.600000000000001,2.92,2.88,1.92e-05,
9.600000000000001,2.88,2.88,1.96e-05,
9.600000000000001,2.84,2.7600000000000002,1.9999999999999998e-05,
10.0,2.92,2.84,2.0399999999999998e-05,
9.600000000000001,2.92,2.92,2.0799999999999997e-05,
9.600000000000001,2.88,2.8000000000000003,2.12e-05,
9.600000000000001,2.88,2.84,2.16e-05,
9.600000000000001,2.96,3.0,2.2e-05,
9.600000000000001,2.92,2.8000000000000003,2.24e-05,
9.600000000000001,2.88,2.8000000000000003,2.28e-05,
9.600000000000001,2.96,2.96,2.3199999999999998e-05,
10.0,2.84,2.84,2.3599999999999998e-05,
9.600000000000001,2.92,2.6,2.4e-05,
9.200000000000001,2.92,2.8000000000000003,2.44e-05,
9.600000000000001,2.92,2.8000000000000003,2.48e-05,
9.200000000000001,2.92,2.8000000000000003,2.52e-05,
9.600000000000001,2.92,2.72,2.56e-05,
9.600000000000001,2.92,2.84,2.6e-05,
10.0,3.0,2.88,2.6399999999999998e-05,
9.600000000000001,2.92,2.8000000000000003,2.6799999999999998e-05,
9.200000000000001,2.92,2.8000000000000003,2.7199999999999997e-05,
10.0,2.92,2.8000000000000003,2.76e-05,
10.0,2.84,2.84,2.8e-05,
10.0,2.96,3.0,2.84e-05,
10.0,2.88,3.36,2.88e-05,
9.600000000000001,2.96,3.08,2.9199999999999998e-05,
10.4,2.88,2.92,2.9599999999999998e-05,
9.600000000000001,2.96,2.88,2.9999999999999997e-05,
9.200000000000001,2.88,2.88,3.04e-05,
8.4,2.88,2.88,3.0799999999999996e-05,
9.200000000000001,3.0,2.96,3.12e-05,
9.200000000000001,2.88,2.2800000000000002,3.1599999999999996e-05,
9.600000000000001,2.92,2.64,3.2e-05,
10.4,2.92,2.7600000000000002,3.24e-05,
10.0,2.96,2.84,3.28e-05,
9.600000000000001,2.96,2.84,3.32e-05,
9.600000000000001,2.96,2.84,3.36e-05,
8.8,3.0,2.92,3.4e-05,
10.0,3.0,2.88,3.4399999999999996e-05,
10.0,3.0,2.84,3.48e-05,
10.0,2.96,2.92,3.52e-05,
10.0,2.84,3.0,3.56e-05,
8.4,2.96,2.96,3.6e-05,
9.600000000000001,2.92,2.88,3.64e-05,
9.200000000000001,2.88,2.88,3.68e-05,
10.0,2.88,2.88,3.7199999999999996e-05,
10.0,2.96,2.92,3.76e-05,
9.600000000000001,3.0,2.92,3.7999999999999995e-05,
10.0,2.84,2.88,3.84e-05,
9.600000000000001,2.88,2.8000000000000003,3.88e-05,
9.600000000000001,2.92,2.52,3.92e-05,
8.8,2.92,2.56,3.96e-05,
10.0,2.88,2.8000000000000003,3.9999999999999996e-05,
9.600000000000001,2.88,2.7600000000000002,4.04e-05,
10.0,2.96,2.84,4.0799999999999996e-05,
10.4,2.88,2.92,4.12e-05,
9.600000000000001,2.88,2.88,4.1599999999999995e-05,
9.600000000000001,2.92,2.84,4.2e-05,
9.200000000000001,2.92,2.92,4.24e-05,
10.0,2.92,2.92,4.28e-05,
9.200000000000001,2.92,2.88,4.32e-05,
9.600000000000001,2.92,3.2,4.3599999999999996e-05,
9.600000000000001,2.88,3.24,4.4e-05,
9.600000000000001,2.88,2.96,4.4399999999999995e-05,
10.0,2.96,2.88,4.48e-05,
10.0,2.92,2.88,4.52e-05,
9.600000000000001,2.92,2.92,4.56e-05,
9.600000000000001,2.96,2.88,4.6e-05,
9.200000000000001,2.88,2.84,4.6399999999999996e-05,
9.600000000000001,2.88,2.84,4.68e-05,
9.600000000000001,3.0,2.52,4.7199999999999995e-05,
10.0,2.96,2.7600000000000002,4.76e-05,
9.600000000000001,2.92,2.88,4.8e-05,
10.8,2.88,2.92,4.84e-05,
9.600000000000001,2.92,2.84,4.88e-05,
10.8,2.88,2.88,4.9199999999999997e-05,
9.200000000000001,2.88,2.88,4.96e-05,
10.0,2.88,2.92,4.9999999999999996e-05,
10.0,3.0,2.88,5.04e-05,
9.600000000000001,2.96,3.2800000000000002,5.0799999999999995e-05,
10.0,2.88,2.92,5.12e-05,
10.0,2.92,2.96,5.16e-05,
9.600000000000001,3.0,2.92,5.2e-05,
9.600000000000001,2.92,2.8000000000000003,5.24e-05,
10.0,2.92,2.84,5.2799999999999996e-05,
8.4,2.92,2.8000000000000003,5.32e-05,
9.600000000000001,3.0,2.92,5.3599999999999995e-05,
10.0,2.92,2.84,5.4e-05,
10.0,3.0,2.88,5.4399999999999994e-05,
9.600000000000001,2.96,2.48,5.48e-05,
10.0,2.92,2.72,5.52e-05,
9.600000000000001,2.92,2.7600000000000002,5.5599999999999996e-05,
10.4,2.92,2.84,5.6e-05,
9.600000000000001,2.88,2.88,5.6399999999999995e-05,
10.0,2.88,2.88,5.68e-05,
9.600000000000001,2.92,2.88,5.7199999999999994e-05,
9.200000000000001,3.0,2.8000000000000003,5.76e-05,
9.600000000000001,2.96,2.92,5.8e-05,
