CH3,CH4,time,Ts
11.24,-5.6000000000000005,0.0,2e-08
10.92,-4.800000000000001,2e-08,
10.96,-4.0,4e-08,
11.040000000000001,-3.6,6.000000000000001e-08,
11.0,-4.0,8e-08,
10.92,-4.4,1e-07,
10.8,-5.2,1.2000000000000002e-07,
10.72,-4.800000000000001,1.4e-07,
10.84,-4.0,1.6e-07,
10.96,-4.4,1.8e-07,
10.88,-4.4,2e-07,
10.92,-4.4,2.2e-07,
10.88,-2.8000000000000003,2.4000000000000003e-07,
10.92,-4.4,2.6e-07,
10.88,-5.2,2.8e-07,
10.84,-5.2,3e-07,
10.8,-4.800000000000001,3.2e-07,
10.92,-4.0,3.4000000000000003e-07,
10.96,-4.800000000000001,3.6e-07,
10.88,-4.800000000000001,3.8e-07,
10.92,-4.0,4e-07,
10.88,-4.4,4.2e-07,
11.0,-4.800000000000001,4.4e-07,
10.88,-4.0,4.6e-07,
11.08,-5.6000000000000005,4.800000000000001e-07,
11.120000000000001,-4.0,5e-07,
11.200000000000001,-5.6000000000000005,5.2e-07,
11.120000000000001,-3.6,5.4e-07,
11.120000000000001,-4.800000000000001,5.6e-07,
11.16,-4.800000000000001,5.800000000000001e-07,
11.36,-4.800000000000001,6e-07,
11.16,-5.6000000000000005,6.2e-07,
11.16,-4.0,6.4e-07,
11.28,-4.4,6.6e-07,
11.28,-3.2,6.800000000000001e-07,
11.24,-4.800000000000001,7e-07,
11.28,-4.0,7.2e-07,
11.24,-5.6000000000000005,7.4e-07,
11.08,-5.2,7.6e-07,
11.16,-3.6,7.8e-07,
11.120000000000001,-4.800000000000001,8e-07,
11.120000000000001,-4.4,8.2e-07,
11.08,-4.0,8.4e-07,
11.040000000000001,-4.0,8.6e-07,
10.96,-4.800000000000001,8.8e-07,
11.120000000000001,-4.800000000000001,9.000000000000001e-07,
10.96,-4.800000000000001,9.2e-07,
10.88,-4.800000000000001,9.4e-07,
10.76,-4.0,9.600000000000001e-07,
10.8,-4.0,9.8e-07,
10.72,-4.800000000000001,1e-06,
10.84,-4.800000000000001,1.02e-06,
10.84,-5.6000000000000005,1.04e-06,
10.76,-4.0,1.06e-06,
10.8,-3.2,1.08e-06,
10.72,-5.2,1.1e-06,
10.72,-4.4,1.12e-06,
10.88,-4.4,1.14e-06,
10.88,-4.4,1.1600000000000001e-06,
10.76,-4.800000000000001,1.18e-06,
10.88,-3.6,1.2e-06,
10.96,-3.6,1.22e-06,
11.040000000000001,-3.6,1.24e-06,
11.0,-4.0,1.26e-06,
10.96,-4.4,1.28e-06,
11.08,-4.800000000000001,1.3e-06,
11.200000000000001,-5.2,1.32e-06,
11.16,-4.800000000000001,1.34e-06,
11.120000000000001,-4.4,1.3600000000000001e-06,
11.28,-5.6000000000000005,1.3800000000000001e-06,
11.040000000000001,-3.6,1.4e-06,
11.120000000000001,-4.4,1.42e-06,
11.16,-4.800000000000001,1.44e-06,
11.28,-4.4,1.46e-06,
11.32,-4.4,1.48e-06,
11.24,-4.800000000000001,1.5e-06,
11.16,-4.0,1.52e-06,
11.16,-5.2,1.54e-06,
11.24,-4.800000000000001,1.56e-06,
11.200000000000001,-4.800000000000001,1.5800000000000001e-06,
11.28,-4.800000000000001,1.6e-06,
11.120000000000001,-4.4,1.62e-06,
11.120000000000001,-4.800000000000001,1.64e-06,
10.92,-3.6,1.66e-06,
11.040000000000001,-4.800000000000001,1.68e-06,
10.88,-4.0,1.7e-06,
10.96,-4.4,1.72e-06,
10.92,-5.6000000000000005,1.74e-06,
10.92,-4.4,1.76e-06,
10.8,-4.800000000000001,1.7800000000000001e-06,
10.92,-5.2,1.8000000000000001e-06,
10.72,-4.800000000000001,1.82e-06,
10.92,-4.800000000000001,1.84e-06,
10.8,-4.0,1.86e-06,
10.72,-4.0,1.88e-06,
10.84,-4.800000000000001,1.9e-06,
10.8,-4.800000000000001,1.9200000000000003e-06,
10.92,-4.0,1.94e-06,
10.96,-5.2,1.96e-06,
10.84,-5.6000000000000005,1.98e-06,
10.84,-4.800000000000001,2e-06,
10.84,-4.0,2.02e-06,
10.92,-4.4,2.04e-06,
10.88,-4.800000000000001,2.06e-06,
10.92,-4.4,2.08e-06,
11.08,-4.4,2.1000000000000002e-06,
10.92,-4.0,2.12e-06,
11.08,-4.800000000000001,2.14e-06,
11.16,-4.4,2.16e-06,
11.120000000000001,-3.6,2.18e-06,
11.200000000000001,-5.2,2.2e-06,
11.16,-4.4,2.22e-06,
10.96,-5.2,2.24e-06,
11.120000000000001,-3.6,2.26e-06,
11.200000000000001,-4.0,2.28e-06,
11.040000000000001,-4.800000000000001,2.3e-06,
11.08,-6.800000000000001,2.3200000000000002e-06,
11.08,-4.800000000000001,2.34e-06,
11.200000000000001,-5.2,2.36e-06,
11.08,-4.4,2.38e-06,
11.08,-4.800000000000001,2.4e-06,
11.040000000000001,-4.0,2.42e-06,
11.16,-5.6000000000000005,2.44e-06,
11.08,-4.800000000000001,2.46e-06,
11.040000000000001,-4.4,2.48e-06,
11.120000000000001,-4.800000000000001,2.5e-06,
11.08,-4.800000000000001,2.52e-06,
10.96,-3.6,2.5400000000000002e-06,
11.120000000000001,-4.0,2.56e-06,
11.0,-5.2,2.58e-06,
11.0,-5.6000000000000005,2.6e-06,
10.96,-5.6000000000000005,2.62e-06,
11.040000000000001,-4.4,2.64e-06,
11.08,-4.4,2.66e-06,
10.96,-4.0,2.68e-06,
11.040000000000001,-4.4,2.7e-06,
11.0,-4.4,2.7200000000000002e-06,
11.08,-5.2,2.74e-06,
10.96,-4.4,2.7600000000000003e-06,
10.88,-4.4,2.78e-06,
11.0,-3.6,2.8e-06,
10.84,-4.4,2.82e-06,
10.96,-4.0,2.84e-06,
11.0,-4.0,2.86e-06,
10.92,-4.0,2.88e-06,
11.040000000000001,-5.2,2.9e-06,
11.040000000000001,-4.0,2.92e-06,
10.84,-4.4,2.9400000000000002e-06,
10.84,-4.4,2.96e-06,
10.92,-4.4,2.9800000000000003e-06,
11.040000000000001,-4.4,3e-06,
10.92,-4.0,3.02e-06,
10.96,-4.800000000000001,3.04e-06,
11.08,-4.4,3.06e-06,
10.96,-4.0,3.08e-06,
10.88,-5.2,3.1e-06,
11.0,-4.800000000000001,3.12e-06,
11.0,-5.2,3.14e-06,
11.120000000000001,-5.6000000000000005,3.1600000000000002e-06,
11.120000000000001,-3.6,3.18e-06,
10.96,-5.2,3.2e-06,
11.16,-4.4,3.22e-06,
11.040000000000001,-3.6,3.24e-06,
11.08,-3.6,3.26e-06,
11.08,-4.4,3.28e-06,
11.040000000000001,-4.800000000000001,3.3e-06,
11.040000000000001,-4.0,3.32e-06,
11.040000000000001,-4.4,3.34e-06,
11.0,-5.6000000000000005,3.36e-06,
11.16,-3.6,3.3800000000000002e-06,
10.96,-4.0,3.4e-06,
11.08,-4.4,3.42e-06,
11.200000000000001,-5.2,3.44e-06,
11.040000000000001,-6.0,3.46e-06,
11.0,-5.2,3.48e-06,
10.92,-3.6,3.5e-06,
11.040000000000001,-5.6000000000000005,3.52e-06,
11.0,-4.4,3.54e-06,
10.88,-4.800000000000001,3.5600000000000002e-06,
11.16,-4.800000000000001,3.58e-06,
11.0,-4.800000000000001,3.6000000000000003e-06,
10.96,-4.4,3.62e-06,
11.0,-4.800000000000001,3.64e-06,
11.08,-5.2,3.66e-06,
10.92,-4.4,3.68e-06,
10.96,-6.0,3.7e-06,
10.84,-5.6000000000000005,3.72e-06,
10.88,-4.4,3.74e-06,
11.040000000000001,-4.800000000000001,3.76e-06,
11.040000000000001,-4.800000000000001,3.7800000000000002e-06,
10.96,-5.6000000000000005,3.8e-06,
11.0,-4.4,3.82e-06,
10.96,-5.2,3.8400000000000005e-06,
10.84,-4.0,3.86e-06,
11.040000000000001,-4.800000000000001,3.88e-06,
11.08,-4.800000000000001,3.9e-06,
11.0,-5.2,3.92e-06,
10.92,-3.6,3.94e-06,
11.0,-6.4,3.96e-06,
11.040000000000001,-4.4,3.98e-06,
11.08,-4.0,4e-06,
10.96,-4.800000000000001,4.0200000000000005e-06,
11.0,-4.4,4.04e-06,
10.96,-4.0,4.06e-06,
11.040000000000001,-4.0,4.08e-06,
11.040000000000001,-5.2,4.1e-06,
11.16,-4.0,4.12e-06,
11.16,-4.4,4.14e-06,
11.24,-5.2,4.16e-06,
11.08,-4.800000000000001,4.18e-06,
11.120000000000001,-4.4,4.2000000000000004e-06,
11.040000000000001,-5.2,4.22e-06,
11.040000000000001,-4.0,4.24e-06,
11.120000000000001,-4.800000000000001,4.26e-06,
11.040000000000001,-4.800000000000001,4.28e-06,
11.0,-4.0,4.3e-06,
11.040000000000001,-3.6,4.32e-06,
10.96,-3.6,4.34e-06,
11.08,-4.4,4.36e-06,
10.96,-4.800000000000001,4.38e-06,
11.0,-4.800000000000001,4.4e-06,
10.96,-4.0,4.42e-06,
11.040000000000001,-4.800000000000001,4.44e-06,
10.92,-3.6,4.4600000000000005e-06,
11.0,-5.2,4.48e-06,
10.96,-4.800000000000001,4.5e-06,
11.0,-4.800000000000001,4.52e-06,
11.0,-4.0,4.54e-06,
11.040000000000001,-6.800000000000001,4.56e-06,
10.96,-3.6,4.58e-06,
11.0,-4.4,4.6e-06,
10.96,-4.800000000000001,4.62e-06,
10.88,-4.0,4.6400000000000005e-06,
10.8,-5.2,4.66e-06,
10.96,-4.4,4.68e-06,
10.96,-4.800000000000001,4.7e-06,
10.96,-4.4,4.72e-06,
11.040000000000001,-5.2,4.74e-06,
10.92,-3.6,4.76e-06,
11.0,-4.800000000000001,4.78e-06,
10.92,-5.6000000000000005,4.8e-06,
11.0,-4.4,4.8200000000000004e-06,
11.0,-4.800000000000001,4.84e-06,
10.96,-5.2,4.86e-06,
11.0,-3.6,4.88e-06,
10.96,-3.2,4.9000000000000005e-06,
11.08,-4.0,4.92e-06,
11.16,-4.4,4.94e-06,
11.040000000000001,-4.4,4.96e-06,
11.0,-4.800000000000001,4.98e-06,
11.0,-4.800000000000001,5e-06,
11.120000000000001,-4.0,5.02e-06,
11.28,-4.800000000000001,5.04e-06,
10.96,-5.2,5.06e-06,
11.08,-4.800000000000001,5.0800000000000005e-06,
11.16,-4.800000000000001,5.1e-06,
10.92,-4.800000000000001,5.12e-06,
11.24,-4.800000000000001,5.14e-06,
11.16,-2.4000000000000004,5.16e-06,
11.120000000000001,-3.6,5.18e-06,
11.08,-4.800000000000001,5.2e-06,
11.16,-4.0,5.22e-06,
11.120000000000001,-4.0,5.24e-06,
