CH1,CH2,time,Ts
-0.8,-0.05,0.0,1e-08
-0.4,-0.04,1e-08,
-1.6,-0.02,2e-08,
-0.8,-0.04,3.0000000000000004e-08,
-1.6,-0.05,4e-08,
-1.2000000000000002,-0.06,5e-08,
-2.4000000000000004,-0.05,6.000000000000001e-08,
-2.0,-0.04,7e-08,
-1.6,-0.05,8e-08,
-2.8000000000000003,-0.05,9e-08,
-1.2000000000000002,-0.05,1e-07,
-1.2000000000000002,-0.04,1.1e-07,
-1.2000000000000002,-0.05,1.2000000000000002e-07,
-0.4,-0.04,1.3e-07,
-0.8,-0.05,1.4e-07,
-1.2000000000000002,-0.04,1.5e-07,
-1.2000000000000002,-0.07,1.6e-07,
-0.4,-0.06,1.7000000000000001e-07,
-1.6,-0.08,1.8e-07,
-1.2000000000000002,-0.04,1.9e-07,
-1.6,-0.05,2e-07,
-1.6,-0.05,2.1e-07,
-2.0,-0.03,2.2e-07,
-1.2000000000000002,-0.04,2.3e-07,
-0.4,-0.02,2.4000000000000003e-07,
-1.6,-0.05,2.5e-07,
-0.4,-0.05,2.6e-07,
-1.2000000000000002,-0.04,2.7e-07,
-1.6,-0.06,2.8e-07,
-1.6,-0.06,2.9000000000000003e-07,
0.0,-0.03,3e-07,
0.0,-0.04,3.1e-07,
-1.2000000000000002,-0.05,3.2e-07,
-0.8,-0.04,3.3e-07,
-2.4000000000000004,-0.06,3.4000000000000003e-07,
-1.2000000000000002,-0.03,3.5e-07,
-1.6,-0.04,3.6e-07,
-1.6,-0.05,3.7e-07,
-1.2000000000000002,-0.04,3.8e-07,
-1.2000000000000002,-0.07,3.9e-07,
-1.6,-0.06,4e-07,
-1.2000000000000002,-0.03,4.1e-07,
-0.8,-0.05,4.2e-07,
-0.8,-0.04,4.3e-07,
-1.6,-0.07,4.4e-07,
-1.6,-0.04,4.5000000000000003e-07,
-0.8,-0.06,4.6e-07,
-1.2000000000000002,-0.04,4.7e-07,
-0.4,-0.04,4.800000000000001e-07,
-0.4,-0.06,4.9e-07,
-1.2000000000000002,-0.05,5e-07,
-0.4,-0.03,5.1e-07,
-1.2000000000000002,-0.06,5.2e-07,
-1.2000000000000002,-0.02,5.3e-07,
-0.8,-0.04,5.4e-07,
-1.2000000000000002,-0.05,5.5e-07,
-0.4,-0.03,5.6e-07,
-0.4,-0.04,5.7e-07,
-1.6,-0.04,5.800000000000001e-07,
-1.6,-0.02,5.9e-07,
-1.2000000000000002,-0.02,6e-07,
-2.0,0.0,6.1e-07,
-1.2000000000000002,-0.04,6.2e-07,
0.0,0.01,6.3e-07,
-0.8,-0.01,6.4e-07,
0.0,-0.02,6.5e-07,
-0.8,-0.06,6.6e-07,
-0.8,-0.03,6.7e-07,
-1.2000000000000002,-0.02,6.800000000000001e-07,
-1.6,-0.05,6.900000000000001e-07,
-1.2000000000000002,-0.03,7e-07,
-1.6,-0.02,7.1e-07,
-0.8,-0.03,7.2e-07,
-0.8,-0.03,7.3e-07,
-1.2000000000000002,-0.04,7.4e-07,
-0.4,-0.03,7.5e-07,
-0.4,-0.04,7.6e-07,
-2.8000000000000003,-0.01,7.7e-07,
-2.4000000000000004,-0.02,7.8e-07,
-1.6,-0.06,7.900000000000001e-07,
-0.8,-0.03,8e-07,
-2.0,-0.04,8.1e-07,
-2.0,-0.05,8.2e-07,
0.4,-0.03,8.3e-07,
0.0,-0.03,8.4e-07,
-0.8,-0.06,8.5e-07,
-0.8,-0.03,8.6e-07,
-0.4,-0.03,8.7e-07,
-0.8,-0.03,8.8e-07,
-1.2000000000000002,-0.06,8.900000000000001e-07,
-1.6,-0.03,9.000000000000001e-07,
0.0,-0.03,9.1e-07,
