CH1,CH2,CH4,time,Ts
1.0,0.0,1.54,0.0,2e-08
-1.0,-0.01,1.6600000000000001,2e-08,
2.0,-0.01,1.74,4e-08,
-2.0,0.0,1.72,6.000000000000001e-08,
1.0,-0.04,1.82,8e-08,
-2.0,-0.01,1.8800000000000001,1e-07,
1.0,-0.07,2.0,1.2000000000000002e-07,
1.0,-0.03,1.94,1.4e-07,
1.0,-0.04,2.0,1.6e-07,
1.0,-0.01,2.04,1.8e-07,
0.0,-0.02,2.12,2e-07,
1.0,0.0,2.04,2.2e-07,
-2.0,-0.01,2.2,2.4000000000000003e-07,
0.0,0.0,2.2,2.6e-07,
1.0,-0.02,2.24,2.8e-07,
0.0,-0.04,2.34,3e-07,
0.0,-0.02,2.38,3.2e-07,
2.0,-0.02,2.34,3.4000000000000003e-07,
0.0,0.01,2.36,3.6e-07,
3.0,-0.02,2.42,3.8e-07,
0.0,-0.05,2.44,4e-07,
0.0,-0.03,2.38,4.2e-07,
0.0,-0.05,2.46,4.4e-07,
2.0,-0.03,2.46,4.6e-07,
0.0,-0.04,2.5,4.800000000000001e-07,
3.0,-0.02,2.52,5e-07,
-1.0,-0.04,2.48,5.2e-07,
2.0,-0.03,2.58,5.4e-07,
0.0,-0.01,2.62,5.6e-07,
2.0,-0.01,2.56,5.800000000000001e-07,
-1.0,-0.01,2.62,6e-07,
-3.0,-0.01,2.6,6.2e-07,
-3.0,-0.03,2.56,6.4e-07,
0.0,0.0,2.64,6.6e-07,
3.0,-0.03,2.64,6.800000000000001e-07,
-2.0,-0.03,2.66,7e-07,
-2.0,-0.02,2.7,7.2e-07,
0.0,0.0,2.74,7.4e-07,
-1.0,-0.03,2.7,7.6e-07,
1.0,-0.02,2.68,7.8e-07,
0.0,-0.03,2.72,8e-07,
1.0,-0.03,2.72,8.2e-07,
-2.0,-0.01,2.68,8.4e-07,
-2.0,-0.03,2.66,8.6e-07,
-3.0,-0.02,2.72,8.8e-07,
-1.0,0.0,2.74,9.000000000000001e-07,
0.0,-0.02,2.7,9.2e-07,
-1.0,-0.03,2.72,9.4e-07,
-2.0,-0.01,2.74,9.600000000000001e-07,
-1.0,-0.01,2.7800000000000002,9.8e-07,
1.0,-0.03,2.72,1e-06,
-3.0,-0.03,2.7600000000000002,1.02e-06,
-3.0,-0.03,2.82,1.04e-06,
-2.0,-0.04,2.7600000000000002,1.06e-06,
0.0,-0.02,2.7800000000000002,1.08e-06,
2.0,-0.05,2.7800000000000002,1.1e-06,
-1.0,-0.01,2.7600000000000002,1.12e-06,
-3.0,-0.02,2.8000000000000003,1.14e-06,
1.0,0.0,2.8000000000000003,1.1600000000000001e-06,
0.0,0.0,2.7600000000000002,1.18e-06,
