Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Technology,Mounting Style,Package/Case,Transistor Polarity,Number of Channels,Vds - Drain-Source Breakdown Voltage,Id - Continuous Drain Current,Rds On - Drain-Source Resistance,Vgs - Gate-Source Voltage,Vgs th - Gate-Source Threshold Voltage,Qg - Gate Charge,Minimum Operating Temperature,Maximum Operating Temperature,Pd - Power Dissipation,Channel Mode,Qualification,Tradename,Packaging
726-IPW60R099P7XKSA1,IPW60R099P7XKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW60R099P7_DS_v02_01_EN-3362773.pdf,1 347  In Stock,"=""3,67 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW60R099P7XKSA1?qs=HXFqYaX1Q2xJyB3sLTuhug%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW60R099P7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""31 A""",77 mOhms,"- 20 V, + 20 V",3 V,45 nC,- 55 C,+ 150 C,117 W,Enhancement,,CoolMOS,Tube
726-IPZA60R080P7XKSA,IPZA60R080P7XKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPZA60R080P7_DS_v02_01_EN-3362673.pdf,174  In Stock,"=""4,03 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPZA60R080P7XKSA1?qs=xhbEVWpZdWdjgvPQ0o6Epg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPZA60R080P7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-4,N-Channel,1 Channel,600 V,"=""37 A""",69 mOhms,"- 20 V, + 20 V",3 V,51 nC,- 55 C,+ 150 C,129 W,Enhancement,,CoolMOS,Tube
726-IPZA60R099P7XKSA,IPZA60R099P7XKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPZA60R099P7_DS_v02_01_EN-3362753.pdf,310  In Stock,"=""4,19 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPZA60R099P7XKSA1?qs=xhbEVWpZdWeLTomzsCKMLg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPZA60R099P7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-4,N-Channel,1 Channel,600 V,"=""31 A""",77 mOhms,"- 20 V, + 20 V",3 V,45 nC,- 55 C,+ 150 C,117 W,Enhancement,,CoolMOS,Tube
511-STW65N60DM6,STW65N60DM6,STMicroelectronics,https://www.st.com/resource/en/datasheet/stw65n60dm6.pdf,587  In Stock,"=""4,59 €""",RoHS Compliant By Exemption,,https://www.mouser.fr/ProductDetail/STMicroelectronics/STW65N60DM6?qs=byeeYqUIh0OjmTd2UOzyxg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STW65N60DM6&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""38 A""",71 mOhms,"- 25 V, + 25 V",3.25 V,54 nC,- 55 C,+ 150 C,250 W,Enhancement,,MDmesh,Tube
511-STW48N60DM2,STW48N60DM2,STMicroelectronics,https://www.st.com/resource/en/datasheet/stw48n60dm2.pdf,477  In Stock,"=""4,73 €""",RoHS Compliant By Exemption,,https://www.mouser.fr/ProductDetail/STMicroelectronics/STW48N60DM2?qs=mKNKSX85ZJe00J5n%2Fw3nAg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STW48N60DM2&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""40 A""",65 mOhms,"- 25 V, + 25 V",3 V,70 nC,- 55 C,+ 150 C,300 W,Enhancement,,MDmesh,Tube
511-STW45N65M5,STW45N65M5,STMicroelectronics,https://www.st.com/resource/en/datasheet/stw45n65m5.pdf,703  In Stock,"=""4,73 €""",RoHS Compliant By Exemption,,https://www.mouser.fr/ProductDetail/STMicroelectronics/STW45N65M5?qs=vK53sQ86l6d3C3tot9T2Iw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STW45N65M5&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""35 A""",78 mOhms,"- 25 V, + 25 V",3 V,82 nC,- 55 C,+ 150 C,210 W,Enhancement,,MDmesh,Tube
833-MCW075N60FH-BP,MCW075N60FH-BP,Micro Commercial Components (MCC),https://www.mouser.fr/datasheet/2/258/MCW075N60FH_TO_247_-3536278.pdf,360  In Stock,"=""4,85 €""",,New Product,https://www.mouser.fr/ProductDetail/Micro-Commercial-Components-MCC/MCW075N60FH-BP?qs=iLKYxzqNS77EYH4I0YLEgw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=MCW075N60FH-BP&utm_content=Micro-Commercial-Components-%28MCC%29,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""41 A""",75 mOhms,"- 30 V, + 30 V",5 V,81 nC,- 55 C,+ 150 C,312.5 W,Enhancement,,,Bulk
726-IPW60R060C7XKSA1,IPW60R060C7XKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW60R060C7_DS_v02_00_EN-1731945.pdf,410  In Stock,"=""4,94 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW60R060C7XKSA1?qs=QIiuLP2W41BeappdMvA3rg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW60R060C7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""35 A""",52 mOhms,"- 20 V, + 20 V",3 V,68 nC,- 55 C,+ 150 C,162 W,Enhancement,,CoolMOS,Tube
726-IPW60R080P7XKSA1,IPW60R080P7XKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW60R080P7_DS_v02_01_EN-3362671.pdf,2 778  In Stock,"=""4,96 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW60R080P7XKSA1?qs=HXFqYaX1Q2zfvdpDHxlTLg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW60R080P7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""37 A""",69 mOhms,"- 20 V, + 20 V",3 V,51 nC,- 55 C,+ 150 C,129 W,Enhancement,,CoolMOS,Tube
511-STW48N60M2,STW48N60M2,STMicroelectronics,https://www.st.com/resource/en/datasheet/stw48n60m2.pdf,987  In Stock,"=""5,04 €""",RoHS Compliant By Exemption,,https://www.mouser.fr/ProductDetail/STMicroelectronics/STW48N60M2?qs=Ok1pvOkw6%2Fos4i0EI03Hxw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STW48N60M2&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""42 A""",70 mOhms,"- 25 V, + 25 V",2 V,70 nC,- 55 C,+ 150 C,300 W,Enhancement,,MDmesh,Tube
