CH2,CH3,time,Ts
-0.04,0.0004,0.0,1e-08
-0.01,0.0008,1e-08,
-0.01,0.0007,2e-08,
-0.01,0.0002,3.0000000000000004e-08,
-0.01,0.0002,4e-08,
0.0,0.00030000000000000003,5e-08,
-0.06,-0.0001,6.000000000000001e-08,
0.0,0.0008,7e-08,
0.0,0.0008,8e-08,
-0.03,0.0005,9e-08,
-0.04,0.0009000000000000001,1e-07,
-0.05,0.0006000000000000001,1.1e-07,
-0.03,0.0004,1.2000000000000002e-07,
-0.03,0.0005,1.3e-07,
-0.01,0.0004,1.4e-07,
-0.04,-0.00030000000000000003,1.5e-07,
-0.05,0.0001,1.6e-07,
-0.02,0.0007,1.7000000000000001e-07,
-0.04,0.0004,1.8e-07,
-0.07,0.0002,1.9e-07,
-0.04,0.0,2e-07,
-0.03,0.0001,2.1e-07,
-0.06,0.0008,2.2e-07,
-0.05,0.0001,2.3e-07,
-0.04,0.0002,2.4000000000000003e-07,
-0.04,-0.0001,2.5e-07,
-0.06,0.00030000000000000003,2.6e-07,
-0.07,-0.0001,2.7e-07,
-0.04,-0.0002,2.8e-07,
-0.05,0.0005,2.9000000000000003e-07,
-0.07,0.0004,3e-07,
-0.07,0.0002,3.1e-07,
-0.06,-0.0001,3.2e-07,
-0.05,-0.0002,3.3e-07,
-0.08,0.0001,3.4000000000000003e-07,
-0.03,-0.0004,3.5e-07,
-0.06,-0.0002,3.6e-07,
-0.06,0.0001,3.7e-07,
-0.08,0.0005,3.8e-07,
-0.08,-0.0001,3.9e-07,
-0.05,0.0005,4e-07,
-0.05,0.0005,4.1e-07,
-0.06,-0.0001,4.2e-07,
-0.05,0.0006000000000000001,4.3e-07,
-0.03,0.0004,4.4e-07,
-0.05,-0.0001,4.5000000000000003e-07,
-0.08,0.00030000000000000003,4.6e-07,
-0.08,-0.0006000000000000001,4.7e-07,
-0.06,-0.0002,4.800000000000001e-07,
-0.08,-0.0004,4.9e-07,
-0.08,0.0001,5e-07,
-0.1,-0.0002,5.1e-07,
-0.09,0.0001,5.2e-07,
-0.09,-0.0001,5.3e-07,
-0.08,-0.0001,5.4e-07,
-0.1,-0.0001,5.5e-07,
-0.06,0.0,5.6e-07,
-0.07,0.0002,5.7e-07,
-0.09,-0.0002,5.800000000000001e-07,
-0.1,-0.0009000000000000001,5.9e-07,
-0.12,-0.00030000000000000003,6e-07,
-0.05,-0.0001,6.1e-07,
-0.1,0.0,6.2e-07,
-0.11,-0.0004,6.3e-07,
-0.13,-0.0005,6.4e-07,
-0.11,-0.0002,6.5e-07,
-0.1,-0.0008,6.6e-07,
-0.11,-0.0002,6.7e-07,
-0.1,-0.0004,6.800000000000001e-07,
-0.14,-0.0008,6.900000000000001e-07,
-0.11,-0.0005,7e-07,
-0.09,-0.001,7.1e-07,
-0.14,-0.0008,7.2e-07,
-0.13,-0.0007,7.3e-07,
