time,CH1,CH2
-0.001,-0.52,-0.7000000000000001
-0.000999,-0.64,-0.30000000000000004
-0.000998,-0.68,-0.6000000000000001
-0.000997,-0.72,-0.2
-0.000996,-0.62,-0.9
-0.000995,-3.74,0.1
-0.000994,-0.6,-0.9
-0.000993,-0.98,-0.1
-0.000992,-0.66,-0.9
-0.0009910000000000001,-0.54,-0.2
-0.00099,-0.62,-0.9
-0.000989,-0.58,-0.2
-0.000988,-0.72,-0.7000000000000001
-0.000987,-0.52,-0.4
-0.0009860000000000001,-0.66,-0.5
-0.000985,-0.6,-0.5
-0.000984,-0.64,-0.5
-0.000983,-0.5,-0.4
-0.000982,-0.6,-0.5
-0.000981,-0.62,-0.2
-0.00098,-0.72,-0.6000000000000001
-0.000979,-0.48,0.1
-0.000978,-0.7000000000000001,-1.0
-0.000977,-0.34,-0.4
-0.000976,-0.7000000000000001,-0.8
-0.0009750000000000001,-0.58,-0.30000000000000004
-0.000974,-0.62,-0.7000000000000001
-0.000973,-0.62,-0.5
-0.000972,-1.06,-0.7000000000000001
-0.0009710000000000001,-0.6,-0.4
-0.00097,-0.56,-0.6000000000000001
-0.000969,-0.58,-0.5
-0.000968,-0.5,-0.6000000000000001
-0.000967,-0.54,-0.5
-0.0009660000000000001,-0.72,-0.7000000000000001
-0.000965,-0.7000000000000001,-0.2
-0.000964,-0.62,-0.7000000000000001
-0.000963,-0.68,-0.30000000000000004
-0.0009620000000000001,-0.58,-1.0
-0.000961,-0.6,-0.2
-0.00096,-0.56,-0.9
-0.000959,-0.58,-0.30000000000000004
-0.000958,-0.66,-0.9
-0.0009570000000000001,-0.54,-0.4
-0.000956,-0.66,-0.8
-0.000955,-0.6,-0.1
-0.000954,-0.6,-0.6000000000000001
-0.0009530000000000001,-0.48,-0.5
-0.000952,-0.6,-0.7000000000000001
-0.000951,-0.48,-0.5
-0.00095,-0.62,-0.8
-0.000949,-0.56,-0.2
-0.0009480000000000001,-0.52,-0.7000000000000001
-0.000947,-0.1,-0.4
-0.000946,-0.74,-0.9
-0.000945,-0.6,-0.30000000000000004
-0.0009440000000000001,-0.62,-0.8
-0.000943,-0.56,-0.1
-0.000942,-0.6,-0.7000000000000001
-0.000941,-0.66,-0.2
-0.0009400000000000001,-0.62,-0.8
-0.0009390000000000001,-0.68,-0.30000000000000004
-0.000938,-0.6,-0.6000000000000001
-0.000937,-0.56,-0.4
-0.000936,-0.56,-0.5
-0.0009350000000000001,-0.58,-0.30000000000000004
-0.000934,-0.62,-0.8
-0.000933,-0.66,-0.1
-0.000932,-0.54,-0.9
-0.000931,-0.64,-0.2
-0.00093,-1.04,-1.0
-0.000929,-0.62,-0.1
-0.000928,-0.72,-1.0
-0.000927,-0.6,-0.2
-0.0009260000000000001,-0.6,-1.0
-0.000925,-0.64,-0.30000000000000004
-0.000924,-0.54,-0.8
-0.000923,-0.6,-0.4
-0.0009220000000000001,-0.62,-0.7000000000000001
-0.000921,-0.62,-0.4
-0.00092,-0.62,-0.6000000000000001
-0.000919,-0.6,-0.2
-0.000918,-0.58,-0.9
-0.0009170000000000001,-0.7000000000000001,-0.2
-0.000916,-0.56,-0.8
-0.000915,-0.48,-0.4
-0.000914,-0.68,-1.0
-0.000913,-0.56,-0.2
-0.000912,-0.62,-0.8
-0.000911,-0.62,-0.30000000000000004
-0.00091,-0.72,-0.8
-0.0009090000000000001,-0.44,-0.4
-0.0009080000000000001,-0.54,-0.7000000000000001
-0.000907,-0.66,-0.30000000000000004
-0.000906,-0.68,-0.5
-0.000905,-0.6,-0.5
-0.0009040000000000001,-0.58,-0.5
-0.000903,-0.6,-0.30000000000000004
-0.000902,-0.6,-0.8
-0.000901,-0.62,-0.2
-0.0009,-0.6,-0.8
-0.0008990000000000001,-0.58,-0.4
-0.000898,-0.58,-0.8
-0.000897,-0.6,-0.30000000000000004
-0.000896,-0.58,-0.8
-0.0008950000000000001,-0.56,-0.30000000000000004
-0.000894,-0.64,-0.7000000000000001
-0.000893,-0.56,-0.5
-0.000892,-0.52,-0.6000000000000001
-0.0008910000000000001,-0.56,-0.5
-0.0008900000000000001,-0.58,-0.7000000000000001
-0.000889,-0.62,-0.5
-0.000888,-0.5,-0.8
-0.000887,-0.42,-0.30000000000000004
-0.0008860000000000001,-0.6,-0.7000000000000001
-0.000885,-0.6,-0.2
-0.000884,-0.5,-0.8
-0.000883,-0.6,-0.30000000000000004
-0.000882,-0.52,-0.9
-0.0008810000000000001,-0.58,-0.1
-0.00088,-0.54,-0.9
-0.000879,-0.54,-0.2
-0.000878,-0.56,-0.7000000000000001
-0.0008770000000000001,-0.58,-0.4
-0.000876,-0.62,-0.8
-0.000875,-0.6,-0.5
-0.000874,-0.58,-0.6000000000000001
-0.0008730000000000001,-0.6,-0.30000000000000004
-0.000872,-0.54,-0.7000000000000001
-0.000871,-0.6,-0.30000000000000004
-0.00087,-0.7000000000000001,-0.8
-0.000869,-0.44,-0.5
-0.0008680000000000001,-0.64,-0.6000000000000001
-0.000867,-0.5,-0.5
-0.000866,-0.34,-1.0
-0.000865,-0.38,-0.2
-0.000864,-0.56,-0.8
-0.000863,-0.56,-0.2
-0.000862,-0.66,-0.7000000000000001
-0.000861,-0.72,-0.30000000000000004
-0.0008600000000000001,-0.5,-0.6000000000000001
-0.0008590000000000001,-0.64,-0.5
-0.000858,-0.68,-0.7000000000000001
-0.000857,-0.6,-0.4
-0.000856,-0.6,-0.5
-0.0008550000000000001,-0.7000000000000001,-0.4
-0.000854,-0.64,-0.7000000000000001
-0.000853,-0.84,-0.4
-0.000852,-0.6,-0.8
-0.000851,-0.72,-0.4
-0.0008500000000000001,-0.58,-0.8
-0.000849,-0.68,-0.2
-0.000848,-0.62,-0.8
-0.000847,-0.62,-0.4
-0.000846,-0.42,-0.7000000000000001
-0.000845,-0.64,-0.5
-0.000844,-0.66,-0.6000000000000001
-0.000843,-0.6,-0.4
-0.0008420000000000001,-0.6,-0.7000000000000001
-0.0008410000000000001,-0.6,-0.6000000000000001
-0.00084,-0.58,-0.5
-0.000839,-0.58,-0.4
-0.000838,-0.54,-0.7000000000000001
-0.0008370000000000001,-0.66,-0.2
-0.000836,-0.66,-0.6000000000000001
-0.000835,-0.64,-0.30000000000000004
-0.000834,-0.46,-0.8
-0.000833,-0.58,-0.2
-0.0008320000000000001,-0.6,-0.6000000000000001
-0.000831,-0.42,-0.5
-0.00083,-0.58,-0.5
-0.0008290000000000001,-0.5,-0.30000000000000004
-0.0008280000000000001,-0.46,-0.6000000000000001
-0.000827,-0.38,-0.5
-0.000826,-0.56,-0.6000000000000001
-0.000825,-0.5,-0.6000000000000001
-0.0008240000000000001,-0.54,-0.6000000000000001
-0.0008230000000000001,-0.5,-0.30000000000000004
-0.000822,-0.56,-0.6000000000000001
-0.000821,-0.8200000000000001,-0.30000000000000004
-0.00082,-0.54,-0.7000000000000001
-0.0008190000000000001,-0.54,-0.5
-0.000818,-0.5,-0.6000000000000001
-0.000817,-0.48,-0.5
-0.000816,-0.64,-0.7000000000000001
-0.000815,-0.54,-0.4
-0.000814,-0.58,-0.5
-0.000813,-0.48,-0.4
-0.000812,-0.48,-0.6000000000000001
-0.0008110000000000001,-0.6,-0.6000000000000001
-0.0008100000000000001,-0.6,-0.5
-0.000809,-0.46,-0.4
-0.000808,-0.48,-0.4
-0.000807,-0.58,-0.5
-0.0008060000000000001,-1.3,-0.7000000000000001
-0.000805,-0.34,-0.5
-0.000804,-0.42,-0.6000000000000001
-0.000803,-0.64,-0.5
-0.000802,-0.76,-0.6000000000000001
-0.0008010000000000001,-0.62,-0.6000000000000001
-0.0008,-0.4,-0.6000000000000001
-0.000799,-0.68,-0.4
-0.000798,-0.66,-0.5
-0.000797,-0.64,-0.7000000000000001
-0.000796,-0.66,-0.4
-0.000795,-0.64,-0.5
-0.000794,-0.58,-0.5
-0.0007930000000000001,-0.46,-0.5
-0.0007920000000000001,-0.7000000000000001,-0.8
-0.000791,-0.58,-0.5
-0.00079,-0.64,-0.7000000000000001
-0.000789,-0.68,-0.7000000000000001
-0.0007880000000000001,-0.58,-0.4
-0.000787,-0.64,-0.6000000000000001
-0.000786,-0.04,-0.5
-0.000785,-0.32,-0.8
-0.000784,-0.54,-0.5
-0.0007830000000000001,-0.66,-0.6000000000000001
-0.000782,-0.6,-0.5
-0.000781,-0.5,-0.5
-0.0007800000000000001,-0.56,-0.5
-0.0007790000000000001,-0.64,-0.7000000000000001
-0.000778,-0.52,-0.5
-0.000777,-0.54,-0.6000000000000001
-0.000776,-0.58,-0.4
-0.0007750000000000001,-0.52,-0.7000000000000001
-0.0007740000000000001,-0.54,-0.7000000000000001
-0.000773,-0.18,-0.7000000000000001
-0.000772,-0.48,-0.30000000000000004
-0.000771,-0.58,-0.6000000000000001
-0.0007700000000000001,0.12,-0.5
-0.000769,-0.26,-0.8
-0.000768,-0.48,-0.4
-0.000767,-0.58,-0.7000000000000001
-0.000766,-0.52,-0.4
-0.0007650000000000001,-0.5,-0.8
-0.000764,-0.48,-0.5
-0.000763,-0.58,-0.6000000000000001
-0.0007620000000000001,-0.34,-0.6000000000000001
-0.0007610000000000001,-0.48,-0.6000000000000001
-0.00076,-0.44,-0.5
-0.000759,-0.44,-0.8
-0.000758,-0.46,-0.6000000000000001
-0.0007570000000000001,-0.54,-0.5
-0.000756,-0.48,-0.5
-0.000755,-0.56,-0.5
-0.0007540000000000001,-1.04,-0.2
-0.000753,-0.62,-0.8
-0.0007520000000000001,-0.5,-0.30000000000000004
-0.000751,-0.54,-0.7000000000000001
-0.00075,-0.6,-0.4
-0.0007490000000000001,-0.54,-0.5
-0.000748,-0.5,-0.4
-0.000747,-0.64,-0.7000000000000001
-0.000746,-0.44,-0.6000000000000001
-0.000745,-0.48,-0.6000000000000001
-0.0007440000000000001,-0.5,-0.4
-0.000743,-0.8200000000000001,-0.5
-0.000742,-0.52,-0.5
-0.000741,-0.38,-0.4
-0.00074,-0.46,-0.30000000000000004
-0.0007390000000000001,-0.54,-0.5
-0.000738,1.28,-0.2
-0.000737,-0.52,-0.8
-0.0007360000000000001,-0.54,-0.1
-0.000735,-0.56,-0.8
-0.0007340000000000001,-0.58,-0.4
-0.000733,-0.62,-0.7000000000000001
-0.000732,-0.62,-0.4
-0.0007310000000000001,-0.58,-0.6000000000000001
-0.00073,-0.46,-0.2
-0.000729,-0.58,-0.7000000000000001
-0.000728,-0.44,-0.6000000000000001
-0.000727,-0.4,-0.6000000000000001
-0.0007260000000000001,-0.52,-0.4
-0.0007250000000000001,-0.56,-0.7000000000000001
-0.000724,-0.48,-0.2
-0.000723,-0.86,-0.8
-0.000722,-2.1,0.0
-0.0007210000000000001,-0.52,-1.0
-0.00072,-0.52,-0.30000000000000004
-0.000719,-0.6,-0.8
-0.0007180000000000001,-0.46,0.0
-0.000717,-0.48,-0.7000000000000001
-0.0007160000000000001,-0.56,-0.30000000000000004
-0.000715,-0.66,-0.8
-0.000714,-0.64,-0.4
-0.0007130000000000001,-0.58,-0.6000000000000001
-0.000712,-0.58,-0.5
-0.000711,-0.56,-0.6000000000000001
-0.00071,-0.44,-0.2
-0.000709,-0.5,-0.6000000000000001
-0.0007080000000000001,-0.48,-0.30000000000000004
-0.0007070000000000001,-0.56,-0.7000000000000001
-0.000706,-0.48,-0.30000000000000004
-0.0007050000000000001,-0.54,-1.0
-0.000704,-0.38,-0.1
-0.0007030000000000001,-0.48,-0.9
-0.000702,-0.46,-0.30000000000000004
-0.000701,-0.6,-0.7000000000000001
-0.0007000000000000001,-0.54,-0.30000000000000004
-0.000699,-0.54,-0.7000000000000001
-0.000698,-0.46,-0.5
-0.000697,-0.44,-0.7000000000000001
-0.000696,-0.52,-0.4
-0.0006950000000000001,-0.56,-0.7000000000000001
-0.000694,-0.42,-0.4
-0.000693,-0.6,-0.9
-0.000692,-0.44,-0.2
-0.000691,-0.56,-0.8
-0.0006900000000000001,-0.42,-0.4
-0.000689,-0.72,-0.9
-0.000688,-0.58,-0.2
-0.0006870000000000001,-0.54,-0.8
-0.000686,-0.44,-0.4
-0.0006850000000000001,-0.5,-0.7000000000000001
-0.000684,-0.54,-0.30000000000000004
-0.000683,-0.5,-0.7000000000000001
-0.0006820000000000001,-0.48,-0.4
-0.000681,-0.56,-0.6000000000000001
-0.00068,-0.58,-0.4
-0.000679,-0.54,-0.5
-0.000678,-0.48,-0.5
-0.0006770000000000001,-0.5,-0.7000000000000001
-0.0006760000000000001,-0.48,-0.4
-0.000675,-0.48,-0.7000000000000001
-0.000674,-0.5,-0.4
-0.000673,-0.68,-0.9
