time,CH2,CH4
-5.54e-05,1.54,0.146
-5.5389999999999997e-05,1.51,0.14200000000000002
-5.5379999999999995e-05,1.52,0.146
-5.537e-05,1.51,0.15
-5.536e-05,1.52,0.148
-5.535e-05,1.54,0.14200000000000002
-5.5339999999999995e-05,1.51,0.14400000000000002
-5.533e-05,1.53,0.14200000000000002
-5.532e-05,1.53,0.14
-5.531e-05,1.52,0.14400000000000002
-5.5299999999999996e-05,1.52,0.14400000000000002
-5.529e-05,1.53,0.148
-5.528e-05,1.54,0.146
-5.527e-05,1.53,0.148
-5.5259999999999996e-05,1.5,0.146
-5.525e-05,1.51,0.152
-5.524e-05,1.52,0.148
-5.523e-05,1.54,0.15
-5.5219999999999996e-05,1.55,0.14200000000000002
-5.5209999999999995e-05,1.53,0.138
-5.52e-05,1.54,0.14400000000000002
-5.519e-05,1.54,0.14200000000000002
-5.518e-05,1.51,0.134
-5.5169999999999995e-05,1.53,0.148
-5.516e-05,1.55,0.146
-5.515e-05,1.55,0.148
-5.514e-05,1.52,0.146
-5.5129999999999996e-05,1.56,0.14200000000000002
-5.512e-05,1.52,0.15
-5.511e-05,1.54,0.152
-5.51e-05,1.53,0.146
-5.5089999999999996e-05,1.52,0.148
-5.508e-05,1.52,0.14200000000000002
-5.507e-05,1.52,0.148
-5.506e-05,1.52,0.148
-5.5049999999999996e-05,1.53,0.14200000000000002
-5.5039999999999995e-05,1.53,0.15
-5.503e-05,1.53,0.152
-5.502e-05,1.53,0.15
-5.501e-05,1.56,0.146
-5.4999999999999995e-05,1.53,0.14
-5.499e-05,1.52,0.146
-5.498e-05,1.52,0.14400000000000002
-5.497e-05,1.48,0.146
-5.4959999999999996e-05,1.54,0.138
-5.495e-05,1.53,0.14400000000000002
-5.494e-05,1.51,0.15
-5.493e-05,1.53,0.146
-5.4919999999999996e-05,1.52,0.14400000000000002
-5.491e-05,1.52,0.146
-5.49e-05,1.52,0.146
-5.489e-05,1.54,0.146
-5.4879999999999996e-05,1.52,0.152
-5.4869999999999995e-05,1.55,0.146
-5.486e-05,1.53,0.14400000000000002
-5.485e-05,1.5,0.15
-5.484e-05,1.5,0.148
-5.4829999999999995e-05,1.52,0.15
-5.482e-05,1.53,0.148
-5.481e-05,1.54,0.146
-5.48e-05,1.54,0.138
-5.4789999999999995e-05,1.55,0.14400000000000002
-5.478e-05,1.51,0.146
-5.477e-05,1.53,0.14400000000000002
-5.476e-05,1.53,0.14
-5.4749999999999996e-05,1.53,0.148
-5.474e-05,1.54,0.14200000000000002
-5.473e-05,1.5,0.15
-5.472e-05,1.54,0.148
-5.4709999999999996e-05,1.52,0.154
-5.47e-05,1.49,0.15
-5.469e-05,1.55,0.15
-5.468e-05,1.54,0.148
-5.467e-05,1.55,0.14400000000000002
-5.4659999999999995e-05,1.52,0.146
