time,CH2,CH4
-0.000504,2.42,-0.088
-0.0005038,2.42,-0.1
-0.0005036,2.44,-0.096
-0.0005034,2.4,-0.1
-0.0005032,2.4,-0.1
-0.000503,2.44,-0.1
-0.0005028,2.4,-0.10400000000000001
-0.0005026,2.42,-0.092
-0.0005024,2.36,-0.096
-0.0005022,2.36,-0.10400000000000001
-0.000502,2.4,-0.10400000000000001
-0.0005017999999999999,2.42,-0.112
-0.0005016,2.42,-0.1
-0.0005014,2.38,-0.092
-0.0005012,2.36,-0.108
-0.000501,2.4,-0.1
-0.0005008,2.4,-0.096
-0.0005006,2.42,-0.1
-0.0005004,2.4,-0.10400000000000001
-0.0005002,2.38,-0.10400000000000001
-0.0005,2.38,-0.088
-0.0004998,2.42,-0.092
-0.0004996,2.4,-0.1
-0.0004994,2.36,-0.088
-0.0004992,2.44,-0.092
-0.000499,2.4,-0.088
-0.0004988,2.36,-0.096
-0.0004986,2.42,-0.096
-0.0004984,2.46,-0.096
-0.0004982,2.42,-0.092
-0.000498,2.4,-0.096
-0.0004978,2.36,-0.096
-0.0004976,2.42,-0.1
-0.0004974,2.34,-0.096
-0.0004972,2.46,-0.096
-0.000497,2.38,-0.096
-0.0004968,2.44,-0.1
-0.0004966,2.48,-0.088
-0.0004964,2.4,-0.096
-0.0004962,2.42,-0.096
-0.000496,2.46,-0.092
-0.0004958,2.32,-0.1
-0.0004956,2.44,-0.088
-0.0004954,2.42,-0.096
-0.0004952,2.38,-0.10400000000000001
-0.000495,2.42,-0.10400000000000001
-0.0004948,2.42,-0.096
-0.0004946,2.38,-0.092
-0.0004944,2.36,-0.1
-0.0004942,2.42,-0.10400000000000001
-0.000494,2.44,-0.1
-0.0004938,2.4,-0.1
-0.0004936,2.44,-0.092
-0.0004934,2.38,-0.084
-0.0004932,2.42,-0.096
-0.000493,2.4,-0.096
-0.0004928,2.48,-0.096
-0.0004926,2.38,-0.1
-0.0004924,2.42,-0.10400000000000001
-0.0004922,2.46,-0.096
-0.000492,2.38,-0.088
-0.0004918,2.42,-0.1
-0.0004916,2.48,-0.096
-0.0004914,2.34,-0.096
-0.0004912,2.38,-0.1
-0.000491,2.42,-0.1
-0.0004908,2.46,-0.096
-0.0004906,2.44,-0.096
-0.0004904,2.42,-0.08
-0.0004902,2.4,-0.096
-0.00049,2.4,-0.092
-0.0004898,2.34,-0.096
-0.0004896,2.4,-0.096
-0.0004894,2.4,-0.092
-0.0004892,2.4,-0.092
-0.000489,2.38,-0.092
-0.0004888,2.4,-0.092
-0.0004886,2.38,-0.096
-0.0004883999999999999,2.32,-0.088
-0.0004882,2.36,-0.096
-0.000488,2.4,-0.1
-0.0004878,2.4,-0.092
-0.0004876,2.4,-0.096
-0.0004874,2.32,-0.092
-0.0004872,2.38,-0.084
-0.000487,2.38,-0.096
-0.0004868,2.34,-0.092
-0.0004866,2.38,-0.096
-0.0004864,2.42,-0.092
-0.0004862,2.44,-0.088
-0.000486,2.36,-0.1
-0.0004858,2.4,-0.088
-0.0004856,2.42,-0.1
-0.0004854,2.42,-0.084
-0.0004852,2.38,-0.092
-0.000485,2.42,-0.092
-0.0004848,2.36,-0.092
-0.0004846,2.34,-0.084
-0.0004844,2.38,-0.108
-0.0004842,2.44,-0.096
-0.000484,2.44,-0.092
-0.0004838,2.4,-0.092
-0.0004836,2.32,-0.092
-0.0004834,2.44,-0.1
-0.0004832,2.34,-0.088
-0.000483,2.34,-0.092
-0.0004828,2.34,-0.084
-0.0004826,2.42,-0.092
